team,year,link
Colorado St. Rams,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=156&stats_player_seq=-100
Colorado St. Rams,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=156&stats_player_seq=-100
Duke Blue Devils,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=193&stats_player_seq=-100
Duke Blue Devils,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=193&stats_player_seq=-100
Duke Blue Devils,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=193&stats_player_seq=-100
Duke Blue Devils,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=193&stats_player_seq=-100
East Carolina Pirates,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=196&stats_player_seq=-100
East Carolina Pirates,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=196&stats_player_seq=-100
East Carolina Pirates,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=196&stats_player_seq=-100
Eastern Mich. Eagles,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=204&stats_player_seq=-100
Eastern Mich. Eagles,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=204&stats_player_seq=-100
Eastern Mich. Eagles,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=204&stats_player_seq=-100
Eastern Mich. Eagles,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=204&stats_player_seq=-100
FIU Panthers,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=231&stats_player_seq=-100
FIU Panthers,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=231&stats_player_seq=-100
FIU Panthers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=231&stats_player_seq=-100
FIU Panthers,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=231&stats_player_seq=-100
Fla. Atlantic Owls,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=229&stats_player_seq=-100
