key,link,team,txt,year
people,http://stats.ncaa.org/people/44010?sport_code=MFB,Houston Cougars,David Gibbs,2015
people,http://stats.ncaa.org/people/40880?sport_code=MFB,Houston Cougars,Tony Levine,2015
roster,http://stats.ncaa.org/team/288/roster/11980,Houston Cougars,Roster,2015
stats,http://stats.ncaa.org/team/288/stats/11980,Houston Cougars,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/295,Idaho Vandals,Team History,2015
people,http://stats.ncaa.org/people/41709?sport_code=MFB,Idaho Vandals,Paul Petrino,2015
roster,http://stats.ncaa.org/team/295/roster/11980,Idaho Vandals,Roster,2015
stats,http://stats.ncaa.org/team/295/stats/11980,Idaho Vandals,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/301,Illinois Fighting Illini,Team History,2015
people,http://stats.ncaa.org/people/35872?sport_code=MFB,Illinois Fighting Illini,Tim Beckman,2015
roster,http://stats.ncaa.org/team/301/roster/11980,Illinois Fighting Illini,Roster,2015
stats,http://stats.ncaa.org/team/301/stats/11980,Illinois Fighting Illini,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/306,Indiana Hoosiers,Team History,2015
people,http://stats.ncaa.org/people/38534?sport_code=MFB,Indiana Hoosiers,Kevin Wilson,2015
roster,http://stats.ncaa.org/team/306/roster/11980,Indiana Hoosiers,Roster,2015
stats,http://stats.ncaa.org/team/306/stats/11980,Indiana Hoosiers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/312,Iowa Hawkeyes,Team History,2015
people,http://stats.ncaa.org/people/2233?sport_code=MFB,Iowa Hawkeyes,Kirk Ferentz,2015
roster,http://stats.ncaa.org/team/312/roster/11980,Iowa Hawkeyes,Roster,2015
stats,http://stats.ncaa.org/team/312/stats/11980,Iowa Hawkeyes,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/311,Iowa St. Cyclones,Team History,2015
people,http://stats.ncaa.org/people/35865?sport_code=MFB,Iowa St. Cyclones,Paul Rhoads,2015
roster,http://stats.ncaa.org/team/311/roster/11980,Iowa St. Cyclones,Roster,2015
stats,http://stats.ncaa.org/team/311/stats/11980,Iowa St. Cyclones,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/328,Kansas Jayhawks,Team History,2015
people,http://stats.ncaa.org/people/25046?sport_code=MFB,Kansas Jayhawks,Charlie Weis,2015
people,http://stats.ncaa.org/people/44012?sport_code=MFB,Kansas Jayhawks,Clint Bowen,2015
roster,http://stats.ncaa.org/team/328/roster/11980,Kansas Jayhawks,Roster,2015
stats,http://stats.ncaa.org/team/328/stats/11980,Kansas Jayhawks,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/327,Kansas St. Wildcats,Team History,2015
people,http://stats.ncaa.org/people/253?sport_code=MFB,Kansas St. Wildcats,Bill Snyder,2015
roster,http://stats.ncaa.org/team/327/roster/11980,Kansas St. Wildcats,Roster,2015
stats,http://stats.ncaa.org/team/327/stats/11980,Kansas St. Wildcats,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/331,Kent St. Golden Flashes,Team History,2015
people,http://stats.ncaa.org/people/41500?sport_code=MFB,Kent St. Golden Flashes,Paul Haynes,2015
roster,http://stats.ncaa.org/team/331/roster/11980,Kent St. Golden Flashes,Roster,2015
stats,http://stats.ncaa.org/team/331/stats/11980,Kent St. Golden Flashes,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/334,Kentucky Wildcats,Team History,2015
people,http://stats.ncaa.org/people/41710?sport_code=MFB,Kentucky Wildcats,Mark Stoops,2015
roster,http://stats.ncaa.org/team/334/roster/11980,Kentucky Wildcats,Roster,2015
stats,http://stats.ncaa.org/team/334/stats/11980,Kentucky Wildcats,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/365,LSU Fighting Tigers,Team History,2015
people,http://stats.ncaa.org/people/2361?sport_code=MFB,LSU Fighting Tigers,Les Miles,2015
roster,http://stats.ncaa.org/team/365/roster/11980,LSU Fighting Tigers,Roster,2015
stats,http://stats.ncaa.org/team/365/stats/11980,LSU Fighting Tigers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/498,La.-Monroe Warhawks,Team History,2015
people,http://stats.ncaa.org/people/3710?sport_code=MFB,La.-Monroe Warhawks,Todd Berry,2015
roster,http://stats.ncaa.org/team/498/roster/11980,La.-Monroe Warhawks,Roster,2015
stats,http://stats.ncaa.org/team/498/stats/11980,La.-Monroe Warhawks,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/671,Louisiana Ragin' Cajuns,Team History,2015
people,http://stats.ncaa.org/people/20684?sport_code=MFB,Louisiana Ragin' Cajuns,Mark Hudspeth,2015
roster,http://stats.ncaa.org/team/671/roster/11980,Louisiana Ragin' Cajuns,Roster,2015
stats,http://stats.ncaa.org/team/671/stats/11980,Louisiana Ragin' Cajuns,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/366,Louisiana Tech Bulldogs,Team History,2015
people,http://stats.ncaa.org/people/25072?sport_code=MFB,Louisiana Tech Bulldogs,Skip Holtz,2015
roster,http://stats.ncaa.org/team/366/roster/11980,Louisiana Tech Bulldogs,Roster,2015
stats,http://stats.ncaa.org/team/366/stats/11980,Louisiana Tech Bulldogs,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/392,"Maryland Terrapins, Terps",Team History,2015
people,http://stats.ncaa.org/people/3032?sport_code=MFB,"Maryland Terrapins, Terps",Randy Edsall,2015
roster,http://stats.ncaa.org/team/392/roster/11980,"Maryland Terrapins, Terps",Roster,2015
stats,http://stats.ncaa.org/team/392/stats/11980,"Maryland Terrapins, Terps",Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/400,Massachusetts Minutemen,Team History,2015
people,http://stats.ncaa.org/people/2517?sport_code=MFB,Massachusetts Minutemen,Mark Whipple,2015
roster,http://stats.ncaa.org/team/400/roster/11980,Massachusetts Minutemen,Roster,2015
stats,http://stats.ncaa.org/team/400/stats/11980,Massachusetts Minutemen,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/404,Memphis Tigers,Team History,2015
people,http://stats.ncaa.org/people/40881?sport_code=MFB,Memphis Tigers,Justin Fuente,2015
roster,http://stats.ncaa.org/team/404/roster/11980,Memphis Tigers,Roster,2015
stats,http://stats.ncaa.org/team/404/stats/11980,Memphis Tigers,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/415,Miami (FL) Hurricanes,Team History,2015
people,http://stats.ncaa.org/people/28007?sport_code=MFB,Miami (FL) Hurricanes,Al Golden,2015
roster,http://stats.ncaa.org/team/415/roster/11980,Miami (FL) Hurricanes,Roster,2015
stats,http://stats.ncaa.org/team/415/stats/11980,Miami (FL) Hurricanes,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/414,Miami (OH) RedHawks,Team History,2015
people,http://stats.ncaa.org/people/22568?sport_code=MFB,Miami (OH) RedHawks,Chuck Martin,2015
roster,http://stats.ncaa.org/team/414/roster/11980,Miami (OH) RedHawks,Roster,2015
stats,http://stats.ncaa.org/team/414/stats/11980,Miami (OH) RedHawks,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/418,Michigan Wolverines,Team History,2015
people,http://stats.ncaa.org/people/21342?sport_code=MFB,Michigan Wolverines,Brady Hoke,2015
roster,http://stats.ncaa.org/team/418/roster/11980,Michigan Wolverines,Roster,2015
stats,http://stats.ncaa.org/team/418/stats/11980,Michigan Wolverines,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/416,Michigan St. Spartans,Team History,2015
people,http://stats.ncaa.org/people/24978?sport_code=MFB,Michigan St. Spartans,Mark Dantonio,2015
roster,http://stats.ncaa.org/team/416/roster/11980,Michigan St. Spartans,Roster,2015
stats,http://stats.ncaa.org/team/416/stats/11980,Michigan St. Spartans,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/419,Middle Tenn. Blue Raiders,Team History,2015
people,http://stats.ncaa.org/people/28004?sport_code=MFB,Middle Tenn. Blue Raiders,Rick Stockstill,2015
roster,http://stats.ncaa.org/team/419/roster/11980,Middle Tenn. Blue Raiders,Roster,2015
stats,http://stats.ncaa.org/team/419/stats/11980,Middle Tenn. Blue Raiders,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/430,Mississippi St. Bulldogs,Team History,2015
people,http://stats.ncaa.org/people/35867?sport_code=MFB,Mississippi St. Bulldogs,Dan Mullen,2015
roster,http://stats.ncaa.org/team/430/roster/11980,Mississippi St. Bulldogs,Roster,2015
stats,http://stats.ncaa.org/team/430/stats/11980,Mississippi St. Bulldogs,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/490,NC State Wolfpack,Team History,2015
people,http://stats.ncaa.org/people/38542?sport_code=MFB,NC State Wolfpack,Dave Doeren,2015
roster,http://stats.ncaa.org/team/490/roster/11980,NC State Wolfpack,Roster,2015
stats,http://stats.ncaa.org/team/490/stats/11980,NC State Wolfpack,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/726,Navy Midshipmen,Team History,2015
people,http://stats.ncaa.org/people/33422?sport_code=MFB,Navy Midshipmen,Ken Niumatalolo,2015
roster,http://stats.ncaa.org/team/726/roster/11980,Navy Midshipmen,Roster,2015
stats,http://stats.ncaa.org/team/726/stats/11980,Navy Midshipmen,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/463,"Nebraska Cornhuskers, Huskers",Team History,2015
people,http://stats.ncaa.org/people/25400?sport_code=MFB,"Nebraska Cornhuskers, Huskers",Bo Pelini,2015
people,http://stats.ncaa.org/people/44016?sport_code=MFB,"Nebraska Cornhuskers, Huskers",Barney Cotton,2015
roster,http://stats.ncaa.org/team/463/roster/11980,"Nebraska Cornhuskers, Huskers",Roster,2015
stats,http://stats.ncaa.org/team/463/stats/11980,"Nebraska Cornhuskers, Huskers",Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/466,Nevada Wolf Pack,Team History,2015
people,http://stats.ncaa.org/people/41711?sport_code=MFB,Nevada Wolf Pack,Brian Polian,2015
roster,http://stats.ncaa.org/team/466/roster/11980,Nevada Wolf Pack,Roster,2015
stats,http://stats.ncaa.org/team/466/stats/11980,Nevada Wolf Pack,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/473,New Mexico Lobos,Team History,2015
people,http://stats.ncaa.org/people/304?sport_code=MFB,New Mexico Lobos,Bob Davie,2015
roster,http://stats.ncaa.org/team/473/roster/11980,New Mexico Lobos,Roster,2015
stats,http://stats.ncaa.org/team/473/stats/11980,New Mexico Lobos,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/472,New Mexico St. Aggies,Team History,2015
people,http://stats.ncaa.org/people/1061?sport_code=MFB,New Mexico St. Aggies,Doug Martin,2015
roster,http://stats.ncaa.org/team/472/roster/11980,New Mexico St. Aggies,Roster,2015
stats,http://stats.ncaa.org/team/472/stats/11980,New Mexico St. Aggies,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/457,North Carolina Tar Heels,Team History,2015
people,http://stats.ncaa.org/people/33424?sport_code=MFB,North Carolina Tar Heels,Larry Fedora,2015
roster,http://stats.ncaa.org/team/457/roster/11980,North Carolina Tar Heels,Roster,2015
stats,http://stats.ncaa.org/team/457/stats/11980,North Carolina Tar Heels,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/497,North Texas Mean Green,Team History,2015
people,http://stats.ncaa.org/people/750?sport_code=MFB,North Texas Mean Green,Dan McCarney,2015
roster,http://stats.ncaa.org/team/497/roster/11980,North Texas Mean Green,Roster,2015
stats,http://stats.ncaa.org/team/497/stats/11980,North Texas Mean Green,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/503,Northern Ill. Huskies,Team History,2015
people,http://stats.ncaa.org/people/41712?sport_code=MFB,Northern Ill. Huskies,Rod Carey,2015
roster,http://stats.ncaa.org/team/503/roster/11980,Northern Ill. Huskies,Roster,2015
stats,http://stats.ncaa.org/team/503/stats/11980,Northern Ill. Huskies,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/509,Northwestern Wildcats,Team History,2015
people,http://stats.ncaa.org/people/29792?sport_code=MFB,Northwestern Wildcats,Pat Fitzgerald,2015
roster,http://stats.ncaa.org/team/509/roster/11980,Northwestern Wildcats,Roster,2015
stats,http://stats.ncaa.org/team/509/stats/11980,Northwestern Wildcats,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/513,Notre Dame Fighting Irish,Team History,2015
people,http://stats.ncaa.org/people/434?sport_code=MFB,Notre Dame Fighting Irish,Brian Kelly,2015
roster,http://stats.ncaa.org/team/513/roster/11980,Notre Dame Fighting Irish,Roster,2015
stats,http://stats.ncaa.org/team/513/stats/11980,Notre Dame Fighting Irish,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/519,Ohio Bobcats,Team History,2015
people,http://stats.ncaa.org/people/1208?sport_code=MFB,Ohio Bobcats,Frank Solich,2015
roster,http://stats.ncaa.org/team/519/roster/11980,Ohio Bobcats,Roster,2015
stats,http://stats.ncaa.org/team/519/stats/11980,Ohio Bobcats,Team Statistics,2015
history,http://stats.ncaa.org/teams/history/MFB/518,Ohio St. Buckeyes,Team History,2015
people,http://stats.ncaa.org/people/3864?sport_code=MFB,Ohio St. Buckeyes,Urban Meyer,2015
roster,http://stats.ncaa.org/team/518/roster/11980,Ohio St. Buckeyes,Roster,2015
