team,link,txt,key,year
Fresno St. Bulldogs,http://stats.ncaa.org/team/96/stats/11520,Team Statistics,stats,2014
Ga. Southern Eagles,http://stats.ncaa.org/teams/history/MFB/253,Team History,history,2014
Ga. Southern Eagles,http://stats.ncaa.org/people/37004?sport_code=MFB,Jeff Monken,people,2014
Ga. Southern Eagles,http://stats.ncaa.org/team/253/roster/11520,Roster,roster,2014
Ga. Southern Eagles,http://stats.ncaa.org/team/253/stats/11520,Team Statistics,stats,2014
Georgia  Bulldogs,http://stats.ncaa.org/teams/history/MFB/257,Team History,history,2014
Georgia  Bulldogs,http://stats.ncaa.org/people/2504?sport_code=MFB,Mark Richt,people,2014
Georgia  Bulldogs,http://stats.ncaa.org/team/257/roster/11520,Roster,roster,2014
Georgia  Bulldogs,http://stats.ncaa.org/team/257/stats/11520,Team Statistics,stats,2014
Georgia St. Panthers,http://stats.ncaa.org/teams/history/MFB/254,Team History,history,2014
Georgia St. Panthers,http://stats.ncaa.org/people/33449?sport_code=MFB,Trent Miles,people,2014
Georgia St. Panthers,http://stats.ncaa.org/team/254/roster/11520,Roster,roster,2014
Georgia St. Panthers,http://stats.ncaa.org/team/254/stats/11520,Team Statistics,stats,2014
Hawaii  Rainbow Warriors,http://stats.ncaa.org/teams/history/MFB/277,Team History,history,2014
Hawaii  Rainbow Warriors,http://stats.ncaa.org/people/40879?sport_code=MFB,Norm Chow,people,2014
Hawaii  Rainbow Warriors,http://stats.ncaa.org/team/277/roster/11520,Roster,roster,2014
Hawaii  Rainbow Warriors,http://stats.ncaa.org/team/277/stats/11520,Team Statistics,stats,2014
Houston  Cougars,http://stats.ncaa.org/teams/history/MFB/288,Team History,history,2014
Houston  Cougars,http://stats.ncaa.org/people/40880?sport_code=MFB,Tony Levine,people,2014
Houston  Cougars,http://stats.ncaa.org/team/288/roster/11520,Roster,roster,2014
Houston  Cougars,http://stats.ncaa.org/team/288/stats/11520,Team Statistics,stats,2014
Idaho  Vandals,http://stats.ncaa.org/teams/history/MFB/295,Team History,history,2014
Idaho  Vandals,http://stats.ncaa.org/people/41709?sport_code=MFB,Paul Petrino,people,2014
Idaho  Vandals,http://stats.ncaa.org/team/295/roster/11520,Roster,roster,2014
Idaho  Vandals,http://stats.ncaa.org/team/295/stats/11520,Team Statistics,stats,2014
Illinois  Fighting Illini,http://stats.ncaa.org/teams/history/MFB/301,Team History,history,2014
Illinois  Fighting Illini,http://stats.ncaa.org/people/35872?sport_code=MFB,Tim Beckman,people,2014
Illinois  Fighting Illini,http://stats.ncaa.org/team/301/roster/11520,Roster,roster,2014
Illinois  Fighting Illini,http://stats.ncaa.org/team/301/stats/11520,Team Statistics,stats,2014
Indiana  Hoosiers,http://stats.ncaa.org/teams/history/MFB/306,Team History,history,2014
Indiana  Hoosiers,http://stats.ncaa.org/people/38534?sport_code=MFB,Kevin Wilson,people,2014
Indiana  Hoosiers,http://stats.ncaa.org/team/306/roster/11520,Roster,roster,2014
