Date,Opponent,Result,G,FGM,FGA,FGBlocksAllowed,LongFGM,Team,OffenseDefense
11/19/2016,La.-Monroe,W 42 - 17,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Offense
11/19/2016,La.-Monroe,W 42 - 17,1/,1,1,nan,27,Appalachian St. Mountaineers,Defense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,3,4/,nan,31,Appalachian St. Mountaineers,Offense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,1,1,nan,39,Appalachian St. Mountaineers,Offense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,nan,1,nan,nan,Appalachian St. Mountaineers,Defense
08/30/2014,@ Michigan,L 14 - 52,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Offense
08/30/2014,@ Michigan,L 14 - 52,1/,1,2,nan,18,Appalachian St. Mountaineers,Defense
09/06/2014,Campbell,W 66 - 0,1/,1,1,nan,31,Appalachian St. Mountaineers,Offense
09/06/2014,Campbell,W 66 - 0,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,nan,3,1/,nan,Appalachian St. Mountaineers,Offense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,nan,1,nan,nan,Appalachian St. Mountaineers,Defense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Offense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,2,2,nan,35,Appalachian St. Mountaineers,Defense
10/04/2014,South Ala.,L 21 - 47,1/,nan,1,1/,nan,Appalachian St. Mountaineers,Offense
10/04/2014,South Ala.,L 21 - 47,1/,2,4/,1/,39,Appalachian St. Mountaineers,Defense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,2,3,nan,38,Appalachian St. Mountaineers,Offense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,2,3,nan,35,Appalachian St. Mountaineers,Defense
10/18/2014,@ Troy,W 53 - 14,1/,1,1,nan,37,Appalachian St. Mountaineers,Offense
10/18/2014,@ Troy,W 53 - 14,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/01/2014,Georgia St.,W 44 - 0,1/,1,2,nan,26,Appalachian St. Mountaineers,Offense
11/01/2014,Georgia St.,W 44 - 0,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/08/2014,La.-Monroe,W 31 - 29,1/,1,1,nan,39,Appalachian St. Mountaineers,Offense
11/08/2014,La.-Monroe,W 31 - 29,1/,3,3,nan,38,Appalachian St. Mountaineers,Defense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,1,1,nan,24,Appalachian St. Mountaineers,Offense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/22/2014,@ Louisiana,W 35 - 16,1/,nan,1,nan,nan,Appalachian St. Mountaineers,Offense
11/22/2014,@ Louisiana,W 35 - 16,1/,3,3,nan,38,Appalachian St. Mountaineers,Defense
11/29/2014,Idaho,W 45 - 28,1/,1,1,nan,49,Appalachian St. Mountaineers,Offense
11/29/2014,Idaho,W 45 - 28,1/,1,3,nan,43,Appalachian St. Mountaineers,Defense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,4,4,nan,47,Alabama Crimson Tide,Offense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,3,4,nan,42,Alabama Crimson Tide,Defense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,2,2,nan,28,Alabama Crimson Tide,Offense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
09/13/2014,Southern Miss.,W 52 - 12,1/,1,1,nan,30,Alabama Crimson Tide,Offense
09/13/2014,Southern Miss.,W 52 - 12,1/,4,4,nan,43,Alabama Crimson Tide,Defense
09/20/2014,Florida,W 42 - 21,1/,nan,1,nan,nan,Alabama Crimson Tide,Offense
09/20/2014,Florida,W 42 - 21,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/04/2014,@ Ole Miss,L 17 - 23,1/,1,3,nan,44,Alabama Crimson Tide,Offense
10/04/2014,@ Ole Miss,L 17 - 23,1/,1,2,nan,46,Alabama Crimson Tide,Defense
10/11/2014,@ Arkansas,W 14 - 13,1/,nan,1,nan,nan,Alabama Crimson Tide,Offense
10/11/2014,@ Arkansas,W 14 - 13,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/18/2014,Texas A&M,W 59 - 0,1/,1,1,nan,21,Alabama Crimson Tide,Offense
10/18/2014,Texas A&M,W 59 - 0,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/25/2014,@ Tennessee,W 34 - 20,1/,nan,nan,nan,nan,Alabama Crimson Tide,Offense
10/25/2014,@ Tennessee,W 34 - 20,1/,2,2,nan,27,Alabama Crimson Tide,Defense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,2,3,nan,39,Alabama Crimson Tide,Offense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,2,2,nan,39,Alabama Crimson Tide,Defense
11/15/2014,Mississippi St.,W 25 - 20,1/,1,2,nan,36,Alabama Crimson Tide,Offense
11/15/2014,Mississippi St.,W 25 - 20,1/,2,2,nan,32,Alabama Crimson Tide,Defense
11/22/2014,Western Caro.,W 48 - 14,1/,2,3,nan,28,Alabama Crimson Tide,Offense
11/22/2014,Western Caro.,W 48 - 14,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
11/29/2014,Auburn,W 55 - 44,1/,nan,nan,nan,nan,Alabama Crimson Tide,Offense
11/29/2014,Auburn,W 55 - 44,1/,5/,5,nan,33,Alabama Crimson Tide,Defense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,nan,1,nan,nan,Alabama Crimson Tide,Offense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,2,2,nan,33,Alabama Crimson Tide,Defense
01/01/2015,Ohio St.,L 35 - 42,1/,nan,nan,nan,nan,Alabama Crimson Tide,Offense
01/01/2015,Ohio St.,L 35 - 42,1/,2,2,nan,22,Alabama Crimson Tide,Defense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,nan,2,nan,nan,Alabama Crimson Tide,Offense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,1,2,nan,43,Alabama Crimson Tide,Defense
09/12/2015,Middle Tenn.,W 37 - 10,1/,nan,2,nan,nan,Alabama Crimson Tide,Offense
09/12/2015,Middle Tenn.,W 37 - 10,1/,1,2,nan,20,Alabama Crimson Tide,Defense
09/19/2015,Ole Miss,L 37 - 43,1/,1,1,nan,20,Alabama Crimson Tide,Offense
09/19/2015,Ole Miss,L 37 - 43,1/,3,3,nan,45,Alabama Crimson Tide,Defense
09/26/2015,La.-Monroe,W 34 - 0,1/,2,2,nan,40,Alabama Crimson Tide,Offense
09/26/2015,La.-Monroe,W 34 - 0,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/03/2015,@ Georgia,W 38 - 10,1/,1,1,nan,29,Alabama Crimson Tide,Offense
10/03/2015,@ Georgia,W 38 - 10,1/,1,1,nan,27,Alabama Crimson Tide,Defense
10/10/2015,Arkansas,W 27 - 14,1/,2,4,nan,35,Alabama Crimson Tide,Offense
10/10/2015,Arkansas,W 27 - 14,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/17/2015,@ Texas A&M,W 41 - 23,1/,2,2,nan,32,Alabama Crimson Tide,Offense
10/17/2015,@ Texas A&M,W 41 - 23,1/,3,5,nan,54,Alabama Crimson Tide,Defense
10/24/2015,Tennessee,W 19 - 14,1/,2,2,nan,28,Alabama Crimson Tide,Offense
10/24/2015,Tennessee,W 19 - 14,1/,nan,3,nan,nan,Alabama Crimson Tide,Defense
11/07/2015,LSU,W 30 - 16,1/,3,3,nan,55,Alabama Crimson Tide,Offense
11/07/2015,LSU,W 30 - 16,1/,1,1,nan,39,Alabama Crimson Tide,Defense
11/14/2015,@ Mississippi St.,W 31 - 6,1/,1,2,1/,42,Alabama Crimson Tide,Offense
11/14/2015,@ Mississippi St.,W 31 - 6,1/,2,3,nan,39,Alabama Crimson Tide,Defense
11/21/2015,Charleston So.,W 56 - 6,1/,nan,1,nan,nan,Alabama Crimson Tide,Offense
11/21/2015,Charleston So.,W 56 - 6,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
11/28/2015,@ Auburn,W 29 - 13,1/,5,5,nan,50,Alabama Crimson Tide,Offense
11/28/2015,@ Auburn,W 29 - 13,1/,2,3,nan,44,Alabama Crimson Tide,Defense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,1/,2,3,nan,30,Alabama Crimson Tide,Offense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,1/,nan,1,1/,nan,Alabama Crimson Tide,Defense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,1/,1,1,nan,47,Alabama Crimson Tide,Offense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,1/,1,2,nan,33,Alabama Crimson Tide,Offense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,1/,2,3,nan,37,Alabama Crimson Tide,Defense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,1/,nan,nan,nan,nan,Alabama Crimson Tide,Offense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,1/,1,1,nan,39,Alabama Crimson Tide,Defense
09/14/2013,@ Texas A&M,W 49 - 42,1/,nan,nan,nan,nan,Alabama Crimson Tide,Offense
09/14/2013,@ Texas A&M,W 49 - 42,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
09/21/2013,Colorado St.,W 31 - 6,1/,1,2,nan,46,Alabama Crimson Tide,Offense
09/21/2013,Colorado St.,W 31 - 6,1/,2,2,nan,45,Alabama Crimson Tide,Defense
09/28/2013,Ole Miss,W 25 - 0,1/,3,3,nan,53,Alabama Crimson Tide,Offense
09/28/2013,Ole Miss,W 25 - 0,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/05/2013,Georgia St.,W 45 - 3,1/,1,2,nan,27,Alabama Crimson Tide,Offense
10/05/2013,Georgia St.,W 45 - 3,1/,1,1,nan,53/,Alabama Crimson Tide,Defense
10/12/2013,@ Kentucky,W 48 - 7,1/,2,2,nan,25,Alabama Crimson Tide,Offense
10/12/2013,@ Kentucky,W 48 - 7,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/19/2013,Arkansas,W 52 - 0,1/,1,1,nan,48,Alabama Crimson Tide,Offense
10/19/2013,Arkansas,W 52 - 0,1/,nan,1,1/,nan,Alabama Crimson Tide,Defense
10/26/2013,Tennessee,W 45 - 10,1/,1,1,nan,20,Alabama Crimson Tide,Offense
10/26/2013,Tennessee,W 45 - 10,1/,1,1,nan,37,Alabama Crimson Tide,Defense
11/09/2013,LSU,W 38 - 17,1/,1,1,nan,41,Alabama Crimson Tide,Offense
11/09/2013,LSU,W 38 - 17,1/,1,1,nan,41,Alabama Crimson Tide,Defense
11/16/2013,@ Mississippi St.,W 20 - 7,1/,2,2,nan,35,Alabama Crimson Tide,Offense
11/16/2013,@ Mississippi St.,W 20 - 7,1/,nan,1,nan,nan,Alabama Crimson Tide,Defense
11/23/2013,Chattanooga,W 49 - 0,1/,nan,nan,nan,nan,Alabama Crimson Tide,Offense
11/23/2013,Chattanooga,W 49 - 0,1/,nan,1,1/,nan,Alabama Crimson Tide,Defense
11/30/2013,@ Auburn,L 28 - 34,1/,nan,4,1/,nan,Alabama Crimson Tide,Offense
11/30/2013,@ Auburn,L 28 - 34,1/,nan,nan,nan,nan,Alabama Crimson Tide,Defense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,1/,1,2,nan,27,Alabama Crimson Tide,Offense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,1/,1,1,nan,47,Alabama Crimson Tide,Defense
09/05/2015,@ Oklahoma,L 3 - 41,1/,1,2,nan,26,Akron Zips,Offense
09/05/2015,@ Oklahoma,L 3 - 41,1/,2,2,nan,41,Akron Zips,Defense
09/12/2015,Pittsburgh,L 7 - 24,1/,nan,nan,nan,nan,Akron Zips,Offense
09/12/2015,Pittsburgh,L 7 - 24,1/,1,2,nan,25,Akron Zips,Defense
09/19/2015,Savannah St.,W 52 - 9,1/,1,2,1,21,Akron Zips,Offense
09/19/2015,Savannah St.,W 52 - 9,1/,1,1,nan,30,Akron Zips,Defense
09/26/2015,@ Louisiana,W 35 - 14,1/,nan,1,nan,nan,Akron Zips,Offense
09/26/2015,@ Louisiana,W 35 - 14,1/,nan,nan,nan,nan,Akron Zips,Defense
10/03/2015,Ohio,L 12 - 14,1/,4/,4,nan,41,Akron Zips,Offense
10/03/2015,Ohio,L 12 - 14,1/,nan,nan,nan,nan,Akron Zips,Defense
10/10/2015,@ Eastern Mich.,W 47 - 21,1/,1,1,nan,39,Akron Zips,Offense
10/10/2015,@ Eastern Mich.,W 47 - 21,1/,nan,nan,nan,nan,Akron Zips,Defense
10/17/2015,@ Bowling Green,L 10 - 59,1/,1,1,nan,46,Akron Zips,Offense
10/17/2015,@ Bowling Green,L 10 - 59,1/,1,2,nan,28,Akron Zips,Defense
10/31/2015,Central Mich.,L 6 - 14,1/,nan,1,nan,nan,Akron Zips,Offense
10/31/2015,Central Mich.,L 6 - 14,1/,nan,nan,nan,nan,Akron Zips,Defense
11/07/2015,@ Massachusetts,W 17 - 13,1/,1,2,nan,36,Akron Zips,Offense
11/07/2015,@ Massachusetts,W 17 - 13,1/,2,2,nan,40,Akron Zips,Defense
11/14/2015,@ Miami (OH),W 37 - 28,1/,1,2,nan,50,Akron Zips,Offense
11/14/2015,@ Miami (OH),W 37 - 28,1/,nan,nan,nan,nan,Akron Zips,Defense
11/21/2015,Buffalo,W 42 - 21,1/,nan,nan,nan,nan,Akron Zips,Offense
11/21/2015,Buffalo,W 42 - 21,1/,nan,nan,nan,nan,Akron Zips,Defense
11/27/2015,Kent St.,W 20 - 0,1/,2,3,nan,23,Akron Zips,Offense
11/27/2015,Kent St.,W 20 - 0,1/,nan,nan,nan,nan,Akron Zips,Defense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,1/,3,3,nan,46,Akron Zips,Offense
12/22/2015,"Utah St. @ Boise, Idaho",W 23 - 21,1/,nan,nan,nan,nan,Akron Zips,Defense
