Date,Opponent,Result,G,PuntRet,PuntRetTDs,PuntRetYds,Team,OffenseDefense
09/06/2014,Texas Tech,L 26 - 30,1/,3,nan,16,UTEP Miners,Offense
09/06/2014,Texas Tech,L 26 - 30,1/,4,nan,26,UTEP Miners,Defense
09/13/2014,New Mexico St.,W 42 - 24,1/,1,nan,6,UTEP Miners,Offense
09/13/2014,New Mexico St.,W 42 - 24,1/,1,nan,1,UTEP Miners,Defense
09/27/2014,@ Kansas St.,L 28 - 58,1/,3,nan,nan,UTEP Miners,Offense
09/27/2014,@ Kansas St.,L 28 - 58,1/,5,1/,150/,UTEP Miners,Defense
10/04/2014,@ Louisiana Tech,L 3 - 55,1/,nan,nan,nan,UTEP Miners,Offense
10/04/2014,@ Louisiana Tech,L 3 - 55,1/,5,nan,62,UTEP Miners,Defense
10/11/2014,Old Dominion,W 42 - 35,1/,2,nan,19,UTEP Miners,Offense
10/11/2014,Old Dominion,W 42 - 35,1/,1,nan,-4,UTEP Miners,Defense
10/25/2014,@ UTSA,W 34 - 0,1/,3,nan,17,UTEP Miners,Offense
10/25/2014,@ UTSA,W 34 - 0,1/,2,nan,13,UTEP Miners,Defense
11/01/2014,Southern Miss.,W 35 - 14,1/,2,nan,5,UTEP Miners,Offense
11/01/2014,Southern Miss.,W 35 - 14,1/,4,nan,11,UTEP Miners,Defense
11/08/2014,@ Western Ky.,L 27 - 35,1/,1,nan,-6,UTEP Miners,Offense
11/08/2014,@ Western Ky.,L 27 - 35,1/,nan,nan,nan,UTEP Miners,Defense
11/15/2014,North Texas,W 35 - 17,1/,5,nan,67,UTEP Miners,Offense
11/15/2014,North Texas,W 35 - 17,1/,3,nan,16,UTEP Miners,Defense
11/21/2014,@ Rice,L 13 - 31,1/,4,nan,8,UTEP Miners,Offense
11/21/2014,@ Rice,L 13 - 31,1/,3,nan,22,UTEP Miners,Defense
11/29/2014,Middle Tenn.,W 24 - 21,1/,1,nan,nan,UTEP Miners,Offense
11/29/2014,Middle Tenn.,W 24 - 21,1/,3,nan,50,UTEP Miners,Defense
12/20/2014,"Utah St. @ Albuquerque, N.M.",L 6 - 21,1/,3,nan,10,UTEP Miners,Offense
12/20/2014,"Utah St. @ Albuquerque, N.M.",L 6 - 21,1/,3,nan,25,UTEP Miners,Defense
09/07/2013,New Mexico,L 35 - 42 (1OT),1/,nan,nan,nan,UTEP Miners,Offense
09/07/2013,New Mexico,L 35 - 42 (1OT),1/,nan,nan,nan,UTEP Miners,Defense
09/14/2013,@ New Mexico St.,W 42 - 21,1/,1,nan,9,UTEP Miners,Offense
09/14/2013,@ New Mexico St.,W 42 - 21,1/,2,nan,16,UTEP Miners,Defense
09/21/2013,UTSA,L 13 - 32,1/,3,nan,12,UTEP Miners,Offense
09/21/2013,UTSA,L 13 - 32,1/,1,nan,nan,UTEP Miners,Defense
09/28/2013,@ Colorado St.,L 42 - 59,1/,nan,nan,nan,UTEP Miners,Offense
09/28/2013,@ Colorado St.,L 42 - 59,1/,1,nan,17,UTEP Miners,Defense
10/05/2013,Louisiana Tech,L 35 - 38,1/,1,nan,2,UTEP Miners,Offense
10/05/2013,Louisiana Tech,L 35 - 38,1/,2,nan,-18,UTEP Miners,Defense
10/12/2013,Tulsa,L 20 - 34,1/,2,nan,8,UTEP Miners,Offense
10/12/2013,Tulsa,L 20 - 34,1/,2,nan,3,UTEP Miners,Defense
10/26/2013,@ Rice,L 7 - 45,1/,1,nan,8,UTEP Miners,Offense
10/26/2013,@ Rice,L 7 - 45,1/,2,nan,26,UTEP Miners,Defense
11/02/2013,@ Texas A&M,L 7 - 57,1/,3,nan,22,UTEP Miners,Offense
11/02/2013,@ Texas A&M,L 7 - 57,1/,3,nan,nan,UTEP Miners,Defense
11/09/2013,@ North Texas,L 7 - 41,1/,2,nan,13,UTEP Miners,Offense
11/09/2013,@ North Texas,L 7 - 41,1/,5,1/,36,UTEP Miners,Defense
11/16/2013,FIU,W 33 - 10,1/,3,nan,13,UTEP Miners,Offense
11/16/2013,FIU,W 33 - 10,1/,nan,nan,nan,UTEP Miners,Defense
11/23/2013,@ Tulane,L 3 - 45,1/,nan,nan,nan,UTEP Miners,Offense
11/23/2013,@ Tulane,L 3 - 45,1/,3,nan,26,UTEP Miners,Defense
11/30/2013,@ Middle Tenn.,L 17 - 48,1/,nan,nan,nan,UTEP Miners,Offense
11/30/2013,@ Middle Tenn.,L 17 - 48,1/,1,nan,-2,UTEP Miners,Defense
09/05/2015,@ Arkansas,L 13 - 48,1/,1,nan,2,UTEP Miners,Offense
09/05/2015,@ Arkansas,L 13 - 48,1/,2,nan,12,UTEP Miners,Defense
09/12/2015,@ Texas Tech,L 20 - 69,1/,2,nan,30,UTEP Miners,Offense
09/12/2015,@ Texas Tech,L 20 - 69,1/,4,nan,45,UTEP Miners,Defense
09/19/2015,@ New Mexico St.,W 50 - 47 (1OT),1/,1,1/,64,UTEP Miners,Offense
