Year,Team,GP,G,Rec,ReceivingYards,ReceptionsPerGame,YardsPerReception,RecTD,RecYdsG,OffenseDefense
2015-16,Boise St.,0,13,220,2731,16.92,12.41,14,210.08,Defensive
2016-17,Boise St.,13,13,253,3878,19.46,15.33,28,298.31,Offense
2016-17,Boise St.,0,13,268,2769,268.00,140.29,19,2769.00,Defensive
2017-18,Boise St.,13,13,258,3308,19.85,12.82,24,254.46,Offense
2017-18,Boise St.,0,13,254,2741,19.54,10.79,15,210.85,Defensive
2013-14,Boise St.,13,13,329,3610,25.31,10.97,28,277.69,Offense
2013-14,Boise St.,0,13,294,3240,22.62,11.02,17,249.23,Defensive
2014-15,Boise St.,14,14,310,3926,22.14,12.66,27,280.43,Offense
2014-15,Boise St.,0,14,280,3260,20.00,11.64,18,232.86,Defensive
2015-16,Boise St.,13,13,334,4032,25.69,12.07,24,310.15,Offense
2015-16,Boise St.,0,13,220,2731,16.92,12.41,14,210.08,Defensive
2016-17,Boise St.,13,13,253,3878,19.46,15.33,28,298.31,Offense
2016-17,Boise St.,0,13,268,2769,268.00,140.29,19,2769.00,Defensive
2017-18,Boise St.,13,13,258,3308,19.85,12.82,24,254.46,Offense
2017-18,Boise St.,0,13,254,2741,19.54,10.79,15,210.85,Defensive
2013-14,Clemson,13,13,341,4330,26.23,12.70,39,333.08,Offense
2013-14,Clemson,0,13,202,2613,15.54,12.94,14,201.00,Defensive
2014-15,Clemson,13,13,292,3404,22.46,11.66,23,261.85,Offense
2014-15,Clemson,0,13,194,2046,14.92,10.55,12,157.38,Defensive
2015-16,Clemson,15,15,356,4373,23.73,12.28,35,291.53,Offense
2015-16,Clemson,0,15,212,2816,14.13,13.28,19,187.73,Defensive
2016-17,Clemson,15,15,422,5009,28.13,11.87,45,333.93,Offense
2016-17,Clemson,0,15,252,2728,16.80,10.83,13,181.87,Defensive
2017-18,Clemson,13,13,291,3173,22.38,10.90,17,244.08,Offense
2017-18,Clemson,0,13,192,2146,14.77,11.18,14,165.08,Defensive
