Year,Team,GP,G,PuntRet,PuntRetTDs,PuntRetYds,OffenseDefense
2016-17,Army West Point,0,13,4,nan,32,Defensive
2017-18,Army West Point,12,12,12,1,109,Offense
2017-18,Army West Point,0,12,7,nan,61,Defensive
2013-14,Army West Point,12,12,14,nan,47,Offense
2013-14,Army West Point,0,12,16,nan,108,Defensive
2014-15,Army West Point,12,12,16,2,65,Offense
2014-15,Army West Point,0,12,5,nan,15,Defensive
2015-16,Army West Point,12,12,22,1,135,Offense
2015-16,Army West Point,0,12,14,nan,76,Defensive
2016-17,Army West Point,13,13,21,nan,146,Offense
2016-17,Army West Point,0,13,4,nan,32,Defensive
2017-18,Army West Point,12,12,12,1,109,Offense
2017-18,Army West Point,0,12,7,nan,61,Defensive
2013-14,Arkansas St.,13,13,21,1,184,Offense
2013-14,Arkansas St.,0,13,17,nan,122,Defensive
2014-15,Arkansas St.,13,13,35,1,250,Offense
2014-15,Arkansas St.,0,13,10,nan,31,Defensive
2015-16,Arkansas St.,13,13,36,1,413,Offense
2015-16,Arkansas St.,0,13,10,nan,47,Defensive
2016-17,Arkansas St.,13,13,37,2,275,Offense
2016-17,Arkansas St.,0,13,21,1,140,Defensive
2017-18,Arkansas St.,11,11,25,1,336,Offense
2017-18,Arkansas St.,0,11,4,nan,8,Defensive
2013-14,Arkansas St.,13,13,21,1,184,Offense
2013-14,Arkansas St.,0,13,17,nan,122,Defensive
2014-15,Arkansas St.,13,13,35,1,250,Offense
2014-15,Arkansas St.,0,13,10,nan,31,Defensive
2015-16,Arkansas St.,13,13,36,1,413,Offense
2015-16,Arkansas St.,0,13,10,nan,47,Defensive
2016-17,Arkansas St.,13,13,37,2,275,Offense
2016-17,Arkansas St.,0,13,21,1,140,Defensive
2017-18,Arkansas St.,11,11,25,1,336,Offense
2017-18,Arkansas St.,0,11,4,nan,8,Defensive
2013-14,Arkansas,12,12,9,nan,67,Offense
2013-14,Arkansas,0,12,19,1,250,Defensive
2014-15,Arkansas,13,13,22,nan,206,Offense
2014-15,Arkansas,0,13,16,nan,49,Defensive
2015-16,Arkansas,13,13,14,nan,186,Offense
2015-16,Arkansas,0,13,18,nan,125,Defensive
2016-17,Arkansas,13,13,17,nan,143,Offense
2016-17,Arkansas,0,13,18,nan,101,Defensive
2017-18,Arkansas,12,12,4,nan,51,Offense
2017-18,Arkansas,0,12,11,nan,40,Defensive
2013-14,Arkansas,12,12,9,nan,67,Offense
2013-14,Arkansas,0,12,19,1,250,Defensive
2014-15,Arkansas,13,13,22,nan,206,Offense
2014-15,Arkansas,0,13,16,nan,49,Defensive
2015-16,Arkansas,13,13,14,nan,186,Offense
2015-16,Arkansas,0,13,18,nan,125,Defensive
2016-17,Arkansas,13,13,17,nan,143,Offense
