Year,Team,GP,G,RZScores,RZPts,RZRushTD,RZPassTD,RZFGMade,RZEndFGA,RZEndFumble,RZEndINT,RZEndDowns,RZEndHalf,RZEndGame,OffenseDefense
2013-14,Air Force,12,12,35,219,26,3,6,nan,1,nan,1,nan,nan,Offense
2013-14,Air Force,0,12,50,339,35,13,2,2,2,nan,3,nan,nan,Defensive
2014-15,Air Force,13,13,54,317,32,7,15,2,1,nan,1,2,nan,Offense
2014-15,Air Force,0,13,34,189,11,11,12,1,nan,3,4,nan,nan,Defensive
2015-16,Air Force,14,14,46,294,36,3,7,1,2,1,5,nan,nan,Offense
2015-16,Air Force,0,14,31,171,12,8,11,3,2,nan,1,1,nan,Defensive
2016-17,Air Force,13,13,53,302,33,3,17,3,1,1,1,1,nan,Offense
2016-17,Air Force,0,13,35,213,17,10,8,1,1,5,1,nan,nan,Defensive
2017-18,Air Force,12,12,42,268,34,2,6,1,1,nan,4,nan,nan,Offense
2017-18,Air Force,0,12,38,215,19,6,13,2,1,2,nan,nan,nan,Defensive
2013-14,Air Force,12,12,35,219,26,3,6,nan,1,nan,1,nan,nan,Offense
2013-14,Air Force,0,12,50,339,35,13,2,2,2,nan,3,nan,nan,Defensive
2014-15,Air Force,13,13,54,317,32,7,15,2,1,nan,1,2,nan,Offense
2014-15,Air Force,0,13,34,189,11,11,12,1,nan,3,4,nan,nan,Defensive
2015-16,Air Force,14,14,46,294,36,3,7,1,2,1,5,nan,nan,Offense
2015-16,Air Force,0,14,31,171,12,8,11,3,2,nan,1,1,nan,Defensive
2016-17,Air Force,13,13,53,302,33,3,17,3,1,1,1,1,nan,Offense
2016-17,Air Force,0,13,35,213,17,10,8,1,1,5,1,nan,nan,Defensive
2017-18,Air Force,12,12,42,268,34,2,6,1,1,nan,4,nan,nan,Offense
2017-18,Air Force,0,12,38,215,19,6,13,2,1,2,nan,nan,nan,Defensive
2013-14,Air Force,12,12,35,219,26,3,6,nan,1,nan,1,nan,nan,Offense
2013-14,Air Force,0,12,50,339,35,13,2,2,2,nan,3,nan,nan,Defensive
2014-15,Air Force,13,13,54,317,32,7,15,2,1,nan,1,2,nan,Offense
2014-15,Air Force,0,13,34,189,11,11,12,1,nan,3,4,nan,nan,Defensive
2015-16,Air Force,14,14,46,294,36,3,7,1,2,1,5,nan,nan,Offense
2015-16,Air Force,0,14,31,171,12,8,11,3,2,nan,1,1,nan,Defensive
2016-17,Air Force,13,13,53,302,33,3,17,3,1,1,1,1,nan,Offense
2016-17,Air Force,0,13,35,213,17,10,8,1,1,5,1,nan,nan,Defensive
2017-18,Air Force,12,12,42,268,34,2,6,1,1,nan,4,nan,nan,Offense
2017-18,Air Force,0,12,38,215,19,6,13,2,1,2,nan,nan,nan,Defensive
2011-12,Auburn,1,1,2,6,nan,nan,2,nan,nan,nan,1,nan,nan,Offense
2011-12,Auburn,0,1,3,19,nan,2,1,nan,nan,1,1,nan,nan,Defensive
2013-14,Auburn,14,14,54,338,37,7,10,2,1,nan,3,1,nan,Offense
2013-14,Auburn,0,14,38,217,17,9,12,3,1,3,6,1,nan,Defensive
2014-15,Auburn,13,13,51,306,25,13,13,1,1,3,2,nan,nan,Offense
2014-15,Auburn,0,13,40,240,19,11,10,5,2,4,3,nan,nan,Defensive
2015-16,Auburn,13,13,46,267,25,7,14,2,2,1,nan,nan,nan,Offense
2015-16,Auburn,0,13,40,229,20,7,13,3,1,4,5,nan,nan,Defensive
2016-17,Auburn,13,13,47,263,25,6,16,1,1,2,3,1,nan,Offense
2016-17,Auburn,0,13,32,166,7,11,14,4,nan,2,4,1,nan,Defensive
2017-18,Auburn,13,13,49,290,27,9,13,2,4,nan,1,nan,nan,Offense
2017-18,Auburn,0,13,26,146,7,10,9,nan,nan,nan,5,nan,nan,Defensive
2013-14,Army West Point,12,12,36,228,27,3,6,1,1,nan,2,1,nan,Offense
2013-14,Army West Point,0,12,44,267,22,12,10,1,1,3,2,nan,nan,Defensive
2014-15,Army West Point,12,12,28,186,24,2,2,2,1,nan,3,3,nan,Offense
2014-15,Army West Point,0,12,50,306,17,22,11,2,1,1,nan,2,nan,Defensive
2015-16,Army West Point,12,12,24,154,15,5,4,1,1,2,2,1,nan,Offense
2015-16,Army West Point,0,12,40,228,21,6,13,1,1,nan,1,nan,nan,Defensive
2016-17,Army West Point,13,13,42,272,35,3,4,4,nan,4,1,nan,nan,Offense
2016-17,Army West Point,0,13,29,164,12,8,9,1,nan,3,nan,nan,nan,Defensive
2017-18,Army West Point,12,12,40,271,37,1,2,3,nan,1,nan,2,nan,Offense
2017-18,Army West Point,0,12,23,138,10,8,5,3,1,1,2,2,nan,Defensive
2013-14,Army West Point,12,12,36,228,27,3,6,1,1,nan,2,1,nan,Offense
2013-14,Army West Point,0,12,44,267,22,12,10,1,1,3,2,nan,nan,Defensive
2014-15,Army West Point,12,12,28,186,24,2,2,2,1,nan,3,3,nan,Offense
2014-15,Army West Point,0,12,50,306,17,22,11,2,1,1,nan,2,nan,Defensive
2015-16,Army West Point,12,12,24,154,15,5,4,1,1,2,2,1,nan,Offense
2015-16,Army West Point,0,12,40,228,21,6,13,1,1,nan,1,nan,nan,Defensive
2016-17,Army West Point,13,13,42,272,35,3,4,4,nan,4,1,nan,nan,Offense
2016-17,Army West Point,0,13,29,164,12,8,9,1,nan,3,nan,nan,nan,Defensive
2017-18,Army West Point,12,12,40,271,37,1,2,3,nan,1,nan,2,nan,Offense
2017-18,Army West Point,0,12,23,138,10,8,5,3,1,1,2,2,nan,Defensive
2013-14,Army West Point,12,12,36,228,27,3,6,1,1,nan,2,1,nan,Offense
2013-14,Army West Point,0,12,44,267,22,12,10,1,1,3,2,nan,nan,Defensive
2014-15,Army West Point,12,12,28,186,24,2,2,2,1,nan,3,3,nan,Offense
2014-15,Army West Point,0,12,50,306,17,22,11,2,1,1,nan,2,nan,Defensive
