Year,Team,GP,G,FGM,FGA,FGBlocksAllowed,FGM1-19,FGA1-19,FGM20-29,FGA20-29,FGM30-39,FGA30-39,FGM40-49,FGA40-49,FGM50-59,FGA50-59,FGM60+,FGA60+,LongFGM,OffenseDefense
2016-17,Fresno St.,12,12,15,17,1,nan,nan,7,7,2,3,6,7,nan,nan,nan,nan,nan,Offense
2016-17,Fresno St.,0,12,12,16,nan,nan,nan,6,8,3,3,3,5,nan,nan,nan,nan,nan,Defensive
2017-18,Fresno St.,13,13,21,26,nan,nan,nan,8,8,7,8,5,8,1,2,nan,nan,nan,Offense
2017-18,Fresno St.,0,13,12,17,2,nan,nan,7,7,3,5,1,4,1,1,nan,nan,nan,Defensive
2013-14,Florida St.,14,14,21,22,nan,nan,nan,10,10,2,2,8,9,1,1,nan,nan,nan,Offense
2013-14,Florida St.,0,14,8,13,nan,nan,nan,5,5,3,4,0,3,0,1,nan,nan,nan,Defensive
2014-15,Florida St.,14,14,27,30,nan,nan,nan,9,9,9,9,6,8,3,4,nan,nan,nan,Offense
2014-15,Florida St.,0,14,18,25,nan,nan,nan,3,5,9,9,5,9,1,2,nan,nan,nan,Defensive
2015-16,Florida St.,13,13,21,26,1,1,1,9,9,6,6,4,7,1,3,nan,nan,nan,Offense
2015-16,Florida St.,0,13,15,17,1,nan,nan,6,6,7,8,1,1,1,2,nan,nan,nan,Defensive
2016-17,Florida St.,13,13,20,28,2,nan,nan,5,5,7,7,7,13,1,3,nan,nan,nan,Offense
2016-17,Florida St.,0,13,15,20,nan,1,1,4,4,6,7,2,5,2,3,nan,nan,nan,Defensive
2017-18,Florida St.,12,12,15,18,1,nan,nan,4,4,9,11,1,2,1,1,nan,nan,nan,Offense
2017-18,Florida St.,0,12,14,21,3,nan,nan,5,5,7,7,2,9,nan,nan,nan,nan,nan,Defensive
2013-14,Florida St.,14,14,21,22,nan,nan,nan,10,10,2,2,8,9,1,1,nan,nan,nan,Offense
2013-14,Florida St.,0,14,8,13,nan,nan,nan,5,5,3,4,0,3,0,1,nan,nan,nan,Defensive
2014-15,Florida St.,14,14,27,30,nan,nan,nan,9,9,9,9,6,8,3,4,nan,nan,nan,Offense
2014-15,Florida St.,0,14,18,25,nan,nan,nan,3,5,9,9,5,9,1,2,nan,nan,nan,Defensive
2015-16,Florida St.,13,13,21,26,1,1,1,9,9,6,6,4,7,1,3,nan,nan,nan,Offense
2015-16,Florida St.,0,13,15,17,1,nan,nan,6,6,7,8,1,1,1,2,nan,nan,nan,Defensive
2016-17,Florida St.,13,13,20,28,2,nan,nan,5,5,7,7,7,13,1,3,nan,nan,nan,Offense
2016-17,Florida St.,0,13,15,20,nan,1,1,4,4,6,7,2,5,2,3,nan,nan,nan,Defensive
2017-18,Florida St.,12,12,15,18,1,nan,nan,4,4,9,11,1,2,1,1,nan,nan,nan,Offense
2017-18,Florida St.,0,12,14,21,3,nan,nan,5,5,7,7,2,9,nan,nan,nan,nan,nan,Defensive
2013-14,Florida St.,14,14,21,22,nan,nan,nan,10,10,2,2,8,9,1,1,nan,nan,nan,Offense
2013-14,Florida St.,0,14,8,13,nan,nan,nan,5,5,3,4,0,3,0,1,nan,nan,nan,Defensive
2014-15,Florida St.,14,14,27,30,nan,nan,nan,9,9,9,9,6,8,3,4,nan,nan,nan,Offense
2014-15,Florida St.,0,14,18,25,nan,nan,nan,3,5,9,9,5,9,1,2,nan,nan,nan,Defensive
2015-16,Florida St.,13,13,21,26,1,1,1,9,9,6,6,4,7,1,3,nan,nan,nan,Offense
2015-16,Florida St.,0,13,15,17,1,nan,nan,6,6,7,8,1,1,1,2,nan,nan,nan,Defensive
2016-17,Florida St.,13,13,20,28,2,nan,nan,5,5,7,7,7,13,1,3,nan,nan,nan,Offense
2016-17,Florida St.,0,13,15,20,nan,1,1,4,4,6,7,2,5,2,3,nan,nan,nan,Defensive
2017-18,Florida St.,12,12,15,18,1,nan,nan,4,4,9,11,1,2,1,1,nan,nan,nan,Offense
2017-18,Florida St.,0,12,14,21,3,nan,nan,5,5,7,7,2,9,nan,nan,nan,nan,nan,Defensive
2013-14,Florida St.,14,14,21,22,nan,nan,nan,10,10,2,2,8,9,1,1,nan,nan,nan,Offense
2013-14,Florida St.,0,14,8,13,nan,nan,nan,5,5,3,4,0,3,0,1,nan,nan,nan,Defensive
2014-15,Florida St.,14,14,27,30,nan,nan,nan,9,9,9,9,6,8,3,4,nan,nan,nan,Offense
2014-15,Florida St.,0,14,18,25,nan,nan,nan,3,5,9,9,5,9,1,2,nan,nan,nan,Defensive
2015-16,Florida St.,13,13,21,26,1,1,1,9,9,6,6,4,7,1,3,nan,nan,nan,Offense
2015-16,Florida St.,0,13,15,17,1,nan,nan,6,6,7,8,1,1,1,2,nan,nan,nan,Defensive
2016-17,Florida St.,13,13,20,28,2,nan,nan,5,5,7,7,7,13,1,3,nan,nan,nan,Offense
2016-17,Florida St.,0,13,15,20,nan,1,1,4,4,6,7,2,5,2,3,nan,nan,nan,Defensive
2017-18,Florida St.,12,12,15,18,1,nan,nan,4,4,9,11,1,2,1,1,nan,nan,nan,Offense
2017-18,Florida St.,0,12,14,21,3,nan,nan,5,5,7,7,2,9,nan,nan,nan,nan,nan,Defensive
2013-14,Florida,12,12,12,22,2,nan,nan,8,8,3,6,1,7,0,1,nan,nan,nan,Offense
2013-14,Florida,0,12,22,23,nan,1,1,6,6,7,8,8,8,nan,nan,nan,nan,nan,Defensive
2014-15,Florida,12,12,19,24,1,1,1,5,5,8,10,4,5,1,3,nan,nan,nan,Offense
2014-15,Florida,0,12,15,20,nan,nan,nan,4,4,7,8,1,5,3,3,nan,nan,nan,Defensive
2015-16,Florida,14,14,7,17,3,nan,nan,1,1,5,12,1,3,0,1,nan,nan,nan,Offense
2015-16,Florida,0,14,15,20,nan,nan,nan,8,10,4,4,2,3,1,3,nan,nan,nan,Defensive
2016-17,Florida,13,13,21,25,nan,nan,nan,5,5,5,7,8,10,3,3,nan,nan,nan,Offense
2016-17,Florida,0,13,10,15,1,nan,nan,6,6,4,6,0,3,nan,nan,nan,nan,nan,Defensive
2017-18,Florida,11,11,17,18,nan,nan,nan,7,7,4,4,4,5,2,2,nan,nan,nan,Offense
2017-18,Florida,0,11,16,24,nan,nan,nan,4,4,3,4,5,9,4,7,nan,nan,nan,Defensive
