Year,Team,GP,SackUA,G,SackA,SackYds,Sacks,OffenseDefense
2017-18,Air Force,12,nan,12,nan,86,nan,Offense
2017-18,Air Force,0,nan,12,nan,149,nan,Defensive
2011-12,Auburn,1,nan,1,nan,9,nan,Offense
2011-12,Auburn,0,nan,1,nan,13,nan,Defensive
2013-14,Auburn,14,nan,14,nan,223,nan,Offense
2013-14,Auburn,0,nan,14,nan,121,nan,Defensive
2014-15,Auburn,13,nan,13,nan,136,nan,Offense
2014-15,Auburn,0,nan,13,nan,92,nan,Defensive
2015-16,Auburn,13,nan,13,nan,136,nan,Offense
2015-16,Auburn,0,nan,13,nan,141,nan,Defensive
2016-17,Auburn,13,nan,13,nan,161,nan,Offense
2016-17,Auburn,0,nan,13,nan,137,nan,Defensive
2017-18,Auburn,13,nan,13,nan,230,nan,Offense
2017-18,Auburn,0,nan,13,nan,176,nan,Defensive
2013-14,Army West Point,12,nan,12,nan,101,nan,Offense
2013-14,Army West Point,0,nan,12,nan,69,nan,Defensive
2014-15,Army West Point,12,nan,12,nan,63,nan,Offense
2014-15,Army West Point,0,nan,12,nan,88,nan,Defensive
2015-16,Army West Point,12,nan,12,nan,73,nan,Offense
2015-16,Army West Point,0,nan,12,nan,107,nan,Defensive
2016-17,Army West Point,13,nan,13,nan,171,nan,Offense
2016-17,Army West Point,0,nan,13,nan,68,nan,Defensive
2017-18,Army West Point,12,nan,12,nan,191,nan,Offense
2017-18,Army West Point,0,nan,12,nan,5,nan,Defensive
2013-14,Army West Point,12,nan,12,nan,101,nan,Offense
2013-14,Army West Point,0,nan,12,nan,69,nan,Defensive
2014-15,Army West Point,12,nan,12,nan,63,nan,Offense
2014-15,Army West Point,0,nan,12,nan,88,nan,Defensive
2015-16,Army West Point,12,nan,12,nan,73,nan,Offense
2015-16,Army West Point,0,nan,12,nan,107,nan,Defensive
2016-17,Army West Point,13,nan,13,nan,171,nan,Offense
2016-17,Army West Point,0,nan,13,nan,68,nan,Defensive
2017-18,Army West Point,12,nan,12,nan,191,nan,Offense
2017-18,Army West Point,0,nan,12,nan,5,nan,Defensive
2013-14,Army West Point,12,nan,12,nan,101,nan,Offense
2013-14,Army West Point,0,nan,12,nan,69,nan,Defensive
2014-15,Army West Point,12,nan,12,nan,63,nan,Offense
2014-15,Army West Point,0,nan,12,nan,88,nan,Defensive
