Year,Team,GP,G,OffenseDefense
2015-16,Boston College,12,12,Offense
2015-16,Boston College,0,12,Defensive
2016-17,Boston College,13,13,Offense
2016-17,Boston College,0,13,Defensive
2017-18,Boston College,12,12,Offense
2017-18,Boston College,0,12,Defensive
2013-14,Boston College,13,13,Offense
2013-14,Boston College,0,13,Defensive
2014-15,Boston College,13,13,Offense
2014-15,Boston College,0,13,Defensive
2015-16,Boston College,12,12,Offense
2015-16,Boston College,0,12,Defensive
2016-17,Boston College,13,13,Offense
2016-17,Boston College,0,13,Defensive
2017-18,Boston College,12,12,Offense
2017-18,Boston College,0,12,Defensive
2013-14,Bowling Green,14,14,Offense
2013-14,Bowling Green,0,14,Defensive
2014-15,Bowling Green,14,14,Offense
2014-15,Bowling Green,0,14,Defensive
2015-16,Bowling Green,14,14,Offense
2015-16,Bowling Green,0,14,Defensive
2016-17,Bowling Green,12,12,Offense
2016-17,Bowling Green,0,12,Defensive
2017-18,Bowling Green,12,12,Offense
2017-18,Bowling Green,0,12,Defensive
2013-14,Bowling Green,14,14,Offense
2013-14,Bowling Green,0,14,Defensive
2014-15,Bowling Green,14,14,Offense
2014-15,Bowling Green,0,14,Defensive
2015-16,Bowling Green,14,14,Offense
2015-16,Bowling Green,0,14,Defensive
2016-17,Bowling Green,12,12,Offense
2016-17,Bowling Green,0,12,Defensive
2017-18,Bowling Green,12,12,Offense
2017-18,Bowling Green,0,12,Defensive
2013-14,Bowling Green,14,14,Offense
2013-14,Bowling Green,0,14,Defensive
2014-15,Bowling Green,14,14,Offense
2014-15,Bowling Green,0,14,Defensive
2015-16,Bowling Green,14,14,Offense
2015-16,Bowling Green,0,14,Defensive
2016-17,Bowling Green,12,12,Offense
2016-17,Bowling Green,0,12,Defensive
2017-18,Bowling Green,12,12,Offense
2017-18,Bowling Green,0,12,Defensive
2013-14,Bowling Green,14,14,Offense
2013-14,Bowling Green,0,14,Defensive
2014-15,Bowling Green,14,14,Offense
2014-15,Bowling Green,0,14,Defensive
2015-16,Bowling Green,14,14,Offense
2015-16,Bowling Green,0,14,Defensive
2016-17,Bowling Green,12,12,Offense
2016-17,Bowling Green,0,12,Defensive
2017-18,Bowling Green,12,12,Offense
2017-18,Bowling Green,0,12,Defensive
2013-14,Buffalo,13,13,Offense
2013-14,Buffalo,0,13,Defensive
2014-15,Buffalo,11,11,Offense
2014-15,Buffalo,0,11,Defensive
2015-16,Buffalo,12,12,Offense
2015-16,Buffalo,0,12,Defensive
2016-17,Buffalo,12,12,Offense
2016-17,Buffalo,0,12,Defensive
2017-18,Buffalo,12,12,Offense
2017-18,Buffalo,0,12,Defensive
2013-14,Buffalo,13,13,Offense
2013-14,Buffalo,0,13,Defensive
2014-15,Buffalo,11,11,Offense
2014-15,Buffalo,0,11,Defensive
2015-16,Buffalo,12,12,Offense
2015-16,Buffalo,0,12,Defensive
2016-17,Buffalo,12,12,Offense
2016-17,Buffalo,0,12,Defensive
2017-18,Buffalo,12,12,Offense
2017-18,Buffalo,0,12,Defensive
2013-14,Buffalo,13,13,Offense
2013-14,Buffalo,0,13,Defensive
2014-15,Buffalo,11,11,Offense
2014-15,Buffalo,0,11,Defensive
2015-16,Buffalo,12,12,Offense
2015-16,Buffalo,0,12,Defensive
2016-17,Buffalo,12,12,Offense
2016-17,Buffalo,0,12,Defensive
2017-18,Buffalo,12,12,Offense
2017-18,Buffalo,0,12,Defensive
2013-14,Buffalo,13,13,Offense
2013-14,Buffalo,0,13,Defensive
2014-15,Buffalo,11,11,Offense
2014-15,Buffalo,0,11,Defensive
2015-16,Buffalo,12,12,Offense
2015-16,Buffalo,0,12,Defensive
2016-17,Buffalo,12,12,Offense
2016-17,Buffalo,0,12,Defensive
2017-18,Buffalo,12,12,Offense
2017-18,Buffalo,0,12,Defensive
2013-14,California,12,12,Offense
2013-14,California,0,12,Defensive
2014-15,California,12,12,Offense
2014-15,California,0,12,Defensive
2015-16,California,13,13,Offense
2015-16,California,0,13,Defensive
2016-17,California,12,12,Offense
2016-17,California,0,12,Defensive
2017-18,California,12,12,Offense
2017-18,California,0,12,Defensive
2013-14,California,12,12,Offense
2013-14,California,0,12,Defensive
2014-15,California,12,12,Offense
2014-15,California,0,12,Defensive
2015-16,California,13,13,Offense
2015-16,California,0,13,Defensive
2016-17,California,12,12,Offense
2016-17,California,0,12,Defensive
2017-18,California,12,12,Offense
2017-18,California,0,12,Defensive
2013-14,Central Mich.,12,12,Offense
2013-14,Central Mich.,0,12,Defensive
2014-15,Central Mich.,13,13,Offense
2014-15,Central Mich.,0,13,Defensive
2015-16,Central Mich.,13,13,Offense
2015-16,Central Mich.,0,13,Defensive
2016-17,Central Mich.,13,13,Offense
2016-17,Central Mich.,0,13,Defensive
2017-18,Central Mich.,12,12,Offense
2017-18,Central Mich.,0,12,Defensive
2013-14,Charlotte,11,11,Offense
2013-14,Charlotte,0,11,Defensive
2014-15,Charlotte,11,11,Offense
2014-15,Charlotte,0,11,Defensive
2015-16,Charlotte,12,12,Offense
2015-16,Charlotte,0,12,Defensive
2016-17,Charlotte,12,12,Offense
2016-17,Charlotte,0,12,Defensive
2017-18,Charlotte,12,12,Offense
2017-18,Charlotte,0,12,Defensive
2013-14,Charlotte,11,11,Offense
2013-14,Charlotte,0,11,Defensive
2014-15,Charlotte,11,11,Offense
2014-15,Charlotte,0,11,Defensive
2015-16,Charlotte,12,12,Offense
2015-16,Charlotte,0,12,Defensive
2016-17,Charlotte,12,12,Offense
2016-17,Charlotte,0,12,Defensive
2017-18,Charlotte,12,12,Offense
2017-18,Charlotte,0,12,Defensive
2013-14,Charlotte,11,11,Offense
2013-14,Charlotte,0,11,Defensive
2014-15,Charlotte,11,11,Offense
2014-15,Charlotte,0,11,Defensive
2015-16,Charlotte,12,12,Offense
2015-16,Charlotte,0,12,Defensive
2016-17,Charlotte,12,12,Offense
2016-17,Charlotte,0,12,Defensive
2017-18,Charlotte,12,12,Offense
2017-18,Charlotte,0,12,Defensive
2013-14,Cincinnati,13,13,Offense
2013-14,Cincinnati,0,13,Defensive
2014-15,Cincinnati,13,13,Offense
2014-15,Cincinnati,0,13,Defensive
2015-16,Cincinnati,13,13,Offense
2015-16,Cincinnati,0,13,Defensive
2016-17,Cincinnati,12,12,Offense
2016-17,Cincinnati,0,12,Defensive
2017-18,Cincinnati,12,12,Offense
2017-18,Cincinnati,0,12,Defensive
2013-14,Cincinnati,13,13,Offense
