Year,Team,GP,G,OffenseDefense
2017-18,Idaho,0,12,Defensive
2013-14,Idaho,12,12,Offense
2013-14,Idaho,0,12,Defensive
2014-15,Idaho,11,11,Offense
2014-15,Idaho,0,11,Defensive
2015-16,Idaho,12,12,Offense
2015-16,Idaho,0,12,Defensive
2016-17,Idaho,13,13,Offense
2016-17,Idaho,0,13,Defensive
2017-18,Idaho,12,12,Offense
2017-18,Idaho,0,12,Defensive
2013-14,Idaho,12,12,Offense
2013-14,Idaho,0,12,Defensive
2014-15,Idaho,11,11,Offense
2014-15,Idaho,0,11,Defensive
2015-16,Idaho,12,12,Offense
2015-16,Idaho,0,12,Defensive
2016-17,Idaho,13,13,Offense
2016-17,Idaho,0,13,Defensive
2017-18,Idaho,12,12,Offense
2017-18,Idaho,0,12,Defensive
2013-14,Illinois,12,12,Offense
2013-14,Illinois,0,12,Defensive
2014-15,Illinois,13,13,Offense
2014-15,Illinois,0,13,Defensive
2015-16,Illinois,12,12,Offense
2015-16,Illinois,0,12,Defensive
2016-17,Illinois,12,12,Offense
2016-17,Illinois,0,12,Defensive
2017-18,Illinois,12,12,Offense
2017-18,Illinois,0,12,Defensive
2013-14,Illinois,12,12,Offense
2013-14,Illinois,0,12,Defensive
2014-15,Illinois,13,13,Offense
2014-15,Illinois,0,13,Defensive
2015-16,Illinois,12,12,Offense
2015-16,Illinois,0,12,Defensive
2016-17,Illinois,12,12,Offense
2016-17,Illinois,0,12,Defensive
2017-18,Illinois,12,12,Offense
2017-18,Illinois,0,12,Defensive
2013-14,Illinois,12,12,Offense
2013-14,Illinois,0,12,Defensive
2014-15,Illinois,13,13,Offense
2014-15,Illinois,0,13,Defensive
2015-16,Illinois,12,12,Offense
2015-16,Illinois,0,12,Defensive
2016-17,Illinois,12,12,Offense
2016-17,Illinois,0,12,Defensive
2017-18,Illinois,12,12,Offense
2017-18,Illinois,0,12,Defensive
2013-14,Illinois,12,12,Offense
2013-14,Illinois,0,12,Defensive
2014-15,Illinois,13,13,Offense
2014-15,Illinois,0,13,Defensive
2015-16,Illinois,12,12,Offense
2015-16,Illinois,0,12,Defensive
2016-17,Illinois,12,12,Offense
2016-17,Illinois,0,12,Defensive
2017-18,Illinois,12,12,Offense
2017-18,Illinois,0,12,Defensive
2013-14,Indiana,12,12,Offense
2013-14,Indiana,0,12,Defensive
2014-15,Indiana,12,12,Offense
2014-15,Indiana,0,12,Defensive
2015-16,Indiana,13,13,Offense
2015-16,Indiana,0,13,Defensive
2016-17,Indiana,13,13,Offense
2016-17,Indiana,0,13,Defensive
2017-18,Indiana,12,12,Offense
2017-18,Indiana,0,12,Defensive
2013-14,Indiana,12,12,Offense
2013-14,Indiana,0,12,Defensive
2014-15,Indiana,12,12,Offense
2014-15,Indiana,0,12,Defensive
2015-16,Indiana,13,13,Offense
2015-16,Indiana,0,13,Defensive
2016-17,Indiana,13,13,Offense
2016-17,Indiana,0,13,Defensive
2017-18,Indiana,12,12,Offense
2017-18,Indiana,0,12,Defensive
2013-14,Indiana,12,12,Offense
2013-14,Indiana,0,12,Defensive
2014-15,Indiana,12,12,Offense
2014-15,Indiana,0,12,Defensive
2015-16,Indiana,13,13,Offense
2015-16,Indiana,0,13,Defensive
2016-17,Indiana,13,13,Offense
2016-17,Indiana,0,13,Defensive
2017-18,Indiana,12,12,Offense
2017-18,Indiana,0,12,Defensive
2013-14,Indiana,12,12,Offense
2013-14,Indiana,0,12,Defensive
2014-15,Indiana,12,12,Offense
2014-15,Indiana,0,12,Defensive
2015-16,Indiana,13,13,Offense
2015-16,Indiana,0,13,Defensive
2016-17,Indiana,13,13,Offense
2016-17,Indiana,0,13,Defensive
2017-18,Indiana,12,12,Offense
2017-18,Indiana,0,12,Defensive
2013-14,Iowa,13,13,Offense
2013-14,Iowa,0,13,Defensive
2014-15,Iowa,13,13,Offense
2014-15,Iowa,0,13,Defensive
2015-16,Iowa,14,14,Offense
2015-16,Iowa,0,14,Defensive
2016-17,Iowa,13,13,Offense
2016-17,Iowa,0,13,Defensive
2017-18,Iowa,12,12,Offense
2017-18,Iowa,0,12,Defensive
2013-14,Iowa,13,13,Offense
2013-14,Iowa,0,13,Defensive
2014-15,Iowa,13,13,Offense
2014-15,Iowa,0,13,Defensive
2015-16,Iowa,14,14,Offense
2015-16,Iowa,0,14,Defensive
2016-17,Iowa,13,13,Offense
2016-17,Iowa,0,13,Defensive
2017-18,Iowa,12,12,Offense
2017-18,Iowa,0,12,Defensive
2013-14,Iowa,13,13,Offense
2013-14,Iowa,0,13,Defensive
2014-15,Iowa,13,13,Offense
2014-15,Iowa,0,13,Defensive
2015-16,Iowa,14,14,Offense
2015-16,Iowa,0,14,Defensive
2016-17,Iowa,13,13,Offense
2016-17,Iowa,0,13,Defensive
2017-18,Iowa,12,12,Offense
2017-18,Iowa,0,12,Defensive
2013-14,Iowa,13,13,Offense
2013-14,Iowa,0,13,Defensive
2014-15,Iowa,13,13,Offense
2014-15,Iowa,0,13,Defensive
2015-16,Iowa,14,14,Offense
2015-16,Iowa,0,14,Defensive
2016-17,Iowa,13,13,Offense
2016-17,Iowa,0,13,Defensive
2017-18,Iowa,12,12,Offense
2017-18,Iowa,0,12,Defensive
2013-14,Iowa St.,12,12,Offense
2013-14,Iowa St.,0,12,Defensive
2014-15,Iowa St.,12,12,Offense
2014-15,Iowa St.,0,12,Defensive
2015-16,Iowa St.,12,12,Offense
2015-16,Iowa St.,0,12,Defensive
2016-17,Iowa St.,12,12,Offense
2016-17,Iowa St.,0,12,Defensive
2017-18,Iowa St.,12,12,Offense
2017-18,Iowa St.,0,12,Defensive
2013-14,Iowa St.,12,12,Offense
2013-14,Iowa St.,0,12,Defensive
2014-15,Iowa St.,12,12,Offense
2014-15,Iowa St.,0,12,Defensive
2015-16,Iowa St.,12,12,Offense
2015-16,Iowa St.,0,12,Defensive
2016-17,Iowa St.,12,12,Offense
2016-17,Iowa St.,0,12,Defensive
2017-18,Iowa St.,12,12,Offense
2017-18,Iowa St.,0,12,Defensive
2013-14,Iowa St.,12,12,Offense
2013-14,Iowa St.,0,12,Defensive
2014-15,Iowa St.,12,12,Offense
2014-15,Iowa St.,0,12,Defensive
2015-16,Iowa St.,12,12,Offense
2015-16,Iowa St.,0,12,Defensive
2016-17,Iowa St.,12,12,Offense
2016-17,Iowa St.,0,12,Defensive
2017-18,Iowa St.,12,12,Offense
2017-18,Iowa St.,0,12,Defensive
2013-14,Iowa St.,12,12,Offense
2013-14,Iowa St.,0,12,Defensive
2014-15,Iowa St.,12,12,Offense
2014-15,Iowa St.,0,12,Defensive
2015-16,Iowa St.,12,12,Offense
2015-16,Iowa St.,0,12,Defensive
2016-17,Iowa St.,12,12,Offense
2016-17,Iowa St.,0,12,Defensive
2017-18,Iowa St.,12,12,Offense
2017-18,Iowa St.,0,12,Defensive
2013-14,Kansas,12,12,Offense
2013-14,Kansas,0,12,Defensive
2014-15,Kansas,12,12,Offense
2014-15,Kansas,0,12,Defensive
2015-16,Kansas,12,12,Offense
2015-16,Kansas,0,12,Defensive
2016-17,Kansas,12,12,Offense
2016-17,Kansas,0,12,Defensive
2017-18,Kansas,12,12,Offense
2017-18,Kansas,0,12,Defensive
2013-14,Kansas,12,12,Offense
2013-14,Kansas,0,12,Defensive
2014-15,Kansas,12,12,Offense
2014-15,Kansas,0,12,Defensive
2015-16,Kansas,12,12,Offense
2015-16,Kansas,0,12,Defensive
2016-17,Kansas,12,12,Offense
2016-17,Kansas,0,12,Defensive
2017-18,Kansas,12,12,Offense
2017-18,Kansas,0,12,Defensive
2013-14,Kansas,12,12,Offense
2013-14,Kansas,0,12,Defensive
2014-15,Kansas,12,12,Offense
2014-15,Kansas,0,12,Defensive
2015-16,Kansas,12,12,Offense
2015-16,Kansas,0,12,Defensive
2016-17,Kansas,12,12,Offense
2016-17,Kansas,0,12,Defensive
2017-18,Kansas,12,12,Offense
2017-18,Kansas,0,12,Defensive
2013-14,Kansas,12,12,Offense
2013-14,Kansas,0,12,Defensive
2014-15,Kansas,12,12,Offense
2014-15,Kansas,0,12,Defensive
2015-16,Kansas,12,12,Offense
2015-16,Kansas,0,12,Defensive
2016-17,Kansas,12,12,Offense
2016-17,Kansas,0,12,Defensive
2017-18,Kansas,12,12,Offense
2017-18,Kansas,0,12,Defensive
2013-14,Kansas St.,13,13,Offense
2013-14,Kansas St.,0,13,Defensive
2014-15,Kansas St.,13,13,Offense
2014-15,Kansas St.,0,13,Defensive
2015-16,Kansas St.,13,13,Offense
2015-16,Kansas St.,0,13,Defensive
2016-17,Kansas St.,13,13,Offense
2016-17,Kansas St.,0,13,Defensive
2017-18,Kansas St.,12,12,Offense
2017-18,Kansas St.,0,12,Defensive
2013-14,Kansas St.,13,13,Offense
2013-14,Kansas St.,0,13,Defensive
2014-15,Kansas St.,13,13,Offense
2014-15,Kansas St.,0,13,Defensive
2015-16,Kansas St.,13,13,Offense
2015-16,Kansas St.,0,13,Defensive
2016-17,Kansas St.,13,13,Offense
2016-17,Kansas St.,0,13,Defensive
2017-18,Kansas St.,12,12,Offense
2017-18,Kansas St.,0,12,Defensive
2013-14,Kansas St.,13,13,Offense
2013-14,Kansas St.,0,13,Defensive
2014-15,Kansas St.,13,13,Offense
2014-15,Kansas St.,0,13,Defensive
2015-16,Kansas St.,13,13,Offense
2015-16,Kansas St.,0,13,Defensive
2016-17,Kansas St.,13,13,Offense
2016-17,Kansas St.,0,13,Defensive
2017-18,Kansas St.,12,12,Offense
2017-18,Kansas St.,0,12,Defensive
2013-14,Kansas St.,13,13,Offense
2013-14,Kansas St.,0,13,Defensive
2014-15,Kansas St.,13,13,Offense
2014-15,Kansas St.,0,13,Defensive
2015-16,Kansas St.,13,13,Offense
2015-16,Kansas St.,0,13,Defensive
2016-17,Kansas St.,13,13,Offense
2016-17,Kansas St.,0,13,Defensive
2017-18,Kansas St.,12,12,Offense
2017-18,Kansas St.,0,12,Defensive
2013-14,Kent St.,12,12,Offense
2013-14,Kent St.,0,12,Defensive
2014-15,Kent St.,11,11,Offense
2014-15,Kent St.,0,11,Defensive
2015-16,Kent St.,12,12,Offense
2015-16,Kent St.,0,12,Defensive
2016-17,Kent St.,12,12,Offense
2016-17,Kent St.,0,12,Defensive
2017-18,Kent St.,12,12,Offense
2017-18,Kent St.,0,12,Defensive
2013-14,Kent St.,12,12,Offense
2013-14,Kent St.,0,12,Defensive
2014-15,Kent St.,11,11,Offense
2014-15,Kent St.,0,11,Defensive
2015-16,Kent St.,12,12,Offense
2015-16,Kent St.,0,12,Defensive
2016-17,Kent St.,12,12,Offense
2016-17,Kent St.,0,12,Defensive
2017-18,Kent St.,12,12,Offense
2017-18,Kent St.,0,12,Defensive
2013-14,Kent St.,12,12,Offense
2013-14,Kent St.,0,12,Defensive
2014-15,Kent St.,11,11,Offense
2014-15,Kent St.,0,11,Defensive
2015-16,Kent St.,12,12,Offense
2015-16,Kent St.,0,12,Defensive
2016-17,Kent St.,12,12,Offense
2016-17,Kent St.,0,12,Defensive
2017-18,Kent St.,12,12,Offense
2017-18,Kent St.,0,12,Defensive
2013-14,Kent St.,12,12,Offense
2013-14,Kent St.,0,12,Defensive
2014-15,Kent St.,11,11,Offense
2014-15,Kent St.,0,11,Defensive
2015-16,Kent St.,12,12,Offense
2015-16,Kent St.,0,12,Defensive
2016-17,Kent St.,12,12,Offense
2016-17,Kent St.,0,12,Defensive
2017-18,Kent St.,12,12,Offense
2017-18,Kent St.,0,12,Defensive
2013-14,Kentucky,12,12,Offense
2013-14,Kentucky,0,12,Defensive
2014-15,Kentucky,12,12,Offense
2014-15,Kentucky,0,12,Defensive
2015-16,Kentucky,12,12,Offense
2015-16,Kentucky,0,12,Defensive
2016-17,Kentucky,13,13,Offense
2016-17,Kentucky,0,13,Defensive
2017-18,Kentucky,12,12,Offense
2017-18,Kentucky,0,12,Defensive
2013-14,Kentucky,12,12,Offense
2013-14,Kentucky,0,12,Defensive
2014-15,Kentucky,12,12,Offense
2014-15,Kentucky,0,12,Defensive
2015-16,Kentucky,12,12,Offense
2015-16,Kentucky,0,12,Defensive
2016-17,Kentucky,13,13,Offense
2016-17,Kentucky,0,13,Defensive
2017-18,Kentucky,12,12,Offense
2017-18,Kentucky,0,12,Defensive
2013-14,Kentucky,12,12,Offense
2013-14,Kentucky,0,12,Defensive
2014-15,Kentucky,12,12,Offense
2014-15,Kentucky,0,12,Defensive
2015-16,Kentucky,12,12,Offense
2015-16,Kentucky,0,12,Defensive
2016-17,Kentucky,13,13,Offense
2016-17,Kentucky,0,13,Defensive
2017-18,Kentucky,12,12,Offense
2017-18,Kentucky,0,12,Defensive
2013-14,Kentucky,12,12,Offense
2013-14,Kentucky,0,12,Defensive
2014-15,Kentucky,12,12,Offense
2014-15,Kentucky,0,12,Defensive
2015-16,Kentucky,12,12,Offense
2015-16,Kentucky,0,12,Defensive
2016-17,Kentucky,13,13,Offense
2016-17,Kentucky,0,13,Defensive
2017-18,Kentucky,12,12,Offense
2017-18,Kentucky,0,12,Defensive
2013-14,LSU,13,13,Offense
2013-14,LSU,0,13,Defensive
2014-15,LSU,13,13,Offense
2014-15,LSU,0,13,Defensive
2015-16,LSU,12,12,Offense
2015-16,LSU,0,12,Defensive
2016-17,LSU,12,12,Offense
2016-17,LSU,0,12,Defensive
2017-18,LSU,12,12,Offense
2017-18,LSU,0,12,Defensive
2013-14,LSU,13,13,Offense
2013-14,LSU,0,13,Defensive
2014-15,LSU,13,13,Offense
2014-15,LSU,0,13,Defensive
2015-16,LSU,12,12,Offense
2015-16,LSU,0,12,Defensive
2016-17,LSU,12,12,Offense
2016-17,LSU,0,12,Defensive
2017-18,LSU,12,12,Offense
2017-18,LSU,0,12,Defensive
2013-14,LSU,13,13,Offense
2013-14,LSU,0,13,Defensive
2014-15,LSU,13,13,Offense
2014-15,LSU,0,13,Defensive
2015-16,LSU,12,12,Offense
2015-16,LSU,0,12,Defensive
2016-17,LSU,12,12,Offense
2016-17,LSU,0,12,Defensive
2017-18,LSU,12,12,Offense
2017-18,LSU,0,12,Defensive
2013-14,La.-Monroe,12,12,Offense
2013-14,La.-Monroe,0,12,Defensive
2014-15,La.-Monroe,12,12,Offense
2014-15,La.-Monroe,0,12,Defensive
2015-16,La.-Monroe,13,13,Offense
2015-16,La.-Monroe,0,13,Defensive
2016-17,La.-Monroe,12,12,Offense
2016-17,La.-Monroe,0,12,Defensive
2017-18,La.-Monroe,12,12,Offense
2017-18,La.-Monroe,0,12,Defensive
2013-14,La.-Monroe,12,12,Offense
2013-14,La.-Monroe,0,12,Defensive
2014-15,La.-Monroe,12,12,Offense
2014-15,La.-Monroe,0,12,Defensive
2015-16,La.-Monroe,13,13,Offense
2015-16,La.-Monroe,0,13,Defensive
2016-17,La.-Monroe,12,12,Offense
2016-17,La.-Monroe,0,12,Defensive
2017-18,La.-Monroe,12,12,Offense
2017-18,La.-Monroe,0,12,Defensive
2013-14,La.-Monroe,12,12,Offense
2013-14,La.-Monroe,0,12,Defensive
2014-15,La.-Monroe,12,12,Offense
2014-15,La.-Monroe,0,12,Defensive
2015-16,La.-Monroe,13,13,Offense
2015-16,La.-Monroe,0,13,Defensive
2016-17,La.-Monroe,12,12,Offense
2016-17,La.-Monroe,0,12,Defensive
2017-18,La.-Monroe,12,12,Offense
2017-18,La.-Monroe,0,12,Defensive
2013-14,La.-Monroe,12,12,Offense
2013-14,La.-Monroe,0,12,Defensive
2014-15,La.-Monroe,12,12,Offense
2014-15,La.-Monroe,0,12,Defensive
2015-16,La.-Monroe,13,13,Offense
2015-16,La.-Monroe,0,13,Defensive
2016-17,La.-Monroe,12,12,Offense
2016-17,La.-Monroe,0,12,Defensive
2017-18,La.-Monroe,12,12,Offense
2017-18,La.-Monroe,0,12,Defensive
2013-14,Louisiana,13,13,Offense
2013-14,Louisiana,0,13,Defensive
2014-15,Louisiana,13,13,Offense
2014-15,Louisiana,0,13,Defensive
2015-16,Louisiana,12,12,Offense
2015-16,Louisiana,0,12,Defensive
2016-17,Louisiana,13,13,Offense
2016-17,Louisiana,0,13,Defensive
2017-18,Louisiana,12,12,Offense
2017-18,Louisiana,0,12,Defensive
2013-14,Louisiana,13,13,Offense
2013-14,Louisiana,0,13,Defensive
2014-15,Louisiana,13,13,Offense
2014-15,Louisiana,0,13,Defensive
2015-16,Louisiana,12,12,Offense
2015-16,Louisiana,0,12,Defensive
2016-17,Louisiana,13,13,Offense
2016-17,Louisiana,0,13,Defensive
2017-18,Louisiana,12,12,Offense
2017-18,Louisiana,0,12,Defensive
2013-14,Louisiana,13,13,Offense
2013-14,Louisiana,0,13,Defensive
2014-15,Louisiana,13,13,Offense
2014-15,Louisiana,0,13,Defensive
2015-16,Louisiana,12,12,Offense
2015-16,Louisiana,0,12,Defensive
2016-17,Louisiana,13,13,Offense
2016-17,Louisiana,0,13,Defensive
2017-18,Louisiana,12,12,Offense
2017-18,Louisiana,0,12,Defensive
2013-14,Louisiana,13,13,Offense
2013-14,Louisiana,0,13,Defensive
2014-15,Louisiana,13,13,Offense
2014-15,Louisiana,0,13,Defensive
2015-16,Louisiana,12,12,Offense
2015-16,Louisiana,0,12,Defensive
2016-17,Louisiana,13,13,Offense
2016-17,Louisiana,0,13,Defensive
2017-18,Louisiana,12,12,Offense
2017-18,Louisiana,0,12,Defensive
2013-14,Louisiana Tech,12,12,Offense
2013-14,Louisiana Tech,0,12,Defensive
2014-15,Louisiana Tech,14,14,Offense
2014-15,Louisiana Tech,0,14,Defensive
2015-16,Louisiana Tech,13,13,Offense
2015-16,Louisiana Tech,0,13,Defensive
2016-17,Louisiana Tech,14,14,Offense
2016-17,Louisiana Tech,0,14,Defensive
2017-18,Louisiana Tech,12,12,Offense
2017-18,Louisiana Tech,0,12,Defensive
2013-14,Louisiana Tech,12,12,Offense
2013-14,Louisiana Tech,0,12,Defensive
2014-15,Louisiana Tech,14,14,Offense
2014-15,Louisiana Tech,0,14,Defensive
2015-16,Louisiana Tech,13,13,Offense
2015-16,Louisiana Tech,0,13,Defensive
2016-17,Louisiana Tech,14,14,Offense
2016-17,Louisiana Tech,0,14,Defensive
2017-18,Louisiana Tech,12,12,Offense
2017-18,Louisiana Tech,0,12,Defensive
2013-14,Louisiana Tech,12,12,Offense
2013-14,Louisiana Tech,0,12,Defensive
2014-15,Louisiana Tech,14,14,Offense
2014-15,Louisiana Tech,0,14,Defensive
2015-16,Louisiana Tech,13,13,Offense
2015-16,Louisiana Tech,0,13,Defensive
2016-17,Louisiana Tech,14,14,Offense
2016-17,Louisiana Tech,0,14,Defensive
2017-18,Louisiana Tech,12,12,Offense
2017-18,Louisiana Tech,0,12,Defensive
2013-14,Louisiana Tech,12,12,Offense
2013-14,Louisiana Tech,0,12,Defensive
2014-15,Louisiana Tech,14,14,Offense
2014-15,Louisiana Tech,0,14,Defensive
2015-16,Louisiana Tech,13,13,Offense
2015-16,Louisiana Tech,0,13,Defensive
2016-17,Louisiana Tech,14,14,Offense
2016-17,Louisiana Tech,0,14,Defensive
2017-18,Louisiana Tech,12,12,Offense
2017-18,Louisiana Tech,0,12,Defensive
2013-14,Louisville,13,13,Offense
2013-14,Louisville,0,13,Defensive
2014-15,Louisville,13,13,Offense
2014-15,Louisville,0,13,Defensive
2015-16,Louisville,13,13,Offense
2015-16,Louisville,0,13,Defensive
2016-17,Louisville,13,13,Offense
2016-17,Louisville,0,13,Defensive
2017-18,Louisville,12,12,Offense
2017-18,Louisville,0,12,Defensive
2013-14,Louisville,13,13,Offense
2013-14,Louisville,0,13,Defensive
2014-15,Louisville,13,13,Offense
2014-15,Louisville,0,13,Defensive
2015-16,Louisville,13,13,Offense
2015-16,Louisville,0,13,Defensive
2016-17,Louisville,13,13,Offense
2016-17,Louisville,0,13,Defensive
2017-18,Louisville,12,12,Offense
2017-18,Louisville,0,12,Defensive
2013-14,Marshall,14,14,Offense
2013-14,Marshall,0,14,Defensive
2014-15,Marshall,14,14,Offense
2014-15,Marshall,0,14,Defensive
2015-16,Marshall,13,13,Offense
2015-16,Marshall,0,13,Defensive
2016-17,Marshall,12,12,Offense
2016-17,Marshall,0,12,Defensive
2017-18,Marshall,12,12,Offense
2017-18,Marshall,0,12,Defensive
2013-14,Marshall,14,14,Offense
2013-14,Marshall,0,14,Defensive
2014-15,Marshall,14,14,Offense
2014-15,Marshall,0,14,Defensive
2015-16,Marshall,13,13,Offense
2015-16,Marshall,0,13,Defensive
2016-17,Marshall,12,12,Offense
2016-17,Marshall,0,12,Defensive
2017-18,Marshall,12,12,Offense
2017-18,Marshall,0,12,Defensive
2013-14,Maryland,13,13,Offense
2013-14,Maryland,0,13,Defensive
2014-15,Maryland,13,13,Offense
2014-15,Maryland,0,13,Defensive
2015-16,Maryland,12,12,Offense
2015-16,Maryland,0,12,Defensive
2016-17,Maryland,13,13,Offense
2016-17,Maryland,0,13,Defensive
2017-18,Maryland,12,12,Offense
2017-18,Maryland,0,12,Defensive
2013-14,Maryland,13,13,Offense
2013-14,Maryland,0,13,Defensive
2014-15,Maryland,13,13,Offense
2014-15,Maryland,0,13,Defensive
2015-16,Maryland,12,12,Offense
2015-16,Maryland,0,12,Defensive
2016-17,Maryland,13,13,Offense
2016-17,Maryland,0,13,Defensive
2017-18,Maryland,12,12,Offense
2017-18,Maryland,0,12,Defensive
2013-14,Maryland,13,13,Offense
2013-14,Maryland,0,13,Defensive
2014-15,Maryland,13,13,Offense
2014-15,Maryland,0,13,Defensive
2015-16,Maryland,12,12,Offense
2015-16,Maryland,0,12,Defensive
2016-17,Maryland,13,13,Offense
2016-17,Maryland,0,13,Defensive
2017-18,Maryland,12,12,Offense
2017-18,Maryland,0,12,Defensive
2013-14,Maryland,13,13,Offense
2013-14,Maryland,0,13,Defensive
2014-15,Maryland,13,13,Offense
2014-15,Maryland,0,13,Defensive
2015-16,Maryland,12,12,Offense
2015-16,Maryland,0,12,Defensive
2016-17,Maryland,13,13,Offense
2016-17,Maryland,0,13,Defensive
2017-18,Maryland,12,12,Offense
2017-18,Maryland,0,12,Defensive
2013-14,Massachusetts,12,12,Offense
2013-14,Massachusetts,0,12,Defensive
2014-15,Massachusetts,12,12,Offense
2014-15,Massachusetts,0,12,Defensive
2015-16,Massachusetts,12,12,Offense
2015-16,Massachusetts,0,12,Defensive
2016-17,Massachusetts,12,12,Offense
2016-17,Massachusetts,0,12,Defensive
2017-18,Massachusetts,12,12,Offense
2017-18,Massachusetts,0,12,Defensive
2013-14,Massachusetts,12,12,Offense
2013-14,Massachusetts,0,12,Defensive
2014-15,Massachusetts,12,12,Offense
2014-15,Massachusetts,0,12,Defensive
2015-16,Massachusetts,12,12,Offense
2015-16,Massachusetts,0,12,Defensive
2016-17,Massachusetts,12,12,Offense
2016-17,Massachusetts,0,12,Defensive
2017-18,Massachusetts,12,12,Offense
2017-18,Massachusetts,0,12,Defensive
2013-14,Massachusetts,12,12,Offense
2013-14,Massachusetts,0,12,Defensive
2014-15,Massachusetts,12,12,Offense
2014-15,Massachusetts,0,12,Defensive
2015-16,Massachusetts,12,12,Offense
2015-16,Massachusetts,0,12,Defensive
2016-17,Massachusetts,12,12,Offense
2016-17,Massachusetts,0,12,Defensive
2017-18,Massachusetts,12,12,Offense
2017-18,Massachusetts,0,12,Defensive
2013-14,Massachusetts,12,12,Offense
2013-14,Massachusetts,0,12,Defensive
2014-15,Massachusetts,12,12,Offense
2014-15,Massachusetts,0,12,Defensive
2015-16,Massachusetts,12,12,Offense
2015-16,Massachusetts,0,12,Defensive
2016-17,Massachusetts,12,12,Offense
2016-17,Massachusetts,0,12,Defensive
2017-18,Massachusetts,12,12,Offense
2017-18,Massachusetts,0,12,Defensive
2013-14,Memphis,12,12,Offense
2013-14,Memphis,0,12,Defensive
2014-15,Memphis,13,13,Offense
2014-15,Memphis,0,13,Defensive
2015-16,Memphis,13,13,Offense
2015-16,Memphis,0,13,Defensive
2016-17,Memphis,13,13,Offense
2016-17,Memphis,0,13,Defensive
2017-18,Memphis,12,12,Offense
2017-18,Memphis,0,12,Defensive
2013-14,Memphis,12,12,Offense
2013-14,Memphis,0,12,Defensive
2014-15,Memphis,13,13,Offense
2014-15,Memphis,0,13,Defensive
2015-16,Memphis,13,13,Offense
2015-16,Memphis,0,13,Defensive
2016-17,Memphis,13,13,Offense
2016-17,Memphis,0,13,Defensive
2017-18,Memphis,12,12,Offense
2017-18,Memphis,0,12,Defensive
2013-14,Memphis,12,12,Offense
2013-14,Memphis,0,12,Defensive
2014-15,Memphis,13,13,Offense
2014-15,Memphis,0,13,Defensive
2015-16,Memphis,13,13,Offense
2015-16,Memphis,0,13,Defensive
2016-17,Memphis,13,13,Offense
2016-17,Memphis,0,13,Defensive
2017-18,Memphis,12,12,Offense
2017-18,Memphis,0,12,Defensive
2013-14,Memphis,12,12,Offense
2013-14,Memphis,0,12,Defensive
2014-15,Memphis,13,13,Offense
2014-15,Memphis,0,13,Defensive
2015-16,Memphis,13,13,Offense
2015-16,Memphis,0,13,Defensive
2016-17,Memphis,13,13,Offense
2016-17,Memphis,0,13,Defensive
2017-18,Memphis,12,12,Offense
2017-18,Memphis,0,12,Defensive
2013-14,Miami (FL),13,13,Offense
2013-14,Miami (FL),0,13,Defensive
2014-15,Miami (FL),13,13,Offense
2014-15,Miami (FL),0,13,Defensive
2015-16,Miami (FL),13,13,Offense
2015-16,Miami (FL),0,13,Defensive
2016-17,Miami (FL),13,13,Offense
2016-17,Miami (FL),0,13,Defensive
2017-18,Miami (FL),12,12,Offense
2017-18,Miami (FL),0,12,Defensive
2013-14,Miami (FL),13,13,Offense
2013-14,Miami (FL),0,13,Defensive
2014-15,Miami (FL),13,13,Offense
2014-15,Miami (FL),0,13,Defensive
2015-16,Miami (FL),13,13,Offense
2015-16,Miami (FL),0,13,Defensive
2016-17,Miami (FL),13,13,Offense
2016-17,Miami (FL),0,13,Defensive
2017-18,Miami (FL),12,12,Offense
2017-18,Miami (FL),0,12,Defensive
2013-14,Miami (FL),13,13,Offense
2013-14,Miami (FL),0,13,Defensive
2014-15,Miami (FL),13,13,Offense
2014-15,Miami (FL),0,13,Defensive
2015-16,Miami (FL),13,13,Offense
2015-16,Miami (FL),0,13,Defensive
2016-17,Miami (FL),13,13,Offense
2016-17,Miami (FL),0,13,Defensive
2017-18,Miami (FL),12,12,Offense
2017-18,Miami (FL),0,12,Defensive
2013-14,Miami (FL),13,13,Offense
2013-14,Miami (FL),0,13,Defensive
2014-15,Miami (FL),13,13,Offense
2014-15,Miami (FL),0,13,Defensive
2015-16,Miami (FL),13,13,Offense
2015-16,Miami (FL),0,13,Defensive
2016-17,Miami (FL),13,13,Offense
2016-17,Miami (FL),0,13,Defensive
2017-18,Miami (FL),12,12,Offense
2017-18,Miami (FL),0,12,Defensive
2013-14,Miami (OH),12,12,Offense
2013-14,Miami (OH),0,12,Defensive
2014-15,Miami (OH),12,12,Offense
2014-15,Miami (OH),0,12,Defensive
2015-16,Miami (OH),12,12,Offense
2015-16,Miami (OH),0,12,Defensive
2016-17,Miami (OH),13,13,Offense
2016-17,Miami (OH),0,13,Defensive
2017-18,Miami (OH),12,12,Offense
2017-18,Miami (OH),0,12,Defensive
2013-14,Miami (OH),12,12,Offense
2013-14,Miami (OH),0,12,Defensive
2014-15,Miami (OH),12,12,Offense
2014-15,Miami (OH),0,12,Defensive
2015-16,Miami (OH),12,12,Offense
2015-16,Miami (OH),0,12,Defensive
2016-17,Miami (OH),13,13,Offense
2016-17,Miami (OH),0,13,Defensive
2017-18,Miami (OH),12,12,Offense
2017-18,Miami (OH),0,12,Defensive
2013-14,Miami (OH),12,12,Offense
2013-14,Miami (OH),0,12,Defensive
2014-15,Miami (OH),12,12,Offense
2014-15,Miami (OH),0,12,Defensive
