Year,Team,GP,G,FumblesRecovered,Int,Blkd,OffenseDefense
2014-15,Arkansas,13,13,12,12,1,Offense
2014-15,Arkansas,0,13,11,6,2,Defensive
2015-16,Arkansas,13,13,7,11,2,Offense
2015-16,Arkansas,0,13,3,8,5,Defensive
2016-17,Arkansas,13,13,11,10,2,Offense
2016-17,Arkansas,0,13,10,15,nan,Defensive
2017-18,Arkansas,12,12,9,8,nan,Offense
2017-18,Arkansas,0,12,9,9,nan,Defensive
2013-14,Arkansas,12,12,6,8,3,Offense
2013-14,Arkansas,0,12,12,11,1,Defensive
2014-15,Arkansas,13,13,12,12,1,Offense
2014-15,Arkansas,0,13,11,6,2,Defensive
2015-16,Arkansas,13,13,7,11,2,Offense
2015-16,Arkansas,0,13,3,8,5,Defensive
2016-17,Arkansas,13,13,11,10,2,Offense
2016-17,Arkansas,0,13,10,15,nan,Defensive
2017-18,Arkansas,12,12,9,8,nan,Offense
2017-18,Arkansas,0,12,9,9,nan,Defensive
2013-14,Arkansas,12,12,6,8,3,Offense
2013-14,Arkansas,0,12,12,11,1,Defensive
2014-15,Arkansas,13,13,12,12,1,Offense
2014-15,Arkansas,0,13,11,6,2,Defensive
2015-16,Arkansas,13,13,7,11,2,Offense
2015-16,Arkansas,0,13,3,8,5,Defensive
2016-17,Arkansas,13,13,11,10,2,Offense
2016-17,Arkansas,0,13,10,15,nan,Defensive
2017-18,Arkansas,12,12,9,8,nan,Offense
2017-18,Arkansas,0,12,9,9,nan,Defensive
2013-14,Arkansas,12,12,6,8,3,Offense
2013-14,Arkansas,0,12,12,11,1,Defensive
2014-15,Arkansas,13,13,12,12,1,Offense
2014-15,Arkansas,0,13,11,6,2,Defensive
2015-16,Arkansas,13,13,7,11,2,Offense
2015-16,Arkansas,0,13,3,8,5,Defensive
2016-17,Arkansas,13,13,11,10,2,Offense
2016-17,Arkansas,0,13,10,15,nan,Defensive
2017-18,Arkansas,12,12,9,8,nan,Offense
2017-18,Arkansas,0,12,9,9,nan,Defensive
2013-14,Arizona,13,13,4,18,nan,Offense
2013-14,Arizona,0,13,11,7,2,Defensive
2014-15,Arizona,14,14,13,13,1,Offense
2014-15,Arizona,0,14,8,10,2,Defensive
2015-16,Arizona,13,13,5,11,1,Offense
2015-16,Arizona,0,13,10,10,nan,Defensive
2016-17,Arizona,12,12,6,8,nan,Offense
2016-17,Arizona,0,12,9,12,nan,Defensive
2017-18,Arizona,12,12,6,18,nan,Offense
2017-18,Arizona,0,12,8,12,5,Defensive
2013-14,Arizona,13,13,4,18,nan,Offense
2013-14,Arizona,0,13,11,7,2,Defensive
2014-15,Arizona,14,14,13,13,1,Offense
2014-15,Arizona,0,14,8,10,2,Defensive
2015-16,Arizona,13,13,5,11,1,Offense
2015-16,Arizona,0,13,10,10,nan,Defensive
2016-17,Arizona,12,12,6,8,nan,Offense
2016-17,Arizona,0,12,9,12,nan,Defensive
2017-18,Arizona,12,12,6,18,nan,Offense
2017-18,Arizona,0,12,8,12,5,Defensive
2013-14,Arizona,13,13,4,18,nan,Offense
2013-14,Arizona,0,13,11,7,2,Defensive
2014-15,Arizona,14,14,13,13,1,Offense
2014-15,Arizona,0,14,8,10,2,Defensive
2015-16,Arizona,13,13,5,11,1,Offense
2015-16,Arizona,0,13,10,10,nan,Defensive
2016-17,Arizona,12,12,6,8,nan,Offense
2016-17,Arizona,0,12,9,12,nan,Defensive
2017-18,Arizona,12,12,6,18,nan,Offense
2017-18,Arizona,0,12,8,12,5,Defensive
2013-14,Arizona,13,13,4,18,nan,Offense
2013-14,Arizona,0,13,11,7,2,Defensive
2014-15,Arizona,14,14,13,13,1,Offense
2014-15,Arizona,0,14,8,10,2,Defensive
2015-16,Arizona,13,13,5,11,1,Offense
2015-16,Arizona,0,13,10,10,nan,Defensive
2016-17,Arizona,12,12,6,8,nan,Offense
2016-17,Arizona,0,12,9,12,nan,Defensive
2017-18,Arizona,12,12,6,18,nan,Offense
2017-18,Arizona,0,12,8,12,5,Defensive
2013-14,Arizona St.,14,14,12,21,2,Offense
2013-14,Arizona St.,0,14,6,12,4,Defensive
2014-15,Arizona St.,13,13,13,14,2,Offense
2014-15,Arizona St.,0,13,4,9,4,Defensive
2015-16,Arizona St.,13,13,6,15,2,Offense
2015-16,Arizona St.,0,13,10,9,nan,Defensive
2016-17,Arizona St.,12,12,8,9,nan,Offense
2016-17,Arizona St.,0,12,7,14,nan,Defensive
2017-18,Arizona St.,12,12,5,11,6,Offense
2017-18,Arizona St.,0,12,5,6,1,Defensive
2013-14,Arizona St.,14,14,12,21,2,Offense
2013-14,Arizona St.,0,14,6,12,4,Defensive
2014-15,Arizona St.,13,13,13,14,2,Offense
2014-15,Arizona St.,0,13,4,9,4,Defensive
2015-16,Arizona St.,13,13,6,15,2,Offense
2015-16,Arizona St.,0,13,10,9,nan,Defensive
2016-17,Arizona St.,12,12,8,9,nan,Offense
2016-17,Arizona St.,0,12,7,14,nan,Defensive
2017-18,Arizona St.,12,12,5,11,6,Offense
2017-18,Arizona St.,0,12,5,6,1,Defensive
2013-14,Boise St.,13,13,11,16,3,Offense
2013-14,Boise St.,0,13,13,11,3,Defensive
2014-15,Boise St.,14,14,9,22,3,Offense
2014-15,Boise St.,0,14,9,15,4,Defensive
2015-16,Boise St.,13,13,9,22,2,Offense
2015-16,Boise St.,0,13,10,12,4,Defensive
2016-17,Boise St.,13,13,2,7,3,Offense
2016-17,Boise St.,0,13,10,8,2,Defensive
2017-18,Boise St.,13,13,9,13,1,Offense
2017-18,Boise St.,0,13,5,5,nan,Defensive
2013-14,Boise St.,13,13,11,16,3,Offense
2013-14,Boise St.,0,13,13,11,3,Defensive
2014-15,Boise St.,14,14,9,22,3,Offense
2014-15,Boise St.,0,14,9,15,4,Defensive
2015-16,Boise St.,13,13,9,22,2,Offense
2015-16,Boise St.,0,13,10,12,4,Defensive
2016-17,Boise St.,13,13,2,7,3,Offense
2016-17,Boise St.,0,13,10,8,2,Defensive
2017-18,Boise St.,13,13,9,13,1,Offense
