Date,Opponent,Result,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,Team,OffenseDefense
01/01/2014,UNLV,W 36 - 14,1/,38,22,6,2,43,60,North Texas Mean Green,Offense
01/01/2014,UNLV,W 36 - 14,1/,44,40,5,nan,17,84,North Texas Mean Green,Defense
09/12/2015,@ SMU,L 13 - 31,1/,59,10,5,nan,33,69,North Texas Mean Green,Offense
09/12/2015,@ SMU,L 13 - 31,1/,43,2,5,nan,14,45,North Texas Mean Green,Defense
09/19/2015,Rice,L 24 - 38,1/,54,38,6,2,28,92,North Texas Mean Green,Offense
09/19/2015,Rice,L 24 - 38,1/,30,20,2,2,12,50,North Texas Mean Green,Defense
09/26/2015,@ Iowa,L 16 - 62,1/,37,42,4,2,19,79,North Texas Mean Green,Offense
09/26/2015,@ Iowa,L 16 - 62,1/,43,34,4,nan,37,77,North Texas Mean Green,Defense
10/03/2015,@ Southern Miss.,L 14 - 49,1/,54,4,3,nan,7,58,North Texas Mean Green,Offense
10/03/2015,@ Southern Miss.,L 14 - 49,1/,50,32,7,4,43,82,North Texas Mean Green,Defense
10/10/2015,Portland St.,L 7 - 66,1/,33,28,6,2,18,61,North Texas Mean Green,Offense
10/10/2015,Portland St.,L 7 - 66,1/,38,24,7,2,39,62,North Texas Mean Green,Defense
10/15/2015,Western Ky.,L 28 - 55,1/,36,48,5,4,17,84,North Texas Mean Green,Offense
10/15/2015,Western Ky.,L 28 - 55,1/,41,30,6,4,30,71,North Texas Mean Green,Defense
10/24/2015,@ Marshall,L 13 - 30,1/,19,80/,2,6,22,99,North Texas Mean Green,Offense
10/24/2015,@ Marshall,L 13 - 30,1/,21,68,nan,12/,36,89,North Texas Mean Green,Defense
10/31/2015,UTSA,W 30 - 23,1/,53,24,5,2,14,77,North Texas Mean Green,Offense
10/31/2015,UTSA,W 30 - 23,1/,34,24,4,nan,25,58,North Texas Mean Green,Defense
11/07/2015,@ Louisiana Tech,L 13 - 56,1/,47,4,2,nan,3,51,North Texas Mean Green,Offense
11/07/2015,@ Louisiana Tech,L 13 - 56,1/,59,16,9,2,80/,75,North Texas Mean Green,Defense
11/14/2015,@ Tennessee,L 0 - 24,1/,51,22,6,2,22,73,North Texas Mean Green,Offense
11/14/2015,@ Tennessee,L 0 - 24,1/,36,18,6,nan,25,54,North Texas Mean Green,Defense
11/21/2015,@ Middle Tenn.,L 7 - 41,1/,56,18,4,nan,16,74,North Texas Mean Green,Offense
11/21/2015,@ Middle Tenn.,L 7 - 41,1/,48,22,4,4,15,70,North Texas Mean Green,Defense
11/28/2015,UTEP,L 17 - 20,1/,34,36,6,2,21,70,North Texas Mean Green,Offense
11/28/2015,UTEP,L 17 - 20,1/,26,26,5,4,24,52,North Texas Mean Green,Defense
09/03/2016,"Georgia @ Atlanta, Georgia",L 24 - 33,1/,44,34,4,4,23,78,North Carolina Tar Heels,Offense
09/03/2016,"Georgia @ Atlanta, Georgia",L 24 - 33,1/,34,18,3,2,9,52,North Carolina Tar Heels,Defense
09/10/2016,@ Illinois,W 48 - 23,1/,25,50,5,6,18,75,North Carolina Tar Heels,Offense
09/10/2016,@ Illinois,W 48 - 23,1/,35,38,9,6,38,73,North Carolina Tar Heels,Defense
09/17/2016,James Madison,W 56 - 28,1/,52,36,6,2,21,88,North Carolina Tar Heels,Offense
09/17/2016,James Madison,W 56 - 28,1/,43,20,2,nan,2,63,North Carolina Tar Heels,Defense
09/24/2016,Pittsburgh,W 37 - 36,1/,44,44,nan,6,3,88,North Carolina Tar Heels,Offense
09/24/2016,Pittsburgh,W 37 - 36,1/,41,20,7,2,45,61,North Carolina Tar Heels,Defense
10/01/2016,@ Florida St.,W 37 - 35,1/,40,28,3,2,21,68,North Carolina Tar Heels,Offense
10/01/2016,@ Florida St.,W 37 - 35,1/,45,18,4,2,16,63,North Carolina Tar Heels,Defense
10/08/2016,Virginia Tech,L 3 - 34,1/,31,62,5,2,34,93,North Carolina Tar Heels,Offense
10/08/2016,Virginia Tech,L 3 - 34,1/,30,20,5,10,38,50,North Carolina Tar Heels,Defense
10/15/2016,@ Miami (FL),W 20 - 13,1/,42,18,3,nan,22,60,North Carolina Tar Heels,Offense
10/15/2016,@ Miami (FL),W 20 - 13,1/,46,46,5,8,31,92,North Carolina Tar Heels,Defense
10/22/2016,@ Virginia,W 35 - 14,1/,34,34,5,4,28,68,North Carolina Tar Heels,Offense
10/22/2016,@ Virginia,W 35 - 14,1/,37,30,3,2,14,67,North Carolina Tar Heels,Defense
11/05/2016,Georgia Tech,W 48 - 20,1/,39,32,3,nan,18,71,North Carolina Tar Heels,Offense
11/05/2016,Georgia Tech,W 48 - 20,1/,38,24,1,4,9,62,North Carolina Tar Heels,Defense
11/10/2016,@ Duke,L 27 - 28,1/,54,32,6,nan,30,86,North Carolina Tar Heels,Offense
11/10/2016,@ Duke,L 27 - 28,1/,33,38,4,nan,28,71,North Carolina Tar Heels,Defense
11/19/2016,The Citadel,W 41 - 7,1/,53,46,4,2,16,99,North Carolina Tar Heels,Offense
11/19/2016,The Citadel,W 41 - 7,1/,28,20,2,6,11,48,North Carolina Tar Heels,Defense
11/25/2016,NC State,L 21 - 28,1/,51,28,2,nan,10,79,North Carolina Tar Heels,Offense
11/25/2016,NC State,L 21 - 28,1/,33,18,4,4,30,51,North Carolina Tar Heels,Defense
12/30/2016,"Stanford @ El Paso, Texas",L 23 - 25,1/,27,48,4,6,50,75,North Carolina Tar Heels,Offense
12/30/2016,"Stanford @ El Paso, Texas",L 23 - 25,1/,31,44,4,10,36,75,North Carolina Tar Heels,Defense
08/29/2013,@ South Carolina,L 10 - 27,1/,38,24,3,nan,13,62,North Carolina Tar Heels,Offense
08/29/2013,@ South Carolina,L 10 - 27,1/,53,22,10,4,49,75,North Carolina Tar Heels,Defense
09/07/2013,Middle Tenn.,W 40 - 20,1/,40,42,5,2,39,82,North Carolina Tar Heels,Offense
09/07/2013,Middle Tenn.,W 40 - 20,1/,46,38,5,nan,24,84,North Carolina Tar Heels,Defense
09/21/2013,@ Georgia Tech,L 20 - 28,1/,64/,18,5,4,22,82,North Carolina Tar Heels,Offense
09/21/2013,@ Georgia Tech,L 20 - 28,1/,38,2,2,nan,12,40,North Carolina Tar Heels,Defense
09/28/2013,East Carolina,L 31 - 55,1/,60,30,5,nan,11,90,North Carolina Tar Heels,Offense
09/28/2013,East Carolina,L 31 - 55,1/,53,14,7,2,49,67,North Carolina Tar Heels,Defense
10/05/2013,@ Virginia Tech,L 17 - 27,1/,27,44,2,6,28,71,North Carolina Tar Heels,Offense
10/05/2013,@ Virginia Tech,L 17 - 27,1/,41,38,5,2,23,79,North Carolina Tar Heels,Defense
10/17/2013,Miami (FL),L 23 - 27,1/,50,26,5,6,25,76,North Carolina Tar Heels,Offense
10/17/2013,Miami (FL),L 23 - 27,1/,49,32,5,nan,19,81,North Carolina Tar Heels,Defense
10/26/2013,Boston College,W 34 - 10,1/,39,32,4,nan,18,71,North Carolina Tar Heels,Offense
10/26/2013,Boston College,W 34 - 10,1/,47,30,8,2,54,77,North Carolina Tar Heels,Defense
11/02/2013,@ NC State,W 27 - 19,1/,39,46,6,6,20,85,North Carolina Tar Heels,Offense
11/02/2013,@ NC State,W 27 - 19,1/,35,56,2,12/,29,91,North Carolina Tar Heels,Defense
11/09/2013,Virginia,W 45 - 14,1/,48,32,5,nan,27,80,North Carolina Tar Heels,Offense
11/09/2013,Virginia,W 45 - 14,1/,44,20,7,nan,20,64,North Carolina Tar Heels,Defense
11/16/2013,@ Pittsburgh,W 34 - 27,1/,52,22,11,2,92/,74,North Carolina Tar Heels,Offense
11/16/2013,@ Pittsburgh,W 34 - 27,1/,42,16,4,nan,15,58,North Carolina Tar Heels,Defense
11/23/2013,Old Dominion,W 80 - 20,1/,44,22,4,2,18,66,North Carolina Tar Heels,Offense
11/23/2013,Old Dominion,W 80 - 20,1/,46,14,2,nan,5,60,North Carolina Tar Heels,Defense
11/30/2013,Duke,L 25 - 27,1/,47,40,3,nan,7,87,North Carolina Tar Heels,Offense
11/30/2013,Duke,L 25 - 27,1/,43,30,1,2,4,73,North Carolina Tar Heels,Defense
12/28/2013,"Cincinnati @ Charlotte, NC",W 39 - 17,1/,38,30,7,2,56,68,North Carolina Tar Heels,Offense
12/28/2013,"Cincinnati @ Charlotte, NC",W 39 - 17,1/,47,34,4,2,14,81,North Carolina Tar Heels,Defense
09/03/2015,"South Carolina @ Charlotte, NC",L 13 - 17,1/,37,32,2,2,9,69,North Carolina Tar Heels,Offense
09/03/2015,"South Carolina @ Charlotte, NC",L 13 - 17,1/,32,30,4,2,18,62,North Carolina Tar Heels,Defense
09/12/2015,N.C. A&T,W 53 - 14,1/,31,38,4,4,19,69,North Carolina Tar Heels,Offense
09/12/2015,N.C. A&T,W 53 - 14,1/,45,32,3,2,10,77,North Carolina Tar Heels,Defense
09/19/2015,Illinois,W 48 - 14,1/,36,52,2,2,7,88,North Carolina Tar Heels,Offense
09/19/2015,Illinois,W 48 - 14,1/,42,26,5,nan,13,68,North Carolina Tar Heels,Defense
09/26/2015,Delaware,W 41 - 14,1/,34,38,4,2,15,72,North Carolina Tar Heels,Offense
09/26/2015,Delaware,W 41 - 14,1/,37,34,3,nan,22,71,North Carolina Tar Heels,Defense
10/03/2015,@ Georgia Tech,W 38 - 31,1/,58,10,7,nan,27,68,North Carolina Tar Heels,Offense
10/03/2015,@ Georgia Tech,W 38 - 31,1/,37,8,5,nan,7,45,North Carolina Tar Heels,Defense
10/17/2015,Wake Forest,W 50 - 14,1/,40,44,2,2,27,84,North Carolina Tar Heels,Offense
10/17/2015,Wake Forest,W 50 - 14,1/,30,30,4,nan,26,60,North Carolina Tar Heels,Defense
10/24/2015,Virginia,W 26 - 13,1/,37,38,4,nan,22,75,North Carolina Tar Heels,Offense
10/24/2015,Virginia,W 26 - 13,1/,38,36,2,4,15,74,North Carolina Tar Heels,Defense
10/29/2015,@ Pittsburgh,W 26 - 19,1/,51,16,6,nan,27,67,North Carolina Tar Heels,Offense
10/29/2015,@ Pittsburgh,W 26 - 19,1/,36,20,1,2,8,56,North Carolina Tar Heels,Defense
11/07/2015,Duke,W 66 - 31,1/,49,28,5,nan,11,77,North Carolina Tar Heels,Offense
11/07/2015,Duke,W 66 - 31,1/,44,32,3,nan,8,76,North Carolina Tar Heels,Defense
11/14/2015,Miami (FL),W 59 - 21,1/,44,20,3,nan,24,64,North Carolina Tar Heels,Offense
11/14/2015,Miami (FL),W 59 - 21,1/,38,32,3,8,22,70,North Carolina Tar Heels,Defense
11/21/2015,@ Virginia Tech,W 30 - 27 (1OT),1/,42,50,7,4,30,92,North Carolina Tar Heels,Offense
11/21/2015,@ Virginia Tech,W 30 - 27 (1OT),1/,35,38,5,4,32,73,North Carolina Tar Heels,Defense
11/28/2015,@ NC State,W 45 - 34,1/,50,34,5,4,22,84,North Carolina Tar Heels,Offense
11/28/2015,@ NC State,W 45 - 34,1/,34,38,1,2,7,72,North Carolina Tar Heels,Defense
12/05/2015,"Clemson @ Charlotte, N.C.",L 37 - 45,1/,56,38,2,nan,6,94,North Carolina Tar Heels,Offense
12/05/2015,"Clemson @ Charlotte, N.C.",L 37 - 45,1/,29,30,3,2,22,59,North Carolina Tar Heels,Defense
12/29/2015,"Baylor @ Orlando, Fla.",L 38 - 49,1/,52,66,1,nan,2,118/,North Carolina Tar Heels,Offense
12/29/2015,"Baylor @ Orlando, Fla.",L 38 - 49,1/,39,26,3,nan,12,65,North Carolina Tar Heels,Defense
08/30/2014,Liberty,W 56 - 29,1/,44,20,3,nan,8,64,North Carolina Tar Heels,Offense
08/30/2014,Liberty,W 56 - 29,1/,61,28,4,2,19,89,North Carolina Tar Heels,Defense
09/06/2014,San Diego St.,W 31 - 27,1/,42,26,6,2,13,68,North Carolina Tar Heels,Offense
09/06/2014,San Diego St.,W 31 - 27,1/,46,26,4,nan,6,72,North Carolina Tar Heels,Defense
09/20/2014,@ East Carolina,L 41 - 70,1/,38,66,6,8,48,104,North Carolina Tar Heels,Offense
09/20/2014,@ East Carolina,L 41 - 70,1/,31,62,6,4,27,93,North Carolina Tar Heels,Defense
09/27/2014,@ Clemson,L 35 - 50,1/,59,10,7,nan,30,69,North Carolina Tar Heels,Offense
09/27/2014,@ Clemson,L 35 - 50,1/,53,20,7,4,48,73,North Carolina Tar Heels,Defense
10/04/2014,Virginia Tech,L 17 - 34,1/,49,44,7,nan,32,93,North Carolina Tar Heels,Offense
10/04/2014,Virginia Tech,L 17 - 34,1/,45,14,6,2,46,59,North Carolina Tar Heels,Defense
10/11/2014,@ Notre Dame,L 43 - 50,1/,42,24,6,nan,19,66,North Carolina Tar Heels,Offense
10/11/2014,@ Notre Dame,L 43 - 50,1/,47,28,4,4,12,75,North Carolina Tar Heels,Defense
10/18/2014,Georgia Tech,W 48 - 43,1/,45,16,5,nan,15,61,North Carolina Tar Heels,Offense
10/18/2014,Georgia Tech,W 48 - 43,1/,59,22,3,2,6,81,North Carolina Tar Heels,Defense
10/25/2014,@ Virginia,W 28 - 27,1/,36,46,5,nan,21,82,North Carolina Tar Heels,Offense
10/25/2014,@ Virginia,W 28 - 27,1/,34,32,7,4,49,66,North Carolina Tar Heels,Defense
11/01/2014,@ Miami (FL),L 20 - 47,1/,42,28,4,nan,22,70,North Carolina Tar Heels,Offense
11/01/2014,@ Miami (FL),L 20 - 47,1/,43,20,5,4,41,63,North Carolina Tar Heels,Defense
11/15/2014,Pittsburgh,W 40 - 35,1/,33,52,3,nan,12,85,North Carolina Tar Heels,Offense
11/15/2014,Pittsburgh,W 40 - 35,1/,46,18,6,nan,12,64,North Carolina Tar Heels,Defense
11/20/2014,@ Duke,W 45 - 20,1/,35,40,2,8,24,75,North Carolina Tar Heels,Offense
11/20/2014,@ Duke,W 45 - 20,1/,41,58,nan,6,13,99,North Carolina Tar Heels,Defense
11/29/2014,NC State,L 7 - 35,1/,41,42,4,6,13,83,North Carolina Tar Heels,Offense
11/29/2014,NC State,L 7 - 35,1/,37,16,10,nan,62,53,North Carolina Tar Heels,Defense
12/26/2014,"Rutgers @ Detroit, Mich.",L 21 - 40,1/,38,12,2,nan,2,50,North Carolina Tar Heels,Offense
12/26/2014,"Rutgers @ Detroit, Mich.",L 21 - 40,1/,72,12,5,nan,23,84,North Carolina Tar Heels,Defense
09/03/2016,@ UTEP,L 22 - 38,1/,44,38,10,6,56,82,New Mexico St. Aggies,Offense
09/03/2016,@ UTEP,L 22 - 38,1/,27,34,1,2,4,61,New Mexico St. Aggies,Defense
09/10/2016,New Mexico,W 32 - 31,1/,19,74,1,2,7,93,New Mexico St. Aggies,Offense
09/10/2016,New Mexico,W 32 - 31,1/,29,48,6,6,37,77,New Mexico St. Aggies,Defense
09/17/2016,@ Kentucky,L 42 - 62,1/,35,56,1,6,8,91,New Mexico St. Aggies,Offense
09/17/2016,@ Kentucky,L 42 - 62,1/,42,32,3,2,13,74,New Mexico St. Aggies,Defense
09/24/2016,@ Troy,L 6 - 52,1/,54,16,1,nan,3,70,New Mexico St. Aggies,Offense
09/24/2016,@ Troy,L 6 - 52,1/,44,26,5,12,44,70,New Mexico St. Aggies,Defense
10/01/2016,Louisiana,W 37 - 31 (1OT),1/,24,84/,3,6,17,108/,New Mexico St. Aggies,Offense
10/01/2016,Louisiana,W 37 - 31 (1OT),1/,32,75,5,6,50,107,New Mexico St. Aggies,Defense
10/15/2016,@ Idaho,L 23 - 55,1/,63,22,4,nan,9,85,New Mexico St. Aggies,Offense
10/15/2016,@ Idaho,L 23 - 55,1/,46,9,9,nan,55,55,New Mexico St. Aggies,Defense
10/22/2016,Ga. Southern,L 19 - 22,1/,35,58,10,4,37,93,New Mexico St. Aggies,Offense
10/22/2016,Ga. Southern,L 19 - 22,1/,37,38,5,8,40,75,New Mexico St. Aggies,Defense
10/29/2016,@ Texas A&M,L 10 - 52,1/,32,48,4,2,15,80,New Mexico St. Aggies,Offense
10/29/2016,@ Texas A&M,L 10 - 52,1/,35,28,6,2,20,63,New Mexico St. Aggies,Defense
11/12/2016,@ Arkansas St.,L 22 - 41,1/,22,72,3,14/,21,94,New Mexico St. Aggies,Offense
11/12/2016,@ Arkansas St.,L 22 - 41,1/,36,64,5,12,45,100,New Mexico St. Aggies,Defense
11/19/2016,Texas St.,W 50 - 10,1/,29,62,4,6,30,91,New Mexico St. Aggies,Offense
11/19/2016,Texas St.,W 50 - 10,1/,36,46,4,8,21,82,New Mexico St. Aggies,Defense
11/26/2016,Appalachian St.,L 7 - 37,1/,30,68,3,4,18,98,New Mexico St. Aggies,Offense
11/26/2016,Appalachian St.,L 7 - 37,1/,24,24,5,2,16,48,New Mexico St. Aggies,Defense
12/03/2016,@ South Ala.,L 28 - 35,1/,42,38,3,2,16,80,New Mexico St. Aggies,Offense
12/03/2016,@ South Ala.,L 28 - 35,1/,38,30,10,nan,44,68,New Mexico St. Aggies,Defense
08/31/2013,@ Texas,L 7 - 56,1/,47,20,2,nan,8,67,New Mexico St. Aggies,Offense
08/31/2013,@ Texas,L 7 - 56,1/,58,24,6,nan,21,82,New Mexico St. Aggies,Defense
09/07/2013,Minnesota,L 21 - 44,1/,20,60,2,2,13,80,New Mexico St. Aggies,Offense
09/07/2013,Minnesota,L 21 - 44,1/,52,40,7,6,39,92,New Mexico St. Aggies,Defense
09/14/2013,UTEP,L 21 - 42,1/,30,80,5,8/,27,110,New Mexico St. Aggies,Offense
09/14/2013,UTEP,L 21 - 42,1/,18,36,1,nan,4,54,New Mexico St. Aggies,Defense
09/21/2013,@ UCLA,L 13 - 59,1/,70,14,4,nan,5,84,New Mexico St. Aggies,Offense
09/21/2013,@ UCLA,L 13 - 59,1/,48,16,3,2,22,64,New Mexico St. Aggies,Defense
09/28/2013,San Diego St.,L 16 - 26,1/,32,56,3,4,12,88,New Mexico St. Aggies,Offense
09/28/2013,San Diego St.,L 16 - 26,1/,29,34,5,6,33,63,New Mexico St. Aggies,Defense
10/05/2013,@ New Mexico,L 17 - 66,1/,39,33,2,2,6,72,New Mexico St. Aggies,Offense
10/05/2013,@ New Mexico,L 17 - 66,1/,48,26,7,nan,26,74,New Mexico St. Aggies,Defense
10/19/2013,Rice,L 19 - 45,1/,33,68,3,2,9,101,New Mexico St. Aggies,Offense
10/19/2013,Rice,L 19 - 45,1/,26,30,4,2,23,56,New Mexico St. Aggies,Defense
10/26/2013,Abilene Christian,W 34 - 29,1/,31,50,1,nan,4,81,New Mexico St. Aggies,Offense
10/26/2013,Abilene Christian,W 34 - 29,1/,33,68,1,6,8,101/,New Mexico St. Aggies,Defense
11/02/2013,@ Louisiana,L 35 - 49,1/,38,12,4,2,21,50,New Mexico St. Aggies,Offense
11/02/2013,@ Louisiana,L 35 - 49,1/,58,20,8,4,30,78,New Mexico St. Aggies,Defense
11/09/2013,Boston College,L 34 - 48,1/,25,48,1,2,7,73,New Mexico St. Aggies,Offense
11/09/2013,Boston College,L 34 - 48,1/,44,54,3,6,16,98,New Mexico St. Aggies,Defense
11/23/2013,@ Fla. Atlantic,L 10 - 55,1/,34,34,5,nan,15,68,New Mexico St. Aggies,Offense
11/23/2013,@ Fla. Atlantic,L 10 - 55,1/,47,28,5,4,28,75,New Mexico St. Aggies,Defense
11/30/2013,Idaho,W 24 - 16,1/,37,44,1,6,18,81,New Mexico St. Aggies,Offense
11/30/2013,Idaho,W 24 - 16,1/,35,46,5,4,34,81,New Mexico St. Aggies,Defense
08/28/2014,Cal Poly,W 28 - 10,1/,34,42,4,2,10,76,New Mexico St. Aggies,Offense
08/28/2014,Cal Poly,W 28 - 10,1/,37,50,3,2,7,87,New Mexico St. Aggies,Defense
09/06/2014,@ Georgia St.,W 34 - 31,1/,46,22,2,4,17,68,New Mexico St. Aggies,Offense
09/06/2014,@ Georgia St.,W 34 - 31,1/,46,30,2,nan,4,76,New Mexico St. Aggies,Defense
09/13/2014,@ UTEP,L 24 - 42,1/,32,76,1,2,3,108,New Mexico St. Aggies,Offense
09/13/2014,@ UTEP,L 24 - 42,1/,22,40,3,6,13,62,New Mexico St. Aggies,Defense
09/20/2014,New Mexico,L 35 - 38,1/,33,48,4,nan,12,81,New Mexico St. Aggies,Offense
09/20/2014,New Mexico,L 35 - 38,1/,34,60,3,4,7,94,New Mexico St. Aggies,Defense
09/27/2014,@ LSU,L 7 - 63,1/,30,66,1,nan,9,96,New Mexico St. Aggies,Offense
09/27/2014,@ LSU,L 7 - 63,1/,24,58,3,4,16,82,New Mexico St. Aggies,Defense
10/04/2014,Ga. Southern,L 28 - 36,1/,23,86/,2,2,15,109/,New Mexico St. Aggies,Offense
10/04/2014,Ga. Southern,L 28 - 36,1/,48,58,6,2,14,106,New Mexico St. Aggies,Defense
10/11/2014,@ Troy,L 24 - 41,1/,54,36,3,4,11,90,New Mexico St. Aggies,Offense
10/11/2014,@ Troy,L 24 - 41,1/,54,24,6,2,42,78,New Mexico St. Aggies,Defense
10/18/2014,@ Idaho,L 17 - 29,1/,71/,22,3,nan,28,93,New Mexico St. Aggies,Offense
10/18/2014,@ Idaho,L 17 - 29,1/,44,13,8,nan,22,57,New Mexico St. Aggies,Defense
11/01/2014,Texas St.,L 29 - 37,1/,34,44,2,2,6,78,New Mexico St. Aggies,Offense
11/01/2014,Texas St.,L 29 - 37,1/,47,62,8,2,21,109/,New Mexico St. Aggies,Defense
11/08/2014,Louisiana,L 16 - 44,1/,29,60,2,6,23,89,New Mexico St. Aggies,Offense
11/08/2014,Louisiana,L 16 - 44,1/,27,40,2,2,5,67,New Mexico St. Aggies,Defense
11/22/2014,La.-Monroe,L 17 - 30,1/,45,28,4,nan,8,73,New Mexico St. Aggies,Offense
11/22/2014,La.-Monroe,L 17 - 30,1/,42,42,10,6,42,84,New Mexico St. Aggies,Defense
11/29/2014,@ Arkansas St.,L 35 - 68,1/,51,16,4,nan,5,67,New Mexico St. Aggies,Offense
11/29/2014,@ Arkansas St.,L 35 - 68,1/,50,12,5,nan,24,62,New Mexico St. Aggies,Defense
09/05/2015,@ Florida,L 13 - 61,1/,52,16,4,nan,6,68,New Mexico St. Aggies,Offense
09/05/2015,@ Florida,L 13 - 61,1/,20,26,4,nan,17,46,New Mexico St. Aggies,Defense
09/12/2015,Georgia St.,L 32 - 34,1/,42,62,2,2,9,104,New Mexico St. Aggies,Offense
09/12/2015,Georgia St.,L 32 - 34,1/,35,30,5,nan,23,65,New Mexico St. Aggies,Defense
09/19/2015,UTEP,L 47 - 50 (1OT),1/,36,54,3,2,4,90,New Mexico St. Aggies,Offense
09/19/2015,UTEP,L 47 - 50 (1OT),1/,32,26,6,4,24,58,New Mexico St. Aggies,Defense
10/03/2015,@ New Mexico,L 29 - 38,1/,46,24,4,nan,10,70,New Mexico St. Aggies,Offense
10/03/2015,@ New Mexico,L 29 - 38,1/,42,12,9,2,43,54,New Mexico St. Aggies,Defense
10/10/2015,@ Ole Miss,L 3 - 52,1/,41,18,1,2,7,59,New Mexico St. Aggies,Offense
10/10/2015,@ Ole Miss,L 3 - 52,1/,47,20,9,4,47,67,New Mexico St. Aggies,Defense
10/17/2015,@ Ga. Southern,L 26 - 56,1/,40,36,2,nan,3,76,New Mexico St. Aggies,Offense
10/17/2015,@ Ga. Southern,L 26 - 56,1/,42,16,2,2,10,58,New Mexico St. Aggies,Defense
10/24/2015,Troy,L 7 - 52,1/,25,34,2,2,8,59,New Mexico St. Aggies,Offense
10/24/2015,Troy,L 7 - 52,1/,43,40,11,6,42,83,New Mexico St. Aggies,Defense
10/31/2015,Idaho,W 55 - 48 (1OT),1/,36,74/,3,2,13,110/,New Mexico St. Aggies,Offense
10/31/2015,Idaho,W 55 - 48 (1OT),1/,34,40,4,nan,15,74,New Mexico St. Aggies,Defense
11/07/2015,@ Texas St.,W 31 - 21,1/,55,7,7,nan,22,62,New Mexico St. Aggies,Offense
11/07/2015,@ Texas St.,W 31 - 21,1/,69/,16,9,nan,22,85,New Mexico St. Aggies,Defense
11/21/2015,@ Louisiana,W 37 - 34,1/,52,15,6,nan,23,67,New Mexico St. Aggies,Offense
11/21/2015,@ Louisiana,W 37 - 34,1/,58,4,6,nan,24,62,New Mexico St. Aggies,Defense
11/28/2015,Arkansas St.,L 28 - 52,1/,39,44,6,4,23,83,New Mexico St. Aggies,Offense
11/28/2015,Arkansas St.,L 28 - 52,1/,28,32,3,4,17,60,New Mexico St. Aggies,Defense
12/05/2015,@ La.-Monroe,L 35 - 42,1/,28,38,7,4,33,66,New Mexico St. Aggies,Offense
12/05/2015,@ La.-Monroe,L 35 - 42,1/,51,46,13/,4,62/,97,New Mexico St. Aggies,Defense
08/30/2014,UTEP,L 24 - 31,1/,20,62,4,4,21,82,New Mexico Lobos,Offense
08/30/2014,UTEP,L 24 - 31,1/,35,38,6,6,26,73,New Mexico Lobos,Defense
09/06/2014,Arizona St.,L 23 - 58,1/,35,32,2,nan,2,67,New Mexico Lobos,Offense
09/06/2014,Arizona St.,L 23 - 58,1/,42,30,6,4,33,72,New Mexico Lobos,Defense
09/20/2014,@ New Mexico St.,W 38 - 35,1/,34,60,3,4,7,94,New Mexico Lobos,Offense
09/20/2014,@ New Mexico St.,W 38 - 35,1/,33,48,4,nan,12,81,New Mexico Lobos,Defense
09/26/2014,Fresno St.,L 24 - 35,1/,56,26,4,2,30,82,New Mexico Lobos,Offense
09/26/2014,Fresno St.,L 24 - 35,1/,41,34,6,2,23,75,New Mexico Lobos,Defense
10/04/2014,@ UTSA,W 21 - 9,1/,31,34,6,6,52,65,New Mexico Lobos,Offense
10/04/2014,@ UTSA,W 21 - 9,1/,40,36,4,2,13,76,New Mexico Lobos,Defense
10/10/2014,San Diego St.,L 14 - 24,1/,27,42,2,2,14,69,New Mexico Lobos,Offense
10/10/2014,San Diego St.,L 14 - 24,1/,36,26,6,2,18,62,New Mexico Lobos,Defense
10/18/2014,@ Air Force,L 31 - 35,1/,50,46,5,nan,29,96,New Mexico Lobos,Offense
10/18/2014,@ Air Force,L 31 - 35,1/,31,44,4,2,7,75,New Mexico Lobos,Defense
11/01/2014,@ UNLV,W 31 - 28,1/,52,23,3,nan,12,75,New Mexico Lobos,Offense
11/01/2014,@ UNLV,W 31 - 28,1/,47,36,7,2,32,83,New Mexico Lobos,Defense
11/08/2014,Boise St.,L 49 - 60,1/,32,44,5,4,24,76,New Mexico Lobos,Offense
11/08/2014,Boise St.,L 49 - 60,1/,40,22,3,nan,5,62,New Mexico Lobos,Defense
11/15/2014,@ Utah St.,L 21 - 28,1/,38,22,4,4,22,60,New Mexico Lobos,Offense
11/15/2014,@ Utah St.,L 21 - 28,1/,35,40,5,2,19,75,New Mexico Lobos,Defense
11/22/2014,@ Colorado St.,L 20 - 58,1/,44,38,4,4,31,82,New Mexico Lobos,Offense
11/22/2014,@ Colorado St.,L 20 - 58,1/,29,26,4,nan,10,55,New Mexico Lobos,Defense
11/29/2014,Wyoming,W 36 - 30,1/,46,50,8,4,50,96,New Mexico Lobos,Offense
11/29/2014,Wyoming,W 36 - 30,1/,27,16,1,nan,2,43,New Mexico Lobos,Defense
09/01/2016,South Dakota,W 48 - 21,1/,39,26,6,nan,27,65,New Mexico Lobos,Offense
09/01/2016,South Dakota,W 48 - 21,1/,43,34,8,nan,19,77,New Mexico Lobos,Defense
09/10/2016,@ New Mexico St.,L 31 - 32,1/,29,48,6,6,37,77,New Mexico Lobos,Offense
09/10/2016,@ New Mexico St.,L 31 - 32,1/,19,74,1,2,7,93,New Mexico Lobos,Defense
09/17/2016,@ Rutgers,L 28 - 37,1/,36,16,3,nan,10,52,New Mexico Lobos,Offense
09/17/2016,@ Rutgers,L 28 - 37,1/,52,42,8,2,34,94,New Mexico Lobos,Defense
