Date,Opponent,Result,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,Team,OffenseDefense
10/22/2016,Idaho,W 37 - 19,1/,35,38,6,nan,21,73,Appalachian St. Mountaineers,Defense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,33,16,8,nan,24,49,Appalachian St. Mountaineers,Offense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,45,34,2,2,13,79,Appalachian St. Mountaineers,Defense
11/05/2016,Texas St.,W 35 - 10,1/,42,28,9,8,48,70,Appalachian St. Mountaineers,Offense
11/05/2016,Texas St.,W 35 - 10,1/,33,38,3,2,8,71,Appalachian St. Mountaineers,Defense
11/12/2016,@ Troy,L 24 - 28,1/,52,8,2,2,13,60,Appalachian St. Mountaineers,Offense
11/12/2016,@ Troy,L 24 - 28,1/,45,8,6,4,21,53,Appalachian St. Mountaineers,Defense
11/19/2016,La.-Monroe,W 42 - 17,1/,39,38,2,nan,12,77,Appalachian St. Mountaineers,Offense
11/19/2016,La.-Monroe,W 42 - 17,1/,43,28,2,nan,4,71,Appalachian St. Mountaineers,Defense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,24,24,5,2,16,48,Appalachian St. Mountaineers,Offense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,30,68,3,4,18,98,Appalachian St. Mountaineers,Defense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,28,26,5,nan,12,54,Appalachian St. Mountaineers,Offense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,35,48,4,4,23,83,Appalachian St. Mountaineers,Defense
08/30/2014,@ Michigan,L 14 - 52,1/,35,24,6,nan,15,59,Appalachian St. Mountaineers,Offense
08/30/2014,@ Michigan,L 14 - 52,1/,43,22,4,nan,14,65,Appalachian St. Mountaineers,Defense
09/06/2014,Campbell,W 66 - 0,1/,29,36,3,8/,39,65,Appalachian St. Mountaineers,Offense
09/06/2014,Campbell,W 66 - 0,1/,30,58,2,2,4,88,Appalachian St. Mountaineers,Defense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,41,10,8,2,30,51,Appalachian St. Mountaineers,Offense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,57,28,8,nan,18,85,Appalachian St. Mountaineers,Defense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,46,46,4,4,17,92,Appalachian St. Mountaineers,Offense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,33,15,7,nan,20,48,Appalachian St. Mountaineers,Defense
10/04/2014,South Ala.,L 21 - 47,1/,44,32,2,4,8,76,Appalachian St. Mountaineers,Offense
10/04/2014,South Ala.,L 21 - 47,1/,43,36,2,4,14,79,Appalachian St. Mountaineers,Defense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,35,40,4,4,12,75,Appalachian St. Mountaineers,Offense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,35,28,2,4,13,63,Appalachian St. Mountaineers,Defense
10/18/2014,@ Troy,W 53 - 14,1/,47,32,5,6,43,79,Appalachian St. Mountaineers,Offense
10/18/2014,@ Troy,W 53 - 14,1/,40,22,2,2,5,62,Appalachian St. Mountaineers,Defense
11/01/2014,Georgia St.,W 44 - 0,1/,17,32,4,6,25,49,Appalachian St. Mountaineers,Offense
11/01/2014,Georgia St.,W 44 - 0,1/,39,56,2,4,10,95,Appalachian St. Mountaineers,Defense
11/08/2014,La.-Monroe,W 31 - 29,1/,30,44,5,4,34,74,Appalachian St. Mountaineers,Offense
11/08/2014,La.-Monroe,W 31 - 29,1/,42,28,6,4,21,70,Appalachian St. Mountaineers,Defense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,37,4,3,nan,11,41,Appalachian St. Mountaineers,Offense
11/15/2014,@ Arkansas St.,W 37 - 32,1/,63,14,6,2,17,77,Appalachian St. Mountaineers,Defense
11/22/2014,@ Louisiana,W 35 - 16,1/,49,18,7,nan,43,67,Appalachian St. Mountaineers,Offense
11/22/2014,@ Louisiana,W 35 - 16,1/,47,17,5,nan,7,64,Appalachian St. Mountaineers,Defense
11/29/2014,Idaho,W 45 - 28,1/,42,48,6,nan,10,90,Appalachian St. Mountaineers,Offense
11/29/2014,Idaho,W 45 - 28,1/,38,20,3,6,14,58,Appalachian St. Mountaineers,Defense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,34,38,6,nan,30,72,Alabama Crimson Tide,Offense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,42,62,3,nan,9,104/,Alabama Crimson Tide,Defense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,28,26,5,2,36,54,Alabama Crimson Tide,Offense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,43,26,2,2,8,69,Alabama Crimson Tide,Defense
09/13/2014,Southern Miss.,W 52 - 12,1/,33,16,3,2,12,49,Alabama Crimson Tide,Offense
09/13/2014,Southern Miss.,W 52 - 12,1/,42,36,3,2,14,78,Alabama Crimson Tide,Defense
09/20/2014,Florida,W 42 - 21,1/,28,20,3,2,13,48,Alabama Crimson Tide,Offense
09/20/2014,Florida,W 42 - 21,1/,45,54,5,6,25,99,Alabama Crimson Tide,Defense
10/04/2014,@ Ole Miss,L 17 - 23,1/,34,28,7,4,18,62,Alabama Crimson Tide,Offense
10/04/2014,@ Ole Miss,L 17 - 23,1/,44,42,5,2,26,86,Alabama Crimson Tide,Defense
10/11/2014,@ Arkansas,W 14 - 13,1/,40,30,6,6,35,70,Alabama Crimson Tide,Offense
10/11/2014,@ Arkansas,W 14 - 13,1/,26,40,7,nan,34,66,Alabama Crimson Tide,Defense
10/18/2014,Texas A&M,W 59 - 0,1/,32,44,4,10/,32,76,Alabama Crimson Tide,Offense
10/18/2014,Texas A&M,W 59 - 0,1/,47,22,3,nan,9,69,Alabama Crimson Tide,Defense
10/25/2014,@ Tennessee,W 34 - 20,1/,52,18,4,6,32,70,Alabama Crimson Tide,Offense
10/25/2014,@ Tennessee,W 34 - 20,1/,43,20,4,2,21,63,Alabama Crimson Tide,Defense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,28,76/,5,2,20,104,Alabama Crimson Tide,Offense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,24,52,1,2,11,76,Alabama Crimson Tide,Defense
11/15/2014,Mississippi St.,W 25 - 20,1/,42,56,1,8,13,98,Alabama Crimson Tide,Offense
11/15/2014,Mississippi St.,W 25 - 20,1/,40,20,5,nan,14,60,Alabama Crimson Tide,Defense
11/22/2014,Western Caro.,W 48 - 14,1/,29,16,4,2,32,45,Alabama Crimson Tide,Offense
11/22/2014,Western Caro.,W 48 - 14,1/,59,20,3,nan,4,79,Alabama Crimson Tide,Defense
11/29/2014,Auburn,W 55 - 44,1/,60,30,8,2,19,90,Alabama Crimson Tide,Offense
11/29/2014,Auburn,W 55 - 44,1/,45,10,3,2,15,55,Alabama Crimson Tide,Defense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,31,22,6,nan,13,53,Alabama Crimson Tide,Offense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,50,32,3,4,20,82,Alabama Crimson Tide,Defense
01/01/2015,Ohio St.,L 35 - 42,1/,54,14,11/,nan,55,68,Alabama Crimson Tide,Offense
01/01/2015,Ohio St.,L 35 - 42,1/,52,12,4,2,21,64,Alabama Crimson Tide,Defense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,36,28,4,nan,26,64,Alabama Crimson Tide,Offense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,40,36,7,4,40,76,Alabama Crimson Tide,Defense
09/12/2015,Middle Tenn.,W 37 - 10,1/,39,34,3,nan,5,73,Alabama Crimson Tide,Offense
09/12/2015,Middle Tenn.,W 37 - 10,1/,50,32,6,nan,17,82,Alabama Crimson Tide,Defense
09/19/2015,Ole Miss,L 37 - 43,1/,38,18,5,2,18,56,Alabama Crimson Tide,Offense
09/19/2015,Ole Miss,L 37 - 43,1/,53,38,7,2,28,91,Alabama Crimson Tide,Defense
09/26/2015,La.-Monroe,W 34 - 0,1/,37,34,11,2,53,71,Alabama Crimson Tide,Offense
09/26/2015,La.-Monroe,W 34 - 0,1/,38,34,3,2,16,72,Alabama Crimson Tide,Defense
10/03/2015,@ Georgia,W 38 - 10,1/,26,44,3,2,17,70,Alabama Crimson Tide,Offense
10/03/2015,@ Georgia,W 38 - 10,1/,32,56,3,2,13,88,Alabama Crimson Tide,Defense
10/10/2015,Arkansas,W 27 - 14,1/,33,20,3,2,18,53,Alabama Crimson Tide,Offense
10/10/2015,Arkansas,W 27 - 14,1/,59,16,7,2,31,75,Alabama Crimson Tide,Defense
10/17/2015,@ Texas A&M,W 41 - 23,1/,36,20,10,4,51,56,Alabama Crimson Tide,Offense
10/17/2015,@ Texas A&M,W 41 - 23,1/,50,34,10,10,49,84,Alabama Crimson Tide,Defense
10/24/2015,Tennessee,W 19 - 14,1/,38,28,6,4,44,66,Alabama Crimson Tide,Offense
10/24/2015,Tennessee,W 19 - 14,1/,51,16,8,4,38,67,Alabama Crimson Tide,Defense
11/07/2015,LSU,W 30 - 16,1/,22,20,4,6,21,42,Alabama Crimson Tide,Offense
11/07/2015,LSU,W 30 - 16,1/,61,20,6,nan,39,81,Alabama Crimson Tide,Defense
11/14/2015,@ Mississippi St.,W 31 - 6,1/,46,47,9,6,58,93,Alabama Crimson Tide,Offense
11/14/2015,@ Mississippi St.,W 31 - 6,1/,26,34,3,2,5,60,Alabama Crimson Tide,Defense
11/21/2015,Charleston So.,W 56 - 6,1/,34,12,9,nan,28,46,Alabama Crimson Tide,Offense
11/21/2015,Charleston So.,W 56 - 6,1/,37,30,2,nan,6,67,Alabama Crimson Tide,Defense
11/28/2015,@ Auburn,W 29 - 13,1/,35,22,5,nan,40,57,Alabama Crimson Tide,Offense
11/28/2015,@ Auburn,W 29 - 13,1/,49,30,1,nan,1,79,Alabama Crimson Tide,Defense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,1/,25,10,8,2,42,35,Alabama Crimson Tide,Offense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,1/,67,28,6,2,26,95,Alabama Crimson Tide,Defense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,1/,32,22,5,2,35,54,Alabama Crimson Tide,Offense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,1/,41,28,6,4,21,69,Alabama Crimson Tide,Defense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,1/,54,12,7,nan,28,66,Alabama Crimson Tide,Offense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,1/,48,18,9,nan,40,66,Alabama Crimson Tide,Defense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,1/,26,44,2,4,7,70,Alabama Crimson Tide,Offense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,1/,30,36,6,12/,47,66,Alabama Crimson Tide,Defense
09/14/2013,@ Texas A&M,W 49 - 42,1/,36,38,3,nan,7,74,Alabama Crimson Tide,Offense
09/14/2013,@ Texas A&M,W 49 - 42,1/,27,48,1,nan,1,75,Alabama Crimson Tide,Defense
09/21/2013,Colorado St.,W 31 - 6,1/,46,22,5,2,20,68,Alabama Crimson Tide,Offense
09/21/2013,Colorado St.,W 31 - 6,1/,36,20,4,2,24,56,Alabama Crimson Tide,Defense
09/28/2013,Ole Miss,W 25 - 0,1/,37,18,4,2,21,55,Alabama Crimson Tide,Offense
09/28/2013,Ole Miss,W 25 - 0,1/,48,28,6,2,20,76,Alabama Crimson Tide,Defense
10/05/2013,Georgia St.,W 45 - 3,1/,26,24,7,2,30,50,Alabama Crimson Tide,Offense
10/05/2013,Georgia St.,W 45 - 3,1/,38,36,2,nan,6,74,Alabama Crimson Tide,Defense
10/12/2013,@ Kentucky,W 48 - 7,1/,35,18,5,nan,28,53,Alabama Crimson Tide,Offense
10/12/2013,@ Kentucky,W 48 - 7,1/,41,42,nan,2,2,83,Alabama Crimson Tide,Defense
10/19/2013,Arkansas,W 52 - 0,1/,33,40,2,4,7,73,Alabama Crimson Tide,Offense
10/19/2013,Arkansas,W 52 - 0,1/,26,40,1,2,5,66,Alabama Crimson Tide,Defense
10/26/2013,Tennessee,W 45 - 10,1/,31,26,1,nan,2,57,Alabama Crimson Tide,Offense
10/26/2013,Tennessee,W 45 - 10,1/,32,40,2,nan,5,72,Alabama Crimson Tide,Defense
11/09/2013,LSU,W 38 - 17,1/,35,26,6,4,40,61,Alabama Crimson Tide,Offense
11/09/2013,LSU,W 38 - 17,1/,34,38,2,2,11,72,Alabama Crimson Tide,Defense
11/16/2013,@ Mississippi St.,W 20 - 7,1/,31,32,2,6,16,63,Alabama Crimson Tide,Offense
11/16/2013,@ Mississippi St.,W 20 - 7,1/,38,24,5,4,20,62,Alabama Crimson Tide,Defense
11/23/2013,Chattanooga,W 49 - 0,1/,31,40,7,2,17,71,Alabama Crimson Tide,Offense
11/23/2013,Chattanooga,W 49 - 0,1/,34,16,2,nan,4,50,Alabama Crimson Tide,Defense
11/30/2013,@ Auburn,L 28 - 34,1/,46,30,4,6,36,76,Alabama Crimson Tide,Offense
11/30/2013,@ Auburn,L 28 - 34,1/,33,34,2,6,10,67,Alabama Crimson Tide,Defense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,1/,58,14,5,nan,14,72,Alabama Crimson Tide,Offense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,1/,49,12,5,4,54,61,Alabama Crimson Tide,Defense
09/05/2015,@ Oklahoma,L 3 - 41,1/,46,30,3,2,15,76,Akron Zips,Offense
09/05/2015,@ Oklahoma,L 3 - 41,1/,31,42,5,4,19,73,Akron Zips,Defense
09/12/2015,Pittsburgh,L 7 - 24,1/,43,30,7,8,48,73,Akron Zips,Offense
09/12/2015,Pittsburgh,L 7 - 24,1/,28,12,5,6,52,40,Akron Zips,Defense
09/19/2015,Savannah St.,W 52 - 9,1/,33,26,2,2,17,59,Akron Zips,Offense
09/19/2015,Savannah St.,W 52 - 9,1/,49,24,3,nan,4,73,Akron Zips,Defense
09/26/2015,@ Louisiana,W 35 - 14,1/,44,10,6,nan,23,54,Akron Zips,Offense
09/26/2015,@ Louisiana,W 35 - 14,1/,37,25,3,nan,4,62,Akron Zips,Defense
10/03/2015,Ohio,L 12 - 14,1/,40,20,4,4,28,60,Akron Zips,Offense
10/03/2015,Ohio,L 12 - 14,1/,38,26,6,4,30,64,Akron Zips,Defense
10/10/2015,@ Eastern Mich.,W 47 - 21,1/,33,38,2,8,14,71,Akron Zips,Offense
10/10/2015,@ Eastern Mich.,W 47 - 21,1/,30,56,3,2,11,86,Akron Zips,Defense
10/17/2015,@ Bowling Green,L 10 - 59,1/,39,42,4,4,39,81,Akron Zips,Offense
10/17/2015,@ Bowling Green,L 10 - 59,1/,45,32,4,2,23,77,Akron Zips,Defense
10/31/2015,Central Mich.,L 6 - 14,1/,36,12,8,nan,34,48,Akron Zips,Offense
10/31/2015,Central Mich.,L 6 - 14,1/,36,16,10,nan,37,52,Akron Zips,Defense
11/07/2015,@ Massachusetts,W 17 - 13,1/,28,44,5,4,31,72,Akron Zips,Offense
11/07/2015,@ Massachusetts,W 17 - 13,1/,22,60,1,6,13,82,Akron Zips,Defense
11/14/2015,@ Miami (OH),W 37 - 28,1/,41,22,5,6,39,63,Akron Zips,Offense
11/14/2015,@ Miami (OH),W 37 - 28,1/,42,28,2,4,14,70,Akron Zips,Defense
11/21/2015,Buffalo,W 42 - 21,1/,41,30,3,nan,5,71,Akron Zips,Offense
11/21/2015,Buffalo,W 42 - 21,1/,42,26,5,4,20,68,Akron Zips,Defense
11/27/2015,Kent St.,W 20 - 0,1/,26,10,5,4,37,36,Akron Zips,Offense
