Year,Team,GP,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,OffenseDefense
2017-18,Air Force,12,12,363,374,40,12,166,737,Offense
2017-18,Air Force,0,12,502,538,54,20,315,1040,Defensive
2011-12,Auburn,1,1,59,8,11,nan,33,67,Offense
2011-12,Auburn,0,1,61,12,6,2,21,73,Defensive
2013-14,Auburn,14,14,554,359,68,44,329,913,Offense
2013-14,Auburn,0,14,627,448,53,24,255,1075,Defensive
2014-15,Auburn,13,13,566,292,65,34,296,858,Offense
2014-15,Auburn,0,13,585,390,61,26,220,975,Defensive
2015-16,Auburn,13,13,488,474,40,28,205,962,Offense
2015-16,Auburn,0,13,524,456,51,28,254,980,Defensive
2016-17,Auburn,13,13,531,315,69,28,313,846,Offense
2016-17,Auburn,0,13,567,414,59,28,255,981,Defensive
2017-18,Auburn,13,13,477,380,64,30,333,776,Offense
2017-18,Auburn,0,13,572,420,62,34,287,926,Defensive
2013-14,Army West Point,12,12,470,310,54,8,204,780,Offense
2013-14,Army West Point,0,12,551,386,49,6,148,937,Defensive
2014-15,Army West Point,12,12,491,272,48,14,179,763,Offense
2014-15,Army West Point,0,12,539,340,67,16,237,879,Defensive
2015-16,Army West Point,12,12,443,286,50,18,214,729,Offense
2015-16,Army West Point,0,12,495,330,62,34,268,825,Defensive
2016-17,Army West Point,13,13,424,314,56,32,275,738,Offense
2016-17,Army West Point,0,13,592,462,51,12,213,1054,Defensive
2017-18,Army West Point,12,12,434,266,39,20,263,700,Offense
2017-18,Army West Point,0,12,444,516,26,22,74,960,Defensive
2013-14,Army West Point,12,12,470,310,54,8,204,780,Offense
2013-14,Army West Point,0,12,551,386,49,6,148,937,Defensive
2014-15,Army West Point,12,12,491,272,48,14,179,763,Offense
2014-15,Army West Point,0,12,539,340,67,16,237,879,Defensive
2015-16,Army West Point,12,12,443,286,50,18,214,729,Offense
2015-16,Army West Point,0,12,495,330,62,34,268,825,Defensive
2016-17,Army West Point,13,13,424,314,56,32,275,738,Offense
2016-17,Army West Point,0,13,592,462,51,12,213,1054,Defensive
2017-18,Army West Point,12,12,434,266,39,20,263,700,Offense
2017-18,Army West Point,0,12,444,516,26,22,74,960,Defensive
2013-14,Army West Point,12,12,470,310,54,8,204,780,Offense
2013-14,Army West Point,0,12,551,386,49,6,148,937,Defensive
2014-15,Army West Point,12,12,491,272,48,14,179,763,Offense
2014-15,Army West Point,0,12,539,340,67,16,237,879,Defensive
2015-16,Army West Point,12,12,443,286,50,18,214,729,Offense
2015-16,Army West Point,0,12,495,330,62,34,268,825,Defensive
2016-17,Army West Point,13,13,424,314,56,32,275,738,Offense
2016-17,Army West Point,0,13,592,462,51,12,213,1054,Defensive
