Date,Opponent,Result,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,Team,OffenseDefense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,3,192,nan,5,nan,116,Appalachian St. Mountaineers,Defense
11/05/2016,Texas St.,W 35 - 10,1/,6,387,5,3,nan,43,Appalachian St. Mountaineers,Offense
11/05/2016,Texas St.,W 35 - 10,1/,3,178,nan,1,nan,21,Appalachian St. Mountaineers,Defense
11/12/2016,@ Troy,L 24 - 28,1/,5,315,2,4,nan,73,Appalachian St. Mountaineers,Offense
11/12/2016,@ Troy,L 24 - 28,1/,5,293,1,3,nan,55,Appalachian St. Mountaineers,Defense
11/19/2016,La.-Monroe,W 42 - 17,1/,7,419,3,4,nan,43,Appalachian St. Mountaineers,Offense
11/19/2016,La.-Monroe,W 42 - 17,1/,4,218,nan,4,nan,112,Appalachian St. Mountaineers,Defense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,8,520,8/,nan,nan,nan,Appalachian St. Mountaineers,Offense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,2,126,1,nan,nan,nan,Appalachian St. Mountaineers,Defense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,6,376,4,3,1/,124,Appalachian St. Mountaineers,Offense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,1/,5,312,2,2,nan,52,Appalachian St. Mountaineers,Defense
08/30/2014,@ Michigan,L 14 - 52,1/,,139,1,4,nan,82,Appalachian St. Mountaineers,Offense
08/30/2014,@ Michigan,L 14 - 52,1/,,571,5,1,nan,36,Appalachian St. Mountaineers,Defense
09/06/2014,Campbell,W 66 - 0,1/,,648,3,1,nan,27,Appalachian St. Mountaineers,Offense
09/06/2014,Campbell,W 66 - 0,1/,,55,nan,8,nan,155,Appalachian St. Mountaineers,Defense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,,182,nan,2,nan,38,Appalachian St. Mountaineers,Offense
09/20/2014,@ Southern Miss.,L 20 - 21,1/,,256,2,2,nan,50,Appalachian St. Mountaineers,Defense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,,168,nan,2,nan,27,Appalachian St. Mountaineers,Offense
09/25/2014,@ Ga. Southern,L 14 - 34,1/,,460,5,3,nan,70,Appalachian St. Mountaineers,Defense
10/04/2014,South Ala.,L 21 - 47,1/,,260,2,8,nan,131,Appalachian St. Mountaineers,Offense
10/04/2014,South Ala.,L 21 - 47,1/,,486,nan,2,nan,61,Appalachian St. Mountaineers,Defense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,,556,7,1,nan,2,Appalachian St. Mountaineers,Offense
10/11/2014,Liberty,L 48 - 55 (1OT),1/,,520,8/,2,nan,24,Appalachian St. Mountaineers,Defense
