Date,Opponent,Result,SackUA,G,SackA,SackYds,Sacks,Team,OffenseDefense
12/26/2014,"UCF @ St. Petersburg, Fla.",W 34 - 27,nan,1/,nan,18,3.0,NC State Wolfpack,Defense
08/31/2013,Louisiana Tech,W 40 - 14,nan,1/,nan,8,2.0,NC State Wolfpack,Offense
08/31/2013,Louisiana Tech,W 40 - 14,nan,1/,nan,1,1.0,NC State Wolfpack,Defense
09/07/2013,Richmond,W 23 - 21,nan,1/,nan,23,3.0,NC State Wolfpack,Offense
09/07/2013,Richmond,W 23 - 21,nan,1/,nan,2,1.0,NC State Wolfpack,Defense
09/19/2013,Clemson,L 14 - 26,nan,1/,nan,17,2.0,NC State Wolfpack,Offense
09/19/2013,Clemson,L 14 - 26,nan,1/,nan,23,5.0,NC State Wolfpack,Defense
09/28/2013,Central Mich.,W 48 - 14,nan,1/,nan,12,2.0,NC State Wolfpack,Offense
09/28/2013,Central Mich.,W 48 - 14,nan,1/,nan,13,2.0,NC State Wolfpack,Defense
10/05/2013,@ Wake Forest,L 13 - 28,nan,1/,nan,3,1.0,NC State Wolfpack,Offense
10/05/2013,@ Wake Forest,L 13 - 28,nan,1/,nan,14,4.0,NC State Wolfpack,Defense
10/12/2013,Syracuse,L 10 - 24,nan,1/,nan,2,1.0,NC State Wolfpack,Offense
10/12/2013,Syracuse,L 10 - 24,nan,1/,nan,47,5.0,NC State Wolfpack,Defense
10/26/2013,@ Florida St.,L 17 - 49,nan,1/,nan,23,3.0,NC State Wolfpack,Offense
10/26/2013,@ Florida St.,L 17 - 49,nan,1/,nan,14,3.0,NC State Wolfpack,Defense
11/02/2013,North Carolina,L 19 - 27,nan,1/,nan,1,1.0,NC State Wolfpack,Offense
11/02/2013,North Carolina,L 19 - 27,nan,1/,nan,7,1.0,NC State Wolfpack,Defense
11/09/2013,@ Duke,L 20 - 38,nan,1/,nan,5,2.0,NC State Wolfpack,Offense
11/09/2013,@ Duke,L 20 - 38,nan,1/,nan,14,3.0,NC State Wolfpack,Defense
11/16/2013,@ Boston College,L 21 - 38,nan,1/,nan,16,2.0,NC State Wolfpack,Offense
11/16/2013,@ Boston College,L 21 - 38,nan,1/,nan,32,4.0,NC State Wolfpack,Defense
11/23/2013,East Carolina,L 28 - 42,nan,1/,nan,5,1.0,NC State Wolfpack,Offense
11/23/2013,East Carolina,L 28 - 42,nan,1/,nan,1,1.0,NC State Wolfpack,Defense
11/30/2013,Maryland,L 21 - 41,nan,1/,nan,nan,nan,NC State Wolfpack,Offense
11/30/2013,Maryland,L 21 - 41,nan,1/,nan,45,6.0,NC State Wolfpack,Defense
09/05/2015,Troy,W 49 - 21,nan,1/,nan,6,1.0,NC State Wolfpack,Offense
09/05/2015,Troy,W 49 - 21,nan,1/,nan,9,3.0,NC State Wolfpack,Defense
09/12/2015,Eastern Ky.,W 35 - 0,nan,1/,nan,8,2.0,NC State Wolfpack,Offense
09/12/2015,Eastern Ky.,W 35 - 0,nan,1/,nan,12,2.0,NC State Wolfpack,Defense
09/19/2015,@ Old Dominion,W 38 - 14,nan,1/,nan,14,2.0,NC State Wolfpack,Offense
09/19/2015,@ Old Dominion,W 38 - 14,nan,1/,nan,19,2.0,NC State Wolfpack,Defense
09/26/2015,@ South Ala.,W 63 - 13,nan,1/,nan,14,2.0,NC State Wolfpack,Offense
09/26/2015,@ South Ala.,W 63 - 13,nan,1/,nan,5,1.0,NC State Wolfpack,Defense
10/03/2015,Louisville,L 13 - 20,nan,1/,nan,15,4.0,NC State Wolfpack,Offense
10/03/2015,Louisville,L 13 - 20,nan,1/,nan,26,4.0,NC State Wolfpack,Defense
10/09/2015,@ Virginia Tech,L 13 - 28,nan,1/,nan,3,1.0,NC State Wolfpack,Offense
10/09/2015,@ Virginia Tech,L 13 - 28,nan,1/,nan,22,4.0,NC State Wolfpack,Defense
10/24/2015,@ Wake Forest,W 35 - 17,nan,1/,nan,38,7.0,NC State Wolfpack,Offense
10/24/2015,@ Wake Forest,W 35 - 17,nan,1/,nan,9,1.0,NC State Wolfpack,Defense
10/31/2015,Clemson,L 41 - 56,nan,1/,nan,11,2.0,NC State Wolfpack,Offense
10/31/2015,Clemson,L 41 - 56,nan,1/,nan,35,5.0,NC State Wolfpack,Defense
11/07/2015,@ Boston College,W 24 - 8,nan,1/,nan,46,7.0,NC State Wolfpack,Offense
11/07/2015,@ Boston College,W 24 - 8,nan,1/,nan,7,1.0,NC State Wolfpack,Defense
11/14/2015,@ Florida St.,L 17 - 34,nan,1/,nan,8,1.0,NC State Wolfpack,Offense
11/14/2015,@ Florida St.,L 17 - 34,nan,1/,nan,21,4.0,NC State Wolfpack,Defense
11/21/2015,Syracuse,W 42 - 29,nan,1/,nan,10,2.0,NC State Wolfpack,Offense
11/21/2015,Syracuse,W 42 - 29,nan,1/,nan,18,3.0,NC State Wolfpack,Defense
11/28/2015,North Carolina,L 34 - 45,nan,1/,nan,nan,nan,NC State Wolfpack,Offense
11/28/2015,North Carolina,L 34 - 45,nan,1/,nan,17,4.0,NC State Wolfpack,Defense
12/30/2015,"Mississippi St. @ Charlotte, NC",L 28 - 51,nan,1/,nan,2,1.0,NC State Wolfpack,Offense
12/30/2015,"Mississippi St. @ Charlotte, NC",L 28 - 51,nan,1/,nan,27,5.0,NC State Wolfpack,Defense
09/05/2015,UNLV,W 38 - 30,nan,1/,nan,17,4.0,Northern Ill. Huskies,Offense
09/05/2015,UNLV,W 38 - 30,nan,1/,nan,14,3.0,Northern Ill. Huskies,Defense
09/12/2015,Murray St.,W 57 - 26,nan,1/,nan,23,3.0,Northern Ill. Huskies,Offense
09/12/2015,Murray St.,W 57 - 26,nan,1/,nan,15,2.0,Northern Ill. Huskies,Defense
09/19/2015,@ Ohio St.,L 13 - 20,nan,1/,nan,nan,nan,Northern Ill. Huskies,Offense
09/19/2015,@ Ohio St.,L 13 - 20,nan,1/,nan,21,4.0,Northern Ill. Huskies,Defense
09/26/2015,@ Boston College,L 14 - 17,nan,1/,nan,2,1.0,Northern Ill. Huskies,Offense
09/26/2015,@ Boston College,L 14 - 17,nan,1/,nan,16,2.0,Northern Ill. Huskies,Defense
10/03/2015,@ Central Mich.,L 19 - 29,nan,1/,nan,nan,nan,Northern Ill. Huskies,Offense
10/03/2015,@ Central Mich.,L 19 - 29,nan,1/,nan,nan,nan,Northern Ill. Huskies,Defense
10/10/2015,Ball St.,W 59 - 41,nan,1/,nan,11,1.0,Northern Ill. Huskies,Offense
10/10/2015,Ball St.,W 59 - 41,nan,1/,nan,2,1.0,Northern Ill. Huskies,Defense
10/17/2015,@ Miami (OH),W 45 - 12,nan,1/,nan,25,4.0,Northern Ill. Huskies,Offense
10/17/2015,@ Miami (OH),W 45 - 12,nan,1/,nan,1,1.0,Northern Ill. Huskies,Defense
10/24/2015,Eastern Mich.,W 49 - 21,nan,1/,nan,13,1.0,Northern Ill. Huskies,Offense
10/24/2015,Eastern Mich.,W 49 - 21,nan,1/,nan,24,3.0,Northern Ill. Huskies,Defense
11/03/2015,@ Toledo,W 32 - 27,nan,1/,nan,5,2.0,Northern Ill. Huskies,Offense
11/03/2015,@ Toledo,W 32 - 27,nan,1/,nan,10,2.0,Northern Ill. Huskies,Defense
11/11/2015,@ Buffalo,W 41 - 30,nan,1/,nan,19,2.0,Northern Ill. Huskies,Offense
11/11/2015,@ Buffalo,W 41 - 30,nan,1/,nan,2,1.0,Northern Ill. Huskies,Defense
11/18/2015,Western Mich.,W 27 - 19,nan,1/,nan,27,4.0,Northern Ill. Huskies,Offense
11/18/2015,Western Mich.,W 27 - 19,nan,1/,nan,nan,nan,Northern Ill. Huskies,Defense
11/24/2015,Ohio,L 21 - 26,nan,1/,nan,2,1.0,Northern Ill. Huskies,Offense
11/24/2015,Ohio,L 21 - 26,nan,1/,nan,29,4.0,Northern Ill. Huskies,Defense
12/04/2015,Bowling Green,L 14 - 34,nan,1/,nan,15,2.0,Northern Ill. Huskies,Offense
12/04/2015,Bowling Green,L 14 - 34,nan,1/,nan,13,4.0,Northern Ill. Huskies,Defense
12/23/2015,"Boise St. @ San Diego, Calif.",L 7 - 55,nan,1/,nan,17,2.0,Northern Ill. Huskies,Offense
12/23/2015,"Boise St. @ San Diego, Calif.",L 7 - 55,nan,1/,nan,46/,5.0,Northern Ill. Huskies,Defense
08/28/2014,Presbyterian,W 55 - 3,nan,1/,nan,16,3.0,Northern Ill. Huskies,Offense
08/28/2014,Presbyterian,W 55 - 3,nan,1/,nan,13,2.0,Northern Ill. Huskies,Defense
09/06/2014,@ Northwestern,W 23 - 15,nan,1/,nan,36,5.0,Northern Ill. Huskies,Offense
09/06/2014,@ Northwestern,W 23 - 15,nan,1/,nan,13,2.0,Northern Ill. Huskies,Defense
09/13/2014,@ UNLV,W 48 - 34,nan,1/,nan,18,3.0,Northern Ill. Huskies,Offense
09/13/2014,@ UNLV,W 48 - 34,nan,1/,nan,nan,nan,Northern Ill. Huskies,Defense
09/20/2014,@ Arkansas,L 14 - 52,nan,1/,nan,nan,nan,Northern Ill. Huskies,Offense
09/20/2014,@ Arkansas,L 14 - 52,nan,1/,nan,11,1.0,Northern Ill. Huskies,Defense
10/04/2014,Kent St.,W 17 - 14,nan,1/,nan,5,1.0,Northern Ill. Huskies,Offense
10/04/2014,Kent St.,W 17 - 14,nan,1/,nan,nan,nan,Northern Ill. Huskies,Defense
10/11/2014,Central Mich.,L 17 - 34,nan,1/,nan,nan,nan,Northern Ill. Huskies,Offense
10/11/2014,Central Mich.,L 17 - 34,nan,1/,nan,nan,nan,Northern Ill. Huskies,Defense
10/18/2014,Miami (OH),W 51 - 41,nan,1/,nan,6,1.0,Northern Ill. Huskies,Offense
10/18/2014,Miami (OH),W 51 - 41,nan,1/,nan,nan,nan,Northern Ill. Huskies,Defense
10/25/2014,@ Eastern Mich.,W 28 - 17,nan,1/,nan,36,4.0,Northern Ill. Huskies,Offense
10/25/2014,@ Eastern Mich.,W 28 - 17,nan,1/,nan,nan,nan,Northern Ill. Huskies,Defense
11/05/2014,@ Ball St.,W 35 - 21,nan,1/,nan,8,1.0,Northern Ill. Huskies,Offense
11/05/2014,@ Ball St.,W 35 - 21,nan,1/,nan,18,2.0,Northern Ill. Huskies,Defense
11/11/2014,Toledo,W 27 - 24,nan,1/,nan,19,3.0,Northern Ill. Huskies,Offense
11/11/2014,Toledo,W 27 - 24,nan,1/,nan,7,1.0,Northern Ill. Huskies,Defense
11/18/2014,@ Ohio,W 21 - 14,nan,1/,nan,10,1.0,Northern Ill. Huskies,Offense
11/18/2014,@ Ohio,W 21 - 14,nan,1/,nan,2,1.0,Northern Ill. Huskies,Defense
11/28/2014,@ Western Mich.,W 31 - 21,nan,1/,nan,35,4.0,Northern Ill. Huskies,Offense
11/28/2014,@ Western Mich.,W 31 - 21,nan,1/,nan,nan,nan,Northern Ill. Huskies,Defense
12/05/2014,"Bowling Green @ Detroit, Mich.",W 51 - 17,nan,1/,nan,24,4.0,Northern Ill. Huskies,Offense
12/05/2014,"Bowling Green @ Detroit, Mich.",W 51 - 17,nan,1/,nan,5,2.0,Northern Ill. Huskies,Defense
12/23/2014,Marshall @ Boca Raton,L 23 - 52,nan,1/,nan,14,2.0,Northern Ill. Huskies,Offense
12/23/2014,Marshall @ Boca Raton,L 23 - 52,nan,1/,nan,13,3.0,Northern Ill. Huskies,Defense
08/30/2014,@ Texas,L 7 - 38,nan,1/,nan,16,2.0,North Texas Mean Green,Offense
08/30/2014,@ Texas,L 7 - 38,nan,1/,nan,34,4.0,North Texas Mean Green,Defense
09/06/2014,SMU,W 43 - 6,nan,1/,nan,28,4.0,North Texas Mean Green,Offense
09/06/2014,SMU,W 43 - 6,nan,1/,nan,16,1.0,North Texas Mean Green,Defense
09/11/2014,Louisiana Tech,L 21 - 42,nan,1/,nan,12,3.0,North Texas Mean Green,Offense
09/11/2014,Louisiana Tech,L 21 - 42,nan,1/,nan,14,2.0,North Texas Mean Green,Defense
09/20/2014,Nicholls St.,W 77 - 3,nan,1/,nan,60/,10.0/,North Texas Mean Green,Offense
09/20/2014,Nicholls St.,W 77 - 3,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
10/04/2014,@ Indiana,L 24 - 49,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
10/04/2014,@ Indiana,L 24 - 49,nan,1/,nan,12,2.0,North Texas Mean Green,Defense
10/11/2014,@ UAB,L 21 - 56,nan,1/,nan,7,2.0,North Texas Mean Green,Offense
10/11/2014,@ UAB,L 21 - 56,nan,1/,nan,38,5.0,North Texas Mean Green,Defense
10/18/2014,Southern Miss.,L 20 - 30,nan,1/,nan,5,1.0,North Texas Mean Green,Offense
10/18/2014,Southern Miss.,L 20 - 30,nan,1/,nan,18,2.0,North Texas Mean Green,Defense
10/25/2014,@ Rice,L 21 - 41,nan,1/,nan,3,1.0,North Texas Mean Green,Offense
10/25/2014,@ Rice,L 21 - 41,nan,1/,nan,46,4.0,North Texas Mean Green,Defense
11/08/2014,Fla. Atlantic,W 31 - 10,nan,1/,nan,28,5.0,North Texas Mean Green,Offense
11/08/2014,Fla. Atlantic,W 31 - 10,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
11/15/2014,@ UTEP,L 17 - 35,nan,1/,nan,2,1.0,North Texas Mean Green,Offense
11/15/2014,@ UTEP,L 17 - 35,nan,1/,nan,30,4.0,North Texas Mean Green,Defense
11/22/2014,FIU,W 17 - 14,nan,1/,nan,22,3.0,North Texas Mean Green,Offense
11/22/2014,FIU,W 17 - 14,nan,1/,nan,7,1.0,North Texas Mean Green,Defense
11/29/2014,@ UTSA,L 27 - 34,nan,1/,nan,8,1.0,North Texas Mean Green,Offense
11/29/2014,@ UTSA,L 27 - 34,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
09/03/2016,SMU,L 21 - 34,nan,1/,nan,9,2.0,North Texas Mean Green,Offense
09/03/2016,SMU,L 21 - 34,nan,1/,nan,31,5.0,North Texas Mean Green,Defense
09/10/2016,Bethune-Cookman,W 41 - 20,nan,1/,nan,24,3.0,North Texas Mean Green,Offense
09/10/2016,Bethune-Cookman,W 41 - 20,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
09/17/2016,@ Florida,L 0 - 32,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
09/17/2016,@ Florida,L 0 - 32,nan,1/,nan,53,7.0,North Texas Mean Green,Defense
09/24/2016,@ Rice,W 42 - 35 (2OT),nan,1/,nan,24,3.0,North Texas Mean Green,Offense
09/24/2016,@ Rice,W 42 - 35 (2OT),nan,1/,nan,38,5.0,North Texas Mean Green,Defense
10/01/2016,Middle Tenn.,L 13 - 30,nan,1/,nan,5,1.0,North Texas Mean Green,Offense
10/01/2016,Middle Tenn.,L 13 - 30,nan,1/,nan,26,4.0,North Texas Mean Green,Defense
10/08/2016,Marshall,W 38 - 21,nan,1/,nan,41,5.0,North Texas Mean Green,Offense
10/08/2016,Marshall,W 38 - 21,nan,1/,nan,34,6.0,North Texas Mean Green,Defense
10/22/2016,@ Army West Point,W 35 - 18,nan,1/,nan,11,1.0,North Texas Mean Green,Offense
10/22/2016,@ Army West Point,W 35 - 18,nan,1/,nan,16,2.0,North Texas Mean Green,Defense
10/29/2016,@ UTSA,L 17 - 31,nan,1/,nan,32,5.0,North Texas Mean Green,Offense
10/29/2016,@ UTSA,L 17 - 31,nan,1/,nan,28,4.0,North Texas Mean Green,Defense
11/05/2016,Louisiana Tech,L 24 - 45,nan,1/,nan,7,1.0,North Texas Mean Green,Offense
11/05/2016,Louisiana Tech,L 24 - 45,nan,1/,nan,32,5.0,North Texas Mean Green,Defense
11/12/2016,@ Western Ky.,L 7 - 45,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
11/12/2016,@ Western Ky.,L 7 - 45,nan,1/,nan,13,2.0,North Texas Mean Green,Defense
11/19/2016,Southern Miss.,W 29 - 23,nan,1/,nan,24,4.0,North Texas Mean Green,Offense
11/19/2016,Southern Miss.,W 29 - 23,nan,1/,nan,5,1.0,North Texas Mean Green,Defense
11/26/2016,@ UTEP,L 24 - 52,nan,1/,nan,7,1.0,North Texas Mean Green,Offense
11/26/2016,@ UTEP,L 24 - 52,nan,1/,nan,12,1.0,North Texas Mean Green,Defense
12/27/2016,"Army West Point @ Dallas, Texas",L 31 - 38 (1OT),nan,1/,nan,nan,nan,North Texas Mean Green,Offense
12/27/2016,"Army West Point @ Dallas, Texas",L 31 - 38 (1OT),nan,1/,nan,5,1.0,North Texas Mean Green,Defense
08/31/2013,Idaho,W 40 - 6,nan,1/,nan,39,5.0,North Texas Mean Green,Offense
08/31/2013,Idaho,W 40 - 6,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
09/07/2013,@ Ohio,L 21 - 27,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
09/07/2013,@ Ohio,L 21 - 27,nan,1/,nan,5,2.0,North Texas Mean Green,Defense
09/14/2013,Ball St.,W 34 - 27,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
09/14/2013,Ball St.,W 34 - 27,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
09/21/2013,@ Georgia,L 21 - 45,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
09/21/2013,@ Georgia,L 21 - 45,nan,1/,nan,17,2.0,North Texas Mean Green,Defense
10/05/2013,@ Tulane,L 21 - 24,nan,1/,nan,20,5.0,North Texas Mean Green,Offense
10/05/2013,@ Tulane,L 21 - 24,nan,1/,nan,4,1.0,North Texas Mean Green,Defense
10/12/2013,Middle Tenn.,W 34 - 7,nan,1/,nan,12,2.0,North Texas Mean Green,Offense
10/12/2013,Middle Tenn.,W 34 - 7,nan,1/,nan,10,2.0,North Texas Mean Green,Defense
10/19/2013,@ Louisiana Tech,W 28 - 13,nan,1/,nan,20,3.0,North Texas Mean Green,Offense
10/19/2013,@ Louisiana Tech,W 28 - 13,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
10/26/2013,@ Southern Miss.,W 55 - 14,nan,1/,nan,20,4.0,North Texas Mean Green,Offense
10/26/2013,@ Southern Miss.,W 55 - 14,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
10/31/2013,Rice,W 28 - 16,nan,1/,nan,22,4.0,North Texas Mean Green,Offense
10/31/2013,Rice,W 28 - 16,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
11/09/2013,UTEP,W 41 - 7,nan,1/,nan,54,8.0,North Texas Mean Green,Offense
11/09/2013,UTEP,W 41 - 7,nan,1/,nan,6,2.0,North Texas Mean Green,Defense
11/23/2013,UTSA,L 13 - 21,nan,1/,nan,7,1.0,North Texas Mean Green,Offense
11/23/2013,UTSA,L 13 - 21,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
11/30/2013,@ Tulsa,W 42 - 10,nan,1/,nan,16,2.0,North Texas Mean Green,Offense
11/30/2013,@ Tulsa,W 42 - 10,nan,1/,nan,2,1.0,North Texas Mean Green,Defense
01/01/2014,UNLV,W 36 - 14,nan,1/,nan,35,5.0,North Texas Mean Green,Offense
01/01/2014,UNLV,W 36 - 14,nan,1/,nan,9,1.0,North Texas Mean Green,Defense
09/12/2015,@ SMU,L 13 - 31,nan,1/,nan,7,2.0,North Texas Mean Green,Offense
09/12/2015,@ SMU,L 13 - 31,nan,1/,nan,10,2.0,North Texas Mean Green,Defense
09/19/2015,Rice,L 24 - 38,nan,1/,nan,16,4.0,North Texas Mean Green,Offense
09/19/2015,Rice,L 24 - 38,nan,1/,nan,11,2.0,North Texas Mean Green,Defense
09/26/2015,@ Iowa,L 16 - 62,nan,1/,nan,8,1.0,North Texas Mean Green,Offense
09/26/2015,@ Iowa,L 16 - 62,nan,1/,nan,32,3.0,North Texas Mean Green,Defense
10/03/2015,@ Southern Miss.,L 14 - 49,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
10/03/2015,@ Southern Miss.,L 14 - 49,nan,1/,nan,38,5.0,North Texas Mean Green,Defense
10/10/2015,Portland St.,L 7 - 66,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
10/10/2015,Portland St.,L 7 - 66,nan,1/,nan,15,3.0,North Texas Mean Green,Defense
10/15/2015,Western Ky.,L 28 - 55,nan,1/,nan,5,1.0,North Texas Mean Green,Offense
10/15/2015,Western Ky.,L 28 - 55,nan,1/,nan,2,1.0,North Texas Mean Green,Defense
10/24/2015,@ Marshall,L 13 - 30,nan,1/,nan,9,2.0,North Texas Mean Green,Offense
10/24/2015,@ Marshall,L 13 - 30,nan,1/,nan,30,2.0,North Texas Mean Green,Defense
10/31/2015,UTSA,W 30 - 23,nan,1/,nan,9,3.0,North Texas Mean Green,Offense
10/31/2015,UTSA,W 30 - 23,nan,1/,nan,15,2.0,North Texas Mean Green,Defense
11/07/2015,@ Louisiana Tech,L 13 - 56,nan,1/,nan,nan,nan,North Texas Mean Green,Offense
11/07/2015,@ Louisiana Tech,L 13 - 56,nan,1/,nan,19,2.0,North Texas Mean Green,Defense
11/14/2015,@ Tennessee,L 0 - 24,nan,1/,nan,13,2.0,North Texas Mean Green,Offense
11/14/2015,@ Tennessee,L 0 - 24,nan,1/,nan,21,3.0,North Texas Mean Green,Defense
11/21/2015,@ Middle Tenn.,L 7 - 41,nan,1/,nan,13,2.0,North Texas Mean Green,Offense
11/21/2015,@ Middle Tenn.,L 7 - 41,nan,1/,nan,nan,nan,North Texas Mean Green,Defense
11/28/2015,UTEP,L 17 - 20,nan,1/,nan,11,2.0,North Texas Mean Green,Offense
11/28/2015,UTEP,L 17 - 20,nan,1/,nan,15,2.0,North Texas Mean Green,Defense
09/03/2016,"Georgia @ Atlanta, Georgia",L 24 - 33,nan,1/,nan,18,4.0,North Carolina Tar Heels,Offense
09/03/2016,"Georgia @ Atlanta, Georgia",L 24 - 33,nan,1/,nan,1,1.0,North Carolina Tar Heels,Defense
09/10/2016,@ Illinois,W 48 - 23,nan,1/,nan,10,2.0,North Carolina Tar Heels,Offense
09/10/2016,@ Illinois,W 48 - 23,nan,1/,nan,7,2.0,North Carolina Tar Heels,Defense
09/17/2016,James Madison,W 56 - 28,nan,1/,nan,13,3.0,North Carolina Tar Heels,Offense
09/17/2016,James Madison,W 56 - 28,nan,1/,nan,nan,nan,North Carolina Tar Heels,Defense
09/24/2016,Pittsburgh,W 37 - 36,nan,1/,nan,nan,nan,North Carolina Tar Heels,Offense
09/24/2016,Pittsburgh,W 37 - 36,nan,1/,nan,36,4.0,North Carolina Tar Heels,Defense
10/01/2016,@ Florida St.,W 37 - 35,nan,1/,nan,18,2.0,North Carolina Tar Heels,Offense
10/01/2016,@ Florida St.,W 37 - 35,nan,1/,nan,12,3.0,North Carolina Tar Heels,Defense
10/08/2016,Virginia Tech,L 3 - 34,nan,1/,nan,19,2.0,North Carolina Tar Heels,Offense
10/08/2016,Virginia Tech,L 3 - 34,nan,1/,nan,12,2.0,North Carolina Tar Heels,Defense
10/15/2016,@ Miami (FL),W 20 - 13,nan,1/,nan,13,2.0,North Carolina Tar Heels,Offense
10/15/2016,@ Miami (FL),W 20 - 13,nan,1/,nan,12,1.0,North Carolina Tar Heels,Defense
10/22/2016,@ Virginia,W 35 - 14,nan,1/,nan,16,3.0,North Carolina Tar Heels,Offense
10/22/2016,@ Virginia,W 35 - 14,nan,1/,nan,7,2.0,North Carolina Tar Heels,Defense
11/05/2016,Georgia Tech,W 48 - 20,nan,1/,nan,nan,nan,North Carolina Tar Heels,Offense
11/05/2016,Georgia Tech,W 48 - 20,nan,1/,nan,nan,nan,North Carolina Tar Heels,Defense
11/10/2016,@ Duke,L 27 - 28,nan,1/,nan,15,2.0,North Carolina Tar Heels,Offense
11/10/2016,@ Duke,L 27 - 28,nan,1/,nan,7,1.0,North Carolina Tar Heels,Defense
11/19/2016,The Citadel,W 41 - 7,nan,1/,nan,5,1.0,North Carolina Tar Heels,Offense
11/19/2016,The Citadel,W 41 - 7,nan,1/,nan,nan,nan,North Carolina Tar Heels,Defense
11/25/2016,NC State,L 21 - 28,nan,1/,nan,6,1.0,North Carolina Tar Heels,Offense
11/25/2016,NC State,L 21 - 28,nan,1/,nan,15,2.0,North Carolina Tar Heels,Defense
12/30/2016,"Stanford @ El Paso, Texas",L 23 - 25,nan,1/,nan,31,3.0,North Carolina Tar Heels,Offense
12/30/2016,"Stanford @ El Paso, Texas",L 23 - 25,nan,1/,nan,23,2.0,North Carolina Tar Heels,Defense
08/29/2013,@ South Carolina,L 10 - 27,nan,1/,nan,10,1.0,North Carolina Tar Heels,Offense
08/29/2013,@ South Carolina,L 10 - 27,nan,1/,nan,30,3.0,North Carolina Tar Heels,Defense
09/07/2013,Middle Tenn.,W 40 - 20,nan,1/,nan,18,3.0,North Carolina Tar Heels,Offense
09/07/2013,Middle Tenn.,W 40 - 20,nan,1/,nan,14,2.0,North Carolina Tar Heels,Defense
09/21/2013,@ Georgia Tech,L 20 - 28,nan,1/,nan,10,2.0,North Carolina Tar Heels,Offense
09/21/2013,@ Georgia Tech,L 20 - 28,nan,1/,nan,10,1.0,North Carolina Tar Heels,Defense
09/28/2013,East Carolina,L 31 - 55,nan,1/,nan,nan,nan,North Carolina Tar Heels,Offense
09/28/2013,East Carolina,L 31 - 55,nan,1/,nan,37,3.0,North Carolina Tar Heels,Defense
10/05/2013,@ Virginia Tech,L 17 - 27,nan,1/,nan,21,2.0,North Carolina Tar Heels,Offense
10/05/2013,@ Virginia Tech,L 17 - 27,nan,1/,nan,7,2.0,North Carolina Tar Heels,Defense
10/17/2013,Miami (FL),L 23 - 27,nan,1/,nan,13,1.0,North Carolina Tar Heels,Offense
10/17/2013,Miami (FL),L 23 - 27,nan,1/,nan,8,2.0,North Carolina Tar Heels,Defense
10/26/2013,Boston College,W 34 - 10,nan,1/,nan,18,4.0,North Carolina Tar Heels,Offense
10/26/2013,Boston College,W 34 - 10,nan,1/,nan,43,4.0,North Carolina Tar Heels,Defense
11/02/2013,@ NC State,W 27 - 19,nan,1/,nan,7,1.0,North Carolina Tar Heels,Offense
11/02/2013,@ NC State,W 27 - 19,nan,1/,nan,1,1.0,North Carolina Tar Heels,Defense
11/09/2013,Virginia,W 45 - 14,nan,1/,nan,19,3.0,North Carolina Tar Heels,Offense
11/09/2013,Virginia,W 45 - 14,nan,1/,nan,10,2.0,North Carolina Tar Heels,Defense
11/16/2013,@ Pittsburgh,W 34 - 27,nan,1/,nan,86/,7.0,North Carolina Tar Heels,Offense
11/16/2013,@ Pittsburgh,W 34 - 27,nan,1/,nan,6,1.0,North Carolina Tar Heels,Defense
11/23/2013,Old Dominion,W 80 - 20,nan,1/,nan,11,2.0,North Carolina Tar Heels,Offense
11/23/2013,Old Dominion,W 80 - 20,nan,1/,nan,nan,nan,North Carolina Tar Heels,Defense
11/30/2013,Duke,L 25 - 27,nan,1/,nan,nan,nan,North Carolina Tar Heels,Offense
11/30/2013,Duke,L 25 - 27,nan,1/,nan,nan,nan,North Carolina Tar Heels,Defense
12/28/2013,"Cincinnati @ Charlotte, NC",W 39 - 17,nan,1/,nan,51,5.0,North Carolina Tar Heels,Offense
12/28/2013,"Cincinnati @ Charlotte, NC",W 39 - 17,nan,1/,nan,nan,nan,North Carolina Tar Heels,Defense
09/03/2015,"South Carolina @ Charlotte, NC",L 13 - 17,nan,1/,nan,2,1.0,North Carolina Tar Heels,Offense
09/03/2015,"South Carolina @ Charlotte, NC",L 13 - 17,nan,1/,nan,17,4.0,North Carolina Tar Heels,Defense
09/12/2015,N.C. A&T,W 53 - 14,nan,1/,nan,1,1.0,North Carolina Tar Heels,Offense
09/12/2015,N.C. A&T,W 53 - 14,nan,1/,nan,nan,nan,North Carolina Tar Heels,Defense
09/19/2015,Illinois,W 48 - 14,nan,1/,nan,nan,nan,North Carolina Tar Heels,Offense
