Date,Opponent,Result,SackUA,G,SackA,SackYds,Sacks,Team,OffenseDefense
09/17/2016,Miami (FL),L 10 - 45,nan,1/,nan,21,2.0,Appalachian St. Mountaineers,Defense
09/24/2016,@ Akron,W 45 - 38,nan,1/,nan,24,4.0,Appalachian St. Mountaineers,Offense
09/24/2016,@ Akron,W 45 - 38,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
10/01/2016,Georgia St.,W 17 - 3,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
10/01/2016,Georgia St.,W 17 - 3,nan,1/,nan,9,1.0,Appalachian St. Mountaineers,Defense
10/12/2016,@ Louisiana,W 24 - 0,nan,1/,nan,38,5.0,Appalachian St. Mountaineers,Offense
10/12/2016,@ Louisiana,W 24 - 0,nan,1/,nan,15,2.0,Appalachian St. Mountaineers,Defense
10/22/2016,Idaho,W 37 - 19,nan,1/,nan,29,4.0,Appalachian St. Mountaineers,Offense
10/22/2016,Idaho,W 37 - 19,nan,1/,nan,15,3.0,Appalachian St. Mountaineers,Defense
10/27/2016,@ Ga. Southern,W 34 - 10,nan,1/,nan,10,1.0,Appalachian St. Mountaineers,Offense
10/27/2016,@ Ga. Southern,W 34 - 10,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/05/2016,Texas St.,W 35 - 10,nan,1/,nan,31,4.0,Appalachian St. Mountaineers,Offense
11/05/2016,Texas St.,W 35 - 10,nan,1/,nan,1,1.0,Appalachian St. Mountaineers,Defense
11/12/2016,@ Troy,L 24 - 28,nan,1/,nan,9,1.0,Appalachian St. Mountaineers,Offense
11/12/2016,@ Troy,L 24 - 28,nan,1/,nan,7,1.0,Appalachian St. Mountaineers,Defense
11/19/2016,La.-Monroe,W 42 - 17,nan,1/,nan,9,1.0,Appalachian St. Mountaineers,Offense
11/19/2016,La.-Monroe,W 42 - 17,nan,1/,nan,nan,1.0,Appalachian St. Mountaineers,Defense
11/26/2016,@ New Mexico St.,W 37 - 7,nan,1/,nan,6,2.0,Appalachian St. Mountaineers,Offense
11/26/2016,@ New Mexico St.,W 37 - 7,nan,1/,nan,12,1.0,Appalachian St. Mountaineers,Defense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,nan,1/,nan,8,2.0,Appalachian St. Mountaineers,Offense
12/17/2016,"Toledo @ Montgomery, AL",W 31 - 28,nan,1/,nan,8,1.0,Appalachian St. Mountaineers,Defense
08/30/2014,@ Michigan,L 14 - 52,nan,1/,nan,8,1.0,Appalachian St. Mountaineers,Offense
08/30/2014,@ Michigan,L 14 - 52,nan,1/,nan,9,2.0,Appalachian St. Mountaineers,Defense
09/06/2014,Campbell,W 66 - 0,nan,1/,nan,22,2.0,Appalachian St. Mountaineers,Offense
09/06/2014,Campbell,W 66 - 0,nan,1/,nan,2,1.0,Appalachian St. Mountaineers,Defense
09/20/2014,@ Southern Miss.,L 20 - 21,nan,1/,nan,20,2.0,Appalachian St. Mountaineers,Offense
09/20/2014,@ Southern Miss.,L 20 - 21,nan,1/,nan,10,2.0,Appalachian St. Mountaineers,Defense
09/25/2014,@ Ga. Southern,L 14 - 34,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
09/25/2014,@ Ga. Southern,L 14 - 34,nan,1/,nan,10,2.0,Appalachian St. Mountaineers,Defense
10/04/2014,South Ala.,L 21 - 47,nan,1/,nan,4,1.0,Appalachian St. Mountaineers,Offense
10/04/2014,South Ala.,L 21 - 47,nan,1/,nan,8,2.0,Appalachian St. Mountaineers,Defense
10/11/2014,Liberty,L 48 - 55 (1OT),nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Offense
10/11/2014,Liberty,L 48 - 55 (1OT),nan,1/,nan,2,1.0,Appalachian St. Mountaineers,Defense
10/18/2014,@ Troy,W 53 - 14,nan,1/,nan,28,3.0,Appalachian St. Mountaineers,Offense
10/18/2014,@ Troy,W 53 - 14,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/01/2014,Georgia St.,W 44 - 0,nan,1/,nan,21,4.0,Appalachian St. Mountaineers,Offense
11/01/2014,Georgia St.,W 44 - 0,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/08/2014,La.-Monroe,W 31 - 29,nan,1/,nan,33,6.0,Appalachian St. Mountaineers,Offense
11/08/2014,La.-Monroe,W 31 - 29,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/15/2014,@ Arkansas St.,W 37 - 32,nan,1/,nan,5,1.0,Appalachian St. Mountaineers,Offense
11/15/2014,@ Arkansas St.,W 37 - 32,nan,1/,nan,5,1.0,Appalachian St. Mountaineers,Defense
11/22/2014,@ Louisiana,W 35 - 16,nan,1/,nan,40,6.0,Appalachian St. Mountaineers,Offense
11/22/2014,@ Louisiana,W 35 - 16,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
11/29/2014,Idaho,W 45 - 28,nan,1/,nan,5,2.0,Appalachian St. Mountaineers,Offense
11/29/2014,Idaho,W 45 - 28,nan,1/,nan,nan,nan,Appalachian St. Mountaineers,Defense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,nan,1/,nan,25,3.0,Alabama Crimson Tide,Offense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,nan,1/,nan,nan,nan,Alabama Crimson Tide,Defense
09/06/2014,Fla. Atlantic,W 41 - 0,nan,1/,nan,31,3.0,Alabama Crimson Tide,Offense
09/06/2014,Fla. Atlantic,W 41 - 0,nan,1/,nan,5,1.0,Alabama Crimson Tide,Defense
09/13/2014,Southern Miss.,W 52 - 12,nan,1/,nan,8,1.0,Alabama Crimson Tide,Offense
09/13/2014,Southern Miss.,W 52 - 12,nan,1/,nan,11,1.0,Alabama Crimson Tide,Defense
09/20/2014,Florida,W 42 - 21,nan,1/,nan,nan,nan,Alabama Crimson Tide,Offense
09/20/2014,Florida,W 42 - 21,nan,1/,nan,8,1.0,Alabama Crimson Tide,Defense
10/04/2014,@ Ole Miss,L 17 - 23,nan,1/,nan,5,2.0,Alabama Crimson Tide,Offense
10/04/2014,@ Ole Miss,L 17 - 23,nan,1/,nan,4,1.0,Alabama Crimson Tide,Defense
10/11/2014,@ Arkansas,W 14 - 13,nan,1/,nan,19,4.0,Alabama Crimson Tide,Offense
10/11/2014,@ Arkansas,W 14 - 13,nan,1/,nan,18,2.0,Alabama Crimson Tide,Defense
