Date,Opponent,Result,G,FumblesRecovered,Int,Blkd,Team,OffenseDefense
11/29/2014,Auburn,W 55 - 44,1/,nan,3,1,Alabama Crimson Tide,Defense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,1,nan,nan,Alabama Crimson Tide,Offense
12/06/2014,"Missouri @ Atlanta, Ga.",W 42 - 13,1/,nan,nan,nan,Alabama Crimson Tide,Defense
01/01/2015,Ohio St.,L 35 - 42,1/,1,1,nan,Alabama Crimson Tide,Offense
01/01/2015,Ohio St.,L 35 - 42,1/,nan,3,nan,Alabama Crimson Tide,Defense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,nan,1,nan,Alabama Crimson Tide,Offense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,nan,nan,nan,Alabama Crimson Tide,Defense
09/12/2015,Middle Tenn.,W 37 - 10,1/,3/,1,1,Alabama Crimson Tide,Offense
09/12/2015,Middle Tenn.,W 37 - 10,1/,nan,2,nan,Alabama Crimson Tide,Defense
09/19/2015,Ole Miss,L 37 - 43,1/,nan,nan,nan,Alabama Crimson Tide,Offense
09/19/2015,Ole Miss,L 37 - 43,1/,2,3,nan,Alabama Crimson Tide,Defense
09/26/2015,La.-Monroe,W 34 - 0,1/,nan,2,nan,Alabama Crimson Tide,Offense
09/26/2015,La.-Monroe,W 34 - 0,1/,nan,1,nan,Alabama Crimson Tide,Defense
10/03/2015,@ Georgia,W 38 - 10,1/,1,3,1,Alabama Crimson Tide,Offense
10/03/2015,@ Georgia,W 38 - 10,1/,2,nan,nan,Alabama Crimson Tide,Defense
10/10/2015,Arkansas,W 27 - 14,1/,nan,1,nan,Alabama Crimson Tide,Offense
10/10/2015,Arkansas,W 27 - 14,1/,nan,2,1,Alabama Crimson Tide,Defense
10/17/2015,@ Texas A&M,W 41 - 23,1/,nan,4/,nan,Alabama Crimson Tide,Offense
10/17/2015,@ Texas A&M,W 41 - 23,1/,1,nan,1,Alabama Crimson Tide,Defense
10/24/2015,Tennessee,W 19 - 14,1/,1,nan,nan,Alabama Crimson Tide,Offense
10/24/2015,Tennessee,W 19 - 14,1/,nan,1,nan,Alabama Crimson Tide,Defense
11/07/2015,LSU,W 30 - 16,1/,nan,1,1,Alabama Crimson Tide,Offense
11/07/2015,LSU,W 30 - 16,1/,1,nan,nan,Alabama Crimson Tide,Defense
