Date,Opponent,Result,G,FumblesRecovered,Int,Blkd,Team,OffenseDefense
08/30/2014,Austin Peay,W 63 - 0,1/,1,1,nan,Memphis Tigers,Offense
08/30/2014,Austin Peay,W 63 - 0,1/,1,1,nan,Memphis Tigers,Defense
09/06/2014,@ UCLA,L 35 - 42,1/,nan,1,nan,Memphis Tigers,Offense
09/06/2014,@ UCLA,L 35 - 42,1/,nan,nan,nan,Memphis Tigers,Defense
09/20/2014,Middle Tenn.,W 36 - 17,1/,2,1,nan,Memphis Tigers,Offense
09/20/2014,Middle Tenn.,W 36 - 17,1/,nan,1,nan,Memphis Tigers,Defense
09/27/2014,@ Ole Miss,L 3 - 24,1/,2,2,nan,Memphis Tigers,Offense
09/27/2014,@ Ole Miss,L 3 - 24,1/,1,1,nan,Memphis Tigers,Defense
10/04/2014,@ Cincinnati,W 41 - 14,1/,1,1,nan,Memphis Tigers,Offense
10/04/2014,@ Cincinnati,W 41 - 14,1/,nan,nan,nan,Memphis Tigers,Defense
10/11/2014,Houston,L 24 - 28,1/,2,1,nan,Memphis Tigers,Offense
10/11/2014,Houston,L 24 - 28,1/,2,3,nan,Memphis Tigers,Defense
10/25/2014,@ SMU,W 48 - 10,1/,nan,2,nan,Memphis Tigers,Offense
10/25/2014,@ SMU,W 48 - 10,1/,1,nan,nan,Memphis Tigers,Defense
10/31/2014,Tulsa,W 40 - 20,1/,nan,nan,1,Memphis Tigers,Offense
10/31/2014,Tulsa,W 40 - 20,1/,1,nan,nan,Memphis Tigers,Defense
11/07/2014,@ Temple,W 16 - 13,1/,1,1,1,Memphis Tigers,Offense
11/07/2014,@ Temple,W 16 - 13,1/,1,nan,nan,Memphis Tigers,Defense
11/15/2014,@ Tulane,W 38 - 7,1/,2,3,nan,Memphis Tigers,Offense
11/15/2014,@ Tulane,W 38 - 7,1/,2,nan,nan,Memphis Tigers,Defense
11/22/2014,South Fla.,W 31 - 20,1/,1,nan,nan,Memphis Tigers,Offense
11/22/2014,South Fla.,W 31 - 20,1/,nan,nan,nan,Memphis Tigers,Defense
11/29/2014,UConn,W 41 - 10,1/,1,1,nan,Memphis Tigers,Offense
11/29/2014,UConn,W 41 - 10,1/,nan,nan,nan,Memphis Tigers,Defense
12/22/2014,"BYU @ Miami, Fla.",W 55 - 48 (2OT),1/,1,3,nan,Memphis Tigers,Offense
12/22/2014,"BYU @ Miami, Fla.",W 55 - 48 (2OT),1/,2,3/,nan,Memphis Tigers,Defense
09/03/2016,Southeast Mo. St.,W 35 - 17,1/,nan,1,1,Memphis Tigers,Offense
09/03/2016,Southeast Mo. St.,W 35 - 17,1/,1,2,nan,Memphis Tigers,Defense
09/17/2016,Kansas,W 43 - 7,1/,4/,2,nan,Memphis Tigers,Offense
09/17/2016,Kansas,W 43 - 7,1/,nan,nan,nan,Memphis Tigers,Defense
09/24/2016,Bowling Green,W 77 - 3,1/,nan,4,nan,Memphis Tigers,Offense
09/24/2016,Bowling Green,W 77 - 3,1/,nan,nan,nan,Memphis Tigers,Defense
10/01/2016,@ Ole Miss,L 28 - 48,1/,nan,1,nan,Memphis Tigers,Offense
10/01/2016,@ Ole Miss,L 28 - 48,1/,1,3/,nan,Memphis Tigers,Defense
10/06/2016,Temple,W 34 - 27,1/,1,2,nan,Memphis Tigers,Offense
10/06/2016,Temple,W 34 - 27,1/,1,nan,nan,Memphis Tigers,Defense
10/14/2016,@ Tulane,W 24 - 14,1/,2,1,nan,Memphis Tigers,Offense
10/14/2016,@ Tulane,W 24 - 14,1/,2,1,nan,Memphis Tigers,Defense
10/22/2016,@ Navy,L 28 - 42,1/,1,nan,nan,Memphis Tigers,Offense
10/22/2016,@ Navy,L 28 - 42,1/,1,nan,nan,Memphis Tigers,Defense
10/29/2016,Tulsa,L 30 - 59,1/,1,nan,nan,Memphis Tigers,Offense
10/29/2016,Tulsa,L 30 - 59,1/,2,2,nan,Memphis Tigers,Defense
11/05/2016,@ SMU,W 51 - 7,1/,2,1,nan,Memphis Tigers,Offense
11/05/2016,@ SMU,W 51 - 7,1/,nan,nan,nan,Memphis Tigers,Defense
11/12/2016,South Fla.,L 42 - 49,1/,nan,nan,nan,Memphis Tigers,Offense
11/12/2016,South Fla.,L 42 - 49,1/,nan,1,nan,Memphis Tigers,Defense
11/18/2016,@ Cincinnati,W 34 - 7,1/,1,2,nan,Memphis Tigers,Offense
11/18/2016,@ Cincinnati,W 34 - 7,1/,1,nan,nan,Memphis Tigers,Defense
11/25/2016,Houston,W 48 - 44,1/,1,1,nan,Memphis Tigers,Offense
11/25/2016,Houston,W 48 - 44,1/,nan,nan,nan,Memphis Tigers,Defense
12/20/2016,"Western Ky. @ Boca Raton, Fla.",L 31 - 51,1/,nan,1,nan,Memphis Tigers,Offense
12/20/2016,"Western Ky. @ Boca Raton, Fla.",L 31 - 51,1/,2,1,nan,Memphis Tigers,Defense
09/07/2013,Duke,L 14 - 28,1/,2,1,nan,Memphis Tigers,Offense
09/07/2013,Duke,L 14 - 28,1/,2,nan,nan,Memphis Tigers,Defense
09/14/2013,@ Middle Tenn.,L 15 - 17,1/,nan,1,nan,Memphis Tigers,Offense
09/14/2013,@ Middle Tenn.,L 15 - 17,1/,nan,2,nan,Memphis Tigers,Defense
09/21/2013,Arkansas St.,W 31 - 7,1/,nan,1,nan,Memphis Tigers,Offense
09/21/2013,Arkansas St.,W 31 - 7,1/,1,nan,nan,Memphis Tigers,Defense
10/05/2013,UCF,L 17 - 24,1/,nan,nan,nan,Memphis Tigers,Offense
10/05/2013,UCF,L 17 - 24,1/,1,3,nan,Memphis Tigers,Defense
10/12/2013,@ Houston,L 15 - 25,1/,1,nan,nan,Memphis Tigers,Offense
10/12/2013,@ Houston,L 15 - 25,1/,4/,nan,nan,Memphis Tigers,Defense
10/19/2013,SMU,L 29 - 34,1/,2,1,1/,Memphis Tigers,Offense
10/19/2013,SMU,L 29 - 34,1/,1,1,nan,Memphis Tigers,Defense
10/30/2013,Cincinnati,L 21 - 34,1/,nan,1,nan,Memphis Tigers,Offense
10/30/2013,Cincinnati,L 21 - 34,1/,1,1,nan,Memphis Tigers,Defense
11/09/2013,UT Martin,W 21 - 6,1/,1,1,nan,Memphis Tigers,Offense
11/09/2013,UT Martin,W 21 - 6,1/,1,1,nan,Memphis Tigers,Defense
11/16/2013,@ South Fla.,W 23 - 10,1/,1,4,nan,Memphis Tigers,Offense
11/16/2013,@ South Fla.,W 23 - 10,1/,nan,1,nan,Memphis Tigers,Defense
11/23/2013,@ Louisville,L 17 - 24,1/,nan,nan,1/,Memphis Tigers,Offense
11/23/2013,@ Louisville,L 17 - 24,1/,1,1,nan,Memphis Tigers,Defense
11/30/2013,Temple,L 21 - 41,1/,nan,1,nan,Memphis Tigers,Offense
11/30/2013,Temple,L 21 - 41,1/,1,nan,1/,Memphis Tigers,Defense
12/07/2013,@ UConn,L 10 - 45,1/,nan,nan,nan,Memphis Tigers,Offense
12/07/2013,@ UConn,L 10 - 45,1/,1,1,nan,Memphis Tigers,Defense
09/05/2015,Missouri St.,W 63 - 7,1/,3,nan,nan,Memphis Tigers,Offense
09/05/2015,Missouri St.,W 63 - 7,1/,nan,nan,nan,Memphis Tigers,Defense
09/12/2015,@ Kansas,W 55 - 23,1/,nan,nan,nan,Memphis Tigers,Offense
09/12/2015,@ Kansas,W 55 - 23,1/,3,nan,nan,Memphis Tigers,Defense
09/19/2015,@ Bowling Green,W 44 - 41,1/,nan,nan,nan,Memphis Tigers,Offense
09/19/2015,@ Bowling Green,W 44 - 41,1/,nan,nan,nan,Memphis Tigers,Defense
09/24/2015,Cincinnati,W 53 - 46,1/,nan,3,1,Memphis Tigers,Offense
09/24/2015,Cincinnati,W 53 - 46,1/,1,nan,nan,Memphis Tigers,Defense
10/02/2015,@ South Fla.,W 24 - 17,1/,nan,1,nan,Memphis Tigers,Offense
10/02/2015,@ South Fla.,W 24 - 17,1/,nan,nan,nan,Memphis Tigers,Defense
10/17/2015,Ole Miss,W 37 - 24,1/,nan,2,nan,Memphis Tigers,Offense
10/17/2015,Ole Miss,W 37 - 24,1/,nan,1,nan,Memphis Tigers,Defense
10/23/2015,@ Tulsa,W 66 - 42,1/,2,1,nan,Memphis Tigers,Offense
10/23/2015,@ Tulsa,W 66 - 42,1/,1,nan,nan,Memphis Tigers,Defense
10/31/2015,Tulane,W 41 - 13,1/,nan,nan,1,Memphis Tigers,Offense
10/31/2015,Tulane,W 41 - 13,1/,nan,nan,nan,Memphis Tigers,Defense
11/07/2015,Navy,L 20 - 45,1/,nan,nan,nan,Memphis Tigers,Offense
11/07/2015,Navy,L 20 - 45,1/,2,1,nan,Memphis Tigers,Defense
11/14/2015,@ Houston,L 34 - 35,1/,nan,nan,nan,Memphis Tigers,Offense
11/14/2015,@ Houston,L 34 - 35,1/,1,1,nan,Memphis Tigers,Defense
11/21/2015,@ Temple,L 12 - 31,1/,1,1,1,Memphis Tigers,Offense
11/21/2015,@ Temple,L 12 - 31,1/,nan,nan,nan,Memphis Tigers,Defense
11/28/2015,SMU,W 63 - 0,1/,4/,1,1,Memphis Tigers,Offense
11/28/2015,SMU,W 63 - 0,1/,1,1,nan,Memphis Tigers,Defense
12/30/2015,"Auburn @ Birmingham, Ala.",L 10 - 31,1/,nan,3,nan,Memphis Tigers,Offense
12/30/2015,"Auburn @ Birmingham, Ala.",L 10 - 31,1/,nan,1,1,Memphis Tigers,Defense
09/12/2015,@ Colorado,L 14 - 48,1/,nan,nan,nan,Massachusetts Minutemen,Offense
09/12/2015,@ Colorado,L 14 - 48,1/,1,1,nan,Massachusetts Minutemen,Defense
09/19/2015,Temple,L 23 - 25,1/,1,2,nan,Massachusetts Minutemen,Offense
09/19/2015,Temple,L 23 - 25,1/,1,1,1,Massachusetts Minutemen,Defense
09/26/2015,@ Notre Dame,L 27 - 62,1/,nan,1,nan,Massachusetts Minutemen,Offense
09/26/2015,@ Notre Dame,L 27 - 62,1/,nan,1,1,Massachusetts Minutemen,Defense
10/03/2015,FIU,W 24 - 14,1/,nan,nan,nan,Massachusetts Minutemen,Offense
10/03/2015,FIU,W 24 - 14,1/,2,nan,1,Massachusetts Minutemen,Defense
10/10/2015,@ Bowling Green,L 38 - 62,1/,nan,1,nan,Massachusetts Minutemen,Offense
10/10/2015,@ Bowling Green,L 38 - 62,1/,1,1,nan,Massachusetts Minutemen,Defense
10/17/2015,Kent St.,L 10 - 15,1/,nan,1,nan,Massachusetts Minutemen,Offense
10/17/2015,Kent St.,L 10 - 15,1/,nan,1,nan,Massachusetts Minutemen,Defense
10/24/2015,Toledo,L 35 - 51,1/,nan,3,nan,Massachusetts Minutemen,Offense
10/24/2015,Toledo,L 35 - 51,1/,nan,1,nan,Massachusetts Minutemen,Defense
10/31/2015,@ Ball St.,L 10 - 20,1/,1,1,nan,Massachusetts Minutemen,Offense
10/31/2015,@ Ball St.,L 10 - 20,1/,nan,1,nan,Massachusetts Minutemen,Defense
11/07/2015,Akron,L 13 - 17,1/,1,2,nan,Massachusetts Minutemen,Offense
11/07/2015,Akron,L 13 - 17,1/,nan,2,nan,Massachusetts Minutemen,Defense
11/14/2015,@ Eastern Mich.,W 28 - 17,1/,1,nan,nan,Massachusetts Minutemen,Offense
11/14/2015,@ Eastern Mich.,W 28 - 17,1/,nan,1,nan,Massachusetts Minutemen,Defense
11/21/2015,Miami (OH),L 13 - 20,1/,1,nan,nan,Massachusetts Minutemen,Offense
11/21/2015,Miami (OH),L 13 - 20,1/,nan,1,nan,Massachusetts Minutemen,Defense
11/27/2015,@ Buffalo,W 31 - 26,1/,nan,2,nan,Massachusetts Minutemen,Offense
11/27/2015,@ Buffalo,W 31 - 26,1/,1,2,nan,Massachusetts Minutemen,Defense
08/31/2013,Murray St.,W 58 - 14,1/,nan,3,nan,Missouri Tigers,Offense
08/31/2013,Murray St.,W 58 - 14,1/,1,nan,1,Missouri Tigers,Defense
09/07/2013,Toledo,W 38 - 23,1/,nan,3,nan,Missouri Tigers,Offense
09/07/2013,Toledo,W 38 - 23,1/,nan,1,nan,Missouri Tigers,Defense
09/21/2013,@ Indiana,W 45 - 28,1/,nan,3,nan,Missouri Tigers,Offense
09/21/2013,@ Indiana,W 45 - 28,1/,1,2,nan,Missouri Tigers,Defense
09/28/2013,Arkansas St.,W 41 - 19,1/,nan,1,nan,Missouri Tigers,Offense
09/28/2013,Arkansas St.,W 41 - 19,1/,1,nan,nan,Missouri Tigers,Defense
10/05/2013,@ Vanderbilt,W 51 - 28,1/,nan,1,nan,Missouri Tigers,Offense
10/05/2013,@ Vanderbilt,W 51 - 28,1/,nan,nan,nan,Missouri Tigers,Defense
10/12/2013,@ Georgia,W 41 - 26,1/,2,2,nan,Missouri Tigers,Offense
10/12/2013,@ Georgia,W 41 - 26,1/,nan,nan,nan,Missouri Tigers,Defense
10/19/2013,Florida,W 36 - 17,1/,2,1,nan,Missouri Tigers,Offense
10/19/2013,Florida,W 36 - 17,1/,1,1,nan,Missouri Tigers,Defense
10/26/2013,South Carolina,L 24 - 27 (2OT),1/,2,1,nan,Missouri Tigers,Offense
10/26/2013,South Carolina,L 24 - 27 (2OT),1/,nan,1,nan,Missouri Tigers,Defense
11/02/2013,Tennessee,W 31 - 3,1/,1,2,nan,Missouri Tigers,Offense
11/02/2013,Tennessee,W 31 - 3,1/,nan,nan,nan,Missouri Tigers,Defense
11/09/2013,@ Kentucky,W 48 - 17,1/,1,nan,1,Missouri Tigers,Offense
11/09/2013,@ Kentucky,W 48 - 17,1/,2,nan,nan,Missouri Tigers,Defense
11/23/2013,@ Ole Miss,W 24 - 10,1/,nan,1,1,Missouri Tigers,Offense
11/23/2013,@ Ole Miss,W 24 - 10,1/,nan,1,nan,Missouri Tigers,Defense
11/30/2013,Texas A&M,W 28 - 21,1/,1,nan,nan,Missouri Tigers,Offense
11/30/2013,Texas A&M,W 28 - 21,1/,nan,nan,nan,Missouri Tigers,Defense
12/07/2013,"Auburn @ Atlanta, GA",L 42 - 59,1/,2,nan,nan,Missouri Tigers,Offense
12/07/2013,"Auburn @ Atlanta, GA",L 42 - 59,1/,nan,1,nan,Missouri Tigers,Defense
01/03/2014,"Oklahoma St. @ Arlington, Texas",W 41 - 31,1/,1,2,nan,Missouri Tigers,Offense
01/03/2014,"Oklahoma St. @ Arlington, Texas",W 41 - 31,1/,2,1,nan,Missouri Tigers,Defense
09/03/2016,@ West Virginia,L 11 - 26,1/,1,2,nan,Missouri Tigers,Offense
09/03/2016,@ West Virginia,L 11 - 26,1/,1,nan,nan,Missouri Tigers,Defense
09/10/2016,Eastern Mich.,W 61 - 21,1/,nan,2,nan,Missouri Tigers,Offense
09/10/2016,Eastern Mich.,W 61 - 21,1/,2,nan,nan,Missouri Tigers,Defense
09/17/2016,Georgia,L 27 - 28,1/,nan,1,nan,Missouri Tigers,Offense
09/17/2016,Georgia,L 27 - 28,1/,2,3/,nan,Missouri Tigers,Defense
09/24/2016,Delaware St.,W 79 - 0,1/,2,2,nan,Missouri Tigers,Offense
09/24/2016,Delaware St.,W 79 - 0,1/,nan,nan,nan,Missouri Tigers,Defense
10/01/2016,@ LSU,L 7 - 42,1/,nan,nan,nan,Missouri Tigers,Offense
10/01/2016,@ LSU,L 7 - 42,1/,nan,1,nan,Missouri Tigers,Defense
10/15/2016,@ Florida,L 14 - 40,1/,1,3/,nan,Missouri Tigers,Offense
10/15/2016,@ Florida,L 14 - 40,1/,1,2,nan,Missouri Tigers,Defense
10/22/2016,Middle Tenn.,L 45 - 51,1/,nan,nan,nan,Missouri Tigers,Offense
10/22/2016,Middle Tenn.,L 45 - 51,1/,2,nan,nan,Missouri Tigers,Defense
10/29/2016,Kentucky,L 21 - 35,1/,1,1,nan,Missouri Tigers,Offense
10/29/2016,Kentucky,L 21 - 35,1/,nan,nan,nan,Missouri Tigers,Defense
11/05/2016,@ South Carolina,L 21 - 31,1/,nan,nan,nan,Missouri Tigers,Offense
11/05/2016,@ South Carolina,L 21 - 31,1/,1,2,nan,Missouri Tigers,Defense
11/12/2016,Vanderbilt,W 26 - 17,1/,nan,2,nan,Missouri Tigers,Offense
11/12/2016,Vanderbilt,W 26 - 17,1/,1,nan,nan,Missouri Tigers,Defense
11/19/2016,@ Tennessee,L 37 - 63,1/,nan,nan,nan,Missouri Tigers,Offense
11/19/2016,@ Tennessee,L 37 - 63,1/,2,2,nan,Missouri Tigers,Defense
11/25/2016,Arkansas,W 28 - 24,1/,nan,2,nan,Missouri Tigers,Offense
11/25/2016,Arkansas,W 28 - 24,1/,1,nan,nan,Missouri Tigers,Defense
08/30/2014,Southern Miss.,W 49 - 0,1/,1,2,1,Mississippi St. Bulldogs,Offense
08/30/2014,Southern Miss.,W 49 - 0,1/,1,1,nan,Mississippi St. Bulldogs,Defense
09/06/2014,UAB,W 47 - 34,1/,nan,1,1,Mississippi St. Bulldogs,Offense
09/06/2014,UAB,W 47 - 34,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
09/13/2014,@ South Ala.,W 35 - 3,1/,2,2,1,Mississippi St. Bulldogs,Offense
09/13/2014,@ South Ala.,W 35 - 3,1/,2,nan,nan,Mississippi St. Bulldogs,Defense
09/20/2014,@ LSU,W 34 - 29,1/,nan,1,nan,Mississippi St. Bulldogs,Offense
09/20/2014,@ LSU,W 34 - 29,1/,2,nan,nan,Mississippi St. Bulldogs,Defense
10/04/2014,Texas A&M,W 48 - 31,1/,nan,3,nan,Mississippi St. Bulldogs,Offense
10/04/2014,Texas A&M,W 48 - 31,1/,2,nan,1,Mississippi St. Bulldogs,Defense
10/11/2014,Auburn,W 38 - 23,1/,2,2,nan,Mississippi St. Bulldogs,Offense
10/11/2014,Auburn,W 38 - 23,1/,1,3,nan,Mississippi St. Bulldogs,Defense
10/25/2014,@ Kentucky,W 45 - 31,1/,1,nan,nan,Mississippi St. Bulldogs,Offense
10/25/2014,@ Kentucky,W 45 - 31,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
11/01/2014,Arkansas,W 17 - 10,1/,nan,1,nan,Mississippi St. Bulldogs,Offense
11/01/2014,Arkansas,W 17 - 10,1/,1,2,nan,Mississippi St. Bulldogs,Defense
11/08/2014,UT Martin,W 45 - 16,1/,nan,nan,1,Mississippi St. Bulldogs,Offense
11/08/2014,UT Martin,W 45 - 16,1/,1,nan,nan,Mississippi St. Bulldogs,Defense
11/15/2014,@ Alabama,L 20 - 25,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
11/15/2014,@ Alabama,L 20 - 25,1/,nan,3,nan,Mississippi St. Bulldogs,Defense
11/22/2014,Vanderbilt,W 51 - 0,1/,1,2,nan,Mississippi St. Bulldogs,Offense
11/22/2014,Vanderbilt,W 51 - 0,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
11/29/2014,@ Ole Miss,L 17 - 31,1/,nan,1,nan,Mississippi St. Bulldogs,Offense
11/29/2014,@ Ole Miss,L 17 - 31,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
12/31/2014,"Georgia Tech @ Miami Gardens, Fla.",L 34 - 49,1/,nan,1,nan,Mississippi St. Bulldogs,Offense
12/31/2014,"Georgia Tech @ Miami Gardens, Fla.",L 34 - 49,1/,1,1,nan,Mississippi St. Bulldogs,Defense
09/05/2015,@ Southern Miss.,W 34 - 16,1/,nan,2,1,Mississippi St. Bulldogs,Offense
09/05/2015,@ Southern Miss.,W 34 - 16,1/,2,nan,nan,Mississippi St. Bulldogs,Defense
09/12/2015,LSU,L 19 - 21,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
09/12/2015,LSU,L 19 - 21,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
09/19/2015,Northwestern St.,W 62 - 13,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
09/19/2015,Northwestern St.,W 62 - 13,1/,2,nan,nan,Mississippi St. Bulldogs,Defense
09/26/2015,@ Auburn,W 17 - 9,1/,nan,1,nan,Mississippi St. Bulldogs,Offense
09/26/2015,@ Auburn,W 17 - 9,1/,1,nan,nan,Mississippi St. Bulldogs,Defense
10/03/2015,@ Texas A&M,L 17 - 30,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
10/03/2015,@ Texas A&M,L 17 - 30,1/,2,nan,nan,Mississippi St. Bulldogs,Defense
10/10/2015,Troy,W 45 - 17,1/,1,1,nan,Mississippi St. Bulldogs,Offense
10/10/2015,Troy,W 45 - 17,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
10/17/2015,Louisiana Tech,W 45 - 20,1/,nan,1,1,Mississippi St. Bulldogs,Offense
10/17/2015,Louisiana Tech,W 45 - 20,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
10/24/2015,Kentucky,W 42 - 16,1/,nan,3,nan,Mississippi St. Bulldogs,Offense
10/24/2015,Kentucky,W 42 - 16,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
11/05/2015,@ Missouri,W 31 - 13,1/,nan,2,nan,Mississippi St. Bulldogs,Offense
11/05/2015,@ Missouri,W 31 - 13,1/,2,nan,1,Mississippi St. Bulldogs,Defense
11/14/2015,Alabama,L 6 - 31,1/,nan,1,1,Mississippi St. Bulldogs,Offense
11/14/2015,Alabama,L 6 - 31,1/,1,1,nan,Mississippi St. Bulldogs,Defense
11/21/2015,@ Arkansas,W 51 - 50,1/,nan,nan,1,Mississippi St. Bulldogs,Offense
11/21/2015,@ Arkansas,W 51 - 50,1/,2,1,nan,Mississippi St. Bulldogs,Defense
11/28/2015,Ole Miss,L 27 - 38,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
11/28/2015,Ole Miss,L 27 - 38,1/,1,1,nan,Mississippi St. Bulldogs,Defense
12/30/2015,"NC State @ Charlotte, NC",W 51 - 28,1/,nan,2,nan,Mississippi St. Bulldogs,Offense
12/30/2015,"NC State @ Charlotte, NC",W 51 - 28,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
09/03/2016,South Ala.,L 20 - 21,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
09/03/2016,South Ala.,L 20 - 21,1/,nan,nan,1,Mississippi St. Bulldogs,Defense
09/10/2016,South Carolina,W 27 - 14,1/,1,1,nan,Mississippi St. Bulldogs,Offense
09/10/2016,South Carolina,W 27 - 14,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
09/17/2016,@ LSU,L 20 - 23,1/,1,nan,1,Mississippi St. Bulldogs,Offense
09/17/2016,@ LSU,L 20 - 23,1/,1,nan,nan,Mississippi St. Bulldogs,Defense
09/24/2016,@ Massachusetts,W 47 - 35,1/,nan,3/,nan,Mississippi St. Bulldogs,Offense
09/24/2016,@ Massachusetts,W 47 - 35,1/,1,nan,nan,Mississippi St. Bulldogs,Defense
10/08/2016,Auburn,L 14 - 38,1/,1,1,nan,Mississippi St. Bulldogs,Offense
10/08/2016,Auburn,L 14 - 38,1/,2,1,nan,Mississippi St. Bulldogs,Defense
10/14/2016,@ BYU,L 21 - 28 (2OT),1/,1,1,nan,Mississippi St. Bulldogs,Offense
10/14/2016,@ BYU,L 21 - 28 (2OT),1/,nan,2,nan,Mississippi St. Bulldogs,Defense
10/22/2016,@ Kentucky,L 38 - 40,1/,2,nan,nan,Mississippi St. Bulldogs,Offense
10/22/2016,@ Kentucky,L 38 - 40,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
10/29/2016,Samford,W 56 - 41,1/,nan,3/,1,Mississippi St. Bulldogs,Offense
10/29/2016,Samford,W 56 - 41,1/,1,2,nan,Mississippi St. Bulldogs,Defense
11/05/2016,Texas A&M,W 35 - 28,1/,1,1,nan,Mississippi St. Bulldogs,Offense
11/05/2016,Texas A&M,W 35 - 28,1/,nan,2,nan,Mississippi St. Bulldogs,Defense
11/12/2016,@ Alabama,L 3 - 51,1/,1,1,nan,Mississippi St. Bulldogs,Offense
11/12/2016,@ Alabama,L 3 - 51,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
11/19/2016,Arkansas,L 42 - 58,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
11/19/2016,Arkansas,L 42 - 58,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
11/26/2016,@ Ole Miss,W 55 - 20,1/,nan,2,nan,Mississippi St. Bulldogs,Offense
11/26/2016,@ Ole Miss,W 55 - 20,1/,1,nan,nan,Mississippi St. Bulldogs,Defense
12/26/2016,"Miami (OH) @ St. Petersburg, Fla.",W 17 - 16,1/,1,1,2/,Mississippi St. Bulldogs,Offense
12/26/2016,"Miami (OH) @ St. Petersburg, Fla.",W 17 - 16,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
08/31/2013,"Oklahoma St. @ Houston, Texas",L 3 - 21,1/,nan,nan,1,Mississippi St. Bulldogs,Offense
08/31/2013,"Oklahoma St. @ Houston, Texas",L 3 - 21,1/,nan,2,nan,Mississippi St. Bulldogs,Defense
09/07/2013,Alcorn,W 51 - 7,1/,2,1,nan,Mississippi St. Bulldogs,Offense
09/07/2013,Alcorn,W 51 - 7,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
09/14/2013,@ Auburn,L 20 - 24,1/,1,2,nan,Mississippi St. Bulldogs,Offense
09/14/2013,@ Auburn,L 20 - 24,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
09/21/2013,Troy,W 62 - 7,1/,1,1,nan,Mississippi St. Bulldogs,Offense
09/21/2013,Troy,W 62 - 7,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
10/05/2013,LSU,L 26 - 59,1/,nan,1,nan,Mississippi St. Bulldogs,Offense
10/05/2013,LSU,L 26 - 59,1/,1,1,nan,Mississippi St. Bulldogs,Defense
10/12/2013,Bowling Green,W 21 - 20,1/,1,nan,nan,Mississippi St. Bulldogs,Offense
10/12/2013,Bowling Green,W 21 - 20,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
10/24/2013,Kentucky,W 28 - 22,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
10/24/2013,Kentucky,W 28 - 22,1/,nan,nan,nan,Mississippi St. Bulldogs,Defense
11/02/2013,@ South Carolina,L 16 - 34,1/,nan,nan,nan,Mississippi St. Bulldogs,Offense
11/02/2013,@ South Carolina,L 16 - 34,1/,2,3,nan,Mississippi St. Bulldogs,Defense
11/09/2013,@ Texas A&M,L 41 - 51,1/,nan,3,nan,Mississippi St. Bulldogs,Offense
11/09/2013,@ Texas A&M,L 41 - 51,1/,nan,1,2/,Mississippi St. Bulldogs,Defense
11/16/2013,Alabama,L 7 - 20,1/,2,2,nan,Mississippi St. Bulldogs,Offense
11/16/2013,Alabama,L 7 - 20,1/,nan,1,nan,Mississippi St. Bulldogs,Defense
11/23/2013,@ Arkansas,W 24 - 17 (1OT),1/,2,1,nan,Mississippi St. Bulldogs,Offense
11/23/2013,@ Arkansas,W 24 - 17 (1OT),1/,1,1,1,Mississippi St. Bulldogs,Defense
11/28/2013,Ole Miss,W 17 - 10 (1OT),1/,1,3,nan,Mississippi St. Bulldogs,Offense
11/28/2013,Ole Miss,W 17 - 10 (1OT),1/,1,1,1,Mississippi St. Bulldogs,Defense
12/31/2013,"Rice @ Memphis, Tenn.",W 44 - 7,1/,1,nan,nan,Mississippi St. Bulldogs,Offense
12/31/2013,"Rice @ Memphis, Tenn.",W 44 - 7,1/,1,nan,1,Mississippi St. Bulldogs,Defense
08/29/2013,UNLV,W 51 - 23,1/,nan,2,2/,Minnesota Golden Gophers,Offense
08/29/2013,UNLV,W 51 - 23,1/,nan,1,nan,Minnesota Golden Gophers,Defense
09/07/2013,@ New Mexico St.,W 44 - 21,1/,1,nan,1,Minnesota Golden Gophers,Offense
09/07/2013,@ New Mexico St.,W 44 - 21,1/,nan,1,nan,Minnesota Golden Gophers,Defense
