Year,Team,GP,Punts,G,PuntYds,PuntTBs,LongPunt,OffenseDefense
2015-16,Air Force,0,79,14,3526,6,nan,Defensive
2016-17,Air Force,13,48,13,1973,1,nan,Offense
2016-17,Air Force,0,65,13,2578,6,nan,Defensive
2017-18,Air Force,12,41,12,1728,nan,nan,Offense
2017-18,Air Force,0,50,12,2050,6,nan,Defensive
2013-14,Air Force,12,49,12,1895,3,nan,Offense
2013-14,Air Force,0,31,12,1333,5,nan,Defensive
2014-15,Air Force,13,61,13,2662,9,nan,Offense
2014-15,Air Force,0,68,13,2710,8,nan,Defensive
2015-16,Air Force,14,60,14,2316,3,nan,Offense
2015-16,Air Force,0,79,14,3526,6,nan,Defensive
2016-17,Air Force,13,48,13,1973,1,nan,Offense
2016-17,Air Force,0,65,13,2578,6,nan,Defensive
2017-18,Air Force,12,41,12,1728,nan,nan,Offense
2017-18,Air Force,0,50,12,2050,6,nan,Defensive
2011-12,Auburn,1,5,1,202,nan,nan,Offense
2011-12,Auburn,0,5,1,184,1,nan,Defensive
2013-14,Auburn,14,56,14,2385,4,nan,Offense
2013-14,Auburn,0,76,14,3334,8,nan,Defensive
2014-15,Auburn,13,52,13,2115,1,nan,Offense
2014-15,Auburn,0,59,13,2427,2,nan,Defensive
2015-16,Auburn,13,55,13,2254,5,nan,Offense
2015-16,Auburn,0,46,13,1894,5,nan,Defensive
2016-17,Auburn,13,48,13,1994,3,nan,Offense
2016-17,Auburn,0,72,13,2831,6,nan,Defensive
2017-18,Auburn,13,52,13,2054,3,nan,Offense
2017-18,Auburn,0,84,13,3554,7,nan,Defensive
2013-14,Army West Point,12,51,12,1901,2,nan,Offense
2013-14,Army West Point,0,45,12,1804,4,nan,Defensive
2014-15,Army West Point,12,44,12,1731,1,nan,Offense
2014-15,Army West Point,0,36,12,1385,1,nan,Defensive
2015-16,Army West Point,12,50,12,2012,2,nan,Offense
2015-16,Army West Point,0,60,12,2335,6,nan,Defensive
2016-17,Army West Point,13,37,13,1300,2,nan,Offense
2016-17,Army West Point,0,62,13,2304,3,nan,Defensive
2017-18,Army West Point,12,27,12,1141,1,nan,Offense
2017-18,Army West Point,0,43,12,1545,5,nan,Defensive
2013-14,Army West Point,12,51,12,1901,2,nan,Offense
2013-14,Army West Point,0,45,12,1804,4,nan,Defensive
2014-15,Army West Point,12,44,12,1731,1,nan,Offense
2014-15,Army West Point,0,36,12,1385,1,nan,Defensive
2015-16,Army West Point,12,50,12,2012,2,nan,Offense
2015-16,Army West Point,0,60,12,2335,6,nan,Defensive
2016-17,Army West Point,13,37,13,1300,2,nan,Offense
2016-17,Army West Point,0,62,13,2304,3,nan,Defensive
2017-18,Army West Point,12,27,12,1141,1,nan,Offense
2017-18,Army West Point,0,43,12,1545,5,nan,Defensive
2013-14,Army West Point,12,51,12,1901,2,nan,Offense
2013-14,Army West Point,0,45,12,1804,4,nan,Defensive
2014-15,Army West Point,12,44,12,1731,1,nan,Offense
2014-15,Army West Point,0,36,12,1385,1,nan,Defensive
2015-16,Army West Point,12,50,12,2012,2,nan,Offense
2015-16,Army West Point,0,60,12,2335,6,nan,Defensive
2016-17,Army West Point,13,37,13,1300,2,nan,Offense
2016-17,Army West Point,0,62,13,2304,3,nan,Defensive
2017-18,Army West Point,12,27,12,1141,1,nan,Offense
2017-18,Army West Point,0,43,12,1545,5,nan,Defensive
2013-14,Army West Point,12,51,12,1901,2,nan,Offense
2013-14,Army West Point,0,45,12,1804,4,nan,Defensive
2014-15,Army West Point,12,44,12,1731,1,nan,Offense
2014-15,Army West Point,0,36,12,1385,1,nan,Defensive
2015-16,Army West Point,12,50,12,2012,2,nan,Offense
2015-16,Army West Point,0,60,12,2335,6,nan,Defensive
2016-17,Army West Point,13,37,13,1300,2,nan,Offense
2016-17,Army West Point,0,62,13,2304,3,nan,Defensive
2017-18,Army West Point,12,27,12,1141,1,nan,Offense
2017-18,Army West Point,0,43,12,1545,5,nan,Defensive
2013-14,Arkansas St.,13,64,13,2580,6,nan,Offense
2013-14,Arkansas St.,0,70,13,2950,8,nan,Defensive
2014-15,Arkansas St.,13,67,13,2819,6,nan,Offense
2014-15,Arkansas St.,0,81,13,3373,4,nan,Defensive
2015-16,Arkansas St.,13,72,13,3075,6,nan,Offense
2015-16,Arkansas St.,0,86,13,3602,3,nan,Defensive
2016-17,Arkansas St.,13,81,13,3165,3,nan,Offense
2016-17,Arkansas St.,0,87,13,3638,5,nan,Defensive
2017-18,Arkansas St.,11,50,11,2013,nan,nan,Offense
2017-18,Arkansas St.,0,77,11,3064,3,nan,Defensive
2013-14,Arkansas St.,13,64,13,2580,6,nan,Offense
2013-14,Arkansas St.,0,70,13,2950,8,nan,Defensive
2014-15,Arkansas St.,13,67,13,2819,6,nan,Offense
2014-15,Arkansas St.,0,81,13,3373,4,nan,Defensive
2015-16,Arkansas St.,13,72,13,3075,6,nan,Offense
2015-16,Arkansas St.,0,86,13,3602,3,nan,Defensive
2016-17,Arkansas St.,13,81,13,3165,3,nan,Offense
2016-17,Arkansas St.,0,87,13,3638,5,nan,Defensive
2017-18,Arkansas St.,11,50,11,2013,nan,nan,Offense
2017-18,Arkansas St.,0,77,11,3064,3,nan,Defensive
2013-14,Arkansas,12,53,12,2358,2,nan,Offense
2013-14,Arkansas,0,48,12,2012,5,nan,Defensive
2014-15,Arkansas,13,59,13,2363,2,nan,Offense
2014-15,Arkansas,0,66,13,2826,1,nan,Defensive
2015-16,Arkansas,13,44,13,1772,2,nan,Offense
2015-16,Arkansas,0,52,13,2176,4,nan,Defensive
2016-17,Arkansas,13,59,13,2626,3,nan,Offense
2016-17,Arkansas,0,61,13,2592,6,nan,Defensive
2017-18,Arkansas,12,59,12,2277,3,nan,Offense
2017-18,Arkansas,0,46,12,1842,2,nan,Defensive
2013-14,Arkansas,12,53,12,2358,2,nan,Offense
2013-14,Arkansas,0,48,12,2012,5,nan,Defensive
2014-15,Arkansas,13,59,13,2363,2,nan,Offense
2014-15,Arkansas,0,66,13,2826,1,nan,Defensive
2015-16,Arkansas,13,44,13,1772,2,nan,Offense
2015-16,Arkansas,0,52,13,2176,4,nan,Defensive
2016-17,Arkansas,13,59,13,2626,3,nan,Offense
2016-17,Arkansas,0,61,13,2592,6,nan,Defensive
2017-18,Arkansas,12,59,12,2277,3,nan,Offense
2017-18,Arkansas,0,46,12,1842,2,nan,Defensive
2013-14,Arkansas,12,53,12,2358,2,nan,Offense
2013-14,Arkansas,0,48,12,2012,5,nan,Defensive
2014-15,Arkansas,13,59,13,2363,2,nan,Offense
2014-15,Arkansas,0,66,13,2826,1,nan,Defensive
2015-16,Arkansas,13,44,13,1772,2,nan,Offense
2015-16,Arkansas,0,52,13,2176,4,nan,Defensive
