Jersey,Player,Yr,Pos,GP,GS,FumblesRecovered,Int,FumblesLost,Interceptions,stat,year,team
16,"Jones, Davon",Fr,RB,12,1,nan,nan,1.0,nan,Turnover Margin,2016-17,Boston College Eagles
21,"Denis, Lukas",So,DB,12,1,nan,1.0,nan,nan,Turnover Margin,2016-17,Boston College Eagles
13,"Strachan, Connor",Jr,LB,12,11,4.0,nan,nan,nan,Turnover Margin,2016-17,Boston College Eagles
4,"Rypien, Brett",So,QB,13,13,nan,nan,3.0,8,Turnover Margin,2016-17,Boise St. Broncos
91,"Miles, Durrant",So,DL,13,6,1,nan,nan,nan,Turnover Margin,2016-17,Boise St. Broncos
14,"Horton, Tyler",So,DB,13,13,nan,1,nan,nan,Turnover Margin,2016-17,Boise St. Broncos
25,"Ford, Raymond",Sr,DB,13,1,nan,1,nan,nan,Turnover Margin,2016-17,Boise St. Broncos
13,"McNichols, Jeremy",Jr,RB,13,13,nan,nan,2.0,nan,Turnover Margin,2016-17,Boise St. Broncos
82,"Sperbeck, Thomas",Sr,WR,13,11,nan,nan,2.0,nan,Turnover Margin,2016-17,Boise St. Broncos
44,"Lee, Darren",Sr,LB,13,10,1,nan,nan,nan,Turnover Margin,2016-17,Boise St. Broncos
3,"James, Chanceller",Sr,DB,13,12,nan,3,nan,nan,Turnover Margin,2016-17,Boise St. Broncos
81,"Butler, Akilian",So,WR,10,0,nan,nan,2.0,nan,Turnover Margin,2016-17,Boise St. Broncos
3,"Beasley, Vic",Sr,DL,13,12,1,nan,nan,nan,Turnover Margin,2014-15,Clemson Tigers
42,"Anthony, Stephone",Sr,LB,13,12,nan,1,nan,nan,Turnover Margin,2014-15,Clemson Tigers
9,"Barnes, Tavaris",Sr,DL,13,3,1,nan,nan,nan,Turnover Margin,2014-15,Clemson Tigers
50,"Jarrett, Grady",Sr,DL,13,13,1,nan,nan,nan,Turnover Margin,2014-15,Clemson Tigers
27,"Smith, Robert",Sr,DB,13,12,2,2,nan,nan,Turnover Margin,2014-15,Clemson Tigers
18,"Stoudt, Cole",Sr,QB,13,8,nan,nan,1.0,10,Turnover Margin,2014-15,Clemson Tigers
12,"Wiggins, Korrin",So,DB,13,6,nan,2,nan,nan,Turnover Margin,2014-15,Clemson Tigers
20,"Kearse, Jayron",So,DB,13,12,1,2,nan,nan,Turnover Margin,2014-15,Clemson Tigers
1J,"Johnson, Jadar",So,DB,13,1,nan,2,nan,nan,Turnover Margin,2014-15,Clemson Tigers
10,"Boulware, Ben",So,LB,13,2,2,1,nan,nan,Turnover Margin,2014-15,Clemson Tigers
2,"Alexander, Mackensie",Fr,DB,13,13,1,nan,nan,nan,Turnover Margin,2014-15,Clemson Tigers
32,"Davidson, C.J.",Jr,RB,13,1,nan,nan,2.0,nan,Turnover Margin,2014-15,Clemson Tigers
13,"Humphries, Adam",Sr,WR,13,12,nan,nan,1.0,nan,Turnover Margin,2014-15,Clemson Tigers
44,"Goodson, B.J.",Jr,LB,12,6,3,nan,nan,nan,Turnover Margin,2014-15,Clemson Tigers
26,"Peters, Garry",Sr,DB,12,12,nan,1,nan,nan,Turnover Margin,2014-15,Clemson Tigers
15,"Green, T.J.",So,DB,11,1,nan,1,nan,nan,Turnover Margin,2014-15,Clemson Tigers
90,"Lawrence, Dexter",Fr,DL,15,11,2.0,nan,nan,nan,Turnover Margin,2016-17,Clemson Tigers
12,"Wallace, K'Von",Fr,DB,15,0,nan,1.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
42,"Wilkins, Christian",So,DL,15,15,2.0,nan,nan,nan,Turnover Margin,2016-17,Clemson Tigers
23,"Smith, Van",So,DB,15,15,nan,2.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
4,"Watson, Deshaun",Jr,QB,15,15,nan,nan,2.0,17.0,Turnover Margin,2016-17,Clemson Tigers
34,"Joseph, Kendall",So,LB,15,15,nan,1.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
7,"Williams, Mike",Jr,WR,15,15,nan,nan,2.0,nan,Turnover Margin,2016-17,Clemson Tigers
25,"Tankersley, Cordrea",Sr,DB,15,15,nan,4.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
6,"O'Daniel, Dorian",Jr,LB,15,12,nan,1.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
16,"Leggett, Jordan",Sr,TE,15,15,nan,nan,1.0,nan,Turnover Margin,2016-17,Clemson Tigers
18,"Johnson, Jadar",Sr,DB,15,15,nan,5.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
9,"Gallman, Wayne",Jr,RB,15,15,nan,nan,2.0,nan,Turnover Margin,2016-17,Clemson Tigers
31,"Carter, Ryan",Jr,DB,15,13,nan,1.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
94,"Watkins, Carlos",Sr,DL,15,15,1.0,nan,nan,nan,Turnover Margin,2016-17,Clemson Tigers
19,"Muse, Tanner",Fr,DB,14,0,nan,1.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
3M,"McCloud, Ray-Ray",So,WR,14,5,nan,nan,3.0,nan,Turnover Margin,2016-17,Clemson Tigers
10,"Boulware, Ben",Sr,LB,14,14,1.0,1.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
2,"Fields, Mark",So,DB,13,1,nan,1.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
14,"Johnson, Denzel",Fr,DB,13,0,1.0,nan,nan,nan,Turnover Margin,2016-17,Clemson Tigers
29,"Edmond, Marcus",Jr,DB,12,3,nan,1.0,nan,nan,Turnover Margin,2016-17,Clemson Tigers
4,"Gallup, Michael",Jr,WR,13,11,nan,nan,2.0,nan,Turnover Margin,2016-17,Colorado St. Rams
29D,"Sweet, Justin",Jr,DB,13,3,1.0,1.0,nan,nan,Turnover Margin,2016-17,Colorado St. Rams
8D,"Schlager, Jake",Jr,DB,13,12,1.0,1.0,nan,nan,Turnover Margin,2016-17,Colorado St. Rams
43,"Colorito, Evan",Jr,LB,13,13,1.0,nan,nan,nan,Turnover Margin,2016-17,Colorado St. Rams
89,"Ruiz, Robert",Sr,WR,13,4,nan,nan,1.0,nan,Turnover Margin,2016-17,Colorado St. Rams
33,"Davis, Kevin",Sr,LB,13,13,1.0,1.0,nan,nan,Turnover Margin,2016-17,Colorado St. Rams
14,"Hawkins, Anthony",Fr,WR,13,4,nan,nan,1.0,nan,Turnover Margin,2016-17,Colorado St. Rams
25,"Kinsey, Jr., Marvin",Fr,RB,12,0,nan,nan,2.0,nan,Turnover Margin,2016-17,Colorado St. Rams
11,"Vaden, Jordon",Sr,DB,12,2,nan,1.0,nan,nan,Turnover Margin,2016-17,Colorado St. Rams
18D,"Scott, Braylin",So,DB,11,7,nan,3.0,nan,nan,Turnover Margin,2016-17,Colorado St. Rams
7,"Stevens, Nick",Jr,QB,10,7,nan,nan,1.0,5.0,Turnover Margin,2016-17,Colorado St. Rams
20,"Hicks, Jamal",Fr,DB,9,5,nan,1.0,nan,nan,Turnover Margin,2016-17,Colorado St. Rams
15,"Hill, Collin",Fr,QB,5,4,nan,nan,1.0,2.0,Turnover Margin,2016-17,Colorado St. Rams
24,"Hodges, Preston",So,DB,13,12,1,1,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
23,"Blake, Bernard",Sr,DB,13,11,nan,1,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
40,"Morgan, Max",Sr,LB,13,13,1,1,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
18,"Grayson, Garrett",Sr,QB,13,13,nan,nan,1.0,7,Turnover Margin,2014-15,Colorado St. Rams
16,"Matthews, Trent",Jr,DB,13,13,nan,3,1.0,nan,Turnover Margin,2014-15,Colorado St. Rams
37,"Davis, Aaron",Sr,LB,13,13,nan,1,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
10,"Hart, Dee",Jr,RB,13,10,1,nan,4.0,nan,Turnover Margin,2014-15,Colorado St. Rams
41,"Williams, Eric",So,RB,13,0,nan,nan,1.0,nan,Turnover Margin,2014-15,Colorado St. Rams
13,"Elliott, Deandre",Jr,DB,12,6,nan,2,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
26,"Pierre-Louis, Kevin",Jr,DB,12,11,1,nan,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
5,"Simmons, Tyree",So,DB,12,8,nan,3,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
92,"Lovingood, Josh",Fr,DL,12,1,1,nan,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
9,"Foster, Martavius",Jr,DL,12,0,nan,1,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
6,"Oden Jr., Jasen",Jr,RB,11,2,1,nan,nan,nan,Turnover Margin,2014-15,Colorado St. Rams
4A,"Awuzie, Chidobe",Fr,DB,12,7,1,nan,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
44,"Gillam, Addison",Fr,LB,12,11,nan,1,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
16,"Hall, Jeffrey",So,DB,12,1,1,nan,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
2,"Crawley, Ken",So,DB,12,11,nan,2,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
56,"Parker, Juda",Jr,DL,12,9,1,nan,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
20,"Henderson, Greg",Jr,DB,12,12,1,4,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
26,"Jones, Tony",Jr,RB,12,0,nan,nan,1.0,nan,Turnover Margin,2013-14,Colorado Buffaloes
21,"Bell, Jered",Sr,DB,12,11,1,3,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
1,"Webb, Derrick",Sr,LB,12,11,2,nan,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
30,"Severson, Ryan",Fr,LB,11,0,nan,nan,1.0,nan,Turnover Margin,2013-14,Colorado Buffaloes
69,"Iverson, Ryan",Sr,OL,11,0,1,nan,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
1C,"Archuleta, Isaac",So,DB,10,0,1,nan,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
17,"Mosley, Marques",So,DB,10,0,nan,nan,1.0,nan,Turnover Margin,2013-14,Colorado Buffaloes
37,"Greer, Woodson",Jr,LB,8,5,1,nan,nan,nan,Turnover Margin,2013-14,Colorado Buffaloes
20,"Henderson, Greg",Sr,DB,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Colorado Buffaloes
56,"Parker, Juda",Sr,DL,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Colorado Buffaloes
55,"Tupou, Josh",Jr,DL,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Colorado Buffaloes
95,"McCartney, Derek",Fr,DL,12,12,1.0,nan,nan,nan,Turnover Margin,2014-15,Colorado Buffaloes
13,"Liufau, Sefo",So,QB,12,11,nan,nan,3.0,15.0,Turnover Margin,2014-15,Colorado Buffaloes
23,"Lindsay, Phillip",Fr,RB,12,0,nan,nan,2.0,nan,Turnover Margin,2014-15,Colorado Buffaloes
98,"Gilbert, Jimmie",So,DL,12,9,1.0,nan,nan,nan,Turnover Margin,2014-15,Colorado Buffaloes
31,"Olugbode, Kenneth",So,LB,12,12,2.0,nan,nan,nan,Turnover Margin,2014-15,Colorado Buffaloes
19,"Adkins, Michael",So,RB,10,2,nan,nan,1.0,nan,Turnover Margin,2014-15,Colorado Buffaloes
54,"Kafovalu, Samson",nan,nan,13,2,1.0,nan,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
92,"Carrell, Jordan",Jr,DL,13,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
96,"Hasselbach, Terran",Fr,DL,13,0,1.0,nan,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
2C,"Witherspoon, Ahkello",Jr,DB,13,8,nan,2.0,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
4A,"Awuzie, Chidobe",Jr,DB,13,12,nan,2.0,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
23,"Lindsay, Phillip",So,RB,13,7,nan,nan,1.0,nan,Turnover Margin,2015-16,Colorado Buffaloes
95,"McCartney, Derek",So,DL,13,10,nan,1.0,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
9,"Thompson, Tedric",Jr,DB,13,13,nan,3.0,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
46,"Powell, Christian",Sr,RB,13,2,nan,nan,3.0,nan,Turnover Margin,2015-16,Colorado Buffaloes
2,"Crawley, Ken",Sr,DB,13,13,1.0,1.0,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
21,"Bell, Jered",Sr,DB,13,6,2.0,3.0,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
16,"Awini, Jaleel",Jr,LB,12,1,1.0,nan,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
5,"Fields, Shay",So,WR,12,10,nan,nan,2.0,nan,Turnover Margin,2015-16,Colorado Buffaloes
31,"Olugbode, Kenneth",Jr,LB,11,11,1.0,1.0,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
13,"Liufau, Sefo",Jr,QB,11,11,nan,nan,2.0,6.0,Turnover Margin,2015-16,Colorado Buffaloes
2A,"Moeller, Ryan",So,DB,7,7,nan,1.0,nan,nan,Turnover Margin,2015-16,Colorado Buffaloes
35,"Bisharat, Beau",Fr,RB,14,0,nan,nan,1.0,nan,Turnover Margin,2016-17,Colorado Buffaloes
8,"Julmisse, Anthony",Fr,WR,14,0,1.0,1.0,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
1F,"Laguda, Afolabi",Jr,DB,14,13,1.0,1.0,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
92,"Carrell, Jordan",Sr,DL,14,14,1.0,nan,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
26,"Oliver, Isaiah",So,DB,14,3,nan,1.0,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
2A,"Witherspoon, Ahkello",Sr,DB,14,12,1.0,1.0,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
32,"Gamboa, Rick",So,LB,14,14,1.0,1.0,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
14,"MacIntyre, Jay",So,WR,14,11,nan,nan,2.0,nan,Turnover Margin,2016-17,Colorado Buffaloes
31,"Olugbode, Kenneth",Sr,LB,14,14,3.0,2.0,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
4A,"Awuzie, Chidobe",Sr,DB,14,14,1.0,1.0,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
23,"Lindsay, Phillip",Jr,RB,14,12,nan,nan,2.0,nan,Turnover Margin,2016-17,Colorado Buffaloes
9,"Thompson, Tedric",Sr,DB,14,14,nan,7.0,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
44,"Gillam, Addison",Jr,LB,14,0,1.0,nan,nan,nan,Turnover Margin,2016-17,Colorado Buffaloes
13,"Liufau, Sefo",Sr,QB,12,11,nan,nan,4.0,6.0,Turnover Margin,2016-17,Colorado Buffaloes
46,"White, Myles",So,DL,12,0,1,nan,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
51,"Williamson, Marcus",Jr,DL,12,12,1,nan,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
17,"Chesley, Anthony",So,DB,12,11,nan,2,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
1J,"Bothwell, Jabarai",Sr,DL,12,12,2,nan,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
25,"Scearce, Alex",Sr,LB,12,12,2,5,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
6,"Johnson, Kerron",Jr,DB,12,7,1,1,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
20,"Summers, Kamron",Sr,DB,12,8,nan,4,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
27,"Brown, Devin",Sr,WR,12,10,nan,nan,2.0,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
24,"Baldwin, Samson",Sr,DB,12,7,nan,1,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
4,"Thompson, C.J.",Sr,DB,11,11,nan,4,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
13,"Keane, Tyler",Jr,QB,11,7,nan,nan,3.0,2,Turnover Margin,2016-17,Coastal Caro. Chanticleers
11,"Clark, Nicholas",Jr,DB,11,2,nan,1,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
9,"Johnson, Shane",Jr,LB,10,10,nan,1,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
23,"Sampson, Richie",So,DB,9,9,nan,2,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
31,"Henderson, De'Angelo",Sr,RB,9,9,nan,nan,2.0,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
2,"Hears, Dontay",Jr,DB,9,2,1,nan,nan,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
5B,"Bradley, Austin",Fr,QB,7,1,nan,nan,nan,2,Turnover Margin,2016-17,Coastal Caro. Chanticleers
2L,"Lee, Ryan",Fr,WR,7,0,nan,nan,2.0,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
45,"Martin, Jah-Maine",Fr,RB,5,0,nan,nan,1.0,nan,Turnover Margin,2016-17,Coastal Caro. Chanticleers
4,"Watson, Deshaun",So,QB,15,15,nan,nan,1.0,13,Turnover Margin,2015-16,Clemson Tigers
3,"Scott, Artavis",So,WR,15,15,nan,nan,1.0,nan,Turnover Margin,2015-16,Clemson Tigers
13,"Renfrow, Hunter",Fr,WR,15,10,nan,nan,2.0,nan,Turnover Margin,2015-16,Clemson Tigers
27,"Fuller, C.J.",Fr,RB,15,0,1,nan,nan,nan,Turnover Margin,2015-16,Clemson Tigers
25,"Tankersley, Cordrea",Jr,DB,15,15,nan,5,nan,nan,Turnover Margin,2015-16,Clemson Tigers
90,"Lawson, Shaq",Jr,DL,15,15,1,nan,nan,nan,Turnover Margin,2015-16,Clemson Tigers
1,"Kearse, Jayron",Jr,DB,15,14,1,1,nan,nan,Turnover Margin,2015-16,Clemson Tigers
18,"Johnson, Jadar",Jr,DB,15,1,nan,2,nan,nan,Turnover Margin,2015-16,Clemson Tigers
10,"Boulware, Ben",Jr,LB,15,15,1,2,nan,nan,Turnover Margin,2015-16,Clemson Tigers
94,"Watkins, Carlos",Jr,DL,15,14,nan,1,nan,nan,Turnover Margin,2015-16,Clemson Tigers
5,"Hopper, Germone",Jr,WR,15,3,nan,nan,1.0,nan,Turnover Margin,2015-16,Clemson Tigers
98,"Dodd, Kevin",Jr,DL,15,15,1,nan,nan,nan,Turnover Margin,2015-16,Clemson Tigers
44,"Goodson, B.J.",Sr,LB,15,15,2,2,nan,nan,Turnover Margin,2015-16,Clemson Tigers
23,"Smith, Van",Fr,DB,14,0,nan,1,nan,nan,Turnover Margin,2015-16,Clemson Tigers
31,"Carter, Ryan",So,DB,14,2,1,nan,nan,nan,Turnover Margin,2015-16,Clemson Tigers
9,"Gallman, Wayne",So,RB,14,13,nan,nan,2.0,nan,Turnover Margin,2015-16,Clemson Tigers
91,"Bryant, Austin",Fr,DL,13,0,1,nan,nan,nan,Turnover Margin,2015-16,Clemson Tigers
34,"McCloud, Ray-Ray",Fr,WR,12,1,nan,nan,2.0,nan,Turnover Margin,2015-16,Clemson Tigers
2A,"Baker, Adrian",So,DB,12,3,nan,2,nan,nan,Turnover Margin,2015-16,Clemson Tigers
13,"Humphries, Adam",Jr,WR,13,10,nan,nan,1.0,nan,Turnover Margin,2013-14,Clemson Tigers
2,"Watkins, Sammy",Jr,WR,13,12,nan,nan,2.0,1,Turnover Margin,2013-14,Clemson Tigers
99,"Williams, Deshawn",Jr,DL,13,4,1,nan,nan,nan,Turnover Margin,2013-14,Clemson Tigers
27,"Smith, Robert",Jr,DB,13,13,1,1,nan,nan,Turnover Margin,2013-14,Clemson Tigers
81,"Seckinger, Stanton",So,TE,13,10,nan,nan,1.0,nan,Turnover Margin,2013-14,Clemson Tigers
50,"Jarrett, Grady",Jr,DL,13,13,2,nan,nan,nan,Turnover Margin,2013-14,Clemson Tigers
93,"Crawford, Corey",Jr,DL,13,12,nan,1,nan,nan,Turnover Margin,2013-14,Clemson Tigers
42,"Anthony, Stephone",Jr,LB,13,13,1,1,nan,nan,Turnover Margin,2013-14,Clemson Tigers
8,"Robinson, Darius",Sr,DB,13,13,nan,3,nan,nan,Turnover Margin,2013-14,Clemson Tigers
14,"Jenkins, Martin",Jr,DB,13,4,nan,1,nan,nan,Turnover Margin,2013-14,Clemson Tigers
17,"Breeland, Bashaud",Jr,DB,13,12,nan,4,nan,nan,Turnover Margin,2013-14,Clemson Tigers
3,"Beasley, Vic",Jr,DL,13,13,1,nan,nan,nan,Turnover Margin,2013-14,Clemson Tigers
33,"Shuey, Spencer",Sr,LB,13,13,4,nan,nan,nan,Turnover Margin,2013-14,Clemson Tigers
19,"McDowell, Roderick",Sr,RB,13,10,nan,nan,2.0,nan,Turnover Margin,2013-14,Clemson Tigers
34,"Christian, Quandon",Sr,LB,13,10,1,nan,nan,nan,Turnover Margin,2013-14,Clemson Tigers
10,"Boyd, Tajh",Sr,QB,13,13,nan,nan,2.0,11,Turnover Margin,2013-14,Clemson Tigers
12,"Wiggins, Korrin",Fr,DB,12,0,nan,2,nan,nan,Turnover Margin,2013-14,Clemson Tigers
20,"Kearse, Jayron",Fr,DB,12,3,nan,4,nan,nan,Turnover Margin,2013-14,Clemson Tigers
1B,"Boulware, Ben",Fr,LB,11,0,nan,1,nan,nan,Turnover Margin,2013-14,Clemson Tigers
11,"Blanks, Travis",So,DB,11,10,1,nan,nan,nan,Turnover Margin,2013-14,Clemson Tigers
43,"Temple, Nick",Sr,LB,13,13,1,nan,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
15,"Moore, Chris",Jr,WR,13,13,nan,nan,1.0,nan,Turnover Margin,2014-15,Cincinnati Bearcats
19,"Washington, Shaq",Sr,WR,13,12,nan,nan,1.0,nan,Turnover Margin,2014-15,Cincinnati Bearcats
9,"Payne, Leviticus",Jr,DB,13,12,2,1,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
5,"Tyson, Mike",So,DB,13,3,1,nan,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
32,"Stephens, Linden",Fr,DB,13,0,nan,1,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
20,"Jacobs, Carter",Fr,DB,13,0,1,nan,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
11,"Kiel, Gunner",So,QB,13,13,nan,nan,3.0,13,Turnover Margin,2014-15,Cincinnati Bearcats
2E,"Wilson, Eric",So,LB,13,0,3,nan,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
95,"Hartsfield, Terrell",Sr,DL,13,10,3,nan,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
1L,"Luc, Jeff",Sr,LB,13,10,4,nan,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
29,"Jones, Andre",So,DB,13,10,nan,1,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
22,"Edwards, Zach",So,DB,13,13,nan,2,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
21,"Moore, Rod",Sr,RB,13,9,nan,nan,1.0,nan,Turnover Margin,2014-15,Cincinnati Bearcats
7D,"Brown, Aaron",Fr,DB,12,0,nan,1,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
3D,"Wilder, Howard",Sr,DB,12,10,1,2,nan,nan,Turnover Margin,2014-15,Cincinnati Bearcats
45,"Jenkinson, Bryce",Fr,LB,13,9,nan,1.0,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
4,"Williams, Hosey",Sr,RB,13,8,nan,nan,1.0,nan,Turnover Margin,2015-16,Cincinnati Bearcats
2C,"Clements, Malik",Fr,DB,13,2,1.0,nan,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
2D,"Gilbert, Tyrell",Fr,DB,13,8,nan,1.0,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
32,"Stephens, Linden",So,DB,13,7,nan,2.0,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
2E,"Wilson, Eric",Jr,LB,13,12,2.0,nan,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
4D,"Edwards, Zach",Jr,DB,13,12,nan,3.0,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
7,"Green, Tion",Sr,RB,13,4,nan,nan,2.0,nan,Turnover Margin,2015-16,Cincinnati Bearcats
40,"Brown, Kevin",Sr,LB,13,4,nan,1.0,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
5D,"Wilson, Mark",So,DL,12,5,1.0,nan,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
9,"Payne, Leviticus",Sr,DB,12,12,1.0,nan,nan,nan,Turnover Margin,2015-16,Cincinnati Bearcats
5b,"Boone, Mike",So,RB,11,1,nan,nan,1.0,nan,Turnover Margin,2015-16,Cincinnati Bearcats
11,"Kiel, Gunner",Jr,QB,10,10,nan,nan,3.0,11.0,Turnover Margin,2015-16,Cincinnati Bearcats
3,"Wilder, Howard",Jr,DB,13,10,nan,2.0,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
97,"Aiken, Marques",Sr,DL,13,0,1.0,nan,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
94,"Stepp, Jordan",Sr,DL,13,13,1.0,nan,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
51,"Blair, Greg",Sr,LB,13,13,1.0,nan,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
48,"Luc, Jeff",Jr,LB,13,7,1.0,nan,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
22,"Edwards, Zach",Fr,DB,13,11,1.0,2.0,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
11,"Kay, Brendon",Sr,QB,13,11,nan,nan,1.0,12.0,Turnover Margin,2013-14,Cincinnati Bearcats
12,"Payne, Leviticus",So,DB,13,5,1.0,1.0,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
43,"Temple, Nick",Jr,LB,13,13,nan,1.0,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
15,"Moore, Chris",So,WR,13,12,nan,nan,1.0,nan,Turnover Margin,2013-14,Cincinnati Bearcats
1,"Abernathy IV, Ralph David",Jr,RB,13,13,nan,nan,1.0,nan,Turnover Margin,2013-14,Cincinnati Bearcats
25,"Chenault, Arryn",Sr,DB,13,13,1.0,1.0,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
8,"Witty, Adrian",Jr,DB,13,9,nan,1.0,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
23,"Williams, Hosey",Jr,RB,12,0,nan,nan,1.0,nan,Turnover Margin,2013-14,Cincinnati Bearcats
6,"McClung, Anthony",Sr,WR,12,6,nan,nan,4.0,nan,Turnover Margin,2013-14,Cincinnati Bearcats
1D,"Drane, Deven",Sr,DB,12,8,nan,3.0,nan,nan,Turnover Margin,2013-14,Cincinnati Bearcats
7,"Green, Tion",So,RB,11,0,nan,nan,1.0,nan,Turnover Margin,2013-14,Cincinnati Bearcats
10,"Luallen, Jordan",Sr,WR,11,0,nan,nan,nan,1.0,Turnover Margin,2013-14,Cincinnati Bearcats
5,"Tyson, Mike",Fr,DB,9,0,nan,2.0,1.0,nan,Turnover Margin,2013-14,Cincinnati Bearcats
3C,"Coney, Bennie",Fr,QB,4,0,nan,nan,1.0,1.0,Turnover Margin,2013-14,Cincinnati Bearcats
