Date,Opponent,Result,G,TDs,KickPAT,PATAtt,RushPAT,Ru2PTAtt,ReceivingPAT,Pass2PtConv,Pass2PTAtt,KickReturnPAT,FumbRetPAT,FG,Safeties,Points,Team,OffenseDefense
09/21/2013,@ Elon,W 31 - 21,1/,3,3,3,nan,nan,nan,,nan,nan,nan,nan,nan,21,Appalachian St. Mountaineers,Defense
09/28/2013,Charleston So.,L 24 - 27,1/,3,3,3,nan,nan,nan,,nan,nan,nan,1,nan,24,Appalachian St. Mountaineers,Offense
09/28/2013,Charleston So.,L 24 - 27,1/,3,3,3,nan,nan,nan,,nan,nan,nan,2,nan,27,Appalachian St. Mountaineers,Defense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,4,4,4,nan,nan,nan,,nan,nan,nan,nan,nan,28,Appalachian St. Mountaineers,Offense
10/05/2013,@ The Citadel,L 28 - 31 (1OT),1/,4,4,4,nan,nan,nan,,nan,nan,nan,1,nan,31,Appalachian St. Mountaineers,Defense
10/12/2013,Samford,L 10 - 34,1/,1,1,1,nan,nan,nan,,nan,nan,nan,1,nan,10,Appalachian St. Mountaineers,Offense
10/12/2013,Samford,L 10 - 34,1/,4,4,4,nan,nan,nan,,nan,nan,nan,2,nan,34,Appalachian St. Mountaineers,Defense
10/19/2013,@ Furman,L 10 - 27,1/,1,1,1,nan,nan,nan,,nan,nan,nan,1,nan,10,Appalachian St. Mountaineers,Offense
10/19/2013,@ Furman,L 10 - 27,1/,3,3,3,nan,nan,nan,,nan,nan,nan,2,nan,27,Appalachian St. Mountaineers,Defense
10/26/2013,Ga. Southern,W 38 - 14,1/,5,5,5,nan,nan,nan,,nan,nan,nan,1,nan,38,Appalachian St. Mountaineers,Offense
10/26/2013,Ga. Southern,W 38 - 14,1/,2,2,2,nan,nan,nan,,nan,nan,nan,nan,nan,14,Appalachian St. Mountaineers,Defense
11/02/2013,Chattanooga,L 28 - 35,1/,4,4,4,nan,nan,nan,,nan,nan,nan,nan,nan,28,Appalachian St. Mountaineers,Offense
11/02/2013,Chattanooga,L 28 - 35,1/,5,5,5,nan,nan,nan,,nan,nan,nan,nan,nan,35,Appalachian St. Mountaineers,Defense
11/09/2013,@ Georgia,L 6 - 45,1/,nan,nan,nan,nan,nan,nan,,nan,nan,nan,2,nan,6,Appalachian St. Mountaineers,Offense
11/09/2013,@ Georgia,L 6 - 45,1/,6,6,6,nan,nan,nan,,nan,nan,nan,1,nan,45,Appalachian St. Mountaineers,Defense
11/16/2013,@ Wofford,W 33 - 21,1/,4,3,3,nan,1/,nan,,nan,nan,nan,2,nan,33,Appalachian St. Mountaineers,Offense
11/16/2013,@ Wofford,W 33 - 21,1/,3,3,3,nan,nan,nan,,nan,nan,nan,nan,nan,21,Appalachian St. Mountaineers,Defense
11/23/2013,Western Caro.,W 48 - 27,1/,6,6,6,nan,nan,nan,,nan,nan,nan,2,nan,48,Appalachian St. Mountaineers,Offense
11/23/2013,Western Caro.,W 48 - 27,1/,4,3,3,nan,nan,nan,,1,nan,nan,nan,nan,27,Appalachian St. Mountaineers,Defense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,2,1,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,13,Appalachian St. Mountaineers,Offense
09/01/2016,@ Tennessee,L 13 - 20 (1OT),1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,2,nan,20,Appalachian St. Mountaineers,Defense
09/10/2016,Old Dominion,W 31 - 7,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,1,nan,31,Appalachian St. Mountaineers,Offense
09/10/2016,Old Dominion,W 31 - 7,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,Appalachian St. Mountaineers,Defense
09/17/2016,Miami (FL),L 10 - 45,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,1,nan,10,Appalachian St. Mountaineers,Offense
09/17/2016,Miami (FL),L 10 - 45,1/,6,6,6,nan,nan,nan,nan,nan,nan,nan,1,nan,45,Appalachian St. Mountaineers,Defense
09/24/2016,@ Akron,W 45 - 38,1/,6,6,6,nan,nan,nan,nan,nan,nan,nan,1,nan,45,Appalachian St. Mountaineers,Offense
09/24/2016,@ Akron,W 45 - 38,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,1,nan,38,Appalachian St. Mountaineers,Defense
10/01/2016,Georgia St.,W 17 - 3,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,1,nan,17,Appalachian St. Mountaineers,Offense
10/01/2016,Georgia St.,W 17 - 3,1/,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,3,Appalachian St. Mountaineers,Defense
10/12/2016,@ Louisiana,W 24 - 0,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,1,nan,24,Appalachian St. Mountaineers,Offense
10/12/2016,@ Louisiana,W 24 - 0,1/,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Appalachian St. Mountaineers,Defense
10/22/2016,Idaho,W 37 - 19,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,3,nan,37,Appalachian St. Mountaineers,Offense
10/22/2016,Idaho,W 37 - 19,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,4/,nan,19,Appalachian St. Mountaineers,Defense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,2,nan,34,Appalachian St. Mountaineers,Offense
10/27/2016,@ Ga. Southern,W 34 - 10,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,1,nan,10,Appalachian St. Mountaineers,Defense
11/05/2016,Texas St.,W 35 - 10,1/,5,5,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,35,Appalachian St. Mountaineers,Offense
11/05/2016,Texas St.,W 35 - 10,1/,1,1,1,nan,nan,nan,nan,nan,nan,nan,1,nan,10,Appalachian St. Mountaineers,Defense
11/12/2016,@ Troy,L 24 - 28,1/,3,3,3,nan,nan,nan,nan,nan,nan,nan,1,nan,24,Appalachian St. Mountaineers,Offense
11/12/2016,@ Troy,L 24 - 28,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,28,Appalachian St. Mountaineers,Defense
11/19/2016,La.-Monroe,W 42 - 17,1/,6,6,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,42,Appalachian St. Mountaineers,Offense
11/19/2016,La.-Monroe,W 42 - 17,1/,2,2,2,nan,nan,nan,nan,nan,nan,nan,1,nan,17,Appalachian St. Mountaineers,Defense
11/26/2016,@ New Mexico St.,W 37 - 7,1/,4,4,4,nan,nan,nan,nan,nan,nan,nan,3,nan,37,Appalachian St. Mountaineers,Offense
