Year,Team,GP,G,PassAttempts,Completions,Interceptions,PassYards,PassTDs,PassEff,CompletionsPerGame,YdsPerCompletion,Pct,PassYardsG,OffenseDefense
2015-16,BYU,0,13,407,226,15,2624,12,112.04,17.38,11.611,,201.85,Defensive
2016-17,BYU,13,13,412,245,12,2573,15,118.11,18.85,10.502,,197.92,Offense
2016-17,BYU,0,13,429,271,21,3278,17,1643.41,271.00,152.714,,3278.00,Defensive
2017-18,BYU,13,13,418,228,19,2530,13,106.56,17.54,11.096,,194.62,Offense
2017-18,BYU,0,13,386,254,8,2928,19,141.62,19.54,11.528,,225.23,Defensive
2011-12,Auburn,1,1,35,20,1,265,2,133.89,nan,nan,nan,nan,Offense
2011-12,Auburn,0,1,41,28,2,374,2,151.26,nan,nan,nan,nan,Defensive
2013-14,Auburn,14,14,285,173,8,2422,20,149.63,12.36,14.000,0.607,173.00,Offense
2013-14,Auburn,0,14,494,286,13,3620,19,1752.95,236.00,159.486,6.844,3063.00,Defensive
2014-15,Auburn,13,13,332,208,7,2984,23,156.79,16.00,14.346,0.627,229.54,Offense
2014-15,Auburn,0,13,421,243,22,2991,22,124.19,18.69,12.309,0.577,230.08,Defensive
2015-16,Auburn,13,13,306,179,12,2257,11,124.47,13.77,12.609,0.585,173.62,Offense
2015-16,Auburn,0,13,458,278,14,2892,13,116.99,21.38,10.403,0.607,222.46,Defensive
2016-17,Auburn,13,13,289,178,6,2203,12,135.17,13.69,12.376,0.616,169.46,Offense
2016-17,Auburn,0,13,466,270,11,2979,14,1519.18,270.00,140.772,7.551,2979.00,Defensive
2017-18,Auburn,13,13,339,227,4,2936,20,156.82,17.46,12.934,0.670,225.85,Offense
2017-18,Auburn,0,13,393,216,6,2311,14,113.06,16.62,10.699,0.550,177.77,Defensive
2011-12,Auburn,1,1,35,20,1,265,2,133.89,nan,nan,,nan,Offense
2011-12,Auburn,0,1,41,28,2,374,2,151.26,nan,nan,,nan,Defensive
2013-14,Auburn,14,14,285,173,8,2422,20,149.63,12.36,14.000,,173.00,Offense
2013-14,Auburn,0,14,494,286,13,3620,19,1752.95,236.00,159.486,,3063.00,Defensive
2014-15,Auburn,13,13,332,208,7,2984,23,156.79,16.00,14.346,,229.54,Offense
2014-15,Auburn,0,13,421,243,22,2991,22,124.19,18.69,12.309,,230.08,Defensive
2015-16,Auburn,13,13,306,179,12,2257,11,124.47,13.77,12.609,,173.62,Offense
2015-16,Auburn,0,13,458,278,14,2892,13,116.99,21.38,10.403,,222.46,Defensive
2016-17,Auburn,13,13,289,178,6,2203,12,135.17,13.69,12.376,,169.46,Offense
