Year,Team,GP,G,RushNetYards,ReceivingYards,IntRYds,PuntRetYds,FRetYds,KORetYds,APY,All-PurposeYardsG,OffenseDefense
2017-18,Akron,0,13,2564,3054,85,280,7,898,6929,nan,Defensive
2013-14,Akron,12,12,1471,2633,132,72,nan,817,5125,nan,Offense
2013-14,Akron,0,12,1969,2795,151,109,18,716,5734,nan,Defensive
2014-15,Akron,12,12,1484,2995,244,75,6,626,5430,nan,Offense
2014-15,Akron,0,12,1783,2670,160,123,29,828,5593,nan,Defensive
2015-16,Akron,13,13,2134,2508,29,98,68,565,5402,nan,Offense
2015-16,Akron,0,13,1208,3102,86,123,nan,794,5399,nan,Defensive
2016-17,Akron,12,12,1586,3063,107,298,35,814,5903,nan,Offense
2016-17,Akron,0,12,2696,2896,126,157,85,1185,7145,nan,Defensive
2017-18,Akron,13,13,1406,2872,398,12,56,602,5346,nan,Offense
2017-18,Akron,0,13,2564,3054,85,280,7,898,6929,nan,Defensive
2013-14,Akron,12,12,1471,2633,132,72,nan,817,5125,nan,Offense
2013-14,Akron,0,12,1969,2795,151,109,18,716,5734,nan,Defensive
2014-15,Akron,12,12,1484,2995,244,75,6,626,5430,nan,Offense
2014-15,Akron,0,12,1783,2670,160,123,29,828,5593,nan,Defensive
2015-16,Akron,13,13,2134,2508,29,98,68,565,5402,nan,Offense
2015-16,Akron,0,13,1208,3102,86,123,nan,794,5399,nan,Defensive
2016-17,Akron,12,12,1586,3063,107,298,35,814,5903,nan,Offense
2016-17,Akron,0,12,2696,2896,126,157,85,1185,7145,nan,Defensive
2017-18,Akron,13,13,1406,2872,398,12,56,602,5346,nan,Offense
2017-18,Akron,0,13,2564,3054,85,280,7,898,6929,nan,Defensive
2013-14,Air Force,12,12,3152,1259,38,23,nan,657,5153,nan,Offense
2013-14,Air Force,0,12,3007,2876,18,35,nan,422,6358,nan,Defensive
2014-15,Air Force,13,13,3550,1893,72,71,88,709,6383,nan,Offense
2014-15,Air Force,0,13,1763,3369,110,95,54,745,6129,nan,Defensive
2015-16,Air Force,14,14,4468,1847,92,139,nan,669,7215,nan,Offense
2015-16,Air Force,0,14,2026,2942,96,98,90,825,6061,nan,Defensive
2016-17,Air Force,13,13,4126,1752,145,99,8,508,6638,nan,Offense
2016-17,Air Force,0,13,1484,3259,97,86,15,813,5754,nan,Defensive
2017-18,Air Force,12,12,3689,1321,64,83,nan,454,5611,nan,Offense
2017-18,Air Force,0,12,2674,2053,73,122,93,529,5544,nan,Defensive
2013-14,Air Force,12,12,3152,1259,38,23,nan,657,5153,nan,Offense
2013-14,Air Force,0,12,3007,2876,18,35,nan,422,6358,nan,Defensive
2014-15,Air Force,13,13,3550,1893,72,71,88,709,6383,nan,Offense
2014-15,Air Force,0,13,1763,3369,110,95,54,745,6129,nan,Defensive
2015-16,Air Force,14,14,4468,1847,92,139,nan,669,7215,nan,Offense
2015-16,Air Force,0,14,2026,2942,96,98,90,825,6061,nan,Defensive
2016-17,Air Force,13,13,4126,1752,145,99,8,508,6638,nan,Offense
2016-17,Air Force,0,13,1484,3259,97,86,15,813,5754,nan,Defensive
2017-18,Air Force,12,12,3689,1321,64,83,nan,454,5611,nan,Offense
2017-18,Air Force,0,12,2674,2053,73,122,93,529,5544,nan,Defensive
2013-14,Air Force,12,12,3152,1259,38,23,nan,657,5153,nan,Offense
2013-14,Air Force,0,12,3007,2876,18,35,nan,422,6358,nan,Defensive
2014-15,Air Force,13,13,3550,1893,72,71,88,709,6383,nan,Offense
2014-15,Air Force,0,13,1763,3369,110,95,54,745,6129,nan,Defensive
2015-16,Air Force,14,14,4468,1847,92,139,nan,669,7215,nan,Offense
2015-16,Air Force,0,14,2026,2942,96,98,90,825,6061,nan,Defensive
2016-17,Air Force,13,13,4126,1752,145,99,8,508,6638,nan,Offense
2016-17,Air Force,0,13,1484,3259,97,86,15,813,5754,nan,Defensive
2017-18,Air Force,12,12,3689,1321,64,83,nan,454,5611,nan,Offense
2017-18,Air Force,0,12,2674,2053,73,122,93,529,5544,nan,Defensive
2013-14,Air Force,12,12,3152,1259,38,23,nan,657,5153,nan,Offense
2013-14,Air Force,0,12,3007,2876,18,35,nan,422,6358,nan,Defensive
2014-15,Air Force,13,13,3550,1893,72,71,88,709,6383,nan,Offense
2014-15,Air Force,0,13,1763,3369,110,95,54,745,6129,nan,Defensive
2015-16,Air Force,14,14,4468,1847,92,139,nan,669,7215,nan,Offense
2015-16,Air Force,0,14,2026,2942,96,98,90,825,6061,nan,Defensive
2016-17,Air Force,13,13,4126,1752,145,99,8,508,6638,nan,Offense
2016-17,Air Force,0,13,1484,3259,97,86,15,813,5754,nan,Defensive
2017-18,Air Force,12,12,3689,1321,64,83,nan,454,5611,nan,Offense
2017-18,Air Force,0,12,2674,2053,73,122,93,529,5544,nan,Defensive
2011-12,Auburn,1,1,254,265,1,nan,nan,92,612,nan,Offense
2011-12,Auburn,0,1,75,374,22,6,nan,65,542,nan,Defensive
2013-14,Auburn,14,14,4596,2422,112,377,11,936,8557,nan,Offense
2013-14,Auburn,0,14,2270,3620,64,35,35,722,6747,nan,Defensive
2014-15,Auburn,13,13,3321,2984,130,303,nan,701,7439,nan,Offense
2014-15,Auburn,0,13,2194,2991,95,148,nan,717,6222,nan,Defensive
2015-16,Auburn,13,13,2553,2257,144,179,82,950,6165,nan,Offense
2015-16,Auburn,0,13,2375,2892,131,87,nan,381,5866,nan,Defensive
2016-17,Auburn,13,13,3527,2203,83,171,13,438,6449,nan,Offense
2016-17,Auburn,0,13,1726,2979,50,19,nan,342,5126,nan,Defensive
2017-18,Auburn,13,13,2966,2936,82,189,58,453,6684,nan,Offense
2017-18,Auburn,0,13,1749,2311,7,159,31,590,4881,nan,Defensive
2013-14,Army West Point,12,12,3717,931,nan,47,19,611,5325,nan,Offense
2013-14,Army West Point,0,12,2560,2370,21,108,19,832,5934,nan,Defensive
2014-15,Army West Point,12,12,3558,747,237,65,nan,659,5266,nan,Offense
2014-15,Army West Point,0,12,2316,2854,28,15,nan,892,6105,nan,Defensive
2015-16,Army West Point,12,12,2931,1128,98,135,nan,691,4968,nan,Offense
2015-16,Army West Point,0,12,1982,2525,15,76,48,541,5180,nan,Defensive
2016-17,Army West Point,13,13,4414,967,98,146,13,525,6163,nan,Offense
2016-17,Army West Point,0,13,1576,2213,73,32,9,989,4892,nan,Defensive
2017-18,Army West Point,12,12,4270,355,82,109,29,644,5567,nan,Offense
2017-18,Army West Point,0,12,1993,2273,100,61,nan,779,5220,nan,Defensive
2013-14,Army West Point,12,12,3717,931,nan,47,19,611,5325,nan,Offense
2013-14,Army West Point,0,12,2560,2370,21,108,19,832,5934,nan,Defensive
2014-15,Army West Point,12,12,3558,747,237,65,nan,659,5266,nan,Offense
2014-15,Army West Point,0,12,2316,2854,28,15,nan,892,6105,nan,Defensive
2015-16,Army West Point,12,12,2931,1128,98,135,nan,691,4968,nan,Offense
2015-16,Army West Point,0,12,1982,2525,15,76,48,541,5180,nan,Defensive
2016-17,Army West Point,13,13,4414,967,98,146,13,525,6163,nan,Offense
2016-17,Army West Point,0,13,1576,2213,73,32,9,989,4892,nan,Defensive
2017-18,Army West Point,12,12,4270,355,82,109,29,644,5567,nan,Offense
2017-18,Army West Point,0,12,1993,2273,100,61,nan,779,5220,nan,Defensive
2013-14,Army West Point,12,12,3717,931,nan,47,19,611,5325,nan,Offense
2013-14,Army West Point,0,12,2560,2370,21,108,19,832,5934,nan,Defensive
2014-15,Army West Point,12,12,3558,747,237,65,nan,659,5266,nan,Offense
2014-15,Army West Point,0,12,2316,2854,28,15,nan,892,6105,nan,Defensive
2015-16,Army West Point,12,12,2931,1128,98,135,nan,691,4968,nan,Offense
2015-16,Army West Point,0,12,1982,2525,15,76,48,541,5180,nan,Defensive
2016-17,Army West Point,13,13,4414,967,98,146,13,525,6163,nan,Offense
2016-17,Army West Point,0,13,1576,2213,73,32,9,989,4892,nan,Defensive
2017-18,Army West Point,12,12,4270,355,82,109,29,644,5567,nan,Offense
2017-18,Army West Point,0,12,1993,2273,100,61,nan,779,5220,nan,Defensive
2013-14,Army West Point,12,12,3717,931,nan,47,19,611,5325,nan,Offense
2013-14,Army West Point,0,12,2560,2370,21,108,19,832,5934,nan,Defensive
2014-15,Army West Point,12,12,3558,747,237,65,nan,659,5266,nan,Offense
2014-15,Army West Point,0,12,2316,2854,28,15,nan,892,6105,nan,Defensive
2015-16,Army West Point,12,12,2931,1128,98,135,nan,691,4968,nan,Offense
2015-16,Army West Point,0,12,1982,2525,15,76,48,541,5180,nan,Defensive
2016-17,Army West Point,13,13,4414,967,98,146,13,525,6163,nan,Offense
2016-17,Army West Point,0,13,1576,2213,73,32,9,989,4892,nan,Defensive
2017-18,Army West Point,12,12,4270,355,82,109,29,644,5567,nan,Offense
2017-18,Army West Point,0,12,1993,2273,100,61,nan,779,5220,nan,Defensive
2013-14,Arkansas St.,13,13,2674,2627,117,184,64,957,6653,nan,Offense
2013-14,Arkansas St.,0,13,2342,3028,57,122,37,932,6518,nan,Defensive
2014-15,Arkansas St.,13,13,2813,3381,266,250,93,1057,7860,nan,Offense
2014-15,Arkansas St.,0,13,2668,2808,79,31,67,685,6338,nan,Defensive
2015-16,Arkansas St.,13,13,3007,2693,503,413,41,1112,7769,nan,Offense
2015-16,Arkansas St.,0,13,1969,3481,235,47,52,972,6771,nan,Defensive
2016-17,Arkansas St.,13,13,1784,3148,136,275,60,575,6079,nan,Offense
2016-17,Arkansas St.,0,13,1864,2853,85,140,17,855,5814,nan,Defensive
2017-18,Arkansas St.,11,11,1727,3748,179,336,114,573,6677,nan,Offense
2017-18,Arkansas St.,0,11,1513,2665,143,8,nan,984,5313,nan,Defensive
2013-14,Arkansas St.,13,13,2674,2627,117,184,64,957,6653,nan,Offense
2013-14,Arkansas St.,0,13,2342,3028,57,122,37,932,6518,nan,Defensive
2014-15,Arkansas St.,13,13,2813,3381,266,250,93,1057,7860,nan,Offense
2014-15,Arkansas St.,0,13,2668,2808,79,31,67,685,6338,nan,Defensive
2015-16,Arkansas St.,13,13,3007,2693,503,413,41,1112,7769,nan,Offense
2015-16,Arkansas St.,0,13,1969,3481,235,47,52,972,6771,nan,Defensive
2016-17,Arkansas St.,13,13,1784,3148,136,275,60,575,6079,nan,Offense
2016-17,Arkansas St.,0,13,1864,2853,85,140,17,855,5814,nan,Defensive
2017-18,Arkansas St.,11,11,1727,3748,179,336,114,573,6677,nan,Offense
2017-18,Arkansas St.,0,11,1513,2665,143,8,nan,984,5313,nan,Defensive
2013-14,Arkansas,12,12,2504,1782,62,67,1,740,5147,nan,Offense
2013-14,Arkansas,0,12,2141,2820,179,250,nan,291,5675,nan,Defensive
2014-15,Arkansas,13,13,2834,2444,241,206,21,617,6363,nan,Offense
2014-15,Arkansas,0,13,1490,2714,91,49,57,1192,5589,nan,Defensive
2015-16,Arkansas,13,13,2565,3486,80,186,19,782,7121,nan,Offense
2015-16,Arkansas,0,13,1514,3577,50,125,nan,1210,6484,nan,Defensive
2016-17,Arkansas,13,13,2135,3434,229,143,nan,688,6630,nan,Offense
2016-17,Arkansas,0,13,2671,2875,244,101,23,1115,7029,nan,Defensive
2017-18,Arkansas,12,12,2016,2465,143,51,40,957,5672,nan,Offense
2017-18,Arkansas,0,12,2353,2906,94,40,104,735,6232,nan,Defensive
2013-14,Arkansas,12,12,2504,1782,62,67,1,740,5147,nan,Offense
2013-14,Arkansas,0,12,2141,2820,179,250,nan,291,5675,nan,Defensive
2014-15,Arkansas,13,13,2834,2444,241,206,21,617,6363,nan,Offense
2014-15,Arkansas,0,13,1490,2714,91,49,57,1192,5589,nan,Defensive
2015-16,Arkansas,13,13,2565,3486,80,186,19,782,7121,nan,Offense
2015-16,Arkansas,0,13,1514,3577,50,125,nan,1210,6484,nan,Defensive
2016-17,Arkansas,13,13,2135,3434,229,143,nan,688,6630,nan,Offense
2016-17,Arkansas,0,13,2671,2875,244,101,23,1115,7029,nan,Defensive
2017-18,Arkansas,12,12,2016,2465,143,51,40,957,5672,nan,Offense
2017-18,Arkansas,0,12,2353,2906,94,40,104,735,6232,nan,Defensive
2013-14,Arkansas,12,12,2504,1782,62,67,1,740,5147,nan,Offense
2013-14,Arkansas,0,12,2141,2820,179,250,nan,291,5675,nan,Defensive
2014-15,Arkansas,13,13,2834,2444,241,206,21,617,6363,nan,Offense
2014-15,Arkansas,0,13,1490,2714,91,49,57,1192,5589,nan,Defensive
2015-16,Arkansas,13,13,2565,3486,80,186,19,782,7121,nan,Offense
