Year,Team,GP,G,PBU,Int,IntRetTDs,IntRYds,PDef,OffenseDefense
2013-14,Army West Point,12,12,20,7,nan,nan,27,Offense
2013-14,Army West Point,0,12,15,4,nan,21,19,Defensive
2014-15,Army West Point,12,12,33,11,2,237,44,Offense
2014-15,Army West Point,0,12,9,2,nan,28,11,Defensive
2015-16,Army West Point,12,12,27,6,nan,98,33,Offense
2015-16,Army West Point,0,12,19,9,nan,15,28,Defensive
2016-17,Army West Point,13,13,30,17,nan,98,47,Offense
2016-17,Army West Point,0,13,17,11,1,73,28,Defensive
2017-18,Army West Point,12,12,32,5,1,82,37,Offense
2017-18,Army West Point,0,12,9,5,1,100,14,Defensive
2013-14,Army West Point,12,12,20,7,nan,nan,27.00,Offense
2013-14,Army West Point,0,12,15,4,nan,21,19.00,Defensive
2014-15,Army West Point,12,12,33,11,2,237,44.00,Offense
2014-15,Army West Point,0,12,9,2,nan,28,11.00,Defensive
2015-16,Army West Point,12,12,27,6,nan,98,33.00,Offense
2015-16,Army West Point,0,12,19,9,nan,15,28.00,Defensive
2016-17,Army West Point,13,13,30,17,nan,98,47.00,Offense
2016-17,Army West Point,0,13,17,11,1,73,28.00,Defensive
2017-18,Army West Point,12,12,32,5,1,82,37.00,Offense
2017-18,Army West Point,0,12,9,5,1,100,14.00,Defensive
2013-14,Army West Point,12,12,20,7,nan,nan,27,Offense
2013-14,Army West Point,0,12,15,4,nan,21,19,Defensive
2014-15,Army West Point,12,12,33,11,2,237,44,Offense
2014-15,Army West Point,0,12,9,2,nan,28,11,Defensive
2015-16,Army West Point,12,12,27,6,nan,98,33,Offense
2015-16,Army West Point,0,12,19,9,nan,15,28,Defensive
2016-17,Army West Point,13,13,30,17,nan,98,47,Offense
2016-17,Army West Point,0,13,17,11,1,73,28,Defensive
2017-18,Army West Point,12,12,32,5,1,82,37,Offense
2017-18,Army West Point,0,12,9,5,1,100,14,Defensive
2013-14,Arkansas St.,13,13,57,9,nan,117,66,Offense
2013-14,Arkansas St.,0,13,29,7,nan,57,36,Defensive
2014-15,Arkansas St.,13,13,44,16,3,266,60,Offense
2014-15,Arkansas St.,0,13,43,8,nan,79,51,Defensive
2015-16,Arkansas St.,13,13,51,26,6,503,77,Offense
2015-16,Arkansas St.,0,13,35,15,3,235,50,Defensive
2016-17,Arkansas St.,13,13,48,11,1,136,59,Offense
2016-17,Arkansas St.,0,13,49,9,1,85,58,Defensive
2017-18,Arkansas St.,11,11,47,11,1,179,58,Offense
2017-18,Arkansas St.,0,11,46,16,1,143,62,Defensive
2013-14,Arkansas St.,13,13,57,9,nan,117,66.00,Offense
2013-14,Arkansas St.,0,13,29,7,nan,57,36.00,Defensive
2014-15,Arkansas St.,13,13,44,16,3,266,60.00,Offense
2014-15,Arkansas St.,0,13,43,8,nan,79,51.00,Defensive
2015-16,Arkansas St.,13,13,51,26,6,503,77.00,Offense
2015-16,Arkansas St.,0,13,35,15,3,235,50.00,Defensive
2016-17,Arkansas St.,13,13,48,11,1,136,59.00,Offense
2016-17,Arkansas St.,0,13,49,9,1,85,58.00,Defensive
2017-18,Arkansas St.,11,11,47,11,1,179,58.00,Offense
2017-18,Arkansas St.,0,11,46,16,1,143,62.00,Defensive
2013-14,Arkansas,12,12,39,8,1,62,47.00,Offense
2013-14,Arkansas,0,12,37,11,2,179,48.00,Defensive
2014-15,Arkansas,13,13,60,12,1,241,72.00,Offense
2014-15,Arkansas,0,13,43,6,1,91,49.00,Defensive
2015-16,Arkansas,13,13,43,11,nan,80,54.00,Offense
2015-16,Arkansas,0,13,40,8,nan,50,48.00,Defensive
2016-17,Arkansas,13,13,49,10,4,229,59.00,Offense
2016-17,Arkansas,0,13,53,15,2,244,68.00,Defensive
2017-18,Arkansas,12,12,44,8,nan,143,52.00,Offense
2017-18,Arkansas,0,12,41,9,2,94,50.00,Defensive
2013-14,Arkansas,12,12,39,8,1,62,47.00,Offense
2013-14,Arkansas,0,12,37,11,2,179,48.00,Defensive
2014-15,Arkansas,13,13,60,12,1,241,72.00,Offense
2014-15,Arkansas,0,13,43,6,1,91,49.00,Defensive
2015-16,Arkansas,13,13,43,11,nan,80,54.00,Offense
2015-16,Arkansas,0,13,40,8,nan,50,48.00,Defensive
2016-17,Arkansas,13,13,49,10,4,229,59.00,Offense
2016-17,Arkansas,0,13,53,15,2,244,68.00,Defensive
2017-18,Arkansas,12,12,44,8,nan,143,52.00,Offense
2017-18,Arkansas,0,12,41,9,2,94,50.00,Defensive
2013-14,Arkansas,12,12,39,8,1,62,47,Offense
2013-14,Arkansas,0,12,37,11,2,179,48,Defensive
2014-15,Arkansas,13,13,60,12,1,241,72,Offense
2014-15,Arkansas,0,13,43,6,1,91,49,Defensive
2015-16,Arkansas,13,13,43,11,nan,80,54,Offense
2015-16,Arkansas,0,13,40,8,nan,50,48,Defensive
2016-17,Arkansas,13,13,49,10,4,229,59,Offense
2016-17,Arkansas,0,13,53,15,2,244,68,Defensive
2017-18,Arkansas,12,12,44,8,nan,143,52,Offense
2017-18,Arkansas,0,12,41,9,2,94,50,Defensive
2013-14,Arkansas,12,12,39,8,1,62,47,Offense
2013-14,Arkansas,0,12,37,11,2,179,48,Defensive
2014-15,Arkansas,13,13,60,12,1,241,72,Offense
2014-15,Arkansas,0,13,43,6,1,91,49,Defensive
2015-16,Arkansas,13,13,43,11,nan,80,54,Offense
2015-16,Arkansas,0,13,40,8,nan,50,48,Defensive
2016-17,Arkansas,13,13,49,10,4,229,59,Offense
2016-17,Arkansas,0,13,53,15,2,244,68,Defensive
2017-18,Arkansas,12,12,44,8,nan,143,52,Offense
2017-18,Arkansas,0,12,41,9,2,94,50,Defensive
2013-14,Arizona,13,13,37,18,5,303,55,Offense
2013-14,Arizona,0,13,30,7,1,119,37,Defensive
2014-15,Arizona,14,14,48,13,1,138,61,Offense
2014-15,Arizona,0,14,45,10,1,99,55,Defensive
2015-16,Arizona,13,13,35,11,2,98,46,Offense
2015-16,Arizona,0,13,35,10,2,162,45,Defensive
2016-17,Arizona,12,12,44,8,nan,32,52,Offense
2016-17,Arizona,0,12,27,12,nan,100,39,Defensive
2017-18,Arizona,12,12,40,18,2,320,58,Offense
2017-18,Arizona,0,12,24,12,1,83,36,Defensive
2013-14,Arizona,13,13,37,18,5,303,55,Offense
2013-14,Arizona,0,13,30,7,1,119,37,Defensive
2014-15,Arizona,14,14,48,13,1,138,61,Offense
2014-15,Arizona,0,14,45,10,1,99,55,Defensive
2015-16,Arizona,13,13,35,11,2,98,46,Offense
2015-16,Arizona,0,13,35,10,2,162,45,Defensive
2016-17,Arizona,12,12,44,8,nan,32,52,Offense
2016-17,Arizona,0,12,27,12,nan,100,39,Defensive
2017-18,Arizona,12,12,40,18,2,320,58,Offense
2017-18,Arizona,0,12,24,12,1,83,36,Defensive
2013-14,Arizona,13,13,37,18,5,303,55.00,Offense
2013-14,Arizona,0,13,30,7,1,119,37.00,Defensive
2014-15,Arizona,14,14,48,13,1,138,61.00,Offense
2014-15,Arizona,0,14,45,10,1,99,55.00,Defensive
2015-16,Arizona,13,13,35,11,2,98,46.00,Offense
2015-16,Arizona,0,13,35,10,2,162,45.00,Defensive
2016-17,Arizona,12,12,44,8,nan,32,52.00,Offense
2016-17,Arizona,0,12,27,12,nan,100,39.00,Defensive
2017-18,Arizona,12,12,40,18,2,320,58.00,Offense
2017-18,Arizona,0,12,24,12,1,83,36.00,Defensive
2013-14,Arizona,13,13,37,18,5,303,55.00,Offense
2013-14,Arizona,0,13,30,7,1,119,37.00,Defensive
2014-15,Arizona,14,14,48,13,1,138,61.00,Offense
2014-15,Arizona,0,14,45,10,1,99,55.00,Defensive
2015-16,Arizona,13,13,35,11,2,98,46.00,Offense
2015-16,Arizona,0,13,35,10,2,162,45.00,Defensive
2016-17,Arizona,12,12,44,8,nan,32,52.00,Offense
