Year,Team,GP,G,PBU,Int,IntRetTDs,IntRYds,PDef,OffenseDefense
2014-15,Northern Ill.,0,14,47,3,nan,nan,50,Defensive
2015-16,Northern Ill.,14,14,65,22,2,389,87,Offense
2015-16,Northern Ill.,0,14,37,10,2,117,47,Defensive
2016-17,Northern Ill.,12,12,45,14,nan,75,59,Offense
2016-17,Northern Ill.,0,12,44,13,nan,143,57,Defensive
2017-18,Northern Ill.,12,12,40,15,3,284,55,Offense
2017-18,Northern Ill.,0,12,29,11,1,157,40,Defensive
2013-14,North Texas,13,13,50,18,2,266,68,Offense
2013-14,North Texas,0,13,37,14,2,178,51,Defensive
2014-15,North Texas,12,12,30,12,2,198,42,Offense
2014-15,North Texas,0,12,43,13,5,237,56,Defensive
2015-16,North Texas,12,12,29,4,nan,28,33,Offense
2015-16,North Texas,0,12,56,11,3,243,67,Defensive
2016-17,North Texas,13,13,36,14,2,221,50,Offense
2016-17,North Texas,0,13,51,13,1,164,64,Defensive
2017-18,North Texas,13,13,34,7,nan,16,41,Offense
2017-18,North Texas,0,13,40,13,1,133,53,Defensive
2013-14,North Texas,13,13,50,18,2,266,68.00,Offense
2013-14,North Texas,0,13,37,14,2,178,51.00,Defensive
2014-15,North Texas,12,12,30,12,2,198,42.00,Offense
2014-15,North Texas,0,12,43,13,5,237,56.00,Defensive
2015-16,North Texas,12,12,29,4,nan,28,33.00,Offense
2015-16,North Texas,0,12,56,11,3,243,67.00,Defensive
2016-17,North Texas,13,13,36,14,2,221,50.00,Offense
2016-17,North Texas,0,13,51,13,1,164,64.00,Defensive
2017-18,North Texas,13,13,34,7,nan,16,41.00,Offense
2017-18,North Texas,0,13,40,13,1,133,53.00,Defensive
2013-14,North Texas,13,13,50,18,2,266,68,Offense
2013-14,North Texas,0,13,37,14,2,178,51,Defensive
2014-15,North Texas,12,12,30,12,2,198,42,Offense
2014-15,North Texas,0,12,43,13,5,237,56,Defensive
2015-16,North Texas,12,12,29,4,nan,28,33,Offense
2015-16,North Texas,0,12,56,11,3,243,67,Defensive
2016-17,North Texas,13,13,36,14,2,221,50,Offense
2016-17,North Texas,0,13,51,13,1,164,64,Defensive
2017-18,North Texas,13,13,34,7,nan,16,41,Offense
2017-18,North Texas,0,13,40,13,1,133,53,Defensive
2013-14,North Texas,13,13,50,18,2,266,68.00,Offense
2013-14,North Texas,0,13,37,14,2,178,51.00,Defensive
2014-15,North Texas,12,12,30,12,2,198,42.00,Offense
2014-15,North Texas,0,12,43,13,5,237,56.00,Defensive
2015-16,North Texas,12,12,29,4,nan,28,33.00,Offense
2015-16,North Texas,0,12,56,11,3,243,67.00,Defensive
2016-17,North Texas,13,13,36,14,2,221,50.00,Offense
2016-17,North Texas,0,13,51,13,1,164,64.00,Defensive
2017-18,North Texas,13,13,34,7,nan,16,41.00,Offense
2017-18,North Texas,0,13,40,13,1,133,53.00,Defensive
2013-14,North Carolina,13,13,51,13,1,95,64.00,Offense
2013-14,North Carolina,0,13,37,11,nan,75,48.00,Defensive
2014-15,North Carolina,13,13,43,12,3,232,55.00,Offense
2014-15,North Carolina,0,13,47,13,2,106,60.00,Defensive
2015-16,North Carolina,14,14,62,17,nan,204,79.00,Offense
2015-16,North Carolina,0,14,34,10,nan,56,44.00,Defensive
2016-17,North Carolina,13,13,46,1,1,58,47.00,Offense
2016-17,North Carolina,0,13,42,6,1,64,48.00,Defensive
2017-18,North Carolina,12,12,52,7,nan,100,59.00,Offense
2017-18,North Carolina,0,12,50,16,2,363,66.00,Defensive
2013-14,North Carolina,13,13,51,13,1,95,64,Offense
2013-14,North Carolina,0,13,37,11,nan,75,48,Defensive
2014-15,North Carolina,13,13,43,12,3,232,55,Offense
2014-15,North Carolina,0,13,47,13,2,106,60,Defensive
2015-16,North Carolina,14,14,62,17,nan,204,79,Offense
2015-16,North Carolina,0,14,34,10,nan,56,44,Defensive
2016-17,North Carolina,13,13,46,1,1,58,47,Offense
2016-17,North Carolina,0,13,42,6,1,64,48,Defensive
2017-18,North Carolina,12,12,52,7,nan,100,59,Offense
2017-18,North Carolina,0,12,50,16,2,363,66,Defensive
2013-14,North Carolina,13,13,51,13,1,95,64.00,Offense
2013-14,North Carolina,0,13,37,11,nan,75,48.00,Defensive
2014-15,North Carolina,13,13,43,12,3,232,55.00,Offense
2014-15,North Carolina,0,13,47,13,2,106,60.00,Defensive
2015-16,North Carolina,14,14,62,17,nan,204,79.00,Offense
2015-16,North Carolina,0,14,34,10,nan,56,44.00,Defensive
2016-17,North Carolina,13,13,46,1,1,58,47.00,Offense
2016-17,North Carolina,0,13,42,6,1,64,48.00,Defensive
2017-18,North Carolina,12,12,52,7,nan,100,59.00,Offense
2017-18,North Carolina,0,12,50,16,2,363,66.00,Defensive
2013-14,North Carolina,13,13,51,13,1,95,64,Offense
2013-14,North Carolina,0,13,37,11,nan,75,48,Defensive
2014-15,North Carolina,13,13,43,12,3,232,55,Offense
2014-15,North Carolina,0,13,47,13,2,106,60,Defensive
2015-16,North Carolina,14,14,62,17,nan,204,79,Offense
2015-16,North Carolina,0,14,34,10,nan,56,44,Defensive
2016-17,North Carolina,13,13,46,1,1,58,47,Offense
2016-17,North Carolina,0,13,42,6,1,64,48,Defensive
2017-18,North Carolina,12,12,52,7,nan,100,59,Offense
2017-18,North Carolina,0,12,50,16,2,363,66,Defensive
2013-14,New Mexico St.,12,12,19,10,nan,89,29.00,Offense
2013-14,New Mexico St.,0,12,43,13,nan,127,56.00,Defensive
2014-15,New Mexico St.,12,12,17,11,1,76,28.00,Offense
2014-15,New Mexico St.,0,12,40,24,2,260,64.00,Defensive
2015-16,New Mexico St.,12,12,26,12,1,110,38.00,Offense
2015-16,New Mexico St.,0,12,51,14,2,245,65.00,Defensive
2016-17,New Mexico St.,12,12,27,13,1,138,40.00,Offense
2016-17,New Mexico St.,0,12,55,15,1,211,70.00,Defensive
2017-18,New Mexico St.,12,12,42,16,1,82,58.00,Offense
2017-18,New Mexico St.,0,12,63,20,1,292,83.00,Defensive
2013-14,New Mexico St.,12,12,19,10,nan,89,29,Offense
2013-14,New Mexico St.,0,12,43,13,nan,127,56,Defensive
2014-15,New Mexico St.,12,12,17,11,1,76,28,Offense
2014-15,New Mexico St.,0,12,40,24,2,260,64,Defensive
2015-16,New Mexico St.,12,12,26,12,1,110,38,Offense
2015-16,New Mexico St.,0,12,51,14,2,245,65,Defensive
2016-17,New Mexico St.,12,12,27,13,1,138,40,Offense
2016-17,New Mexico St.,0,12,55,15,1,211,70,Defensive
2017-18,New Mexico St.,12,12,42,16,1,82,58,Offense
2017-18,New Mexico St.,0,12,63,20,1,292,83,Defensive
2013-14,New Mexico St.,12,12,19,10,nan,89,29,Offense
2013-14,New Mexico St.,0,12,43,13,nan,127,56,Defensive
2014-15,New Mexico St.,12,12,17,11,1,76,28,Offense
2014-15,New Mexico St.,0,12,40,24,2,260,64,Defensive
2015-16,New Mexico St.,12,12,26,12,1,110,38,Offense
2015-16,New Mexico St.,0,12,51,14,2,245,65,Defensive
2016-17,New Mexico St.,12,12,27,13,1,138,40,Offense
2016-17,New Mexico St.,0,12,55,15,1,211,70,Defensive
2017-18,New Mexico St.,12,12,42,16,1,82,58,Offense
2017-18,New Mexico St.,0,12,63,20,1,292,83,Defensive
2013-14,New Mexico St.,12,12,19,10,nan,89,29.00,Offense
2013-14,New Mexico St.,0,12,43,13,nan,127,56.00,Defensive
2014-15,New Mexico St.,12,12,17,11,1,76,28.00,Offense
2014-15,New Mexico St.,0,12,40,24,2,260,64.00,Defensive
2015-16,New Mexico St.,12,12,26,12,1,110,38.00,Offense
2015-16,New Mexico St.,0,12,51,14,2,245,65.00,Defensive
2016-17,New Mexico St.,12,12,27,13,1,138,40.00,Offense
2016-17,New Mexico St.,0,12,55,15,1,211,70.00,Defensive
2017-18,New Mexico St.,12,12,42,16,1,82,58.00,Offense
2017-18,New Mexico St.,0,12,63,20,1,292,83.00,Defensive
2013-14,New Mexico,12,12,27,4,nan,51,31,Offense
2013-14,New Mexico,0,12,17,5,nan,3,22,Defensive
2014-15,New Mexico,12,12,36,11,1,151,47,Offense
2014-15,New Mexico,0,12,20,6,nan,87,26,Defensive
2015-16,New Mexico,13,13,39,14,1,170,53,Offense
2015-16,New Mexico,0,13,22,14,nan,123,36,Defensive
2016-17,New Mexico,13,13,43,8,2,86,51,Offense
2016-17,New Mexico,0,13,27,6,nan,16,33,Defensive
2017-18,New Mexico,12,12,38,6,1,162,44,Offense
2017-18,New Mexico,0,12,33,14,nan,131,47,Defensive
2013-14,New Mexico,12,12,27,4,nan,51,31.00,Offense
2013-14,New Mexico,0,12,17,5,nan,3,22.00,Defensive
2014-15,New Mexico,12,12,36,11,1,151,47.00,Offense
2014-15,New Mexico,0,12,20,6,nan,87,26.00,Defensive
2015-16,New Mexico,13,13,39,14,1,170,53.00,Offense
2015-16,New Mexico,0,13,22,14,nan,123,36.00,Defensive
2016-17,New Mexico,13,13,43,8,2,86,51.00,Offense
2016-17,New Mexico,0,13,27,6,nan,16,33.00,Defensive
2017-18,New Mexico,12,12,38,6,1,162,44.00,Offense
2017-18,New Mexico,0,12,33,14,nan,131,47.00,Defensive
2013-14,New Mexico,12,12,27,4,nan,51,31,Offense
2013-14,New Mexico,0,12,17,5,nan,3,22,Defensive
2014-15,New Mexico,12,12,36,11,1,151,47,Offense
2014-15,New Mexico,0,12,20,6,nan,87,26,Defensive
2015-16,New Mexico,13,13,39,14,1,170,53,Offense
2015-16,New Mexico,0,13,22,14,nan,123,36,Defensive
2016-17,New Mexico,13,13,43,8,2,86,51,Offense
2016-17,New Mexico,0,13,27,6,nan,16,33,Defensive
2017-18,New Mexico,12,12,38,6,1,162,44,Offense
2017-18,New Mexico,0,12,33,14,nan,131,47,Defensive
2013-14,Ohio St.,14,14,58,16,2,197,74,Offense
2013-14,Ohio St.,0,14,26,9,1,60,35,Defensive
2014-15,Ohio St.,15,15,55,25,2,300,80,Offense
2014-15,Ohio St.,0,15,42,12,2,256,54,Defensive
2015-16,Ohio St.,13,13,46,12,3,142,58,Offense
2015-16,Ohio St.,0,13,40,9,nan,140,49,Defensive
2016-17,Ohio St.,13,13,50,21,7,443,71,Offense
2016-17,Ohio St.,0,13,50,7,1,209,57,Defensive
2017-18,Ohio St.,13,13,56,12,nan,137,68,Offense
2017-18,Ohio St.,0,13,39,10,3,144,49,Defensive
2013-14,Ohio St.,14,14,58,16,2,197,74,Offense
2013-14,Ohio St.,0,14,26,9,1,60,35,Defensive
2014-15,Ohio St.,15,15,55,25,2,300,80,Offense
2014-15,Ohio St.,0,15,42,12,2,256,54,Defensive
2015-16,Ohio St.,13,13,46,12,3,142,58,Offense
2015-16,Ohio St.,0,13,40,9,nan,140,49,Defensive
2016-17,Ohio St.,13,13,50,21,7,443,71,Offense
2016-17,Ohio St.,0,13,50,7,1,209,57,Defensive
2017-18,Ohio St.,13,13,56,12,nan,137,68,Offense
2017-18,Ohio St.,0,13,39,10,3,144,49,Defensive
2013-14,Ohio St.,14,14,58,16,2,197,74.00,Offense
2013-14,Ohio St.,0,14,26,9,1,60,35.00,Defensive
2014-15,Ohio St.,15,15,55,25,2,300,80.00,Offense
2014-15,Ohio St.,0,15,42,12,2,256,54.00,Defensive
2015-16,Ohio St.,13,13,46,12,3,142,58.00,Offense
2015-16,Ohio St.,0,13,40,9,nan,140,49.00,Defensive
2016-17,Ohio St.,13,13,50,21,7,443,71.00,Offense
2016-17,Ohio St.,0,13,50,7,1,209,57.00,Defensive
2017-18,Ohio St.,13,13,56,12,nan,137,68.00,Offense
2017-18,Ohio St.,0,13,39,10,3,144,49.00,Defensive
2013-14,Ohio St.,14,14,58,16,2,197,74.00,Offense
2013-14,Ohio St.,0,14,26,9,1,60,35.00,Defensive
2014-15,Ohio St.,15,15,55,25,2,300,80.00,Offense
2014-15,Ohio St.,0,15,42,12,2,256,54.00,Defensive
2015-16,Ohio St.,13,13,46,12,3,142,58.00,Offense
2015-16,Ohio St.,0,13,40,9,nan,140,49.00,Defensive
2016-17,Ohio St.,13,13,50,21,7,443,71.00,Offense
2016-17,Ohio St.,0,13,50,7,1,209,57.00,Defensive
2017-18,Ohio St.,13,13,56,12,nan,137,68.00,Offense
2017-18,Ohio St.,0,13,39,10,3,144,49.00,Defensive
2013-14,Ohio,13,13,52,14,3,180,66.00,Offense
2013-14,Ohio,0,13,47,13,nan,145,60.00,Defensive
2014-15,Ohio,12,12,55,12,nan,174,67.00,Offense
2014-15,Ohio,0,12,51,9,2,64,60.00,Defensive
2015-16,Ohio,13,13,50,12,3,230,62.00,Offense
2015-16,Ohio,0,13,55,13,3,217,68.00,Defensive
2016-17,Ohio,14,14,53,15,nan,202,68.00,Offense
2016-17,Ohio,0,14,54,12,nan,58,66.00,Defensive
2017-18,Ohio,12,12,66,9,2,145,75.00,Offense
2017-18,Ohio,0,12,48,9,nan,123,57.00,Defensive
2013-14,Ohio,13,13,52,14,3,180,66,Offense
2013-14,Ohio,0,13,47,13,nan,145,60,Defensive
2014-15,Ohio,12,12,55,12,nan,174,67,Offense
2014-15,Ohio,0,12,51,9,2,64,60,Defensive
2015-16,Ohio,13,13,50,12,3,230,62,Offense
2015-16,Ohio,0,13,55,13,3,217,68,Defensive
2016-17,Ohio,14,14,53,15,nan,202,68,Offense
2016-17,Ohio,0,14,54,12,nan,58,66,Defensive
2017-18,Ohio,12,12,66,9,2,145,75,Offense
2017-18,Ohio,0,12,48,9,nan,123,57,Defensive
2013-14,Ohio,13,13,52,14,3,180,66,Offense
2013-14,Ohio,0,13,47,13,nan,145,60,Defensive
2014-15,Ohio,12,12,55,12,nan,174,67,Offense
2014-15,Ohio,0,12,51,9,2,64,60,Defensive
2015-16,Ohio,13,13,50,12,3,230,62,Offense
2015-16,Ohio,0,13,55,13,3,217,68,Defensive
2016-17,Ohio,14,14,53,15,nan,202,68,Offense
2016-17,Ohio,0,14,54,12,nan,58,66,Defensive
2017-18,Ohio,12,12,66,9,2,145,75,Offense
2017-18,Ohio,0,12,48,9,nan,123,57,Defensive
2013-14,Ohio,13,13,52,14,3,180,66.00,Offense
2013-14,Ohio,0,13,47,13,nan,145,60.00,Defensive
2014-15,Ohio,12,12,55,12,nan,174,67.00,Offense
2014-15,Ohio,0,12,51,9,2,64,60.00,Defensive
2015-16,Ohio,13,13,50,12,3,230,62.00,Offense
2015-16,Ohio,0,13,55,13,3,217,68.00,Defensive
2016-17,Ohio,14,14,53,15,nan,202,68.00,Offense
2016-17,Ohio,0,14,54,12,nan,58,66.00,Defensive
2017-18,Ohio,12,12,66,9,2,145,75.00,Offense
2017-18,Ohio,0,12,48,9,nan,123,57.00,Defensive
2013-14,Notre Dame,13,13,32,13,3,93,45,Offense
2013-14,Notre Dame,0,13,43,13,2,159,56,Defensive
2014-15,Notre Dame,13,13,39,16,nan,138,55,Offense
2014-15,Notre Dame,0,13,35,14,4,301,49,Defensive
2015-16,Notre Dame,13,13,37,9,1,65,46,Offense
2015-16,Notre Dame,0,13,28,10,nan,38,38,Defensive
2016-17,Notre Dame,12,12,36,8,nan,73,44,Offense
2016-17,Notre Dame,0,12,38,9,2,173,47,Defensive
2017-18,Notre Dame,12,12,48,10,2,209,58,Offense
2017-18,Notre Dame,0,12,43,9,1,154,52,Defensive
2013-14,Notre Dame,13,13,32,13,3,93,45,Offense
2013-14,Notre Dame,0,13,43,13,2,159,56,Defensive
2014-15,Notre Dame,13,13,39,16,nan,138,55,Offense
2014-15,Notre Dame,0,13,35,14,4,301,49,Defensive
2015-16,Notre Dame,13,13,37,9,1,65,46,Offense
2015-16,Notre Dame,0,13,28,10,nan,38,38,Defensive
2016-17,Notre Dame,12,12,36,8,nan,73,44,Offense
2016-17,Notre Dame,0,12,38,9,2,173,47,Defensive
2017-18,Notre Dame,12,12,48,10,2,209,58,Offense
2017-18,Notre Dame,0,12,43,9,1,154,52,Defensive
2013-14,Notre Dame,13,13,32,13,3,93,45.00,Offense
2013-14,Notre Dame,0,13,43,13,2,159,56.00,Defensive
2014-15,Notre Dame,13,13,39,16,nan,138,55.00,Offense
2014-15,Notre Dame,0,13,35,14,4,301,49.00,Defensive
2015-16,Notre Dame,13,13,37,9,1,65,46.00,Offense
2015-16,Notre Dame,0,13,28,10,nan,38,38.00,Defensive
2016-17,Notre Dame,12,12,36,8,nan,73,44.00,Offense
2016-17,Notre Dame,0,12,38,9,2,173,47.00,Defensive
2017-18,Notre Dame,12,12,48,10,2,209,58.00,Offense
2017-18,Notre Dame,0,12,43,9,1,154,52.00,Defensive
2013-14,Notre Dame,13,13,32,13,3,93,45.00,Offense
2013-14,Notre Dame,0,13,43,13,2,159,56.00,Defensive
2014-15,Notre Dame,13,13,39,16,nan,138,55.00,Offense
2014-15,Notre Dame,0,13,35,14,4,301,49.00,Defensive
2015-16,Notre Dame,13,13,37,9,1,65,46.00,Offense
2015-16,Notre Dame,0,13,28,10,nan,38,38.00,Defensive
2016-17,Notre Dame,12,12,36,8,nan,73,44.00,Offense
2016-17,Notre Dame,0,12,38,9,2,173,47.00,Defensive
2017-18,Notre Dame,12,12,48,10,2,209,58.00,Offense
2017-18,Notre Dame,0,12,43,9,1,154,52.00,Defensive
2013-14,Northwestern,12,12,52,19,4,261,71.00,Offense
2013-14,Northwestern,0,12,34,13,2,104,47.00,Defensive
2014-15,Northwestern,12,12,44,15,1,213,59.00,Offense
2014-15,Northwestern,0,12,58,14,1,132,72.00,Defensive
2015-16,Northwestern,13,13,61,12,2,228,73.00,Offense
2015-16,Northwestern,0,13,34,13,3,264,47.00,Defensive
2016-17,Northwestern,13,13,54,16,nan,163,70.00,Offense
2016-17,Northwestern,0,13,63,9,1,93,72.00,Defensive
2017-18,Northwestern,12,12,54,15,nan,181,69.00,Offense
2017-18,Northwestern,0,12,59,12,2,139,71.00,Defensive
2013-14,Northwestern,12,12,52,19,4,261,71,Offense
2013-14,Northwestern,0,12,34,13,2,104,47,Defensive
2014-15,Northwestern,12,12,44,15,1,213,59,Offense
2014-15,Northwestern,0,12,58,14,1,132,72,Defensive
2015-16,Northwestern,13,13,61,12,2,228,73,Offense
2015-16,Northwestern,0,13,34,13,3,264,47,Defensive
2016-17,Northwestern,13,13,54,16,nan,163,70,Offense
2016-17,Northwestern,0,13,63,9,1,93,72,Defensive
2017-18,Northwestern,12,12,54,15,nan,181,69,Offense
2017-18,Northwestern,0,12,59,12,2,139,71,Defensive
2013-14,Northwestern,12,12,52,19,4,261,71.00,Offense
2013-14,Northwestern,0,12,34,13,2,104,47.00,Defensive
2014-15,Northwestern,12,12,44,15,1,213,59.00,Offense
2014-15,Northwestern,0,12,58,14,1,132,72.00,Defensive
2015-16,Northwestern,13,13,61,12,2,228,73.00,Offense
2015-16,Northwestern,0,13,34,13,3,264,47.00,Defensive
2016-17,Northwestern,13,13,54,16,nan,163,70.00,Offense
2016-17,Northwestern,0,13,63,9,1,93,72.00,Defensive
2017-18,Northwestern,12,12,54,15,nan,181,69.00,Offense
2017-18,Northwestern,0,12,59,12,2,139,71.00,Defensive
2013-14,Northwestern,12,12,52,19,4,261,71,Offense
2013-14,Northwestern,0,12,34,13,2,104,47,Defensive
2014-15,Northwestern,12,12,44,15,1,213,59,Offense
2014-15,Northwestern,0,12,58,14,1,132,72,Defensive
2015-16,Northwestern,13,13,61,12,2,228,73,Offense
2015-16,Northwestern,0,13,34,13,3,264,47,Defensive
2016-17,Northwestern,13,13,54,16,nan,163,70,Offense
2016-17,Northwestern,0,13,63,9,1,93,72,Defensive
2017-18,Northwestern,12,12,54,15,nan,181,69,Offense
2017-18,Northwestern,0,12,59,12,2,139,71,Defensive
2013-14,Northern Ill.,14,14,68,19,2,260,87.00,Offense
2013-14,Northern Ill.,0,14,31,8,nan,90,39.00,Defensive
2014-15,Northern Ill.,14,14,44,14,1,108,58.00,Offense
2014-15,Northern Ill.,0,14,47,3,nan,nan,50.00,Defensive
2015-16,Northern Ill.,14,14,65,22,2,389,87.00,Offense
2015-16,Northern Ill.,0,14,37,10,2,117,47.00,Defensive
2016-17,Northern Ill.,12,12,45,14,nan,75,59.00,Offense
2016-17,Northern Ill.,0,12,44,13,nan,143,57.00,Defensive
2017-18,Northern Ill.,12,12,40,15,3,284,55.00,Offense
2017-18,Northern Ill.,0,12,29,11,1,157,40.00,Defensive
2011-12,Oregon,1,1,3,1,nan,22,4,Offense
2011-12,Oregon,0,1,4,2,nan,1,6,Defensive
2013-14,Oregon,13,13,57,17,3,309,74,Offense
2013-14,Oregon,0,13,29,6,nan,54,35,Defensive
2014-15,Oregon,15,15,71,13,nan,163,84,Offense
2014-15,Oregon,0,15,35,4,nan,8,39,Defensive
2015-16,Oregon,13,13,56,13,1,118,69,Offense
2015-16,Oregon,0,13,35,10,nan,85,45,Defensive
2016-17,Oregon,12,12,46,9,nan,154,55,Offense
2016-17,Oregon,0,12,49,6,nan,39,55,Defensive
2017-18,Oregon,12,12,63,13,1,142,76,Offense
2017-18,Oregon,0,12,19,10,nan,181,29,Defensive
2013-14,Ole Miss,13,13,39,13,nan,61,52,Offense
2013-14,Ole Miss,0,13,65,13,1,136,78,Defensive
2014-15,Ole Miss,13,13,40,22,3,371,62,Offense
2014-15,Ole Miss,0,13,54,15,2,190,69,Defensive
2015-16,Ole Miss,13,13,73,15,4,356,88,Offense
2015-16,Ole Miss,0,13,53,14,1,188,67,Defensive
2016-17,Ole Miss,12,12,37,8,2,150,45,Offense
2016-17,Ole Miss,0,12,67,14,1,132,81,Defensive
2017-18,Ole Miss,12,12,34,8,nan,104,42,Offense
2017-18,Ole Miss,0,12,46,13,3,258,59,Defensive
2013-14,Ole Miss,13,13,39,13,nan,61,52,Offense
2013-14,Ole Miss,0,13,65,13,1,136,78,Defensive
2014-15,Ole Miss,13,13,40,22,3,371,62,Offense
2014-15,Ole Miss,0,13,54,15,2,190,69,Defensive
2015-16,Ole Miss,13,13,73,15,4,356,88,Offense
2015-16,Ole Miss,0,13,53,14,1,188,67,Defensive
2016-17,Ole Miss,12,12,37,8,2,150,45,Offense
2016-17,Ole Miss,0,12,67,14,1,132,81,Defensive
2017-18,Ole Miss,12,12,34,8,nan,104,42,Offense
2017-18,Ole Miss,0,12,46,13,3,258,59,Defensive
2013-14,Ole Miss,13,13,39,13,nan,61,52.00,Offense
2013-14,Ole Miss,0,13,65,13,1,136,78.00,Defensive
2014-15,Ole Miss,13,13,40,22,3,371,62.00,Offense
2014-15,Ole Miss,0,13,54,15,2,190,69.00,Defensive
2015-16,Ole Miss,13,13,73,15,4,356,88.00,Offense
2015-16,Ole Miss,0,13,53,14,1,188,67.00,Defensive
2016-17,Ole Miss,12,12,37,8,2,150,45.00,Offense
2016-17,Ole Miss,0,12,67,14,1,132,81.00,Defensive
2017-18,Ole Miss,12,12,34,8,nan,104,42.00,Offense
2017-18,Ole Miss,0,12,46,13,3,258,59.00,Defensive
2013-14,Oklahoma St.,13,13,60,21,2,337,81,Offense
2013-14,Oklahoma St.,0,13,52,13,2,140,65,Defensive
2014-15,Oklahoma St.,13,13,49,12,2,155,61,Offense
2014-15,Oklahoma St.,0,13,35,17,2,184,52,Defensive
2015-16,Oklahoma St.,13,13,32,17,2,256,49,Offense
2015-16,Oklahoma St.,0,13,58,10,2,178,68,Defensive
2016-17,Oklahoma St.,13,13,44,14,nan,193,58,Offense
2016-17,Oklahoma St.,0,13,41,4,1,54,45,Defensive
2017-18,Oklahoma St.,12,12,43,16,2,214,59,Offense
2017-18,Oklahoma St.,0,12,44,10,2,151,54,Defensive
2013-14,Ole Miss,13,13,39,13,nan,61,52.00,Offense
2013-14,Ole Miss,0,13,65,13,1,136,78.00,Defensive
2014-15,Ole Miss,13,13,40,22,3,371,62.00,Offense
2014-15,Ole Miss,0,13,54,15,2,190,69.00,Defensive
2015-16,Ole Miss,13,13,73,15,4,356,88.00,Offense
2015-16,Ole Miss,0,13,53,14,1,188,67.00,Defensive
2016-17,Ole Miss,12,12,37,8,2,150,45.00,Offense
2016-17,Ole Miss,0,12,67,14,1,132,81.00,Defensive
2017-18,Ole Miss,12,12,34,8,nan,104,42.00,Offense
2017-18,Ole Miss,0,12,46,13,3,258,59.00,Defensive
2013-14,Old Dominion,12,12,31,8,nan,74,39,Offense
2013-14,Old Dominion,0,12,42,8,nan,68,50,Defensive
2014-15,Old Dominion,11,11,25,5,nan,nan,30,Offense
2014-15,Old Dominion,0,11,37,15,1,146,52,Defensive
2015-16,Old Dominion,12,12,54,8,nan,114,62,Offense
2015-16,Old Dominion,0,12,50,9,nan,23,59,Defensive
2016-17,Old Dominion,13,13,46,11,1,76,57,Offense
2016-17,Old Dominion,0,13,33,6,1,80,39,Defensive
2017-18,Old Dominion,12,12,38,8,nan,76,46,Offense
2017-18,Old Dominion,0,12,35,14,nan,99,49,Defensive
2013-14,Old Dominion,12,12,31,8,nan,74,39.00,Offense
2013-14,Old Dominion,0,12,42,8,nan,68,50.00,Defensive
2014-15,Old Dominion,11,11,25,5,nan,nan,30.00,Offense
2014-15,Old Dominion,0,11,37,15,1,146,52.00,Defensive
2015-16,Old Dominion,12,12,54,8,nan,114,62.00,Offense
2015-16,Old Dominion,0,12,50,9,nan,23,59.00,Defensive
2016-17,Old Dominion,13,13,46,11,1,76,57.00,Offense
2016-17,Old Dominion,0,13,33,6,1,80,39.00,Defensive
2017-18,Old Dominion,12,12,38,8,nan,76,46.00,Offense
2017-18,Old Dominion,0,12,35,14,nan,99,49.00,Defensive
2013-14,Old Dominion,12,12,31,8,nan,74,39.00,Offense
2013-14,Old Dominion,0,12,42,8,nan,68,50.00,Defensive
2014-15,Old Dominion,11,11,25,5,nan,nan,30.00,Offense
2014-15,Old Dominion,0,11,37,15,1,146,52.00,Defensive
2015-16,Old Dominion,12,12,54,8,nan,114,62.00,Offense
2015-16,Old Dominion,0,12,50,9,nan,23,59.00,Defensive
2016-17,Old Dominion,13,13,46,11,1,76,57.00,Offense
2016-17,Old Dominion,0,13,33,6,1,80,39.00,Defensive
2017-18,Old Dominion,12,12,38,8,nan,76,46.00,Offense
2017-18,Old Dominion,0,12,35,14,nan,99,49.00,Defensive
2013-14,Old Dominion,12,12,31,8,nan,74,39,Offense
2013-14,Old Dominion,0,12,42,8,nan,68,50,Defensive
2014-15,Old Dominion,11,11,25,5,nan,nan,30,Offense
2014-15,Old Dominion,0,11,37,15,1,146,52,Defensive
2015-16,Old Dominion,12,12,54,8,nan,114,62,Offense
2015-16,Old Dominion,0,12,50,9,nan,23,59,Defensive
2016-17,Old Dominion,13,13,46,11,1,76,57,Offense
2016-17,Old Dominion,0,13,33,6,1,80,39,Defensive
2017-18,Old Dominion,12,12,38,8,nan,76,46,Offense
2017-18,Old Dominion,0,12,35,14,nan,99,49,Defensive
2013-14,Oklahoma St.,13,13,60,21,2,337,81.00,Offense
2013-14,Oklahoma St.,0,13,52,13,2,140,65.00,Defensive
2014-15,Oklahoma St.,13,13,49,12,2,155,61.00,Offense
2014-15,Oklahoma St.,0,13,35,17,2,184,52.00,Defensive
2015-16,Oklahoma St.,13,13,32,17,2,256,49.00,Offense
2015-16,Oklahoma St.,0,13,58,10,2,178,68.00,Defensive
2016-17,Oklahoma St.,13,13,44,14,nan,193,58.00,Offense
2016-17,Oklahoma St.,0,13,41,4,1,54,45.00,Defensive
2017-18,Oklahoma St.,12,12,43,16,2,214,59.00,Offense
2017-18,Oklahoma St.,0,12,44,10,2,151,54.00,Defensive
2013-14,Oklahoma St.,13,13,60,21,2,337,81.00,Offense
2013-14,Oklahoma St.,0,13,52,13,2,140,65.00,Defensive
2014-15,Oklahoma St.,13,13,49,12,2,155,61.00,Offense
2014-15,Oklahoma St.,0,13,35,17,2,184,52.00,Defensive
2015-16,Oklahoma St.,13,13,32,17,2,256,49.00,Offense
