Stat,Player,Value,Team,Year
Punt Avg,J. Schroeder,520.4,Western Mich. Broncos,2016
Punt Ret Yds,Daniel Braverman,88,Western Mich. Broncos,2016
Rec,Daniel Braverman,109,Western Mich. Broncos,2016
ReceivingYards,Corey Davis,1436,Western Mich. Broncos,2016
Rush Net Yards,Jamauri Bogan,1051,Western Mich. Broncos,2016
Sacks,Keion Adams,4.5,Western Mich. Broncos,2016
Tackles,Asantay Brown,103,Western Mich. Broncos,2016
Tot Off,Zach Terrell,3617,Western Mich. Broncos,2016
APY,Brian Hill,1763,Wyoming  Cowboys,2016
FGM,Tristian Bailey,2,Wyoming  Cowboys,2016
Int,Marcus Epps,2,Wyoming  Cowboys,2016
Pass Eff,C. Coffman,147.42,Wyoming  Cowboys,2016
Points,Jake Maulhardt,48,Wyoming  Cowboys,2016
Punt Avg,Ethan Wood,505.7,Wyoming  Cowboys,2016
Punt Ret Yds,Tanner Gentry,73,Wyoming  Cowboys,2016
Rec,Jake Maulhardt,57,Wyoming  Cowboys,2016
ReceivingYards,Tanner Gentry,678,Wyoming  Cowboys,2016
Rush Net Yards,Brian Hill,1631,Wyoming  Cowboys,2016
Sacks,Eddie Yarbrough,7.0,Wyoming  Cowboys,2016
Tackles,Andrew Wingard,122,Wyoming  Cowboys,2016
Tot Off,C. Coffman,1833,Wyoming  Cowboys,2016
APY,Tim McVey,1348,Air Force Falcons,2017
FGM,Luke Strebel,22,Air Force Falcons,2017
Int,Weston Steelhammer,7,Air Force Falcons,2017
Pass Eff,Arion Worthman,200.16,Air Force Falcons,2017
Points,Luke Strebel,117,Air Force Falcons,2017
Punt Avg,Steve Brosy,490.3,Air Force Falcons,2017
Punt Ret Yds,Ronald Cleveland,76,Air Force Falcons,2017
Rec,Jalen Robinette,35,Air Force Falcons,2017
ReceivingYards,Jalen Robinette,959,Air Force Falcons,2017
Rush Net Yards,Jocobi Owens,859,Air Force Falcons,2017
Sacks,Ryan Watson,9.0,Air Force Falcons,2017
Tackles,Weston Steelhammer,72,Air Force Falcons,2017
Tot Off,Nate Romine,1485,Air Force Falcons,2017
APY,Jojo Natson,1166,Akron  Zips,2017
FGM,Tom O'Leary,10,Akron  Zips,2017
Int,Kyron Brown,3,Akron  Zips,2017
Pass Eff,Manny Morgan,547.60,Akron  Zips,2017
Points,Jojo Natson,72,Akron  Zips,2017
Punt Avg,Nick Gasser,450.0,Akron  Zips,2017
Punt Ret Yds,Jojo Natson,261,Akron  Zips,2017
Rec,Jerome Lane,62,Akron  Zips,2017
ReceivingYards,Jerome Lane,1018,Akron  Zips,2017
Rush Net Yards,Van Edwards,492,Akron  Zips,2017
Sacks,Ulysees Gilbert,4.0,Akron  Zips,2017
Tackles,Ulysees Gilbert,122,Akron  Zips,2017
Tot Off,Thomas Woodson,2113,Akron  Zips,2017
APY,Damien Harris,1136,Alabama  Crimson Tide,2017
FGM,Adam Griffith,21,Alabama  Crimson Tide,2017
Int,Minkah Fitzpatrick,6,Alabama  Crimson Tide,2017
Pass Eff,Ardarius Stewart,251.20,Alabama  Crimson Tide,2017
Points,Adam Griffith,129,Alabama  Crimson Tide,2017
Punt Avg,JK Scott,717.6,Alabama  Crimson Tide,2017
Punt Ret Yds,Eddie Jackson,253,Alabama  Crimson Tide,2017
Rec,Calvin Ridley,72,Alabama  Crimson Tide,2017
ReceivingYards,Ardarius Stewart,864,Alabama  Crimson Tide,2017
Rush Net Yards,Damien Harris,1037,Alabama  Crimson Tide,2017
Sacks,Jonathan Allen,10.5,Alabama  Crimson Tide,2017
Tackles,Reuben Foster,115,Alabama  Crimson Tide,2017
Tot Off,Jalen Hurts,3734,Alabama  Crimson Tide,2017
APY,Jalin Moore,1434,Appalachian St. Mountaineers,2017
FGM,Michael Rubino,15,Appalachian St. Mountaineers,2017
Int,Clifton Duck,5,Appalachian St. Mountaineers,2017
Pass Eff,J.P. Caruso,219.40,Appalachian St. Mountaineers,2017
Points,Michael Rubino,92,Appalachian St. Mountaineers,2017
Punt Avg,Bentlee Critcher,530.1,Appalachian St. Mountaineers,2017
Punt Ret Yds,Jaquil Capel,162,Appalachian St. Mountaineers,2017
Rec,Shaedon Meadors,45,Appalachian St. Mountaineers,2017
ReceivingYards,Shaedon Meadors,716,Appalachian St. Mountaineers,2017
Rush Net Yards,Jalin Moore,1402,Appalachian St. Mountaineers,2017
Sacks,Antonious Sims,7.0,Appalachian St. Mountaineers,2017
Tackles,Eric Boggs,98,Appalachian St. Mountaineers,2017
Tot Off,Taylor Lamb,2787,Appalachian St. Mountaineers,2017
APY,Brandon Dawkins,944,Arizona  Wildcats,2017
FGM,Josh Pollack,9,Arizona  Wildcats,2017
Int,Dane Cruikshank,2,Arizona  Wildcats,2017
Pass Eff,Matt Morin,154.45,Arizona  Wildcats,2017
Points,Josh Pollack,63,Arizona  Wildcats,2017
Punt Avg,Josh Pollack,431.7,Arizona  Wildcats,2017
Punt Ret Yds,Nate Phillips,34,Arizona  Wildcats,2017
Rec,Nate Phillips,33,Arizona  Wildcats,2017
ReceivingYards,Shun Brown,521,Arizona  Wildcats,2017
Rush Net Yards,Brandon Dawkins,944,Arizona  Wildcats,2017
Sacks,Parker Zellers,3.0,Arizona  Wildcats,2017
Tackles,Paul Magloire Jr.,81,Arizona  Wildcats,2017
Tot Off,Brandon Dawkins,2292,Arizona  Wildcats,2017
APY,Tim White,1672,Arizona St. Sun Devils,2017
FGM,Zane Gonzalez,23,Arizona St. Sun Devils,2017
Int,De'Chavon Hayes,3,Arizona St. Sun Devils,2017
Pass Eff,Jack Smith,436.00,Arizona St. Sun Devils,2017
Points,Zane Gonzalez,108,Arizona St. Sun Devils,2017
Punt Avg,Matt Haack,517.7,Arizona St. Sun Devils,2017
Punt Ret Yds,Tim White,254,Arizona St. Sun Devils,2017
Rec,N'Keal Harry,58,Arizona St. Sun Devils,2017
ReceivingYards,Tim White,713,Arizona St. Sun Devils,2017
Rush Net Yards,Demario Richard,593,Arizona St. Sun Devils,2017
Sacks,Koron Crump,9.0,Arizona St. Sun Devils,2017
Tackles,DJ Calhoun,77,Arizona St. Sun Devils,2017
Tot Off,Manny Wilkins,2575,Arizona St. Sun Devils,2017
APY,Rawleigh Williams,1580,Arkansas  Razorbacks,2017
FGM,Adam McFain,8,Arkansas  Razorbacks,2017
Int,Josh Liddell,2,Arkansas  Razorbacks,2017
Pass Eff,Rawleigh Williams,438.40,Arkansas  Razorbacks,2017
Points,Rawleigh Williams,78,Arkansas  Razorbacks,2017
Punt Avg,Toby Baker,490.0,Arkansas  Razorbacks,2017
Punt Ret Yds,Jared Cornelius,85,Arkansas  Razorbacks,2017
Rec,Drew Morgan,65,Arkansas  Razorbacks,2017
ReceivingYards,Keon Hatcher,743,Arkansas  Razorbacks,2017
Rush Net Yards,Rawleigh Williams,1360,Arkansas  Razorbacks,2017
Sacks,Jeremiah Ledbetter,5.5,Arkansas  Razorbacks,2017
Tackles,Brooks Ellis,83,Arkansas  Razorbacks,2017
Tot Off,Austin Allen,3304,Arkansas  Razorbacks,2017
APY,Warren Wand,1158,Arkansas St. Red Wolves,2017
FGM,JD Houston,12,Arkansas St. Red Wolves,2017
Int,Cody Brown,3,Arkansas St. Red Wolves,2017
Pass Eff,Cameron Echols-Luper,361.47,Arkansas St. Red Wolves,2017
Points,JD Houston,72,Arkansas St. Red Wolves,2017
Punt Avg,Damon Foncham,513.0,Arkansas St. Red Wolves,2017
Punt Ret Yds,Blaise Taylor,225,Arkansas St. Red Wolves,2017
Rec,Kendall Sanders,38,Arkansas St. Red Wolves,2017
ReceivingYards,Blake Mack,652,Arkansas St. Red Wolves,2017
Rush Net Yards,Warren Wand,879,Arkansas St. Red Wolves,2017
Sacks,Ja'Von Rolland-Jones,13.5,Arkansas St. Red Wolves,2017
Tackles,Xavier Woodson,95,Arkansas St. Red Wolves,2017
Tot Off,Justice Hansen,2850,Arkansas St. Red Wolves,2017
APY,Andy Davidson,961,Army West Point Black Knights,2017
FGM,Blake Wilson,4,Army West Point Black Knights,2017
Int,Elijah Riley,3,Army West Point Black Knights,2017
Pass Eff,Joe Walker,200.80,Army West Point Black Knights,2017
Points,Andy Davidson,74,Army West Point Black Knights,2017
Punt Avg,J.D. Mote,210.9,Army West Point Black Knights,2017
Punt Ret Yds,Malik McGue,104,Army West Point Black Knights,2017
Rec,Edgar Poe,16,Army West Point Black Knights,2017
ReceivingYards,Edgar Poe,336,Army West Point Black Knights,2017
Rush Net Yards,Andy Davidson,961,Army West Point Black Knights,2017
Sacks,Alex Aukerman,7.5,Army West Point Black Knights,2017
Tackles,Jeremy Timpf,112,Army West Point Black Knights,2017
Tot Off,Ahmad Bradshaw,1529,Army West Point Black Knights,2017
APY,Kerryon Johnson,1287,Auburn Tigers,2017
FGM,Daniel Carlson,28,Auburn Tigers,2017
Int,Joshua Holsey,3,Auburn Tigers,2017
Pass Eff,Kerryon Johnson,240.80,Auburn Tigers,2017
Points,Daniel Carlson,134,Auburn Tigers,2017
Punt Avg,Kevin Phillips,462.4,Auburn Tigers,2017
Punt Ret Yds,Stephen Roberts,100,Auburn Tigers,2017
Rec,Tony Stevens,31,Auburn Tigers,2017
ReceivingYards,Tony Stevens,487,Auburn Tigers,2017
Rush Net Yards,Kamryn Pettway,1224,Auburn Tigers,2017
Sacks,Carl Lawson,9.0,Auburn Tigers,2017
Tackles,Tray Matthews,76,Auburn Tigers,2017
Tot Off,Sean White,1842,Auburn Tigers,2017
APY,Jamaal Williams,1455,BYU Cougars,2017
FGM,Rhett Almond,17,BYU Cougars,2017
Int,Kai Nacua,6,BYU Cougars,2017
Pass Eff,Mitchell Juergens,175.60,BYU Cougars,2017
Points,Rhett Almond,90,BYU Cougars,2017
Punt Avg,Jonny Linehan,544.6,BYU Cougars,2017
Punt Ret Yds,Garrett Juergens,163,BYU Cougars,2017
Rec,Nick Kurtz,49,BYU Cougars,2017
ReceivingYards,Nick Kurtz,541,BYU Cougars,2017
Rush Net Yards,Jamaal Williams,1375,BYU Cougars,2017
Sacks,Sae Tautu,6.0,BYU Cougars,2017
Tackles,Fred Warner,86,BYU Cougars,2017
Tot Off,Taysom Hill,2926,BYU Cougars,2017
APY,Kevonn Mabon,1618,Ball St. Cardinals,2017
FGM,Morgan Hagee,15,Ball St. Cardinals,2017
Int,Marc Walton,3,Ball St. Cardinals,2017
Pass Eff,Riley Neal,120.39,Ball St. Cardinals,2017
Points,Morgan Hagee,82,Ball St. Cardinals,2017
Punt Avg,Kyle Schmidt,500.9,Ball St. Cardinals,2017
Punt Ret Yds,Aaron Hepp,61,Ball St. Cardinals,2017
Rec,Kevonn Mabon,85,Ball St. Cardinals,2017
ReceivingYards,Kevonn Mabon,972,Ball St. Cardinals,2017
Rush Net Yards,James Gilbert,1332,Ball St. Cardinals,2017
Sacks,Anthony Winbush,8.5,Ball St. Cardinals,2017
Tackles,Sean Wiggins,109,Ball St. Cardinals,2017
Tot Off,Riley Neal,3081,Ball St. Cardinals,2017
APY,KD Cannon,1215,Baylor Bears,2017
FGM,Chris Callahan,10,Baylor Bears,2017
Int,Orion Stewart,6,Baylor Bears,2017
Pass Eff,Zach Smith,139.33,Baylor Bears,2017
Points,Chris Callahan,83,Baylor Bears,2017
Punt Avg,Drew Galitz,555.2,Baylor Bears,2017
Punt Ret Yds,Tony Nicholson,194,Baylor Bears,2017
Rec,KD Cannon,87,Baylor Bears,2017
ReceivingYards,KD Cannon,1215,Baylor Bears,2017
Rush Net Yards,Terence Williams,1048,Baylor Bears,2017
Sacks,K.J. Smith,7.0,Baylor Bears,2017
Tackles,Aiavion Edwards,98,Baylor Bears,2017
Tot Off,Seth Russell,2632,Baylor Bears,2017
APY,Jeremy McNichols,2255,Boise St. Broncos,2017
FGM,Tyler Rausa,9,Boise St. Broncos,2017
Int,Chanceller James,3,Boise St. Broncos,2017
Pass Eff,Thomas Sperbeck,687.60,Boise St. Broncos,2017
Points,Jeremy McNichols,162,Boise St. Broncos,2017
Punt Avg,Sean Wale,575.6,Boise St. Broncos,2017
Punt Ret Yds,Cedrick Wilson,132,Boise St. Broncos,2017
Rec,Thomas Sperbeck,80,Boise St. Broncos,2017
ReceivingYards,Thomas Sperbeck,1272,Boise St. Broncos,2017
Rush Net Yards,Jeremy McNichols,1709,Boise St. Broncos,2017
Sacks,David Moa,8.5,Boise St. Broncos,2017
Tackles,Ben Weaver,108,Boise St. Broncos,2017
Tot Off,Brett Rypien,3630,Boise St. Broncos,2017
APY,Myles Willis,778,Boston College Eagles,2017
FGM,Mike Knoll,12,Boston College Eagles,2017
Int,John Johnson,3,Boston College Eagles,2017
Pass Eff,Jeff Smith,370.00,Boston College Eagles,2017
Points,Mike Knoll,63,Boston College Eagles,2017
Punt Avg,Mike Knoll,485.2,Boston College Eagles,2017
Punt Ret Yds,Tyler Rouse,313,Boston College Eagles,2017
Rec,Michael Walker,33,Boston College Eagles,2017
ReceivingYards,Michael Walker,420,Boston College Eagles,2017
Rush Net Yards,Jon Hilliman,542,Boston College Eagles,2017
Sacks,Harold Landry,16.5,Boston College Eagles,2017
Tackles,Connor Strachan,80,Boston College Eagles,2017
Tot Off,Patrick Towles,2024,Boston College Eagles,2017
APY,Scott Miller,1323,Bowling Green  Falcons,2017
FGM,Jake Suder,9,Bowling Green  Falcons,2017
Int,Jamari Bozeman,3,Bowling Green  Falcons,2017
Pass Eff,James Morgan,116.78,Bowling Green  Falcons,2017
Points,Jake Suder,62,Bowling Green  Falcons,2017
Punt Avg,Joe Davidson,556.0,Bowling Green  Falcons,2017
Punt Ret Yds,Will Watson,79,Bowling Green  Falcons,2017
Rec,Scott Miller,74,Bowling Green  Falcons,2017
ReceivingYards,Scott Miller,968,Bowling Green  Falcons,2017
Rush Net Yards,Fred Coppet,1030,Bowling Green  Falcons,2017
Sacks,Gus Schwieterman,5.0,Bowling Green  Falcons,2017
Tackles,Trent Greene,111,Bowling Green  Falcons,2017
Tot Off,James Morgan,2010,Bowling Green  Falcons,2017
APY,Jordan Johnson,1183,Buffalo  Bulls,2017
FGM,Adam Mitcheson,11,Buffalo  Bulls,2017
Int,Tim Roberts,2,Buffalo  Bulls,2017
Pass Eff,Jordan Johnson,150.40,Buffalo  Bulls,2017
Points,Adam Mitcheson,54,Buffalo  Bulls,2017
Punt Avg,Kyle DeWeen,475.5,Buffalo  Bulls,2017
Punt Ret Yds,Jamarl Eiland,107,Buffalo  Bulls,2017
Rec,Mason Schreck,59,Buffalo  Bulls,2017
ReceivingYards,Mason Schreck,651,Buffalo  Bulls,2017
Rush Net Yards,Jordan Johnson,1040,Buffalo  Bulls,2017
Sacks,Brandon Crawford,4.0,Buffalo  Bulls,2017
Tackles,Khalil Hodge,123,Buffalo  Bulls,2017
Tot Off,Tyree Jackson,2171,Buffalo  Bulls,2017
APY,Khalfani Muhammad,1543,California  Golden Bears,2017
FGM,Matt Anderson,22,California  Golden Bears,2017
Int,Luke Rubenzer,2,California  Golden Bears,2017
Pass Eff,Dylan Klumph,192.40,California  Golden Bears,2017
Points,Matt Anderson,117,California  Golden Bears,2017
Punt Avg,Dylan Klumph,440.4,California  Golden Bears,2017
Punt Ret Yds,Vic Wharton III,64,California  Golden Bears,2017
Rec,Chad Hansen,92,California  Golden Bears,2017
ReceivingYards,Chad Hansen,1249,California  Golden Bears,2017
Rush Net Yards,Khalfani Muhammad,827,California  Golden Bears,2017
Sacks,Cameron Saffle,4.0,California  Golden Bears,2017
Tackles,Khari Vanderbilt,71,California  Golden Bears,2017
Tot Off,Davis Webb,4185,California  Golden Bears,2017
APY,Corey Willis,1091,Central Mich. Chippewas,2017
FGM,Brian Eavey,8,Central Mich. Chippewas,2017
Int,Amari Coleman,4,Central Mich. Chippewas,2017
Pass Eff,Jack Sheldon,251.20,Central Mich. Chippewas,2017
Points,Brian Eavey,66,Central Mich. Chippewas,2017
Punt Avg,Jack Sheldon,482.3,Central Mich. Chippewas,2017
Punt Ret Yds,Emmitt Thomas,61,Central Mich. Chippewas,2017
Rec,Corey Willis,71,Central Mich. Chippewas,2017
ReceivingYards,Corey Willis,1087,Central Mich. Chippewas,2017
Rush Net Yards,Devon Spalding,758,Central Mich. Chippewas,2017
Sacks,Joe Ostman,9.0,Central Mich. Chippewas,2017
Tackles,Malik Fountain,92,Central Mich. Chippewas,2017
Tot Off,Cooper Rush,3519,Central Mich. Chippewas,2017
APY,Kalif Phillips,1149,Charlotte 49ers,2017
FGM,Stephen Muscarello,5,Charlotte 49ers,2017
Int,Terrance Winchester,3,Charlotte 49ers,2017
Pass Eff,Matt Johnson,221.35,Charlotte 49ers,2017
Points,Hasaan Klugh,50,Charlotte 49ers,2017
Punt Avg,Arthur Hart,433.6,Charlotte 49ers,2017
Punt Ret Yds,Austin Duke,26,Charlotte 49ers,2017
Rec,Austin Duke,59,Charlotte 49ers,2017
ReceivingYards,Austin Duke,803,Charlotte 49ers,2017
Rush Net Yards,Kalif Phillips,907,Charlotte 49ers,2017
Sacks,Larry Ogunjobi,3.0,Charlotte 49ers,2017
Tackles,Nick Cook,108,Charlotte 49ers,2017
Tot Off,Hasaan Klugh,1782,Charlotte 49ers,2017
APY,Mike Boone,1143,Cincinnati  Bearcats,2017
FGM,Josh Pasley,11,Cincinnati  Bearcats,2017
Int,Mike Tyson,5,Cincinnati  Bearcats,2017
Pass Eff,Tyler Cogswell,673.60,Cincinnati  Bearcats,2017
Points,Josh Pasley,50,Cincinnati  Bearcats,2017
Punt Avg,Sam Geraci,481.1,Cincinnati  Bearcats,2017
Punt Ret Yds,Brayden Beard,77,Cincinnati  Bearcats,2017
Rec,Devin Gray,58,Cincinnati  Bearcats,2017
ReceivingYards,Devin Gray,860,Cincinnati  Bearcats,2017
Rush Net Yards,Tion Green,743,Cincinnati  Bearcats,2017
Sacks,Eric Wilson,3.0,Cincinnati  Bearcats,2017
Tackles,Eric Wilson,129,Cincinnati  Bearcats,2017
Tot Off,Hayden Moore,1789,Cincinnati  Bearcats,2017
APY,Mike Williams,1361,Clemson Tigers,2017
FGM,Greg Huegel,14,Clemson Tigers,2017
Int,Jadar Johnson,5,Clemson Tigers,2017
Pass Eff,Nick Schuessler,184.72,Clemson Tigers,2017
Points,Greg Huegel,113,Clemson Tigers,2017
Punt Avg,Andy Teasdall,524.6,Clemson Tigers,2017
Punt Ret Yds,Ray-Ray McCloud,176,Clemson Tigers,2017
Rec,Mike Williams,98,Clemson Tigers,2017
ReceivingYards,Mike Williams,1361,Clemson Tigers,2017
Rush Net Yards,Wayne Gallman,1133,Clemson Tigers,2017
Sacks,Carlos Watkins,10.5,Clemson Tigers,2017
Tackles,Ben Boulware,116,Clemson Tigers,2017
Tot Off,Deshaun Watson,5222,Clemson Tigers,2017
APY,De'Angelo Henderson,1346,Coastal Caro. Chanticleers,2017
FGM,Ryan Granger,17,Coastal Caro. Chanticleers,2017
Int,Alex Scearce,5,Coastal Caro. Chanticleers,2017
Pass Eff,Ky'Jon Tyler,436.00,Coastal Caro. Chanticleers,2017
Points,De'Angelo Henderson,108,Coastal Caro. Chanticleers,2017
Punt Avg,Evan Rabon,457.3,Coastal Caro. Chanticleers,2017
Punt Ret Yds,Chris Jones,243,Coastal Caro. Chanticleers,2017
Rec,Bruce Mapp,27,Coastal Caro. Chanticleers,2017
ReceivingYards,Bruce Mapp,423,Coastal Caro. Chanticleers,2017
Rush Net Yards,De'Angelo Henderson,1156,Coastal Caro. Chanticleers,2017
Sacks,Alex Scearce,8.0,Coastal Caro. Chanticleers,2017
Tackles,Alex Scearce,84,Coastal Caro. Chanticleers,2017
Tot Off,De'Angelo Henderson,1156,Coastal Caro. Chanticleers,2017
APY,Phillip Lindsay,1819,Colorado  Buffaloes,2017
FGM,Chris Graham,10,Colorado  Buffaloes,2017
Int,Tedric Thompson,7,Colorado  Buffaloes,2017
Pass Eff,Bryce Bobo,992.80,Colorado  Buffaloes,2017
Points,Phillip Lindsay,104,Colorado  Buffaloes,2017
Punt Avg,Alex Kinney,576.2,Colorado  Buffaloes,2017
Punt Ret Yds,Isaiah Oliver,158,Colorado  Buffaloes,2017
Rec,Devin Ross,69,Colorado  Buffaloes,2017
ReceivingYards,Shay Fields,883,Colorado  Buffaloes,2017
Rush Net Yards,Phillip Lindsay,1252,Colorado  Buffaloes,2017
Sacks,Jimmie Gilbert,10.5,Colorado  Buffaloes,2017
Tackles,Kenneth Olugbode,115,Colorado  Buffaloes,2017
Tot Off,Sefo Liufau,2860,Colorado  Buffaloes,2017
APY,Michael Gallup,1287,Colorado St. Rams,2017
FGM,Wyatt Bryan,11,Colorado St. Rams,2017
Int,Braylin Scott,3,Colorado St. Rams,2017
Pass Eff,Detrich Clark,480.40,Colorado St. Rams,2017
Points,Michael Gallup,86,Colorado St. Rams,2017
Punt Avg,Hayden Hunt,257.0,Colorado St. Rams,2017
Punt Ret Yds,Robert Ruiz,174,Colorado St. Rams,2017
Rec,Michael Gallup,76,Colorado St. Rams,2017
ReceivingYards,Michael Gallup,1272,Colorado St. Rams,2017
Rush Net Yards,Dalyn Dawkins,919,Colorado St. Rams,2017
Sacks,Toby McBride,4.0,Colorado St. Rams,2017
Tackles,Kevin Davis,58,Colorado St. Rams,2017
Tot Off,Nick Stevens,1989,Colorado St. Rams,2017
APY,Shaun Wilson,1620,Duke Blue Devils,2017
FGM,AJ Reed,3,Duke Blue Devils,2017
Int,Deondre Singleton,3,Duke Blue Devils,2017
Pass Eff,Parker Boehme,189.38,Duke Blue Devils,2017
Points,AJ Reed,46,Duke Blue Devils,2017
Punt Avg,Austin Parker,288.2,Duke Blue Devils,2017
Punt Ret Yds,Ryan Smith,178,Duke Blue Devils,2017
Rec,T.J. Rahming,70,Duke Blue Devils,2017
ReceivingYards,T.J. Rahming,742,Duke Blue Devils,2017
Rush Net Yards,Shaun Wilson,623,Duke Blue Devils,2017
Sacks,A.J. Wolf,5.5,Duke Blue Devils,2017
Tackles,Joe Giles-Harris,107,Duke Blue Devils,2017
Tot Off,Daniel Jones,3322,Duke Blue Devils,2017
APY,Zay Jones,1770,East Carolina Pirates,2017
FGM,Davis Plowman,17,East Carolina Pirates,2017
Int,Colby Gore,2,East Carolina Pirates,2017
Pass Eff,James Summers,458.20,East Carolina Pirates,2017
Points,Davis Plowman,80,East Carolina Pirates,2017
Punt Avg,Worth Gregory,492.3,East Carolina Pirates,2017
Punt Ret Yds,Quay Johnson,17,East Carolina Pirates,2017
Rec,Zay Jones,158,East Carolina Pirates,2017
ReceivingYards,Zay Jones,1746,East Carolina Pirates,2017
Rush Net Yards,James Summers,869,East Carolina Pirates,2017
Sacks,Dayon Pratt,2.5,East Carolina Pirates,2017
Tackles,Jrdn Williams,77,East Carolina Pirates,2017
Tot Off,Philip Nelson,2678,East Carolina Pirates,2017
APY,Ian Eriksen,1014,Eastern Mich. Eagles,2017
FGM,Paulie Fricano,19,Eastern Mich. Eagles,2017
Int,Daquan Pace,3,Eastern Mich. Eagles,2017
Pass Eff,Isaac Holder,218.80,Eastern Mich. Eagles,2017
Points,Paulie Fricano,99,Eastern Mich. Eagles,2017
Punt Avg,Austin Barnes,566.9,Eastern Mich. Eagles,2017
Punt Ret Yds,Blake Banham,27,Eastern Mich. Eagles,2017
Rec,Sergio Bailey II,60,Eastern Mich. Eagles,2017
ReceivingYards,Sergio Bailey II,868,Eastern Mich. Eagles,2017
Rush Net Yards,Ian Eriksen,771,Eastern Mich. Eagles,2017
Sacks,Pat O'Connor,8.5,Eastern Mich. Eagles,2017
Tackles,Kyle Rachwal,104,Eastern Mich. Eagles,2017
Tot Off,Brogan Roback,2917,Eastern Mich. Eagles,2017
APY,Alex Gardner,1546,FIU Panthers,2017
FGM,Austin Taylor,12,FIU Panthers,2017
Int,Isaiah Brown,3,FIU Panthers,2017
Pass Eff,Christian Alexander,151.01,FIU Panthers,2017
Points,Austin Taylor,70,FIU Panthers,2017
Punt Avg,Stone Wilson,462.9,FIU Panthers,2017
Punt Ret Yds,Thomas Owens,137,FIU Panthers,2017
Rec,Thomas Owens,47,FIU Panthers,2017
ReceivingYards,Thomas Owens,652,FIU Panthers,2017
Rush Net Yards,Alex Gardner,930,FIU Panthers,2017
Sacks,Fermin Silva,5.0,FIU Panthers,2017
Tackles,Treyvon Williams,109,FIU Panthers,2017
Tot Off,Alex McGough,2008,FIU Panthers,2017
APY,Devin Singletary,1468,Fla. Atlantic Owls,2017
FGM,Greg Joseph,10,Fla. Atlantic Owls,2017
Int,Ocie Rose,2,Fla. Atlantic Owls,2017
Pass Eff,Jason Driskel,125.55,Fla. Atlantic Owls,2017
Points,Greg Howell,78,Fla. Atlantic Owls,2017
Punt Avg,Dalton Schomp,528.4,Fla. Atlantic Owls,2017
Punt Ret Yds,Jalen Young,36,Fla. Atlantic Owls,2017
Rec,Kalib Woods,68,Fla. Atlantic Owls,2017
ReceivingYards,Kalib Woods,934,Fla. Atlantic Owls,2017
Rush Net Yards,Devin Singletary,1021,Fla. Atlantic Owls,2017
Sacks,Trey Hendrickson,9.5,Fla. Atlantic Owls,2017
Tackles,Azeez Al-Shaair,112,Fla. Atlantic Owls,2017
Tot Off,Jason Driskel,2657,Fla. Atlantic Owls,2017
APY,Antonio Callaway,1068,Florida  Gators,2017
FGM,Eddy Pineiro,21,Florida  Gators,2017
Int,Jalen Tabor,4,Florida  Gators,2017
Pass Eff,Austin Appleby,128.01,Florida  Gators,2017
Points,Eddy Pineiro,95,Florida  Gators,2017
Punt Avg,Johnny Townsend,625.8,Florida  Gators,2017
Punt Ret Yds,Antonio Callaway,218,Florida  Gators,2017
Rec,Antonio Callaway,54,Florida  Gators,2017
ReceivingYards,Antonio Callaway,721,Florida  Gators,2017
Rush Net Yards,Jordan Scarlett,889,Florida  Gators,2017
Sacks,Jabari Zuniga,5.0,Florida  Gators,2017
Tackles,Marcell Harris,73,Florida  Gators,2017
Tot Off,Austin Appleby,1402,Florida  Gators,2017
APY,Dalvin Cook,2253,Florida St. Seminoles,2017
FGM,Ricky Aguayo,19,Florida St. Seminoles,2017
Int,Tarvarus McFadden,8,Florida St. Seminoles,2017
Pass Eff,Deondre Francois,142.10,Florida St. Seminoles,2017
Points,Dalvin Cook,120,Florida St. Seminoles,2017
Punt Avg,Logan Tyler,522.7,Florida St. Seminoles,2017
Punt Ret Yds,Jesus Wilson,155,Florida St. Seminoles,2017
Rec,Travis Rudolph,56,Florida St. Seminoles,2017
ReceivingYards,Travis Rudolph,840,Florida St. Seminoles,2017
Rush Net Yards,Dalvin Cook,1765,Florida St. Seminoles,2017
Sacks,Demarcus Walker,16.0,Florida St. Seminoles,2017
Tackles,Matthew Thomas,77,Florida St. Seminoles,2017
Tot Off,Deondre Francois,3548,Florida St. Seminoles,2017
APY,Keesean Johnson,1049,Fresno St. Bulldogs,2017
FGM,Kody Kroening,15,Fresno St. Bulldogs,2017
Int,Jamal Ellis,2,Fresno St. Bulldogs,2017
Pass Eff,Treyvon Green,154.60,Fresno St. Bulldogs,2017
Points,Kody Kroening,68,Fresno St. Bulldogs,2017
Punt Avg,Blake Cusick,419.0,Fresno St. Bulldogs,2017
Punt Ret Yds,Tyquwan Glass,97,Fresno St. Bulldogs,2017
Rec,Keesean Johnson,66,Fresno St. Bulldogs,2017
ReceivingYards,Keesean Johnson,773,Fresno St. Bulldogs,2017
Rush Net Yards,Dontel James,697,Fresno St. Bulldogs,2017
Sacks,Jeff Camilli,4.0,Fresno St. Bulldogs,2017
Tackles,Stratton Brown,106,Fresno St. Bulldogs,2017
Tot Off,Chason Virgil,2143,Fresno St. Bulldogs,2017
APY,Matt Breida,767,Ga. Southern Eagles,2017
FGM,Younghoe Koo,19,Ga. Southern Eagles,2017
Int,Darius Jones Jr.,2,Ga. Southern Eagles,2017
Pass Eff,Matt Flynn,318.40,Ga. Southern Eagles,2017
