Stat,Player,Value,Team,Year
Rush Net Yards,Lamarq Caldwell,504,FIU Panthers,2014
Sacks,Greg Hickman,4.0,FIU Panthers,2014
Tackles,Markeith Russell,96,FIU Panthers,2014
Tot Off,Jake Medlock,941,FIU Panthers,2014
APY,Jaquez Johnson,796,Fla. Atlantic Owls,2014
FGM,Mitch Anderson,11,Fla. Atlantic Owls,2014
Int,D'Joun Smith,7,Fla. Atlantic Owls,2014
Pass Eff,Daniel McKinney,341.00,Fla. Atlantic Owls,2014
Points,Mitch Anderson,69,Fla. Atlantic Owls,2014
Punt Avg,Sean Kelley,501.2,Fla. Atlantic Owls,2014
Punt Ret Yds,Robert Lohnes,184,Fla. Atlantic Owls,2014
Rec,Daniel McKinney,49,Fla. Atlantic Owls,2014
ReceivingYards,Daniel McKinney,610,Fla. Atlantic Owls,2014
Rush Net Yards,Jaquez Johnson,762,Fla. Atlantic Owls,2014
Sacks,Cory Henry,7.5,Fla. Atlantic Owls,2014
Tackles,Andrae Kirk,84,Fla. Atlantic Owls,2014
Tot Off,Jaquez Johnson,2633,Fla. Atlantic Owls,2014
APY,Devonta Freeman,1294,Florida St. Seminoles,2014
FGM,Roberto Aguayo,21,Florida St. Seminoles,2014
Int,Nate Andrews,4,Florida St. Seminoles,2014
Pass Eff,Jameis Winston,184.84,Florida St. Seminoles,2014
Points,Roberto Aguayo,157,Florida St. Seminoles,2014
Punt Avg,Cason Beatty,584.7,Florida St. Seminoles,2014
Punt Ret Yds,Kenny Shaw,251,Florida St. Seminoles,2014
Rec,Rashad Greene,76,Florida St. Seminoles,2014
ReceivingYards,Rashad Greene,1128,Florida St. Seminoles,2014
Rush Net Yards,Devonta Freeman,1016,Florida St. Seminoles,2014
Sacks,Lamarcus Joyner,5.5,Florida St. Seminoles,2014
Tackles,Telvin Smith,90,Florida St. Seminoles,2014
Tot Off,Jameis Winston,4276,Florida St. Seminoles,2014
APY,Davante Adams,1734,Fresno St. Bulldogs,2014
FGM,Colin McGuire,11,Fresno St. Bulldogs,2014
Int,Derron Smith,7,Fresno St. Bulldogs,2014
Pass Eff,Derek Carr,156.13,Fresno St. Bulldogs,2014
Points,Davante Adams,144,Fresno St. Bulldogs,2014
Punt Avg,Garrett Swanson,557.5,Fresno St. Bulldogs,2014
Punt Ret Yds,Isaiah Burse,262,Fresno St. Bulldogs,2014
Rec,Davante Adams,131,Fresno St. Bulldogs,2014
ReceivingYards,Davante Adams,1718,Fresno St. Bulldogs,2014
Rush Net Yards,Josh Quezada,829,Fresno St. Bulldogs,2014
Sacks,Ejiro Ederaine,10.0,Fresno St. Bulldogs,2014
Tackles,Karl Mickelson,96,Fresno St. Bulldogs,2014
Tot Off,Derek Carr,5199,Fresno St. Bulldogs,2014
APY,Jerick McKinnon,1106,Ga. Southern Eagles,2014
FGM,Younghoe Koo,5,Ga. Southern Eagles,2014
