Year,Team,GP,G,FF,FRet,FRetTD,FRetYds,OffenseDefense
2013-14,Army West Point,0,12,7,1,1,19,Defensive
2014-15,Army West Point,12,12,5,nan,nan,nan,Offense
2014-15,Army West Point,0,12,9,1,nan,nan,Defensive
2015-16,Army West Point,12,12,6,nan,nan,nan,Offense
2015-16,Army West Point,0,12,13,1,1,48,Defensive
2016-17,Army West Point,13,13,7,1,1,13,Offense
2016-17,Army West Point,0,13,14,2,nan,9,Defensive
2017-18,Army West Point,12,12,6,4,1,29,Offense
2017-18,Army West Point,0,12,2,nan,nan,nan,Defensive
2013-14,Army West Point,12,12,11,1,nan,19,Offense
2013-14,Army West Point,0,12,7,1,1,19,Defensive
2014-15,Army West Point,12,12,5,nan,nan,nan,Offense
2014-15,Army West Point,0,12,9,1,nan,nan,Defensive
2015-16,Army West Point,12,12,6,nan,nan,nan,Offense
2015-16,Army West Point,0,12,13,1,1,48,Defensive
2016-17,Army West Point,13,13,7,1,1,13,Offense
2016-17,Army West Point,0,13,14,2,nan,9,Defensive
2017-18,Army West Point,12,12,6,4,1,29,Offense
2017-18,Army West Point,0,12,2,nan,nan,nan,Defensive
2013-14,Arkansas St.,13,13,13,4,1,64,Offense
2013-14,Arkansas St.,0,13,11,1,1,37,Defensive
2014-15,Arkansas St.,13,13,13,1,1,93,Offense
2014-15,Arkansas St.,0,13,10,1,2,67,Defensive
2015-16,Arkansas St.,13,13,9,2,2,41,Offense
2015-16,Arkansas St.,0,13,12,2,1,52,Defensive
2016-17,Arkansas St.,13,13,15,1,3,60,Offense
2016-17,Arkansas St.,0,13,13,1,nan,17,Defensive
2017-18,Arkansas St.,11,11,13,5,2,114,Offense
2017-18,Arkansas St.,0,11,4,nan,nan,nan,Defensive
2013-14,Arkansas St.,13,13,13,4,1,64,Offense
2013-14,Arkansas St.,0,13,11,1,1,37,Defensive
2014-15,Arkansas St.,13,13,13,1,1,93,Offense
2014-15,Arkansas St.,0,13,10,1,2,67,Defensive
2015-16,Arkansas St.,13,13,9,2,2,41,Offense
2015-16,Arkansas St.,0,13,12,2,1,52,Defensive
2016-17,Arkansas St.,13,13,15,1,3,60,Offense
2016-17,Arkansas St.,0,13,13,1,nan,17,Defensive
2017-18,Arkansas St.,11,11,13,5,2,114,Offense
2017-18,Arkansas St.,0,11,4,nan,nan,nan,Defensive
2013-14,Arkansas,12,12,8,1,nan,1,Offense
2013-14,Arkansas,0,12,13,1,nan,nan,Defensive
2014-15,Arkansas,13,13,14,2,2,21,Offense
2014-15,Arkansas,0,13,12,3,1,57,Defensive
2015-16,Arkansas,13,13,8,2,nan,19,Offense
2015-16,Arkansas,0,13,11,nan,nan,nan,Defensive
2016-17,Arkansas,13,13,14,nan,nan,nan,Offense
2016-17,Arkansas,0,13,8,1,1,23,Defensive
2017-18,Arkansas,12,12,12,2,3,40,Offense
2017-18,Arkansas,0,12,15,2,2,104,Defensive
2013-14,Arkansas,12,12,8,1,nan,1,Offense
2013-14,Arkansas,0,12,13,1,nan,nan,Defensive
2014-15,Arkansas,13,13,14,2,2,21,Offense
2014-15,Arkansas,0,13,12,3,1,57,Defensive
2015-16,Arkansas,13,13,8,2,nan,19,Offense
2015-16,Arkansas,0,13,11,nan,nan,nan,Defensive
2016-17,Arkansas,13,13,14,nan,nan,nan,Offense
2016-17,Arkansas,0,13,8,1,1,23,Defensive
2017-18,Arkansas,12,12,12,2,3,40,Offense
2017-18,Arkansas,0,12,15,2,2,104,Defensive
2013-14,Arkansas,12,12,8,1,nan,1,Offense
2013-14,Arkansas,0,12,13,1,nan,nan,Defensive
2014-15,Arkansas,13,13,14,2,2,21,Offense
2014-15,Arkansas,0,13,12,3,1,57,Defensive
