Year,Team,GP,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,OffenseDefense
2015-16,Air Force,14,14,86,5392,49,32,nan,669,Offense
2015-16,Air Force,0,14,72,4376,39,34,1,825,Defensive
2016-17,Air Force,13,13,88,5373,45,20,1,508,Offense
2016-17,Air Force,0,13,62,3753,38,39,nan,813,Defensive
2017-18,Air Force,12,12,67,4082,34,26,nan,454,Offense
2017-18,Air Force,0,12,75,4693,46,30,nan,529,Defensive
2011-12,Auburn,1,1,,280,nan,5,nan,92,Offense
2011-12,Auburn,0,1,,315,nan,4,nan,65,Defensive
2013-14,Auburn,14,14,,6300,69,40,2,936,Offense
2013-14,Auburn,0,14,,4505,31,28,1,722,Defensive
2014-15,Auburn,13,13,,5420,50,35,nan,701,Offense
2014-15,Auburn,0,13,,3845,25,33,nan,717,Defensive
2015-16,Auburn,13,13,,4430,49,34,nan,950,Offense
2015-16,Auburn,0,13,,4121,29,18,nan,381,Defensive
2016-17,Auburn,13,13,,5291,63,23,nan,438,Offense
2016-17,Auburn,0,13,,3491,28,19,nan,342,Defensive
2017-18,Auburn,13,13,,5562,63,21,nan,453,Offense
2017-18,Auburn,0,13,,3170,28,21,1,590,Defensive
2013-14,Army West Point,12,12,56,3206,14,40,nan,611,Offense
2013-14,Army West Point,0,12,72,4281,27,41,nan,832,Defensive
2014-15,Army West Point,12,12,58,3332,14,38,nan,659,Offense
2014-15,Army West Point,0,12,68,4019,27,41,nan,892,Defensive
2015-16,Army West Point,12,12,52,3181,22,37,nan,691,Offense
2015-16,Army West Point,0,12,64,3913,25,29,nan,541,Defensive
2016-17,Army West Point,13,13,71,4089,14,31,nan,525,Offense
2016-17,Army West Point,0,13,54,3272,21,52,1,989,Defensive
2017-18,Army West Point,12,12,63,3829,20,34,nan,644,Offense
2017-18,Army West Point,0,12,51,3018,16,42,nan,779,Defensive
2013-14,Army West Point,12,12,,3206,14,40,nan,611,Offense
2013-14,Army West Point,0,12,,4281,27,41,nan,832,Defensive
2014-15,Army West Point,12,12,,3332,14,38,nan,659,Offense
2014-15,Army West Point,0,12,,4019,27,41,nan,892,Defensive
2015-16,Army West Point,12,12,,3181,22,37,nan,691,Offense
2015-16,Army West Point,0,12,,3913,25,29,nan,541,Defensive
2016-17,Army West Point,13,13,,4089,14,31,nan,525,Offense
2016-17,Army West Point,0,13,,3272,21,52,1,989,Defensive
2017-18,Army West Point,12,12,,3829,20,34,nan,644,Offense
2017-18,Army West Point,0,12,,3018,16,42,nan,779,Defensive
2013-14,Army West Point,12,12,56,3206,14,40,nan,611,Offense
2013-14,Army West Point,0,12,72,4281,27,41,nan,832,Defensive
2014-15,Army West Point,12,12,58,3332,14,38,nan,659,Offense
2014-15,Army West Point,0,12,68,4019,27,41,nan,892,Defensive
2015-16,Army West Point,12,12,52,3181,22,37,nan,691,Offense
2015-16,Army West Point,0,12,64,3913,25,29,nan,541,Defensive
2016-17,Army West Point,13,13,71,4089,14,31,nan,525,Offense
2016-17,Army West Point,0,13,54,3272,21,52,1,989,Defensive
2017-18,Army West Point,12,12,63,3829,20,34,nan,644,Offense
2017-18,Army West Point,0,12,51,3018,16,42,nan,779,Defensive
2013-14,Army West Point,12,12,,3206,14,40,nan,611,Offense
2013-14,Army West Point,0,12,,4281,27,41,nan,832,Defensive
2014-15,Army West Point,12,12,,3332,14,38,nan,659,Offense
2014-15,Army West Point,0,12,,4019,27,41,nan,892,Defensive
2015-16,Army West Point,12,12,,3181,22,37,nan,691,Offense
2015-16,Army West Point,0,12,,3913,25,29,nan,541,Defensive
2016-17,Army West Point,13,13,,4089,14,31,nan,525,Offense
2016-17,Army West Point,0,13,,3272,21,52,1,989,Defensive
2017-18,Army West Point,12,12,,3829,20,34,nan,644,Offense
2017-18,Army West Point,0,12,,3018,16,42,nan,779,Defensive
2013-14,Arkansas St.,13,13,,4712,27,38,1,957,Offense
2013-14,Arkansas St.,0,13,,4024,24,49,nan,932,Defensive
2014-15,Arkansas St.,13,13,,4741,35,47,nan,1057,Offense
2014-15,Arkansas St.,0,13,,4353,22,42,nan,685,Defensive
2015-16,Arkansas St.,13,13,,5862,38,43,2,1112,Offense
2015-16,Arkansas St.,0,13,,4256,24,52,1,972,Defensive
2016-17,Arkansas St.,13,13,,4375,15,27,nan,575,Offense
2016-17,Arkansas St.,0,13,,3690,27,53,1,855,Defensive
2017-18,Arkansas St.,11,11,,4552,21,31,nan,573,Offense
2017-18,Arkansas St.,0,11,,3183,20,47,3,984,Defensive
2013-14,Arkansas St.,13,13,77,4712,27,38,1,957,Offense
2013-14,Arkansas St.,0,13,68,4024,24,49,nan,932,Defensive
2014-15,Arkansas St.,13,13,80,4741,35,47,nan,1057,Offense
2014-15,Arkansas St.,0,13,73,4353,22,42,nan,685,Defensive
2015-16,Arkansas St.,13,13,94,5862,38,43,2,1112,Offense
2015-16,Arkansas St.,0,13,74,4256,24,52,1,972,Defensive
2016-17,Arkansas St.,13,13,72,4375,15,27,nan,575,Offense
2016-17,Arkansas St.,0,13,61,3690,27,53,1,855,Defensive
2017-18,Arkansas St.,11,11,79,4552,21,31,nan,573,Offense
2017-18,Arkansas St.,0,11,54,3183,20,47,3,984,Defensive
2013-14,Arkansas,12,12,51,3226,34,35,nan,740,Offense
2013-14,Arkansas,0,12,69,4327,33,12,nan,291,Defensive
2014-15,Arkansas,13,13,77,4627,18,24,1,617,Offense
2014-15,Arkansas,0,13,49,3035,24,50,1,1192,Defensive
2015-16,Arkansas,13,13,77,4549,11,38,nan,782,Offense
2015-16,Arkansas,0,13,68,4204,27,62,1,1210,Defensive
2016-17,Arkansas,13,13,72,4345,15,37,nan,688,Offense
2016-17,Arkansas,0,13,72,4407,33,54,nan,1115,Defensive
2017-18,Arkansas,12,12,66,4008,21,45,1,957,Offense
2017-18,Arkansas,0,12,81,4926,33,38,1,735,Defensive
2013-14,Arkansas,12,12,51,3226,34,35,nan,740,Offense
2013-14,Arkansas,0,12,69,4327,33,12,nan,291,Defensive
2014-15,Arkansas,13,13,77,4627,18,24,1,617,Offense
2014-15,Arkansas,0,13,49,3035,24,50,1,1192,Defensive
2015-16,Arkansas,13,13,77,4549,11,38,nan,782,Offense
2015-16,Arkansas,0,13,68,4204,27,62,1,1210,Defensive
2016-17,Arkansas,13,13,72,4345,15,37,nan,688,Offense
2016-17,Arkansas,0,13,72,4407,33,54,nan,1115,Defensive
2017-18,Arkansas,12,12,66,4008,21,45,1,957,Offense
2017-18,Arkansas,0,12,81,4926,33,38,1,735,Defensive
2013-14,Arkansas,12,12,,3226,34,35,nan,740,Offense
2013-14,Arkansas,0,12,,4327,33,12,nan,291,Defensive
2014-15,Arkansas,13,13,,4627,18,24,1,617,Offense
2014-15,Arkansas,0,13,,3035,24,50,1,1192,Defensive
2015-16,Arkansas,13,13,,4549,11,38,nan,782,Offense
2015-16,Arkansas,0,13,,4204,27,62,1,1210,Defensive
2016-17,Arkansas,13,13,,4345,15,37,nan,688,Offense
2016-17,Arkansas,0,13,,4407,33,54,nan,1115,Defensive
2017-18,Arkansas,12,12,,4008,21,45,1,957,Offense
2017-18,Arkansas,0,12,,4926,33,38,1,735,Defensive
2013-14,Arkansas,12,12,,3226,34,35,nan,740,Offense
2013-14,Arkansas,0,12,,4327,33,12,nan,291,Defensive
2014-15,Arkansas,13,13,,4627,18,24,1,617,Offense
2014-15,Arkansas,0,13,,3035,24,50,1,1192,Defensive
2015-16,Arkansas,13,13,,4549,11,38,nan,782,Offense
2015-16,Arkansas,0,13,,4204,27,62,1,1210,Defensive
2016-17,Arkansas,13,13,,4345,15,37,nan,688,Offense
2016-17,Arkansas,0,13,,4407,33,54,nan,1115,Defensive
2017-18,Arkansas,12,12,,4008,21,45,1,957,Offense
2017-18,Arkansas,0,12,,4926,33,38,1,735,Defensive
2013-14,Arizona,13,13,,5046,37,33,nan,676,Offense
2013-14,Arizona,0,13,,4252,32,41,nan,801,Defensive
2014-15,Arizona,14,14,,5596,48,38,1,817,Offense
2014-15,Arizona,0,14,,4784,38,40,nan,758,Defensive
2015-16,Arizona,13,13,,5396,33,32,nan,729,Offense
2015-16,Arizona,0,13,,5295,47,51,nan,1106,Defensive
2016-17,Arizona,12,12,,3404,20,29,nan,494,Offense
2016-17,Arizona,0,12,,5065,49,35,nan,671,Defensive
2017-18,Arizona,12,12,,5561,58,26,nan,648,Offense
2017-18,Arizona,0,12,,4514,45,27,nan,598,Defensive
2013-14,Arizona,13,13,,5046,37,33,nan,676,Offense
2013-14,Arizona,0,13,,4252,32,41,nan,801,Defensive
2014-15,Arizona,14,14,,5596,48,38,1,817,Offense
2014-15,Arizona,0,14,,4784,38,40,nan,758,Defensive
2015-16,Arizona,13,13,,5396,33,32,nan,729,Offense
2015-16,Arizona,0,13,,5295,47,51,nan,1106,Defensive
2016-17,Arizona,12,12,,3404,20,29,nan,494,Offense
2016-17,Arizona,0,12,,5065,49,35,nan,671,Defensive
2017-18,Arizona,12,12,,5561,58,26,nan,648,Offense
2017-18,Arizona,0,12,,4514,45,27,nan,598,Defensive
2013-14,Arizona,13,13,83,5046,37,33,nan,676,Offense
