Year,Team,GP,FumblesRecovered,Int,FumblesLost,Interceptions,OffenseDefense
2013-14,Army West Point,12,9,7,13,4,Offense
2013-14,Army West Point,0,13,4,10,7,Defensive
2014-15,Army West Point,12,4,11,11,2,Offense
2014-15,Army West Point,0,11,2,4,11,Defensive
2015-16,Army West Point,12,5,6,13,9,Offense
2015-16,Army West Point,0,13,9,5,6,Defensive
2016-17,Army West Point,13,5,17,14,11,Offense
2016-17,Army West Point,0,14,11,5,17,Defensive
2017-18,Army West Point,12,8,5,4,5,Offense
2017-18,Army West Point,0,4,5,8,5,Defensive
2013-14,Army West Point,12,9,7,13,4,Offense
2013-14,Army West Point,0,13,4,10,7,Defensive
2014-15,Army West Point,12,4,11,11,2,Offense
2014-15,Army West Point,0,11,2,4,11,Defensive
2015-16,Army West Point,12,5,6,13,9,Offense
2015-16,Army West Point,0,13,9,5,6,Defensive
2016-17,Army West Point,13,5,17,14,11,Offense
2016-17,Army West Point,0,14,11,5,17,Defensive
2017-18,Army West Point,12,8,5,4,5,Offense
2017-18,Army West Point,0,4,5,8,5,Defensive
2013-14,Arkansas St.,13,12,9,7,7,Offense
2013-14,Arkansas St.,0,7,7,12,9,Defensive
2014-15,Arkansas St.,13,12,16,14,8,Offense
2014-15,Arkansas St.,0,14,8,12,16,Defensive
2015-16,Arkansas St.,13,8,26,11,15,Offense
2015-16,Arkansas St.,0,11,15,8,26,Defensive
2016-17,Arkansas St.,13,11,11,8,9,Offense
2016-17,Arkansas St.,0,8,9,11,11,Defensive
2017-18,Arkansas St.,11,10,11,6,16,Offense
2017-18,Arkansas St.,0,6,16,10,11,Defensive
2013-14,Arkansas St.,13,12,9,7,7,Offense
2013-14,Arkansas St.,0,7,7,12,9,Defensive
2014-15,Arkansas St.,13,12,16,14,8,Offense
2014-15,Arkansas St.,0,14,8,12,16,Defensive
2015-16,Arkansas St.,13,8,26,11,15,Offense
2015-16,Arkansas St.,0,11,15,8,26,Defensive
2016-17,Arkansas St.,13,11,11,8,9,Offense
2016-17,Arkansas St.,0,8,9,11,11,Defensive
2017-18,Arkansas St.,11,10,11,6,16,Offense
2017-18,Arkansas St.,0,6,16,10,11,Defensive
2013-14,Arkansas,12,6,8,12,11,Offense
2013-14,Arkansas,0,12,11,6,8,Defensive
2014-15,Arkansas,13,12,12,11,6,Offense
2014-15,Arkansas,0,11,6,12,12,Defensive
2015-16,Arkansas,13,7,11,3,8,Offense
2015-16,Arkansas,0,3,8,7,11,Defensive
2016-17,Arkansas,13,11,10,10,15,Offense
2016-17,Arkansas,0,10,15,11,10,Defensive
2017-18,Arkansas,12,9,8,9,9,Offense
2017-18,Arkansas,0,9,9,9,8,Defensive
2013-14,Arkansas,12,6,8,12,11,Offense
2013-14,Arkansas,0,12,11,6,8,Defensive
2014-15,Arkansas,13,12,12,11,6,Offense
2014-15,Arkansas,0,11,6,12,12,Defensive
2015-16,Arkansas,13,7,11,3,8,Offense
2015-16,Arkansas,0,3,8,7,11,Defensive
2016-17,Arkansas,13,11,10,10,15,Offense
2016-17,Arkansas,0,10,15,11,10,Defensive
2017-18,Arkansas,12,9,8,9,9,Offense
2017-18,Arkansas,0,9,9,9,8,Defensive
2013-14,Arkansas,12,6,8,12,11,Offense
2013-14,Arkansas,0,12,11,6,8,Defensive
2014-15,Arkansas,13,12,12,11,6,Offense
2014-15,Arkansas,0,11,6,12,12,Defensive
2015-16,Arkansas,13,7,11,3,8,Offense
2015-16,Arkansas,0,3,8,7,11,Defensive
2016-17,Arkansas,13,11,10,10,15,Offense
2016-17,Arkansas,0,10,15,11,10,Defensive
2017-18,Arkansas,12,9,8,9,9,Offense
2017-18,Arkansas,0,9,9,9,8,Defensive
2013-14,Arkansas,12,6,8,12,11,Offense
2013-14,Arkansas,0,12,11,6,8,Defensive
2014-15,Arkansas,13,12,12,11,6,Offense
2014-15,Arkansas,0,11,6,12,12,Defensive
2015-16,Arkansas,13,7,11,3,8,Offense
2015-16,Arkansas,0,3,8,7,11,Defensive
2016-17,Arkansas,13,11,10,10,15,Offense
2016-17,Arkansas,0,10,15,11,10,Defensive
2017-18,Arkansas,12,9,8,9,9,Offense
2017-18,Arkansas,0,9,9,9,8,Defensive
2013-14,Arizona,13,4,18,11,7,Offense
2013-14,Arizona,0,11,7,4,18,Defensive
2014-15,Arizona,14,13,13,8,10,Offense
2014-15,Arizona,0,8,10,13,13,Defensive
2015-16,Arizona,13,5,11,10,10,Offense
2015-16,Arizona,0,10,10,5,11,Defensive
2016-17,Arizona,12,6,8,9,12,Offense
2016-17,Arizona,0,9,12,6,8,Defensive
2017-18,Arizona,12,6,18,8,12,Offense
2017-18,Arizona,0,8,12,6,18,Defensive
2013-14,Arizona,13,4,18,11,7,Offense
2013-14,Arizona,0,11,7,4,18,Defensive
2014-15,Arizona,14,13,13,8,10,Offense
2014-15,Arizona,0,8,10,13,13,Defensive
2015-16,Arizona,13,5,11,10,10,Offense
2015-16,Arizona,0,10,10,5,11,Defensive
2016-17,Arizona,12,6,8,9,12,Offense
2016-17,Arizona,0,9,12,6,8,Defensive
2017-18,Arizona,12,6,18,8,12,Offense
2017-18,Arizona,0,8,12,6,18,Defensive
2013-14,Arizona,13,4,18,11,7,Offense
2013-14,Arizona,0,11,7,4,18,Defensive
2014-15,Arizona,14,13,13,8,10,Offense
2014-15,Arizona,0,8,10,13,13,Defensive
2015-16,Arizona,13,5,11,10,10,Offense
2015-16,Arizona,0,10,10,5,11,Defensive
2016-17,Arizona,12,6,8,9,12,Offense
2016-17,Arizona,0,9,12,6,8,Defensive
2017-18,Arizona,12,6,18,8,12,Offense
2017-18,Arizona,0,8,12,6,18,Defensive
2013-14,Arizona,13,4,18,11,7,Offense
2013-14,Arizona,0,11,7,4,18,Defensive
2014-15,Arizona,14,13,13,8,10,Offense
2014-15,Arizona,0,8,10,13,13,Defensive
2015-16,Arizona,13,5,11,10,10,Offense
2015-16,Arizona,0,10,10,5,11,Defensive
2016-17,Arizona,12,6,8,9,12,Offense
2016-17,Arizona,0,9,12,6,8,Defensive
2017-18,Arizona,12,6,18,8,12,Offense
2017-18,Arizona,0,8,12,6,18,Defensive
2013-14,Arizona St.,14,12,21,6,12,Offense
2013-14,Arizona St.,0,6,12,12,21,Defensive
2014-15,Arizona St.,13,13,14,4,9,Offense
2014-15,Arizona St.,0,4,9,13,14,Defensive
2015-16,Arizona St.,13,6,15,10,9,Offense
2015-16,Arizona St.,0,10,9,6,15,Defensive
2016-17,Arizona St.,12,8,9,7,14,Offense
2016-17,Arizona St.,0,7,14,8,9,Defensive
2017-18,Arizona St.,12,5,11,5,6,Offense
2017-18,Arizona St.,0,5,6,5,11,Defensive
2013-14,Arizona St.,14,12,21,6,12,Offense
2013-14,Arizona St.,0,6,12,12,21,Defensive
2014-15,Arizona St.,13,13,14,4,9,Offense
2014-15,Arizona St.,0,4,9,13,14,Defensive
2015-16,Arizona St.,13,6,15,10,9,Offense
2015-16,Arizona St.,0,10,9,6,15,Defensive
2016-17,Arizona St.,12,8,9,7,14,Offense
2016-17,Arizona St.,0,7,14,8,9,Defensive
2017-18,Arizona St.,12,5,11,5,6,Offense
2017-18,Arizona St.,0,5,6,5,11,Defensive
2013-14,Boise St.,13,11,16,13,11,Offense
2013-14,Boise St.,0,13,11,11,16,Defensive
2014-15,Boise St.,14,9,22,9,15,Offense
