Year,Team,GP,FumblesRecovered,Int,FumblesLost,Interceptions,OffenseDefense
2017-18,Navy,12,7,6,9,10,Offense
2017-18,Navy,0,9,10,7,6,Defensive
2013-14,NC State,12,9,12,6,15,Offense
2013-14,NC State,0,6,15,9,12,Defensive
2014-15,NC State,13,10,10,9,6,Offense
2014-15,NC State,0,9,6,10,10,Defensive
2015-16,NC State,13,9,13,7,6,Offense
2015-16,NC State,0,7,6,9,13,Defensive
2016-17,NC State,13,12,10,8,12,Offense
2016-17,NC State,0,8,12,12,10,Defensive
2017-18,NC State,12,6,11,6,6,Offense
2017-18,NC State,0,6,6,6,11,Defensive
2013-14,NC State,12,9,12,6,15,Offense
2013-14,NC State,0,6,15,9,12,Defensive
2014-15,NC State,13,10,10,9,6,Offense
2014-15,NC State,0,9,6,10,10,Defensive
2015-16,NC State,13,9,13,7,6,Offense
2015-16,NC State,0,7,6,9,13,Defensive
2016-17,NC State,13,12,10,8,12,Offense
2016-17,NC State,0,8,12,12,10,Defensive
2017-18,NC State,12,6,11,6,6,Offense
2017-18,NC State,0,6,6,6,11,Defensive
2013-14,NC State,12,9,12,6,15,Offense
2013-14,NC State,0,6,15,9,12,Defensive
2014-15,NC State,13,10,10,9,6,Offense
2014-15,NC State,0,9,6,10,10,Defensive
2015-16,NC State,13,9,13,7,6,Offense
2015-16,NC State,0,7,6,9,13,Defensive
2016-17,NC State,13,12,10,8,12,Offense
2016-17,NC State,0,8,12,12,10,Defensive
2017-18,NC State,12,6,11,6,6,Offense
2017-18,NC State,0,6,6,6,11,Defensive
2013-14,NC State,12,9,12,6,15,Offense
2013-14,NC State,0,6,15,9,12,Defensive
2014-15,NC State,13,10,10,9,6,Offense
2014-15,NC State,0,9,6,10,10,Defensive
2015-16,NC State,13,9,13,7,6,Offense
2015-16,NC State,0,7,6,9,13,Defensive
2016-17,NC State,13,12,10,8,12,Offense
2016-17,NC State,0,8,12,12,10,Defensive
2017-18,NC State,12,6,11,6,6,Offense
2017-18,NC State,0,6,6,6,11,Defensive
2013-14,Northern Ill.,14,11,19,9,8,Offense
2013-14,Northern Ill.,0,7,8,11,19,Defensive
2014-15,Northern Ill.,14,10,14,9,3,Offense
2014-15,Northern Ill.,0,9,3,10,14,Defensive
2015-16,Northern Ill.,14,7,22,17,10,Offense
2015-16,Northern Ill.,0,17,10,7,22,Defensive
2016-17,Northern Ill.,12,2,14,4,13,Offense
2016-17,Northern Ill.,0,4,13,2,14,Defensive
2017-18,Northern Ill.,12,6,15,13,11,Offense
2017-18,Northern Ill.,0,13,11,6,15,Defensive
2013-14,Northern Ill.,14,11,19,9,8,Offense
2013-14,Northern Ill.,0,7,8,11,19,Defensive
2014-15,Northern Ill.,14,10,14,9,3,Offense
2014-15,Northern Ill.,0,9,3,10,14,Defensive
2015-16,Northern Ill.,14,7,22,17,10,Offense
2015-16,Northern Ill.,0,17,10,7,22,Defensive
2016-17,Northern Ill.,12,2,14,4,13,Offense
2016-17,Northern Ill.,0,4,13,2,14,Defensive
2017-18,Northern Ill.,12,6,15,13,11,Offense
2017-18,Northern Ill.,0,13,11,6,15,Defensive
2013-14,North Texas,13,16,18,9,14,Offense
2013-14,North Texas,0,9,14,16,18,Defensive
2014-15,North Texas,12,10,12,9,13,Offense
2014-15,North Texas,0,9,13,10,12,Defensive
2015-16,North Texas,12,14,4,14,11,Offense
2015-16,North Texas,0,14,11,14,4,Defensive
2016-17,North Texas,13,8,14,8,13,Offense
2016-17,North Texas,0,8,13,8,14,Defensive
2017-18,North Texas,13,7,7,9,13,Offense
2017-18,North Texas,0,9,13,7,7,Defensive
2013-14,North Texas,13,16,18,9,14,Offense
2013-14,North Texas,0,9,14,16,18,Defensive
2014-15,North Texas,12,10,12,9,13,Offense
2014-15,North Texas,0,9,13,10,12,Defensive
2015-16,North Texas,12,14,4,14,11,Offense
2015-16,North Texas,0,14,11,14,4,Defensive
2016-17,North Texas,13,8,14,8,13,Offense
2016-17,North Texas,0,8,13,8,14,Defensive
2017-18,North Texas,13,7,7,9,13,Offense
2017-18,North Texas,0,9,13,7,7,Defensive
2013-14,North Texas,13,16,18,9,14,Offense
2013-14,North Texas,0,9,14,16,18,Defensive
2014-15,North Texas,12,10,12,9,13,Offense
2014-15,North Texas,0,9,13,10,12,Defensive
2015-16,North Texas,12,14,4,14,11,Offense
2015-16,North Texas,0,14,11,14,4,Defensive
2016-17,North Texas,13,8,14,8,13,Offense
2016-17,North Texas,0,8,13,8,14,Defensive
2017-18,North Texas,13,7,7,9,13,Offense
2017-18,North Texas,0,9,13,7,7,Defensive
2013-14,North Texas,13,16,18,9,14,Offense
2013-14,North Texas,0,9,14,16,18,Defensive
2014-15,North Texas,12,10,12,9,13,Offense
2014-15,North Texas,0,9,13,10,12,Defensive
2015-16,North Texas,12,14,4,14,11,Offense
2015-16,North Texas,0,14,11,14,4,Defensive
2016-17,North Texas,13,8,14,8,13,Offense
2016-17,North Texas,0,8,13,8,14,Defensive
2017-18,North Texas,13,7,7,9,13,Offense
2017-18,North Texas,0,9,13,7,7,Defensive
2013-14,North Carolina,13,7,13,7,11,Offense
2013-14,North Carolina,0,7,11,7,13,Defensive
2014-15,North Carolina,13,11,12,10,13,Offense
2014-15,North Carolina,0,10,13,11,12,Defensive
2015-16,North Carolina,14,9,17,9,10,Offense
2015-16,North Carolina,0,9,10,9,17,Defensive
2016-17,North Carolina,13,13,1,10,6,Offense
2016-17,North Carolina,0,10,6,13,1,Defensive
2017-18,North Carolina,12,9,7,6,16,Offense
2017-18,North Carolina,0,6,16,9,7,Defensive
2013-14,North Carolina,13,7,13,7,11,Offense
2013-14,North Carolina,0,7,11,7,13,Defensive
2014-15,North Carolina,13,11,12,10,13,Offense
2014-15,North Carolina,0,10,13,11,12,Defensive
2015-16,North Carolina,14,9,17,9,10,Offense
2015-16,North Carolina,0,9,10,9,17,Defensive
2016-17,North Carolina,13,13,1,10,6,Offense
2016-17,North Carolina,0,10,6,13,1,Defensive
2017-18,North Carolina,12,9,7,6,16,Offense
2017-18,North Carolina,0,6,16,9,7,Defensive
2013-14,North Carolina,13,7,13,7,11,Offense
2013-14,North Carolina,0,7,11,7,13,Defensive
2014-15,North Carolina,13,11,12,10,13,Offense
2014-15,North Carolina,0,10,13,11,12,Defensive
2015-16,North Carolina,14,9,17,9,10,Offense
2015-16,North Carolina,0,9,10,9,17,Defensive
2016-17,North Carolina,13,13,1,10,6,Offense
2016-17,North Carolina,0,10,6,13,1,Defensive
2017-18,North Carolina,12,9,7,6,16,Offense
2017-18,North Carolina,0,6,16,9,7,Defensive
2013-14,North Carolina,13,7,13,7,11,Offense
2013-14,North Carolina,0,7,11,7,13,Defensive
2014-15,North Carolina,13,11,12,10,13,Offense
2014-15,North Carolina,0,10,13,11,12,Defensive
2015-16,North Carolina,14,9,17,9,10,Offense
2015-16,North Carolina,0,9,10,9,17,Defensive
2016-17,North Carolina,13,13,1,10,6,Offense
2016-17,North Carolina,0,10,6,13,1,Defensive
2017-18,North Carolina,12,9,7,6,16,Offense
2017-18,North Carolina,0,6,16,9,7,Defensive
2013-14,New Mexico St.,12,10,10,13,13,Offense
2013-14,New Mexico St.,0,12,13,10,10,Defensive
2014-15,New Mexico St.,12,10,11,10,24,Offense
2014-15,New Mexico St.,0,10,24,10,11,Defensive
2015-16,New Mexico St.,12,10,12,7,14,Offense
2015-16,New Mexico St.,0,7,14,10,12,Defensive
2016-17,New Mexico St.,12,10,13,7,15,Offense
2016-17,New Mexico St.,0,7,15,10,13,Defensive
2017-18,New Mexico St.,12,9,16,6,20,Offense
2017-18,New Mexico St.,0,6,20,9,16,Defensive
2013-14,New Mexico St.,12,10,10,13,13,Offense
2013-14,New Mexico St.,0,12,13,10,10,Defensive
2014-15,New Mexico St.,12,10,11,10,24,Offense
2014-15,New Mexico St.,0,10,24,10,11,Defensive
2015-16,New Mexico St.,12,10,12,7,14,Offense
2015-16,New Mexico St.,0,7,14,10,12,Defensive
2016-17,New Mexico St.,12,10,13,7,15,Offense
2016-17,New Mexico St.,0,7,15,10,13,Defensive
2017-18,New Mexico St.,12,9,16,6,20,Offense
2017-18,New Mexico St.,0,6,20,9,16,Defensive
2013-14,New Mexico St.,12,10,10,13,13,Offense
2013-14,New Mexico St.,0,12,13,10,10,Defensive
2014-15,New Mexico St.,12,10,11,10,24,Offense
2014-15,New Mexico St.,0,10,24,10,11,Defensive
2015-16,New Mexico St.,12,10,12,7,14,Offense
2015-16,New Mexico St.,0,7,14,10,12,Defensive
2016-17,New Mexico St.,12,10,13,7,15,Offense
2016-17,New Mexico St.,0,7,15,10,13,Defensive
2017-18,New Mexico St.,12,9,16,6,20,Offense
2017-18,New Mexico St.,0,6,20,9,16,Defensive
2013-14,New Mexico St.,12,10,10,13,13,Offense
2013-14,New Mexico St.,0,12,13,10,10,Defensive
2014-15,New Mexico St.,12,10,11,10,24,Offense
2014-15,New Mexico St.,0,10,24,10,11,Defensive
2015-16,New Mexico St.,12,10,12,7,14,Offense
2015-16,New Mexico St.,0,7,14,10,12,Defensive
2016-17,New Mexico St.,12,10,13,7,15,Offense
2016-17,New Mexico St.,0,7,15,10,13,Defensive
2017-18,New Mexico St.,12,9,16,6,20,Offense
2017-18,New Mexico St.,0,6,20,9,16,Defensive
2013-14,New Mexico,12,6,4,9,5,Offense
2013-14,New Mexico,0,9,5,6,4,Defensive
2014-15,New Mexico,12,8,11,12,6,Offense
2014-15,New Mexico,0,12,6,8,11,Defensive
2015-16,New Mexico,13,11,14,7,14,Offense
2015-16,New Mexico,0,7,14,11,14,Defensive
2016-17,New Mexico,13,5,8,8,6,Offense
2016-17,New Mexico,0,8,6,5,8,Defensive
2017-18,New Mexico,12,7,6,15,14,Offense
2017-18,New Mexico,0,15,14,7,6,Defensive
2013-14,New Mexico,12,6,4,9,5,Offense
2013-14,New Mexico,0,9,5,6,4,Defensive
2014-15,New Mexico,12,8,11,12,6,Offense
2014-15,New Mexico,0,12,6,8,11,Defensive
2015-16,New Mexico,13,11,14,7,14,Offense
2015-16,New Mexico,0,7,14,11,14,Defensive
2016-17,New Mexico,13,5,8,8,6,Offense
2016-17,New Mexico,0,8,6,5,8,Defensive
2017-18,New Mexico,12,7,6,15,14,Offense
2017-18,New Mexico,0,15,14,7,6,Defensive
2013-14,New Mexico,12,6,4,9,5,Offense
2013-14,New Mexico,0,9,5,6,4,Defensive
2014-15,New Mexico,12,8,11,12,6,Offense
2014-15,New Mexico,0,12,6,8,11,Defensive
2015-16,New Mexico,13,11,14,7,14,Offense
2015-16,New Mexico,0,7,14,11,14,Defensive
2016-17,New Mexico,13,5,8,8,6,Offense
2016-17,New Mexico,0,8,6,5,8,Defensive
2017-18,New Mexico,12,7,6,15,14,Offense
2017-18,New Mexico,0,15,14,7,6,Defensive
2013-14,Ohio St.,14,8,16,10,9,Offense
2013-14,Ohio St.,0,10,9,8,16,Defensive
2014-15,Ohio St.,15,8,25,14,12,Offense
2014-15,Ohio St.,0,14,12,8,25,Defensive
2015-16,Ohio St.,13,9,12,9,9,Offense
2015-16,Ohio St.,0,9,9,9,12,Defensive
2016-17,Ohio St.,13,6,21,5,7,Offense
2016-17,Ohio St.,0,5,7,6,21,Defensive
2017-18,Ohio St.,13,8,12,8,10,Offense
2017-18,Ohio St.,0,8,10,8,12,Defensive
2013-14,Ohio St.,14,8,16,10,9,Offense
2013-14,Ohio St.,0,10,9,8,16,Defensive
2014-15,Ohio St.,15,8,25,14,12,Offense
2014-15,Ohio St.,0,14,12,8,25,Defensive
2015-16,Ohio St.,13,9,12,9,9,Offense
2015-16,Ohio St.,0,9,9,9,12,Defensive
2016-17,Ohio St.,13,6,21,5,7,Offense
2016-17,Ohio St.,0,5,7,6,21,Defensive
2017-18,Ohio St.,13,8,12,8,10,Offense
2017-18,Ohio St.,0,8,10,8,12,Defensive
2013-14,Ohio St.,14,8,16,10,9,Offense
2013-14,Ohio St.,0,10,9,8,16,Defensive
2014-15,Ohio St.,15,8,25,14,12,Offense
2014-15,Ohio St.,0,14,12,8,25,Defensive
2015-16,Ohio St.,13,9,12,9,9,Offense
2015-16,Ohio St.,0,9,9,9,12,Defensive
2016-17,Ohio St.,13,6,21,5,7,Offense
2016-17,Ohio St.,0,5,7,6,21,Defensive
2017-18,Ohio St.,13,8,12,8,10,Offense
2017-18,Ohio St.,0,8,10,8,12,Defensive
2013-14,Ohio St.,14,8,16,10,9,Offense
2013-14,Ohio St.,0,10,9,8,16,Defensive
2014-15,Ohio St.,15,8,25,14,12,Offense
2014-15,Ohio St.,0,14,12,8,25,Defensive
2015-16,Ohio St.,13,9,12,9,9,Offense
2015-16,Ohio St.,0,9,9,9,12,Defensive
2016-17,Ohio St.,13,6,21,5,7,Offense
2016-17,Ohio St.,0,5,7,6,21,Defensive
2017-18,Ohio St.,13,8,12,8,10,Offense
2017-18,Ohio St.,0,8,10,8,12,Defensive
2013-14,Ohio,13,8,14,11,13,Offense
2013-14,Ohio,0,11,13,8,14,Defensive
2014-15,Ohio,12,7,12,14,9,Offense
2014-15,Ohio,0,14,9,7,12,Defensive
2015-16,Ohio,13,10,12,4,13,Offense
2015-16,Ohio,0,4,13,10,12,Defensive
2016-17,Ohio,14,11,15,13,12,Offense
2016-17,Ohio,0,13,12,11,15,Defensive
2017-18,Ohio,12,8,9,12,9,Offense
2017-18,Ohio,0,12,9,8,9,Defensive
2013-14,Ohio,13,8,14,11,13,Offense
2013-14,Ohio,0,11,13,8,14,Defensive
2014-15,Ohio,12,7,12,14,9,Offense
2014-15,Ohio,0,14,9,7,12,Defensive
2015-16,Ohio,13,10,12,4,13,Offense
2015-16,Ohio,0,4,13,10,12,Defensive
2016-17,Ohio,14,11,15,13,12,Offense
2016-17,Ohio,0,13,12,11,15,Defensive
2017-18,Ohio,12,8,9,12,9,Offense
2017-18,Ohio,0,12,9,8,9,Defensive
2013-14,Ohio,13,8,14,11,13,Offense
2013-14,Ohio,0,11,13,8,14,Defensive
2014-15,Ohio,12,7,12,14,9,Offense
2014-15,Ohio,0,14,9,7,12,Defensive
2015-16,Ohio,13,10,12,4,13,Offense
2015-16,Ohio,0,4,13,10,12,Defensive
2016-17,Ohio,14,11,15,13,12,Offense
2016-17,Ohio,0,13,12,11,15,Defensive
2017-18,Ohio,12,8,9,12,9,Offense
2017-18,Ohio,0,12,9,8,9,Defensive
2013-14,Ohio,13,8,14,11,13,Offense
2013-14,Ohio,0,11,13,8,14,Defensive
2014-15,Ohio,12,7,12,14,9,Offense
2014-15,Ohio,0,14,9,7,12,Defensive
2015-16,Ohio,13,10,12,4,13,Offense
2015-16,Ohio,0,4,13,10,12,Defensive
2016-17,Ohio,14,11,15,13,12,Offense
2016-17,Ohio,0,13,12,11,15,Defensive
2017-18,Ohio,12,8,9,12,9,Offense
2017-18,Ohio,0,12,9,8,9,Defensive
2013-14,Notre Dame,13,4,13,4,13,Offense
2013-14,Notre Dame,0,4,13,4,13,Defensive
2014-15,Notre Dame,13,7,16,12,14,Offense
2014-15,Notre Dame,0,12,14,7,16,Defensive
2015-16,Notre Dame,13,5,9,10,10,Offense
2015-16,Notre Dame,0,10,10,5,9,Defensive
2016-17,Notre Dame,12,6,8,9,9,Offense
2016-17,Notre Dame,0,9,9,6,8,Defensive
2017-18,Notre Dame,12,10,10,6,9,Offense
2017-18,Notre Dame,0,6,9,10,10,Defensive
2013-14,Notre Dame,13,4,13,4,13,Offense
2013-14,Notre Dame,0,4,13,4,13,Defensive
2014-15,Notre Dame,13,7,16,12,14,Offense
2014-15,Notre Dame,0,12,14,7,16,Defensive
2015-16,Notre Dame,13,5,9,10,10,Offense
2015-16,Notre Dame,0,10,10,5,9,Defensive
2016-17,Notre Dame,12,6,8,9,9,Offense
2016-17,Notre Dame,0,9,9,6,8,Defensive
2017-18,Notre Dame,12,10,10,6,9,Offense
2017-18,Notre Dame,0,6,9,10,10,Defensive
2013-14,Notre Dame,13,4,13,4,13,Offense
2013-14,Notre Dame,0,4,13,4,13,Defensive
2014-15,Notre Dame,13,7,16,12,14,Offense
2014-15,Notre Dame,0,12,14,7,16,Defensive
2015-16,Notre Dame,13,5,9,10,10,Offense
2015-16,Notre Dame,0,10,10,5,9,Defensive
2016-17,Notre Dame,12,6,8,9,9,Offense
2016-17,Notre Dame,0,9,9,6,8,Defensive
2017-18,Notre Dame,12,10,10,6,9,Offense
2017-18,Notre Dame,0,6,9,10,10,Defensive
2013-14,Notre Dame,13,4,13,4,13,Offense
2013-14,Notre Dame,0,4,13,4,13,Defensive
2014-15,Notre Dame,13,7,16,12,14,Offense
2014-15,Notre Dame,0,12,14,7,16,Defensive
2015-16,Notre Dame,13,5,9,10,10,Offense
2015-16,Notre Dame,0,10,10,5,9,Defensive
2016-17,Notre Dame,12,6,8,9,9,Offense
2016-17,Notre Dame,0,9,9,6,8,Defensive
2017-18,Notre Dame,12,10,10,6,9,Offense
2017-18,Notre Dame,0,6,9,10,10,Defensive
2013-14,Northwestern,12,4,19,7,13,Offense
2013-14,Northwestern,0,7,13,4,19,Defensive
2014-15,Northwestern,12,12,15,9,14,Offense
2014-15,Northwestern,0,9,14,12,15,Defensive
2015-16,Northwestern,13,9,12,7,13,Offense
2015-16,Northwestern,0,7,13,9,12,Defensive
2016-17,Northwestern,13,9,16,7,9,Offense
2016-17,Northwestern,0,7,9,9,16,Defensive
2017-18,Northwestern,12,8,15,6,12,Offense
2017-18,Northwestern,0,6,12,8,15,Defensive
2013-14,Northwestern,12,4,19,7,13,Offense
2013-14,Northwestern,0,7,13,4,19,Defensive
2014-15,Northwestern,12,12,15,9,14,Offense
2014-15,Northwestern,0,9,14,12,15,Defensive
2015-16,Northwestern,13,9,12,7,13,Offense
2015-16,Northwestern,0,7,13,9,12,Defensive
2016-17,Northwestern,13,9,16,7,9,Offense
2016-17,Northwestern,0,7,9,9,16,Defensive
2017-18,Northwestern,12,8,15,6,12,Offense
2017-18,Northwestern,0,6,12,8,15,Defensive
2013-14,Northwestern,12,4,19,7,13,Offense
2013-14,Northwestern,0,7,13,4,19,Defensive
2014-15,Northwestern,12,12,15,9,14,Offense
2014-15,Northwestern,0,9,14,12,15,Defensive
2015-16,Northwestern,13,9,12,7,13,Offense
2015-16,Northwestern,0,7,13,9,12,Defensive
2016-17,Northwestern,13,9,16,7,9,Offense
2016-17,Northwestern,0,7,9,9,16,Defensive
2017-18,Northwestern,12,8,15,6,12,Offense
2017-18,Northwestern,0,6,12,8,15,Defensive
2013-14,Northwestern,12,4,19,7,13,Offense
2013-14,Northwestern,0,7,13,4,19,Defensive
2014-15,Northwestern,12,12,15,9,14,Offense
2014-15,Northwestern,0,9,14,12,15,Defensive
2015-16,Northwestern,13,9,12,7,13,Offense
2015-16,Northwestern,0,7,13,9,12,Defensive
2016-17,Northwestern,13,9,16,7,9,Offense
2016-17,Northwestern,0,7,9,9,16,Defensive
2017-18,Northwestern,12,8,15,6,12,Offense
2017-18,Northwestern,0,6,12,8,15,Defensive
2013-14,Northern Ill.,14,11,19,9,8,Offense
2013-14,Northern Ill.,0,7,8,11,19,Defensive
2014-15,Northern Ill.,14,10,14,9,3,Offense
2014-15,Northern Ill.,0,9,3,10,14,Defensive
2015-16,Northern Ill.,14,7,22,17,10,Offense
2015-16,Northern Ill.,0,17,10,7,22,Defensive
2016-17,Northern Ill.,12,2,14,4,13,Offense
2016-17,Northern Ill.,0,4,13,2,14,Defensive
2017-18,Northern Ill.,12,6,15,13,11,Offense
2017-18,Northern Ill.,0,13,11,6,15,Defensive
2011-12,Oregon,1,1,1,nan,2,Offense
2011-12,Oregon,0,nan,2,1,1,Defensive
2013-14,Oregon,13,11,17,12,6,Offense
2013-14,Oregon,0,12,6,12,17,Defensive
2014-15,Oregon,15,21,13,7,4,Offense
2014-15,Oregon,0,7,4,21,13,Defensive
2015-16,Oregon,13,9,13,7,10,Offense
2015-16,Oregon,0,7,10,9,13,Defensive
2016-17,Oregon,12,3,9,9,6,Offense
2016-17,Oregon,0,9,6,3,9,Defensive
2017-18,Oregon,12,9,13,11,10,Offense
2017-18,Oregon,0,11,10,9,13,Defensive
2013-14,Ole Miss,13,9,13,8,13,Offense
2013-14,Ole Miss,0,8,13,9,13,Defensive
2014-15,Ole Miss,13,10,22,10,15,Offense
2014-15,Ole Miss,0,10,15,10,22,Defensive
2015-16,Ole Miss,13,8,15,9,14,Offense
2015-16,Ole Miss,0,9,14,8,15,Defensive
2016-17,Ole Miss,12,8,8,5,14,Offense
2016-17,Ole Miss,0,5,14,8,8,Defensive
2017-18,Ole Miss,12,5,8,5,13,Offense
2017-18,Ole Miss,0,5,13,5,8,Defensive
2013-14,Ole Miss,13,9,13,8,13,Offense
2013-14,Ole Miss,0,8,13,9,13,Defensive
2014-15,Ole Miss,13,10,22,10,15,Offense
2014-15,Ole Miss,0,10,15,10,22,Defensive
2015-16,Ole Miss,13,8,15,9,14,Offense
2015-16,Ole Miss,0,9,14,8,15,Defensive
2016-17,Ole Miss,12,8,8,5,14,Offense
2016-17,Ole Miss,0,5,14,8,8,Defensive
2017-18,Ole Miss,12,5,8,5,13,Offense
2017-18,Ole Miss,0,5,13,5,8,Defensive
2013-14,Ole Miss,13,9,13,8,13,Offense
2013-14,Ole Miss,0,8,13,9,13,Defensive
2014-15,Ole Miss,13,10,22,10,15,Offense
2014-15,Ole Miss,0,10,15,10,22,Defensive
2015-16,Ole Miss,13,8,15,9,14,Offense
2015-16,Ole Miss,0,9,14,8,15,Defensive
2016-17,Ole Miss,12,8,8,5,14,Offense
2016-17,Ole Miss,0,5,14,8,8,Defensive
2017-18,Ole Miss,12,5,8,5,13,Offense
2017-18,Ole Miss,0,5,13,5,8,Defensive
2013-14,Oklahoma St.,13,12,21,5,13,Offense
2013-14,Oklahoma St.,0,5,13,12,21,Defensive
2014-15,Oklahoma St.,13,2,12,5,17,Offense
2014-15,Oklahoma St.,0,5,17,2,12,Defensive
2015-16,Oklahoma St.,13,11,17,5,10,Offense
2015-16,Oklahoma St.,0,5,10,11,17,Defensive
2016-17,Oklahoma St.,13,11,14,10,4,Offense
2016-17,Oklahoma St.,0,10,4,11,14,Defensive
2017-18,Oklahoma St.,12,6,16,11,10,Offense
2017-18,Oklahoma St.,0,11,10,6,16,Defensive
2013-14,Ole Miss,13,9,13,8,13,Offense
2013-14,Ole Miss,0,8,13,9,13,Defensive
2014-15,Ole Miss,13,10,22,10,15,Offense
2014-15,Ole Miss,0,10,15,10,22,Defensive
2015-16,Ole Miss,13,8,15,9,14,Offense
2015-16,Ole Miss,0,9,14,8,15,Defensive
2016-17,Ole Miss,12,8,8,5,14,Offense
2016-17,Ole Miss,0,5,14,8,8,Defensive
2017-18,Ole Miss,12,5,8,5,13,Offense
2017-18,Ole Miss,0,5,13,5,8,Defensive
2013-14,Old Dominion,12,9,8,6,8,Offense
2013-14,Old Dominion,0,6,8,10,8,Defensive
2014-15,Old Dominion,11,13,5,4,15,Offense
2014-15,Old Dominion,0,4,15,13,5,Defensive
2015-16,Old Dominion,12,10,8,10,9,Offense
2015-16,Old Dominion,0,10,9,10,8,Defensive
2016-17,Old Dominion,13,12,11,4,6,Offense
2016-17,Old Dominion,0,4,6,12,11,Defensive
2017-18,Old Dominion,12,8,8,6,14,Offense
2017-18,Old Dominion,0,6,14,8,8,Defensive
2013-14,Old Dominion,12,9,8,6,8,Offense
2013-14,Old Dominion,0,6,8,10,8,Defensive
2014-15,Old Dominion,11,13,5,4,15,Offense
2014-15,Old Dominion,0,4,15,13,5,Defensive
2015-16,Old Dominion,12,10,8,10,9,Offense
2015-16,Old Dominion,0,10,9,10,8,Defensive
2016-17,Old Dominion,13,12,11,4,6,Offense
2016-17,Old Dominion,0,4,6,12,11,Defensive
2017-18,Old Dominion,12,8,8,6,14,Offense
2017-18,Old Dominion,0,6,14,8,8,Defensive
2013-14,Old Dominion,12,9,8,6,8,Offense
2013-14,Old Dominion,0,6,8,10,8,Defensive
2014-15,Old Dominion,11,13,5,4,15,Offense
2014-15,Old Dominion,0,4,15,13,5,Defensive
2015-16,Old Dominion,12,10,8,10,9,Offense
2015-16,Old Dominion,0,10,9,10,8,Defensive
2016-17,Old Dominion,13,12,11,4,6,Offense
2016-17,Old Dominion,0,4,6,12,11,Defensive
2017-18,Old Dominion,12,8,8,6,14,Offense
2017-18,Old Dominion,0,6,14,8,8,Defensive
2013-14,Old Dominion,12,9,8,6,8,Offense
2013-14,Old Dominion,0,6,8,10,8,Defensive
2014-15,Old Dominion,11,13,5,4,15,Offense
2014-15,Old Dominion,0,4,15,13,5,Defensive
2015-16,Old Dominion,12,10,8,10,9,Offense
2015-16,Old Dominion,0,10,9,10,8,Defensive
2016-17,Old Dominion,13,12,11,4,6,Offense
2016-17,Old Dominion,0,4,6,12,11,Defensive
2017-18,Old Dominion,12,8,8,6,14,Offense
2017-18,Old Dominion,0,6,14,8,8,Defensive
2013-14,Oklahoma St.,13,12,21,5,13,Offense
2013-14,Oklahoma St.,0,5,13,12,21,Defensive
2014-15,Oklahoma St.,13,2,12,5,17,Offense
2014-15,Oklahoma St.,0,5,17,2,12,Defensive
2015-16,Oklahoma St.,13,11,17,5,10,Offense
2015-16,Oklahoma St.,0,5,10,11,17,Defensive
2016-17,Oklahoma St.,13,11,14,10,4,Offense
2016-17,Oklahoma St.,0,10,4,11,14,Defensive
2017-18,Oklahoma St.,12,6,16,11,10,Offense
2017-18,Oklahoma St.,0,11,10,6,16,Defensive
2013-14,Oklahoma St.,13,12,21,5,13,Offense
2013-14,Oklahoma St.,0,5,13,12,21,Defensive
2014-15,Oklahoma St.,13,2,12,5,17,Offense
2014-15,Oklahoma St.,0,5,17,2,12,Defensive
2015-16,Oklahoma St.,13,11,17,5,10,Offense
2015-16,Oklahoma St.,0,5,10,11,17,Defensive
2016-17,Oklahoma St.,13,11,14,10,4,Offense
2016-17,Oklahoma St.,0,10,4,11,14,Defensive
2017-18,Oklahoma St.,12,6,16,11,10,Offense
2017-18,Oklahoma St.,0,11,10,6,16,Defensive
2013-14,Oklahoma St.,13,12,21,5,13,Offense
2013-14,Oklahoma St.,0,5,13,12,21,Defensive
2014-15,Oklahoma St.,13,2,12,5,17,Offense
2014-15,Oklahoma St.,0,5,17,2,12,Defensive
2015-16,Oklahoma St.,13,11,17,5,10,Offense
2015-16,Oklahoma St.,0,5,10,11,17,Defensive
2016-17,Oklahoma St.,13,11,14,10,4,Offense
2016-17,Oklahoma St.,0,10,4,11,14,Defensive
2017-18,Oklahoma St.,12,6,16,11,10,Offense
2017-18,Oklahoma St.,0,11,10,6,16,Defensive
2013-14,Oklahoma,13,8,16,5,11,Offense
2013-14,Oklahoma,0,5,11,9,16,Defensive
2014-15,Oklahoma,13,7,12,7,17,Offense
2014-15,Oklahoma,0,7,17,7,12,Defensive
2015-16,Oklahoma,13,7,20,9,9,Offense
2015-16,Oklahoma,0,9,9,7,20,Defensive
2016-17,Oklahoma,13,8,9,9,8,Offense
2016-17,Oklahoma,0,9,8,8,9,Defensive
2017-18,Oklahoma,13,9,8,7,5,Offense
2017-18,Oklahoma,0,7,5,9,8,Defensive
2013-14,Oklahoma,13,8,16,5,11,Offense
2013-14,Oklahoma,0,5,11,9,16,Defensive
2014-15,Oklahoma,13,7,12,7,17,Offense
2014-15,Oklahoma,0,7,17,7,12,Defensive
2015-16,Oklahoma,13,7,20,9,9,Offense
2015-16,Oklahoma,0,9,9,7,20,Defensive
2016-17,Oklahoma,13,8,9,9,8,Offense
2016-17,Oklahoma,0,9,8,8,9,Defensive
2017-18,Oklahoma,13,9,8,7,5,Offense
2017-18,Oklahoma,0,7,5,9,8,Defensive
2013-14,Oklahoma,13,8,16,5,11,Offense
2013-14,Oklahoma,0,5,11,9,16,Defensive
