Year,Team,Jersey,Player,Pos,Yr,GP,GS
2013-14,Air Force Falcons,74,"Remmo, Sevrin",OL,So,6,0
2013-14,Air Force Falcons,44,"Riley, Jake",LB,Fr,0,0
2013-14,Air Force Falcons,6A,"Roberts, Karson",QB,So,10,3
2013-14,Air Force Falcons,9,"Robinette, Jalen",WR,Fr,12,2
2013-14,Air Force Falcons,72,"Rochell, Matt",OL,So,12,12
2013-14,Air Force Falcons,6B,"Romine, Nate",QB,Fr,9,5
2013-14,Air Force Falcons,58,"Ruechel, A.J.",OL,So,11,0
2013-14,Air Force Falcons,31,"Rushing, Devin",,,12,0
2013-14,Air Force Falcons,52,"Salimu, Yohance",DL,So,1,0
2013-14,Air Force Falcons,22,"Solano, Paco",RB,Jr,5,0
2013-14,Air Force Falcons,21,"Spears, Christian",DB,Jr,12,12
2013-14,Air Force Falcons,6A,"Steelhammer, Weston",DB,Fr,8,0
2013-14,Air Force Falcons,9A,"Stevenson, Marcus",RB,Jr,1,0
2013-14,Air Force Falcons,55,"Sumpter, Steven",LB,Jr,12,0
2013-14,Air Force Falcons,91,"Timmerman, Troy",DL,Jr,12,2
2013-14,Air Force Falcons,70,"Uzo-Okereke, Ar",,,2,0
2013-14,Air Force Falcons,5,"Walker, Dexter",DB,So,12,8
2013-14,Air Force Falcons,40,"Watson, Ryan",DL,Fr,11,1
2013-14,Air Force Falcons,39,"Wharton, Donnie",,,11,1
2013-14,Air Force Falcons,48,"Wiernicki, Johnny",RB,Fr,0,0
2013-14,Air Force Falcons,71,"Zemko, Charles",OL,Sr,7,0
