team,link,txt,key,match
Fresno St. Bulldogs,http://stats.ncaa.org/team/96/roster/11520,Roster,roster,True
Fresno St. Bulldogs,http://stats.ncaa.org/team/96/stats/11520,Team Statistics,stats,True
Ga. Southern Eagles,http://stats.ncaa.org/teams/history/MFB/253,Team History,history,True
Ga. Southern Eagles,http://stats.ncaa.org/people/37004?sport_code=MFB,Jeff Monken,people,True
Ga. Southern Eagles,http://stats.ncaa.org/team/253/roster/11520,Roster,roster,True
Ga. Southern Eagles,http://stats.ncaa.org/team/253/stats/11520,Team Statistics,stats,True
Georgia St. Panthers,http://stats.ncaa.org/teams/history/MFB/254,Team History,history,True
Georgia St. Panthers,http://stats.ncaa.org/people/33449?sport_code=MFB,Trent Miles,people,True
Georgia St. Panthers,http://stats.ncaa.org/team/254/roster/11520,Roster,roster,True
Georgia St. Panthers,http://stats.ncaa.org/team/254/stats/11520,Team Statistics,stats,True
Georgia Bulldogs,http://stats.ncaa.org/teams/history/MFB/257,Team History,history,True
Georgia Bulldogs,http://stats.ncaa.org/people/2504?sport_code=MFB,Mark Richt,people,True
Georgia Bulldogs,http://stats.ncaa.org/team/257/roster/11520,Roster,roster,True
Georgia Bulldogs,http://stats.ncaa.org/team/257/stats/11520,Team Statistics,stats,True
Hawaii Rainbow Warriors,http://stats.ncaa.org/teams/history/MFB/277,Team History,history,True
Hawaii Rainbow Warriors,http://stats.ncaa.org/people/40879?sport_code=MFB,Norm Chow,people,True
Hawaii Rainbow Warriors,http://stats.ncaa.org/team/277/roster/11520,Roster,roster,True
Hawaii Rainbow Warriors,http://stats.ncaa.org/team/277/stats/11520,Team Statistics,stats,True
Idaho Vandals,http://stats.ncaa.org/teams/history/MFB/295,Team History,history,True
Idaho Vandals,http://stats.ncaa.org/people/41709?sport_code=MFB,Paul Petrino,people,True
Idaho Vandals,http://stats.ncaa.org/team/295/roster/11520,Roster,roster,True
Idaho Vandals,http://stats.ncaa.org/team/295/stats/11520,Team Statistics,stats,True
Houston Cougars,http://stats.ncaa.org/teams/history/MFB/288,Team History,history,True
Houston Cougars,http://stats.ncaa.org/people/40880?sport_code=MFB,Tony Levine,people,True
Houston Cougars,http://stats.ncaa.org/team/288/roster/11520,Roster,roster,True
Houston Cougars,http://stats.ncaa.org/team/288/stats/11520,Team Statistics,stats,True
Illinois Fighting Illini,http://stats.ncaa.org/teams/history/MFB/301,Team History,history,True
Illinois Fighting Illini,http://stats.ncaa.org/people/35872?sport_code=MFB,Tim Beckman,people,True
Illinois Fighting Illini,http://stats.ncaa.org/team/301/roster/11520,Roster,roster,True
Illinois Fighting Illini,http://stats.ncaa.org/team/301/stats/11520,Team Statistics,stats,True
Indiana Hoosiers,http://stats.ncaa.org/teams/history/MFB/306,Team History,history,True
Indiana Hoosiers,http://stats.ncaa.org/people/38534?sport_code=MFB,Kevin Wilson,people,True
Indiana Hoosiers,http://stats.ncaa.org/team/306/roster/11520,Roster,roster,True
Indiana Hoosiers,http://stats.ncaa.org/team/306/stats/11520,Team Statistics,stats,True
Iowa Hawkeyes,http://stats.ncaa.org/teams/history/MFB/312,Team History,history,True
Iowa Hawkeyes,http://stats.ncaa.org/people/2233?sport_code=MFB,Kirk Ferentz,people,True
