Team,Year,Link
Oklahoma,2016,http://stats.ncaa.org/team/522/12240
Oklahoma St.,2016,http://stats.ncaa.org/team/521/12240
Old Dominion,2016,http://stats.ncaa.org/team/523/12240
Ole Miss,2016,http://stats.ncaa.org/team/433/12240
Oregon,2016,http://stats.ncaa.org/team/529/12240
Pittsburgh,2014,http://stats.ncaa.org/team/545/11520
Purdue,2014,http://stats.ncaa.org/team/559/11520
Rice,2014,http://stats.ncaa.org/team/574/11520
Rutgers,2014,http://stats.ncaa.org/team/587/11520
SMU,2014,http://stats.ncaa.org/team/663/11520
San Diego St.,2014,http://stats.ncaa.org/team/626/11520
San Jose St.,2014,http://stats.ncaa.org/team/630/11520
South Ala.,2014,http://stats.ncaa.org/team/646/11520
South Carolina,2014,http://stats.ncaa.org/team/648/11520
South Fla.,2014,http://stats.ncaa.org/team/651/11520
Minnesota,2017,http://stats.ncaa.org/team/428/12424
Mississippi St.,2017,http://stats.ncaa.org/team/430/12424
Missouri,2017,http://stats.ncaa.org/team/434/12424
NC State,2017,http://stats.ncaa.org/team/490/12424
Navy,2017,http://stats.ncaa.org/team/726/12424
Nebraska,2017,http://stats.ncaa.org/team/463/12424
Nevada,2017,http://stats.ncaa.org/team/466/12424
New Mexico,2017,http://stats.ncaa.org/team/473/12424
New Mexico St.,2017,http://stats.ncaa.org/team/472/12424
North Carolina,2017,http://stats.ncaa.org/team/457/12424
Oregon St.,2016,http://stats.ncaa.org/team/528/12240
Penn St.,2016,http://stats.ncaa.org/team/539/12240
Pittsburgh,2016,http://stats.ncaa.org/team/545/12240
Purdue,2016,http://stats.ncaa.org/team/559/12240
Rice,2016,http://stats.ncaa.org/team/574/12240
Rutgers,2016,http://stats.ncaa.org/team/587/12240
SMU,2016,http://stats.ncaa.org/team/663/12240
San Diego St.,2016,http://stats.ncaa.org/team/626/12240
San Jose St.,2016,http://stats.ncaa.org/team/630/12240
South Ala.,2016,http://stats.ncaa.org/team/646/12240
Southern California,2014,http://stats.ncaa.org/team/657/11520
Southern Miss.,2014,http://stats.ncaa.org/team/664/11520
Stanford,2014,http://stats.ncaa.org/team/674/11520
Syracuse,2014,http://stats.ncaa.org/team/688/11520
TCU,2014,http://stats.ncaa.org/team/698/11520
Temple,2014,http://stats.ncaa.org/team/690/11520
Tennessee,2014,http://stats.ncaa.org/team/694/11520
Texas,2014,http://stats.ncaa.org/team/703/11520
Texas A&M,2014,http://stats.ncaa.org/team/697/11520
North Texas,2017,http://stats.ncaa.org/team/497/12424
Northern Ill.,2017,http://stats.ncaa.org/team/503/12424
Northwestern,2017,http://stats.ncaa.org/team/509/12424
Notre Dame,2017,http://stats.ncaa.org/team/513/12424
Ohio,2017,http://stats.ncaa.org/team/519/12424
Ohio St.,2017,http://stats.ncaa.org/team/518/12424
Oklahoma,2017,http://stats.ncaa.org/team/522/12424
Oklahoma St.,2017,http://stats.ncaa.org/team/521/12424
Old Dominion,2017,http://stats.ncaa.org/team/523/12424
Ole Miss,2017,http://stats.ncaa.org/team/433/12424
South Carolina,2016,http://stats.ncaa.org/team/648/12240
South Fla.,2016,http://stats.ncaa.org/team/651/12240
Southern California,2016,http://stats.ncaa.org/team/657/12240
Southern Miss.,2016,http://stats.ncaa.org/team/664/12240
Stanford,2016,http://stats.ncaa.org/team/674/12240
Syracuse,2016,http://stats.ncaa.org/team/688/12240
Texas St.,2014,http://stats.ncaa.org/team/670/11520
Texas Tech,2014,http://stats.ncaa.org/team/700/11520
Toledo,2014,http://stats.ncaa.org/team/709/11520
Troy,2014,http://stats.ncaa.org/team/716/11520
Tulane,2014,http://stats.ncaa.org/team/718/11520
Tulsa,2014,http://stats.ncaa.org/team/719/11520
UAB,2014,http://stats.ncaa.org/team/9/11520
UCF,2014,http://stats.ncaa.org/team/128/11520
Oregon,2017,http://stats.ncaa.org/team/529/12424
Oregon St.,2017,http://stats.ncaa.org/team/528/12424
Penn St.,2017,http://stats.ncaa.org/team/539/12424
Pittsburgh,2017,http://stats.ncaa.org/team/545/12424
Purdue,2017,http://stats.ncaa.org/team/559/12424
Rice,2017,http://stats.ncaa.org/team/574/12424
Rutgers,2017,http://stats.ncaa.org/team/587/12424
TCU,2016,http://stats.ncaa.org/team/698/12240
Temple,2016,http://stats.ncaa.org/team/690/12240
Tennessee,2016,http://stats.ncaa.org/team/694/12240
Texas,2016,http://stats.ncaa.org/team/703/12240
Texas A&M,2016,http://stats.ncaa.org/team/697/12240
Texas St.,2016,http://stats.ncaa.org/team/670/12240
Texas Tech,2016,http://stats.ncaa.org/team/700/12240
Toledo,2016,http://stats.ncaa.org/team/709/12240
UCLA,2014,http://stats.ncaa.org/team/110/11520
UConn,2014,http://stats.ncaa.org/team/164/11520
UNLV,2014,http://stats.ncaa.org/team/465/11520
UTEP,2014,http://stats.ncaa.org/team/704/11520
UTSA,2014,http://stats.ncaa.org/team/706/11520
Utah,2014,http://stats.ncaa.org/team/732/11520
Utah St.,2014,http://stats.ncaa.org/team/731/11520
Vanderbilt,2014,http://stats.ncaa.org/team/736/11520
Virginia,2014,http://stats.ncaa.org/team/746/11520
Virginia Tech,2014,http://stats.ncaa.org/team/742/11520
SMU,2017,http://stats.ncaa.org/team/663/12424
San Diego St.,2017,http://stats.ncaa.org/team/626/12424
San Jose St.,2017,http://stats.ncaa.org/team/630/12424
South Ala.,2017,http://stats.ncaa.org/team/646/12424
South Carolina,2017,http://stats.ncaa.org/team/648/12424
South Fla.,2017,http://stats.ncaa.org/team/651/12424
Southern California,2017,http://stats.ncaa.org/team/657/12424
Troy,2016,http://stats.ncaa.org/team/716/12240
Tulane,2016,http://stats.ncaa.org/team/718/12240
Tulsa,2016,http://stats.ncaa.org/team/719/12240
UCF,2016,http://stats.ncaa.org/team/128/12240
UCLA,2016,http://stats.ncaa.org/team/110/12240
UConn,2016,http://stats.ncaa.org/team/164/12240
UNLV,2016,http://stats.ncaa.org/team/465/12240
UTEP,2016,http://stats.ncaa.org/team/704/12240
Wake Forest,2014,http://stats.ncaa.org/team/749/11520
Washington,2014,http://stats.ncaa.org/team/756/11520
Washington St.,2014,http://stats.ncaa.org/team/754/11520
West Virginia,2014,http://stats.ncaa.org/team/768/11520
Western Ky.,2014,http://stats.ncaa.org/team/772/11520
Western Mich.,2014,http://stats.ncaa.org/team/774/11520
Wisconsin,2014,http://stats.ncaa.org/team/796/11520
Wyoming,2014,http://stats.ncaa.org/team/811/11520
Southern Miss.,2017,http://stats.ncaa.org/team/664/12424
Stanford,2017,http://stats.ncaa.org/team/674/12424
Syracuse,2017,http://stats.ncaa.org/team/688/12424
TCU,2017,http://stats.ncaa.org/team/698/12424
Temple,2017,http://stats.ncaa.org/team/690/12424
Tennessee,2017,http://stats.ncaa.org/team/694/12424
Texas,2017,http://stats.ncaa.org/team/703/12424
UTSA,2016,http://stats.ncaa.org/team/706/12240
Utah,2016,http://stats.ncaa.org/team/732/12240
Utah St.,2016,http://stats.ncaa.org/team/731/12240
Vanderbilt,2016,http://stats.ncaa.org/team/736/12240
Virginia,2016,http://stats.ncaa.org/team/746/12240
Virginia Tech,2016,http://stats.ncaa.org/team/742/12240
Wake Forest,2016,http://stats.ncaa.org/team/749/12240
Washington,2016,http://stats.ncaa.org/team/756/12240
Texas A&M,2017,http://stats.ncaa.org/team/697/12424
Texas St.,2017,http://stats.ncaa.org/team/670/12424
Texas Tech,2017,http://stats.ncaa.org/team/700/12424
Toledo,2017,http://stats.ncaa.org/team/709/12424
Troy,2017,http://stats.ncaa.org/team/716/12424
Tulane,2017,http://stats.ncaa.org/team/718/12424
Tulsa,2017,http://stats.ncaa.org/team/719/12424
Washington St.,2016,http://stats.ncaa.org/team/754/12240
West Virginia,2016,http://stats.ncaa.org/team/768/12240
Western Ky.,2016,http://stats.ncaa.org/team/772/12240
Western Mich.,2016,http://stats.ncaa.org/team/774/12240
Wisconsin,2016,http://stats.ncaa.org/team/796/12240
Wyoming,2016,http://stats.ncaa.org/team/811/12240
UCF,2017,http://stats.ncaa.org/team/128/12424
UCLA,2017,http://stats.ncaa.org/team/110/12424
UConn,2017,http://stats.ncaa.org/team/164/12424
UNLV,2017,http://stats.ncaa.org/team/465/12424
UTEP,2017,http://stats.ncaa.org/team/704/12424
